time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025286,243.5,191.4,2512.0,374.0,3462.1,953.7,234,2564.4,3439.8,201.3,66.5,12.6
0.027286,245.0,191.5,2557.4,338.5,3679.0,968.0,234.2,2565.1,3439.1,201.4,67,12.4
0.029286,244.2,190.2,2562.8,298.7,3804.2,848.8,234.6,2566.1,3438,201.6,67.6,12.4
0.031286,241.4,194.5,2550.0,273.2,3839.6,818.4,235.1,2567.6,3436.4,201.8,68.2,12.4
0.033286,237.8,195.6,2536.9,263.5,3820.8,850.7,235.7,2569.5,3434.5,202,68.8,12.7
0.035286,234.9,182.9,2529.4,263.2,3756.3,866.8,236.5,2571.8,3432.3,202.2,69.4,13.2
0.037286,232.8,162.2,2534.0,267.5,3660.1,863.2,237.4,2574.5,3429.8,202.5,70,14.1
0.039286,231.7,145.0,2554.3,276.4,3518.0,858.5,238.3,2577.6,3427.2,202.7,70.6,15.2
0.041286,232.0,131.3,2575.6,297.2,3332.6,798.9,239.4,2581.2,3424.5,203,71.2,16.3
0.043286,233.5,115.9,2577.4,336.4,3165.1,655.7,240.4,2585.1,3421.9,203.3,71.8,17.2
0.045286,234.8,100.9,2564.5,368.9,3074.4,523.4,241.6,2589.4,3419.4,203.6,72.5,17.7
0.047286,235.8,90.6,2564.0,376.7,3040.8,476.4,242.7,2594.1,3417.1,203.9,73.1,17.9
0.049286,237.6,85.2,2582.8,368.1,3038.1,489.6,243.8,2599.1,3415.2,204.2,73.7,17.9
0.051286,240.8,84.0,2608.8,340.9,3073.0,516.3,244.9,2604.5,3413.7,204.5,74.3,17.8
0.053286,245.2,84.8,2626.6,304.3,3139.9,496.8,245.9,2610.2,3412.9,204.8,74.9,17.8
0.055286,249.8,86.6,2636.0,269.0,3207.2,423.3,246.9,2616.2,3412.7,205.1,75.5,17.9
0.057286,253.6,89.5,2644.3,234.8,3261.4,346.9,247.8,2622.6,3413.3,205.4,76,18.1
