time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025299,396.2,48.3,2778.0,89.7,3173.4,179.4,400.1,2809.6,3205.1,188.9,73.3,20.6
0.027299,397.1,50.2,2787.8,86.2,3185.3,183.2,400.2,2810.3,3205.9,188.7,73.2,20.9
0.029299,398.4,51.6,2798.4,83.0,3198.2,185.7,400.5,2811.3,3207.1,188.6,73.1,21
0.031299,399.7,52.6,2809.7,80.8,3209.5,186.4,400.9,2812.8,3208.8,188.4,73.1,20.9
0.033299,401.2,53.7,2822.0,78.7,3220.4,186.3,401.4,2814.7,3210.9,188.2,73.1,20.5
0.035299,402.9,55.2,2834.4,75.4,3232.8,185.0,401.9,2817,3213.4,188,73,20.1
0.037299,405.0,57.2,2844.0,72.2,3244.8,182.2,402.4,2819.6,3216.2,187.8,73,19.6
0.039299,406.9,59.1,2848.5,72.9,3250.1,180.1,402.8,2822.6,3219.3,187.6,72.9,19.1
0.041299,408.0,60.3,2847.1,79.7,3244.6,180.2,403.2,2825.9,3222.7,187.4,72.9,18.4
0.043299,408.2,60.6,2841.7,90.0,3232.8,179.4,403.5,2829.4,3226.1,187.2,72.8,17.6
0.045299,407.6,60.1,2836.3,98.2,3224.0,175.4,403.7,2833.2,3229.7,186.9,72.7,16.9
0.047299,406.3,59.2,2834.4,100.6,3224.1,171.2,403.7,2837.1,3233.4,186.7,72.7,16.5
0.049299,404.3,57.8,2835.5,98.6,3231.0,169.3,403.5,2841.2,3237.1,186.4,72.6,16.5
0.051299,402.1,56.1,2837.6,95.4,3238.7,170.1,403.1,2845.3,3240.7,186.2,72.6,17
0.053299,399.9,54.2,2840.3,92.8,3243.5,174.3,402.5,2849.4,3244.3,185.9,72.6,17.9
0.055299,398.2,52.6,2844.6,90.1,3244.6,180.9,401.7,2853.5,3247.9,185.6,72.6,18.7
0.057299,396.9,51.8,2850.9,86.3,3242.7,188.7,400.8,2857.4,3251.4,185.4,72.6,19.3
0.059299,396.0,51.2,2858.0,81.9,3239.1,197.8,399.6,2861.2,3254.8,185.1,72.6,19.4
0.061299,395.1,50.4,2864.3,78.5,3236.5,208.5,398.3,2864.8,3258.2,184.8,72.6,19.2
0.063299,393.9,49.0,2868.8,77.4,3238.4,219.8,396.9,2868.1,3261.5,184.5,72.6,18.8
0.065299,392.6,47.4,2871.3,78.8,3245.4,228.2,395.4,2871.1,3264.8,184.1,72.6,18.3
0.067299,391.4,46.3,2871.4,80.8,3254.2,229.6,393.8,2873.7,3268,183.8,72.6,17.9
0.069299,390.4,46.0,2869.0,79.7,3262.8,222.5,392.3,2875.9,3271.3,183.5,72.6,17.8
0.071299,389.7,46.4,2866.7,74.1,3272.2,209.6,390.7,2877.7,3274.7,183.2,72.6,17.8
0.073299,389.4,46.9,2868.7,67.0,3284.7,196.7,389.2,2879.1,3278.1,182.8,72.7,17.9
0.075299,389.3,47.3,2876.2,61.5,3300.2,186.4,387.8,2880.2,3281.5,182.4,72.7,18.1
0.077299,389.5,47.7,2886.0,58.4,3313.6,176.5,386.5,2880.8,3285.1,182.1,72.7,18.2
0.079299,389.8,48.4,2894.2,57.6,3319.3,165.4,385.3,2881,3288.7,181.7,72.7,18.2
0.081299,390.2,49.5,2898.9,58.3,3318.2,152.4,384.3,2881,3292.4,181.3,72.8,18.1
0.083299,390.8,50.6,2899.6,58.0,3316.4,137.6,383.4,2880.6,3296.2,180.9,72.8,17.9
0.085299,390.6,51.3,2895.8,55.6,3318.6,124.0,382.6,2880,3300,180.5,72.8,17.8
0.087299,389.0,51.3,2888.5,53.3,3323.0,116.5,381.9,2879.3,3303.8,180.1,72.8,17.8
0.089299,385.5,50.5,2879.4,53.5,3324.2,118.2,381.4,2878.4,3307.5,179.6,72.8,18
0.091299,380.9,48.5,2870.0,55.1,3318.9,127.4,380.9,2877.5,3311.1,179.2,72.8,18.5
0.093299,376.3,45.9,2862.5,55.9,3308.9,137.1,380.4,2876.7,3314.6,178.7,72.8,19.1
0.095299,372.8,43.7,2858.9,55.0,3299.6,139.6,379.9,2875.9,3317.8,178.3,72.8,19.7
0.097299,370.4,42.6,2859.1,53.0,3293.8,132.6,379.4,2875.2,3320.8,177.8,72.8,20
0.099299,369.5,42.9,2861.3,50.8,3290.9,121.5,378.8,2874.7,3323.3,177.3,72.7,20
0.101299,369.6,44.4,2863.4,49.6,3290.4,113.9,378.1,2874.4,3325.5,176.8,72.7,19.6
0.103299,370.5,46.8,2865.6,50.5,3293.2,113.5,377.3,2874.4,3327.1,176.3,72.7,18.9
0.105299,372.3,49.9,2869.8,53.4,3299.8,118.8,376.3,2874.5,3328.2,175.8,72.6,18.2
0.107299,375.1,53.3,2878.2,56.3,3309.7,126.0,375.2,2874.9,3328.8,175.2,72.6,17.3
0.109299,378.2,55.6,2889.8,57.8,3321.3,132.9,373.9,2875.4,3328.7,174.7,72.6,16.5
0.111299,379.6,56.4,2898.2,57.9,3330.8,139.6,372.3,2876.1,3328,174.2,72.5,15.3
0.113299,377.0,55.8,2898.2,58.1,3333.8,146.9,370.7,2876.9,3326.6,173.6,72.4,14.1
0.115299,372.1,53.5,2892.6,58.9,3330.3,152.9,368.9,2877.6,3324.7,173.1,72.3,13
0.117299,368.0,50.2,2887.2,60.0,3327.0,155.5,367,2878.3,3322.1,172.5,72.2,12.2
