time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025088,400.1,64.3,2557.6,83.9,2939.8,152.5,401.3,2541.7,2948.6,222.9,77.4,6.2
0.027088,402.7,59.5,2551.7,82.0,2947.0,174.8,402.8,2542.5,2946.5,222.9,78.3,8.1
0.029088,405.6,57.0,2546.6,81.2,2948.5,190.6,405.1,2543.3,2942.8,222.9,78.9,10.4
0.031088,409.0,56.0,2540.9,80.8,2943.1,199.8,408,2543.3,2937.4,222.9,79.5,12.8
0.033088,412.3,55.5,2534.0,79.5,2932.4,199.9,411.3,2541.6,2930.1,222.8,80,15.1
0.035088,415.0,55.0,2525.9,75.6,2920.6,194.2,414.7,2537.5,2920.6,222.8,80.4,17
0.037088,417.5,54.2,2516.6,68.7,2907.1,188.7,417.8,2530.8,2908.8,222.7,80.8,18.2
0.039088,420.0,52.9,2507.8,61.6,2892.8,188.8,420.7,2521.5,2894.7,222.6,81.1,18.9
0.041088,422.5,51.1,2499.9,56.4,2876.2,194.9,423.1,2510.4,2878.3,222.5,81.5,19.2
0.043088,424.5,48.8,2494.2,55.3,2857.8,204.5,425,2498.4,2859.8,222.4,81.7,19.3
0.045088,426.0,46.0,2490.7,58.6,2837.7,212.0,426.5,2486.8,2839.5,222.2,82,19.3
0.047088,427.5,43.0,2488.1,66.4,2815.3,214.6,427.8,2476.8,2817.7,222.1,82.2,19.3
0.049088,429.0,40.4,2485.8,77.3,2795.2,214.5,428.9,2469.3,2794.8,221.9,82.5,19.2
0.051088,430.6,38.1,2483.6,92.7,2775.4,217.0,429.9,2464.8,2771.3,221.8,82.7,19
0.053088,432.0,36.4,2481.7,115.2,2753.8,222.8,431,2462.7,2747.6,221.6,82.9,18.7
0.055088,433.1,35.1,2479.2,148.1,2728.9,226.0,432.1,2461.9,2724,221.4,83.1,18.4
0.057088,434.0,33.7,2471.6,203.6,2697.8,216.4,433.3,2460.3,2700.8,221.2,83.3,18.1
0.059088,434.5,32.1,2449.2,277.7,2671.4,189.8,434.5,2455.5,2678.4,221,83.6,17.7
0.061088,434.9,30.2,2407.2,340.6,2655.1,167.2,435.5,2444.5,2656.9,220.8,83.8,17.2
0.063088,435.2,28.4,2368.2,362.8,2641.5,168.3,436.2,2424.7,2636.8,220.5,84.1,16.8
0.065088,435.3,26.7,2346.7,367.8,2623.2,183.1,436.4,2393.7,2618.2,220.3,84.5,16.7
0.067088,435.3,24.8,2333.9,386.8,2598.9,192.5,436.3,2350.2,2601.5,220.1,84.8,16.9
0.069088,435.0,23.2,2316.5,431.8,2578.4,181.7,435.7,2293.7,2587,219.9,85.2,17.6
0.071088,434.5,21.6,2277.7,503.9,2566.0,155.2,434.7,2225,2575,219.7,85.5,18.5
0.073088,433.9,20.3,2207.2,584.2,2562.5,127.7,433.4,2145.9,2565.9,219.5,85.8,19.4
0.075088,433.3,18.9,2106.9,643.8,2563.9,108.4,432.1,2059.2,2559.8,219.3,86.1,20.2
0.077088,432.6,17.4,1975.8,653.5,2567.4,96.8,431,1968.2,2557,219.1,86.4,20.8
0.079088,431.9,15.9,1852.8,595.9,2570.7,93.5,430.1,1876.8,2557.3,218.9,86.6,21.4
0.081088,431.2,14.6,1749.4,495.8,2572.1,96.7,429.7,1788.4,2560.5,218.7,86.6,21.9
0.083088,430.4,13.6,1670.4,395.6,2570.4,106.2,429.9,1706.2,2566.2,218.5,86.6,22
0.085088,429.7,13.0,1608.7,312.8,2567.4,120.9,430.6,1632.8,2573.8,218.4,86.4,21.6
0.087088,429.0,13.0,1554.6,241.6,2565.0,139.9,431.6,1569.7,2582.3,218.2,86.1,20.2
0.089088,428.7,13.5,1512.1,191.0,2566.4,157.7,432.9,1518.1,2591,218.1,85.5,17.7
0.091088,429.6,15.0,1479.0,156.2,2578.4,171.9,434.2,1478.3,2598.9,218,84.8,14.6
0.093088,432.6,17.8,1460.1,139.5,2605.6,178.1,435.4,1450.2,2605.2,217.9,83.8,11.3
0.095088,438.0,21.9,1453.2,140.2,2632.4,173.7,436.2,1433.5,2609.3,217.8,82.6,8.3
0.097088,445.2,26.6,1450.4,169.5,2628.9,161.2,436.4,1427.9,2610.7,217.7,81.2,6.1
