time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025113,2441.8,447.5,3235.2,208.2,3418.8,2590.0,1049.7,2766.8,3357.9,245.9,62.1,0.7
0.027113,2478.5,407.7,3233.7,233.0,3473.2,3175.2,1039.5,2764.4,3357.6,245.4,61.6,0.1
0.029113,2534.9,313.7,3218.6,189.3,4081.2,211.6,1022.7,2760.4,3357.1,244.9,61.4,-1
0.031113,270.4,424.2,2532.5,256.8,3196.6,144.0,999.6,2754.9,3356.5,244.3,61.6,-2.2
0.033113,308.1,161.8,2500.5,266.8,3187.0,131.5,970.7,2748,3355.6,243.8,62.4,-3
0.035113,309.7,92.5,2474.9,317.9,3193.4,145.9,936.4,2739.8,3354.5,243.2,63.7,-2.9
0.037113,309.0,76.6,2496.5,382.6,3219.6,165.4,897.4,2730.5,3353.2,242.7,65.1,-1.8
0.039113,308.9,86.8,2558.5,326.0,3246.9,148.9,854.3,2720.2,3351.7,242.2,66.4,0.2
0.041113,312.2,111.4,2591.3,215.4,3256.7,125.6,808,2709.1,3350,241.6,67.6,2.6
0.043113,320.4,140.6,2605.0,145.9,3259.6,117.8,759.1,2697.4,3348.1,241.1,68.6,4.9
0.045113,332.5,163.5,2609.5,113.6,3264.2,124.5,708.6,2685.3,3346.1,240.6,69.3,6.8
0.047113,346.5,174.5,2606.9,100.1,3273.8,144.0,657.2,2673,3343.8,240.2,69.9,8
0.049113,358.8,174.9,2598.3,97.8,3287.5,175.4,606,2660.7,3341.4,239.8,70.3,9
0.051113,369.0,174.0,2586.4,100.4,3301.3,214.4,555.6,2648.7,3338.8,239.4,70.6,9.8
0.053113,376.5,175.2,2577.2,103.6,3311.2,250.4,506.9,2637,3336.1,239,70.9,10.6
0.055113,380.1,176.0,2576.5,105.7,3320.1,275.6,460.6,2626,3333.3,238.7,71,11.4
0.057113,381.7,176.3,2584.9,105.6,3329.3,292.3,417.5,2615.7,3330.4,238.4,71.2,12.5
0.059113,384.2,177.7,2598.2,101.8,3335.2,300.1,378.1,2606.4,3327.5,238.2,71.3,13.6
0.061113,388.2,179.6,2612.6,94.5,3343.0,299.5,342.9,2598.1,3324.5,238,71.4,14.7
0.063113,391.5,179.4,2624.5,85.0,3359.9,291.5,312.4,2590.9,3321.7,237.9,71.5,15.8
0.065113,392.4,178.1,2630.0,75.8,3376.8,281.3,286.9,2585.1,3318.9,237.8,71.6,16.7
0.067113,390.5,177.5,2629.2,67.2,3384.5,270.2,266.5,2580.5,3316.2,237.8,71.8,17.5
0.069113,386.6,178.9,2625.0,59.8,3380.8,257.0,251.5,2577.4,3313.7,237.7,72.1,18.1
0.071113,382.1,182.1,2620.4,53.1,3371.4,242.2,241.7,2575.6,3311.5,237.8,72.4,18.7
0.073113,378.3,186.2,2616.8,47.2,3363.3,230.9,237.1,2575.1,3309.5,237.8,72.7,19.3
0.075113,375.8,190.5,2614.3,42.8,3359.5,230.5,237.4,2576,3307.9,237.9,73,19.9
0.077113,374.2,194.7,2612.9,39.9,3359.0,247.4,242.3,2578.1,3306.7,238.1,73.3,20.4
0.079113,372.6,197.9,2612.8,38.8,3359.6,284.0,251.5,2581.4,3305.9,238.2,73.6,20.9
0.081113,371.8,199.7,2614.1,39.1,3353.7,334.6,264.3,2585.9,3305.6,238.4,73.9,21.4
0.083113,374.2,200.1,2616.2,40.4,3329.4,379.7,280.3,2591.2,3305.7,238.7,74,21.9
0.085113,380.5,198.6,2618.6,42.2,3293.2,396.1,298.9,2597.4,3306.4,238.9,74.1,22.3
0.087113,389.6,194.8,2621.8,44.3,3263.3,389.7,319.6,2604.3,3307.6,239.2,74.2,22.6
0.089113,399.2,190.1,2626.0,46.3,3253.4,379.5,341.5,2611.8,3309.3,239.5,74.2,22.8
0.091113,408.1,185.4,2631.1,48.2,3259.2,376.8,364.2,2619.7,3311.6,239.8,74.2,22.9
0.093113,416.1,180.8,2636.3,50.5,3269.9,387.4,386.9,2627.8,3314.4,240.1,74.1,23.1
0.095113,422.7,176.1,2640.9,53.2,3275.9,415.2,409.1,2636,3317.6,240.4,74.1,23.3
0.097113,428.1,171.3,2645.5,56.8,3273.3,463.0,430.2,2644.1,3321.3,240.8,74.1,23.6
0.099113,432.1,166.9,2649.8,61.1,3262.6,514.5,449.7,2652.1,3325.3,241.2,74.1,23.9
0.101113,435.1,163.3,2653.3,66.0,3250.6,546.7,467.2,2659.8,3329.7,241.6,74.1,24.2
0.103113,437.1,160.9,2656.0,70.1,3247.0,557.8,482.3,2667,3334.2,242,74.1,24.5
0.105113,438.0,160.7,2658.5,70.8,3261.9,563.0,494.6,2673.7,3339,242.4,74.1,24.6
0.107113,437.8,162.4,2661.6,66.3,3301.1,565.7,504.1,2679.9,3343.7,242.9,74.1,24.5
0.109113,437.0,165.4,2664.8,58.7,3351.8,555.2,510.4,2685.3,3348.4,243.3,74,24.4
0.111113,435.8,170.8,2667.4,51.8,3395.5,542.6,513.7,2690.1,3352.9,243.8,74,24.2
0.113113,433.5,180.8,2669.7,47.1,3430.8,556.5,514,2694,3357,244.2,73.9,23.9
0.115113,429.0,194.7,2671.4,44.8,3459.6,604.5,511.4,2697.2,3360.8,244.7,73.8,23.5
0.117113,421.9,209.7,2672.8,44.9,3471.3,692.4,506.1,2699.7,3363.9,245.2,73.6,22.9
0.119113,413.9,220.0,2674.6,47.6,3440.9,803.6,498.3,2701.3,3366.4,245.7,73.5,22.3
0.121113,406.7,224.2,2677.4,52.2,3378.5,881.1,488.6,2702.2,3368,246.2,73.3,21.5
0.123113,400.3,223.6,2680.6,56.4,3330.3,899.7,477.1,2702.4,3368.7,246.7,73.1,20.9
0.125113,394.9,219.2,2683.9,57.9,3319.9,882.1,464.4,2701.9,3368.3,247.3,73,20.3
0.127113,390.9,211.7,2688.0,56.1,3341.2,856.2,450.9,2700.7,3366.8,247.8,72.8,20
0.129113,390.2,203.3,2693.1,52.2,3388.5,828.2,437,2699,3364.1,248.3,72.6,19.7
0.131113,395.0,196.5,2698.5,48.8,3440.7,766.6,423.3,2696.7,3359.9,248.8,72.5,19.5
0.133113,405.1,190.8,2703.2,48.2,3463.3,686.4,410.3,2693.9,3354.4,249.3,72.4,19.3
0.135113,417.0,184.2,2706.0,52.0,3452.9,644.0,398.2,2690.7,3347.5,249.8,72.2,19
0.137113,429.3,175.5,2705.4,62.2,3411.2,632.8,387.6,2687.1,3339,250.3,72.2,18.5
0.139113,439.8,165.7,2699.4,79.4,3345.9,603.4,378.8,2683.1,3329.1,250.8,72.2,17.8
0.141113,447.6,156.7,2689.4,98.0,3285.5,552.3,372,2678.7,3317.7,251.2,72.2,17.1
0.143113,451.7,151.0,2683.8,108.2,3241.8,523.2,367.6,2674,3304.7,251.7,72.4,16.5
0.145113,452.6,149.2,2687.5,107.6,3213.5,528.4,365.6,2669,3290.4,252.1,72.6,16.2
0.147113,452.0,149.2,2694.3,102.0,3196.7,545.2,366.3,2663.6,3274.7,252.5,72.8,16.3
0.149113,451.6,148.3,2695.0,99.7,3176.9,549.0,369.5,2657.9,3257.7,252.8,73.1,16.5
0.151113,452.7,144.4,2683.7,104.1,3140.4,515.8,375.2,2651.7,3239.5,253.1,73.4,16.9
0.153113,455.3,137.0,2659.1,108.1,3111.4,444.3,383.3,2645.2,3220.2,253.4,73.7,17.3
0.155113,458.0,127.6,2629.4,100.4,3108.2,374.0,393.6,2638.1,3199.9,253.7,74,17.8
0.157113,460.1,118.2,2603.9,82.9,3121.7,318.1,405.8,2630.5,3178.9,253.9,74.2,18.5
0.159113,461.2,111.4,2589.3,66.3,3133.0,275.1,419.5,2622.3,3157.1,254,74.5,19.2
0.161113,462.8,107.0,2582.9,53.7,3133.4,238.1,434.6,2613.5,3134.8,254.1,74.7,20
0.163113,466.1,103.0,2580.2,43.5,3126.9,207.6,450.4,2604,3112.1,254.2,74.8,20.7
0.165113,471.0,99.0,2578.5,35.2,3117.9,186.4,466.6,2593.6,3089.2,254.2,75,21.2
0.167113,476.2,95.2,2576.2,29.1,3107.5,172.2,482.7,2582.5,3066.3,254.1,75.1,21.6
0.169113,481.4,91.7,2572.7,24.5,3095.4,158.1,498.3,2570.4,3043.5,254,75.2,21.8
0.171113,486.0,88.8,2567.7,21.5,3082.7,143.1,512.8,2557.4,3020.9,253.8,75.2,21.8
0.173113,490.0,86.5,2560.9,19.7,3069.5,129.1,526,2543.5,2998.7,253.6,75.3,21.7
0.175113,493.0,85.0,2552.6,19.1,3056.9,118.3,537.4,2528.6,2977.1,253.3,75.3,21.3
0.177113,495.3,84.2,2542.6,19.4,3044.5,110.5,546.6,2512.8,2956.2,253,75.3,20.5
0.179113,496.3,84.8,2532.6,21.0,3031.4,107.5,553.4,2496,2936,252.6,75.3,19.4
0.181113,495.5,87.3,2524.0,24.8,3013.1,111.4,557.4,2478.3,2916.7,252.1,75.3,18.1
0.183113,492.5,90.6,2516.8,33.1,2982.7,124.5,558.6,2459.7,2898.4,251.5,75.3,17
0.185113,487.9,91.7,2508.3,49.6,2936.7,145.9,556.8,2440.4,2881.1,250.9,75.3,16.1
0.187113,482.2,88.6,2489.6,84.6,2871.5,166.8,551.9,2420.4,2865,250.3,75.3,15.8
0.189113,477.2,81.3,2447.3,142.9,2804.9,161.7,544.1,2399.8,2849.9,249.5,75.3,15.8
0.191113,474.4,72.5,2377.7,196.1,2762.3,134.4,533.5,2378.9,2836,248.8,75.2,16
0.193113,473.6,64.9,2305.1,216.7,2742.2,114.6,520.2,2357.6,2823.3,247.9,75,15.9
0.195113,474.1,59.1,2245.7,221.8,2730.1,105.2,504.6,2336.3,2811.7,247,74.7,15.5
0.197113,474.9,54.7,2197.9,228.1,2719.1,99.0,486.8,2315.1,2801.2,246.1,74.2,14.4
0.199113,475.8,50.7,2154.0,234.6,2708.4,88.6,467.4,2294.1,2791.8,245.1,73.5,13.1
0.201113,476.8,47.6,2126.3,231.7,2702.6,75.0,446.7,2273.6,2783.5,244,72.7,11.5
0.203113,477.4,48.0,2124.4,221.1,2701.9,64.0,425.2,2253.8,2776.1,242.9,71.8,9.9
0.205113,474.8,58.0,2143.4,207.0,2703.3,57.0,403.4,2234.8,2769.7,241.8,70.8,8.4
0.207113,463.8,92.4,2176.7,192.2,2705.9,52.6,381.8,2217,2764.2,240.7,69.9,6.9
0.209113,440.4,148.2,2213.7,194.0,2711.0,55.0,360.8,2200.4,2759.4,239.5,69.4,5.3
0.211113,398.3,183.0,2246.2,225.9,2723.1,69.5,340.9,2185.2,2755.4,238.3,69.2,3.7
0.213113,348.8,178.4,2262.2,281.7,2745.9,98.1,322.7,2171.7,2752.1,237.1,69.1,2.6
0.215113,311.1,146.4,2251.0,331.8,2774.9,125.8,306.5,2160.1,2749.4,236,69,2
0.217113,287.1,114.5,2219.7,356.9,2795.3,134.4,292.7,2150.3,2747.3,234.8,68.7,2.1
0.219113,269.7,90.9,2182.6,358.3,2804.4,128.8,281.6,2142.6,2745.7,233.6,68.1,3
0.221113,258.2,81.4,2159.3,346.5,2812.1,124.7,273.5,2137,2744.6,232.5,67.4,4.1
0.223113,251.3,85.8,2159.1,358.4,2827.0,136.8,268.5,2133.6,2743.9,231.4,66.5,5.2
0.225113,247.6,90.4,2182.6,433.7,2844.7,176.5,266.9,2132.5,2743.7,230.4,65.9,5.9
