time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025052,186.3,872.0,2088.8,1456.3,3092.3,188.5,285.6,2410.7,3129.8,242.5,59.8,4
0.027052,309.4,299.5,2271.8,1115.2,3116.1,212.8,287.7,2414.5,3136.9,242.3,60.9,4.4
0.029052,303.4,102.4,2355.0,863.0,3139.7,216.6,291.2,2420.8,3148.7,242.1,62.4,5.4
0.031052,295.4,47.0,2413.5,630.2,3152.2,221.7,295.9,2429.4,3164.9,242,64,6.6
0.033052,290.2,31.7,2445.3,461.0,3148.6,242.6,301.9,2440.2,3185.3,241.8,65.5,8
0.035052,288.0,31.7,2476.4,411.3,3137.1,309.6,308.8,2452.8,3209.3,241.5,66.9,9.2
0.037052,289.8,41.3,2544.3,390.7,3163.3,449.1,316.6,2467.2,3236.8,241.3,68,10.2
0.039052,297.6,63.5,2605.5,269.2,3267.3,466.7,325.2,2482.9,3267.1,241.1,68.9,10.6
0.041052,311.6,96.3,2621.2,174.5,3313.5,400.2,334.2,2499.7,3299.7,240.8,69.6,10.6
0.043052,332.7,136.8,2629.6,115.4,3349.1,395.1,343.6,2517.1,3334.1,240.5,70,10.6
0.045052,359.9,173.9,2635.3,76.2,3395.9,425.4,353.1,2535,3369.7,240.2,70.3,10.8
0.047052,392.2,195.8,2639.3,49.9,3455.7,455.8,362.5,2552.9,3406.1,239.9,70.5,11.6
0.049052,421.5,196.6,2642.9,34.4,3516.9,443.6,371.6,2570.6,3442.5,239.6,70.6,13.4
0.051052,439.6,189.8,2646.0,27.2,3557.6,390.2,380.4,2587.6,3478.4,239.3,70.7,16
0.053052,449.8,183.9,2648.4,23.8,3586.0,338.1,388.6,2603.8,3513.5,238.9,70.7,18.7
0.055052,454.1,179.1,2649.0,22.1,3611.5,305.3,396,2618.8,3547.1,238.5,70.8,21.2
0.057052,454.5,174.6,2647.6,21.1,3637.9,274.4,402.8,2632.4,3579,238.1,70.9,22.9
0.059052,451.4,170.8,2643.8,20.2,3659.5,232.4,408.6,2644.5,3608.6,237.7,71,23.6
0.061052,445.7,169.6,2638.3,19.9,3670.2,189.8,413.6,2654.9,3635.8,237.3,71.2,23.7
0.063052,437.5,172.1,2631.8,20.4,3673.8,154.3,417.6,2663.5,3660.4,236.8,71.4,23.4
0.065052,427.2,178.4,2625.8,21.6,3674.2,131.4,420.8,2670.3,3682.1,236.4,71.6,23.1
0.067052,414.4,187.3,2620.8,23.1,3673.9,117.7,423.1,2675.2,3701,235.9,71.8,22.9
0.069052,398.8,196.6,2617.5,24.8,3673.7,111.4,424.7,2678.4,3716.9,235.4,71.9,22.9
0.071052,383.4,202.3,2616.0,26.6,3674.7,112.2,425.6,2679.8,3730,234.9,72,22.8
0.073052,370.5,203.6,2615.8,29.4,3678.6,118.0,425.9,2679.7,3740.4,234.4,72.1,22.8
0.075052,364.9,203.3,2616.2,32.8,3686.8,123.7,425.7,2678.2,3748.2,233.8,72.1,22.8
0.077052,368.1,205.1,2617.1,37.1,3699.4,123.8,425.3,2675.5,3753.6,233.3,72,22.9
0.079052,379.9,206.1,2619.5,43.3,3714.3,114.7,424.6,2671.8,3756.9,232.7,71.9,23.2
0.081052,394.7,200.2,2625.2,52.7,3724.7,101.3,423.9,2667.3,3758.4,232.1,71.8,23.7
0.083052,407.5,187.7,2638.0,66.7,3727.8,91.7,423.2,2662.2,3758.3,231.5,71.6,24.1
0.085052,414.9,175.4,2654.9,76.5,3725.0,92.0,422.8,2656.8,3757,230.9,71.3,24.4
0.087052,417.2,168.0,2666.8,74.5,3720.6,102.8,422.6,2651.4,3754.7,230.3,71.1,24.5
0.089052,415.3,167.9,2672.3,66.6,3721.8,124.8,422.7,2646.1,3751.7,229.6,70.8,24.2
0.091052,411.8,171.8,2676.4,60.3,3734.7,149.3,423.2,2641.1,3748.4,229,70.5,23.7
0.093052,411.0,174.7,2680.6,55.6,3756.9,168.2,424.1,2636.7,3744.8,228.3,70.1,23
0.095052,416.5,173.5,2682.2,52.6,3777.1,179.8,425.4,2633,3741.3,227.6,69.7,22.3
0.097052,429.2,166.3,2678.9,51.7,3788.8,184.9,427.1,2630.1,3737.9,227,69.3,21.6
0.099052,445.6,152.7,2670.0,54.3,3784.9,172.5,429,2628,3734.9,226.3,68.8,20.9
0.101052,461.7,135.4,2656.6,60.5,3770.7,141.1,431.2,2627,3732.2,225.6,68.3,20.2
0.103052,474.6,121.3,2645.3,67.9,3758.6,110.6,433.5,2626.9,3730,224.9,67.9,19.5
0.105052,482.5,114.7,2646.6,69.8,3751.5,96.9,435.8,2627.7,3728.2,224.2,67.5,18.9
0.107052,486.1,113.3,2655.5,64.8,3747.7,95.7,438,2629.5,3726.8,223.6,67.2,18.3
0.109052,484.8,115.2,2660.6,58.7,3748.4,101.5,439.8,2632.2,3725.7,222.9,67,17.8
0.111052,479.1,117.2,2658.4,55.6,3752.9,109.7,441.2,2635.6,3724.8,222.2,67.1,17.2
0.113052,470.4,118.1,2650.4,55.3,3756.9,115.4,442,2639.6,3723.9,221.5,67.2,16.7
0.115052,460.6,119.8,2640.2,57.0,3754.3,112.6,442,2644.2,3723,220.8,67.5,16.6
0.117052,449.1,125.5,2632.2,58.7,3744.3,103.2,441.1,2649.1,3721.9,220.2,67.8,16.8
0.119052,434.3,136.3,2630.4,59.0,3730.9,94.8,439.1,2654.1,3720.4,219.5,68.1,17.7
0.121052,418.0,147.4,2634.2,57.7,3717.7,91.6,436,2659.2,3718.3,218.8,68.5,19.2
0.123052,403.1,154.4,2640.1,55.2,3703.7,92.2,431.7,2664.2,3715.6,218.2,68.8,20.9
0.125052,394.4,157.9,2645.6,52.0,3690.8,95.6,426.1,2668.9,3712.1,217.5,69,22.4
0.127052,389.9,162.7,2650.0,49.5,3680.6,102.1,419.2,2673.2,3707.7,216.9,69.2,23.4
0.129052,385.9,171.4,2652.9,49.3,3675.3,109.6,411,2677,3702.3,216.3,69.4,23.8
0.131052,380.7,181.0,2654.2,50.9,3674.2,111.8,401.6,2680.2,3695.9,215.6,69.6,23.8
0.133052,375.8,186.7,2655.5,53.4,3669.3,109.1,391.1,2682.7,3688.5,215,69.8,23.6
0.135052,372.4,185.5,2658.8,55.8,3655.6,107.8,379.5,2684.4,3680.2,214.4,70,23.4
0.137052,366.7,180.5,2667.2,57.7,3635.4,110.0,367,2685.4,3670.9,213.8,70.2,23.3
0.139052,355.3,175.2,2681.5,57.1,3616.8,112.0,353.7,2685.5,3660.8,213.2,70.5,23.5
0.141052,339.4,170.4,2695.0,52.3,3608.4,111.0,339.9,2684.9,3650,212.6,70.8,23.8
0.143052,318.4,163.6,2701.6,46.0,3606.8,110.8,325.7,2683.6,3638.6,212,71.2,24.2
0.145052,296.1,151.0,2699.5,43.2,3607.1,116.3,311.4,2681.7,3626.9,211.5,71.6,24.5
0.147052,276.9,132.0,2690.5,44.6,3608.3,129.2,297.2,2679.2,3615,210.9,72,24.7
0.149052,264.7,115.7,2678.1,48.7,3610.2,145.9,283.3,2676.1,3603.1,210.4,72.5,24.7
0.151052,256.9,104.4,2666.6,52.1,3610.0,163.1,269.9,2672.7,3591.4,209.8,72.9,24.7
0.153052,251.1,96.6,2662.6,51.3,3601.8,177.3,257.3,2669.1,3580.2,209.3,73.4,24.6
0.155052,246.4,90.7,2666.6,47.3,3587.7,184.9,245.5,2665.3,3569.5,208.9,73.8,24.5
0.157052,241.8,85.0,2672.5,43.1,3576.2,189.5,234.8,2661.4,3559.6,208.4,74.1,24.2
0.159052,237.7,80.1,2676.7,40.0,3571.4,195.5,225.3,2657.6,3550.7,208,74.4,23.8
0.161052,233.9,76.2,2678.7,37.2,3569.1,204.5,217.2,2653.9,3542.8,207.5,74.6,23.2
0.163052,229.7,72.0,2678.4,35.0,3565.6,217.5,210.4,2650.5,3536.1,207.2,74.8,22.6
0.165052,225.0,65.6,2674.5,34.9,3561.4,231.9,205,2647.4,3530.5,206.8,74.9,22.1
0.167052,219.8,55.7,2665.3,37.5,3558.5,240.6,201,2644.7,3526.3,206.4,74.9,21.8
0.169052,215.7,46.0,2651.9,40.8,3554.9,237.7,198.4,2642.3,3523.2,206.1,74.9,21.9
0.171052,213.2,39.2,2637.9,42.5,3546.6,228.6,197,2640.4,3521.4,205.8,74.8,22.2
0.173052,212.4,37.2,2627.7,41.4,3532.6,221.9,196.9,2638.9,3520.7,205.6,74.6,22.6
0.175052,213.1,39.4,2623.9,38.4,3516.1,224.1,197.9,2637.9,3521,205.4,74.4,23
0.177052,214.5,42.3,2624.3,35.1,3501.1,238.2,199.7,2637.2,3522.2,205.2,74.1,23.1
0.179052,215.3,40.9,2626.4,32.2,3492.8,261.1,202.3,2636.9,3524.2,205,73.7,22.7
0.181052,214.7,34.7,2627.5,30.1,3493.8,280.1,205.4,2636.9,3526.7,204.8,73.3,22
0.183052,213.0,26.4,2626.2,28.8,3501.4,291.0,208.9,2637.1,3529.6,204.7,72.8,21.3
0.185052,211.2,19.2,2623.2,28.8,3514.3,299.4,212.6,2637.5,3532.7,204.6,72.3,20.8
0.187052,209.9,13.8,2621.2,30.5,3536.8,311.5,216.2,2638,3535.8,204.5,71.7,20.8
0.189052,209.5,11.1,2623.1,34.8,3560.2,304.8,219.6,2638.6,3538.8,204.4,71.2,21.7
0.191052,209.7,10.7,2629.7,43.5,3566.2,266.7,222.6,2639.1,3541.4,204.4,70.6,23.2
0.193052,210.1,11.6,2640.1,58.7,3555.8,227.0,225.1,2639.6,3543.6,204.4,70.1,24.9
0.195052,210.1,12.7,2649.9,78.7,3541.3,211.7,227,2640,3545.3,204.3,69.6,26.4
0.197052,209.7,13.0,2655.6,101.7,3527.5,223.6,228.1,2640.3,3546.4,204.3,69.3,27.3
0.199052,208.9,12.1,2657.6,117.7,3518.1,258.4,228.5,2640.3,3546.7,204.3,69,27
