time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025200,400.8,37.3,2655.9,612.1,3261.0,725.1,407.7,2641.5,3276.7,242.3,75.5,9.9
0.027200,402.0,34.9,2606.9,497.4,3271.7,429.7,407.5,2643.3,3280.3,242.2,76.1,11.2
0.029200,402.7,33.4,2603.3,410.0,3270.7,295.1,407.1,2646.3,3286.2,242,76.5,12.5
0.031200,403.0,32.2,2616.2,352.5,3272.5,237.7,406.6,2650.4,3294.3,241.9,76.9,13.7
0.033200,403.2,31.6,2638.6,311.4,3287.5,218.0,405.9,2655.7,3304.7,241.7,77.2,14.9
0.035200,403.5,31.4,2662.5,269.7,3318.1,204.8,405.1,2662.2,3317.1,241.6,77.4,16
0.037200,403.8,31.3,2677.1,225.8,3352.0,179.5,404.1,2669.8,3331.4,241.4,77.5,16.9
0.039200,403.9,30.8,2681.6,186.3,3375.7,148.4,402.9,2678.4,3347.4,241.2,77.6,17.5
0.041200,403.6,30.3,2682.8,156.4,3389.3,123.8,401.6,2688.2,3365.1,241,77.7,18
0.043200,403.0,30.8,2686.7,139.6,3398.9,109.8,400.2,2698.9,3384.1,240.8,77.7,18.4
0.045200,402.2,32.6,2694.8,135.8,3408.5,105.0,398.6,2710.6,3404.3,240.6,77.7,18.6
0.047200,401.4,35.6,2708.5,145.7,3419.8,109.7,396.9,2723.1,3425.5,240.3,77.6,18.8
0.049200,400.2,39.5,2730.8,168.8,3434.8,124.7,395,2736.5,3447.5,240.1,77.6,18.8
0.051200,398.5,43.8,2765.0,200.1,3456.2,150.4,393,2750.6,3470.1,239.9,77.6,18.6
0.053200,396.0,47.3,2807.3,224.8,3483.5,181.2,390.9,2765.3,3492.9,239.6,77.6,18.3
0.055200,392.9,49.5,2847.6,229.1,3515.5,207.3,388.6,2780.6,3516,239.3,77.6,18
0.057200,389.5,51.0,2871.2,211.9,3545.2,217.7,386.3,2796.2,3539,239.1,77.6,17.8
0.059200,386.3,52.5,2878.8,185.4,3569.6,217.6,383.9,2812.2,3561.8,238.8,77.6,17.7
0.061200,383.3,54.1,2878.9,159.0,3591.3,217.6,381.3,2828.4,3584.1,238.5,77.6,17.6
0.063200,380.4,55.8,2877.3,137.6,3612.6,223.4,378.8,2844.5,3606,238.3,77.6,17.6
0.065200,377.3,57.7,2876.3,121.0,3636.0,237.0,376.1,2860.6,3627.1,238,77.5,17.6
0.067200,374.1,59.9,2876.2,110.1,3658.8,256.5,373.5,2876.4,3647.5,237.7,77.5,17.5
0.069200,370.6,62.6,2877.0,104.5,3678.5,277.5,370.8,2891.8,3666.9,237.4,77.4,17.6
0.071200,366.9,65.7,2878.9,103.1,3696.2,296.4,368.2,2906.7,3685.4,237.1,77.4,17.6
0.073200,363.3,69.0,2882.3,105.6,3714.8,311.0,365.6,2920.9,3702.9,236.8,77.4,17.7
0.075200,359.8,72.3,2888.5,113.4,3735.6,321.7,363,2934.3,3719.3,236.5,77.3,17.8
0.077200,356.6,75.4,2900.3,129.9,3752.0,328.3,360.5,2946.8,3734.7,236.3,77.3,17.8
0.079200,353.9,78.6,2921.5,158.9,3759.5,336.3,358.1,2958.2,3748.9,236,77.3,17.6
0.081200,351.4,81.6,2954.3,199.3,3760.3,354.4,355.7,2968.5,3762.1,235.7,77.2,17.4
0.083200,349.1,83.9,2990.0,236.8,3759.3,384.5,353.5,2977.6,3774.3,235.4,77.2,17.2
0.085200,347.1,85.9,3012.4,254.3,3759.3,419.7,351.5,2985.4,3785.5,235.1,77.1,17
0.087200,345.7,88.0,3009.6,244.5,3761.6,449.7,349.5,2991.8,3795.7,234.8,77,17
0.089200,345.1,89.8,2993.3,220.2,3766.2,478.6,347.8,2997,3805,234.5,76.8,17.3
0.091200,345.2,91.0,2978.5,196.5,3772.5,510.2,346.1,3000.8,3813.5,234.2,76.7,17.7
0.093200,345.7,92.3,2971.9,179.9,3781.6,541.2,344.7,3003.2,3821.2,233.9,76.6,18.2
0.095200,346.3,94.4,2972.8,167.3,3799.3,573.5,343.4,3004.5,3828.3,233.6,76.5,18.7
0.097200,346.5,96.7,2978.0,156.3,3827.2,603.1,342.3,3004.5,3834.7,233.3,76.4,19.1
0.099200,345.8,97.8,2983.4,146.5,3857.6,621.5,341.3,3003.4,3840.4,233,76.5,19.4
0.101200,344.3,97.5,2987.7,139.8,3879.9,622.9,340.5,3001.4,3845.7,232.6,76.5,19.7
0.103200,342.3,96.6,2990.8,137.0,3889.5,609.6,339.9,2998.5,3850.5,232.3,76.6,20
0.105200,340.3,96.6,2992.0,136.0,3889.5,589.4,339.3,2994.9,3854.8,232,76.7,20.3
0.107200,338.6,98.1,2989.8,134.3,3883.5,573.7,338.9,2990.8,3858.6,231.6,76.9,20.4
0.109200,337.3,100.5,2985.2,131.0,3875.0,571.2,338.6,2986.4,3862,231.2,77,20.6
0.111200,336.4,102.7,2981.7,127.0,3866.6,587.0,338.4,2981.8,3865,230.9,77.1,20.8
0.113200,336.0,103.9,2982.0,123.4,3859.7,620.4,338.3,2977.1,3867.5,230.5,77.1,20.9
0.115200,336.0,104.2,2986.4,119.8,3854.6,666.5,338.3,2972.7,3869.5,230.1,77.2,20.9
0.117200,336.2,103.6,2992.9,115.1,3854.7,709.0,338.2,2968.6,3871,229.6,77.2,20.6
0.119200,336.4,101.3,2998.5,108.6,3862.4,732.0,338.2,2965,3871.9,229.2,77.2,19.9
0.121200,336.7,97.4,3001.1,101.0,3874.1,725.2,338.2,2962.2,3872.3,228.7,77.2,19
0.123200,337.0,92.9,3000.0,94.1,3880.8,690.6,338.2,2960.1,3871.9,228.3,77.2,17.9
0.125200,337.6,88.6,2995.5,88.6,3877.9,639.5,338.2,2958.9,3870.9,227.8,77.2,16.8
0.127200,338.6,85.4,2988.1,84.7,3868.6,595.2,338.2,2958.8,3869,227.3,77.2,15.9
0.129200,339.8,83.1,2978.9,81.5,3861.7,572.5,338.1,2959.6,3866.2,226.8,77.2,15.1
0.131200,340.7,81.9,2969.8,78.2,3864.9,571.3,338,2961.6,3862.5,226.2,77.2,14.3
0.133200,341.4,82.1,2962.6,75.5,3877.7,579.5,337.8,2964.7,3857.8,225.7,77.3,13.6
0.135200,341.6,83.4,2958.3,75.1,3889.7,585.2,337.7,2968.8,3852,225.1,77.4,13
0.137200,341.6,84.4,2958.0,78.4,3885.6,585.3,337.4,2973.8,3845.1,224.5,77.5,12.6
0.139200,341.2,83.4,2961.7,85.5,3861.4,581.7,337.2,2979.7,3837,223.9,77.6,12.3
0.141200,340.6,80.2,2969.1,95.6,3825.6,577.3,337,2986.4,3827.7,223.3,77.8,12.2
0.143200,339.9,76.4,2979.7,107.1,3792.4,581.0,336.7,2993.6,3817.1,222.7,77.9,12.1
0.145200,339.1,73.3,2994.5,119.5,3768.3,604.0,336.5,3001.3,3805.3,222,78.1,12.2
0.147200,338.2,71.9,3012.4,130.4,3756.5,649.4,336.4,3009.1,3792.3,221.4,78.2,12.3
0.149200,337.2,72.1,3029.7,137.9,3751.3,706.3,336.3,3016.9,3778,220.7,78.4,12.4
0.151200,336.3,73.0,3040.8,141.8,3743.7,752.8,336.3,3024.4,3762.4,220.1,78.5,12.5
0.153200,336.0,73.6,3043.8,141.4,3732.0,769.6,336.4,3031.3,3745.8,219.4,78.6,12.8
0.155200,335.9,73.1,3041.8,136.2,3719.5,754.8,336.7,3037.5,3727.9,218.8,78.7,13.1
0.157200,336.1,71.1,3038.0,128.6,3706.5,713.7,337.1,3042.7,3709.1,218.1,78.8,13.4
0.159200,336.6,68.5,3033.2,121.7,3687.3,655.5,337.8,3046.6,3689.3,217.5,78.9,14
0.161200,337.4,66.3,3027.2,116.4,3660.4,594.2,338.6,3048.9,3668.5,216.8,78.9,14.8
0.163200,338.2,64.9,3021.0,112.0,3632.9,545.6,339.7,3049.6,3647,216.1,79,15.6
0.165200,338.8,64.5,3015.0,107.0,3609.5,511.6,341,3048.4,3624.9,215.5,78.9,16.1
0.167200,338.8,65.0,3008.6,101.5,3593.1,489.2,342.6,3045.2,3602.2,214.8,78.9,16.3
0.169200,338.0,66.6,3000.6,96.4,3582.0,468.0,344.5,3039.8,3579,214.2,78.7,15.8
0.171200,336.6,69.4,2990.4,92.0,3572.9,442.5,346.6,3032.2,3555.6,213.6,78.5,14.9
0.173200,335.3,73.7,2980.1,88.9,3562.1,415.0,349,3022.2,3532,213,78.3,13.8
0.175200,334.8,80.5,2971.4,87.2,3544.5,387.0,351.7,3010,3508.4,212.4,78,12.8
0.177200,336.4,89.7,2965.3,87.1,3520.2,363.4,354.7,2995.6,3484.8,211.8,77.6,12.1
0.179200,341.5,99.8,2960.6,88.1,3492.4,348.6,357.9,2979,3461.5,211.2,77.2,11.9
0.181200,351.1,107.7,2955.2,89.8,3462.0,340.6,361.3,2960.4,3438.6,210.7,76.8,11.9
0.183200,364.0,110.2,2947.9,91.6,3429.3,329.1,364.9,2939.9,3416.1,210.1,76.4,12
0.185200,378.6,107.2,2937.6,93.2,3394.2,306.1,368.7,2917.9,3394.3,209.6,76.1,12.2
0.187200,391.8,100.6,2925.4,94.9,3362.5,278.1,372.6,2894.4,3373.1,209.1,75.8,12.3
0.189200,401.7,93.3,2912.5,97.6,3337.1,256.6,376.6,2869.9,3352.8,208.6,75.7,12.4
0.191200,407.6,86.9,2900.0,102.6,3317.6,246.8,380.6,2844.6,3333.3,208.2,75.7,12.5
0.193200,410.1,81.7,2888.2,109.6,3302.2,246.0,384.7,2818.9,3314.9,207.7,75.8,12.6
0.195200,410.1,76.8,2875.9,120.1,3286.7,251.7,388.7,2793.1,3297.6,207.3,75.9,12.8
0.197200,408.7,73.0,2863.0,136.5,3269.8,264.3,392.6,2767.6,3281.4,206.9,76.1,13.1
0.199200,406.8,70.7,2847.7,162.8,3250.7,281.1,396.4,2742.7,3266.4,206.5,76.2,13.7
0.201200,405.0,69.4,2824.9,200.9,3230.8,292.6,400,2718.9,3252.7,206.2,76.4,14.5
0.203200,403.7,68.0,2788.7,241.0,3217.2,289.9,403.3,2696.5,3240.3,205.9,76.6,15.4
0.205200,403.2,65.3,2736.8,267.5,3215.7,280.8,406.4,2675.8,3229.3,205.5,76.8,16.2
0.207200,403.2,61.4,2682.4,275.2,3223.2,278.6,409.2,2657.1,3219.6,205.3,77.1,16.8
0.209200,403.4,57.1,2632.2,277.5,3227.8,279.6,411.6,2640.8,3211.5,205,77.3,17.2
0.211200,403.6,52.8,2583.8,280.5,3223.8,271.2,413.6,2627.1,3204.7,204.7,77.5,17.6
0.213200,403.7,48.6,2537.5,278.9,3216.5,251.6,415.2,2616.2,3199.5,204.5,77.6,17.8
0.215200,403.9,44.4,2495.2,271.9,3209.0,230.4,416.3,2608.3,3195.7,204.3,77.7,18
0.217200,404.3,41.1,2466.4,271.7,3197.9,220.1,417,2603.5,3193.4,204.1,77.8,18
0.219200,405.0,39.0,2454.3,293.3,3180.1,225.6,417.3,2601.9,3192.7,203.9,77.8,17.8
