time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025138,457.4,51.9,2825.2,98.8,3471.8,115.4,467.7,2813.3,3500.9,254.4,73.2,7.9
0.027138,463.7,46.7,2809.5,64.1,3491.3,93.8,468.3,2814,3499.1,255.1,74.1,8.5
0.029138,470.2,42.4,2802.9,42.8,3499.8,76.6,469.2,2815.1,3496.2,255.8,75,8.8
0.031138,475.2,41.3,2807.4,32.5,3499.6,70.5,470.2,2816.8,3492.3,256.5,75.7,8.9
0.033138,478.1,44.7,2818.0,28.8,3496.6,73.1,471.4,2819,3487.6,257.2,76.3,9.2
0.035138,479.3,51.2,2829.3,28.8,3491.8,80.7,472.6,2821.8,3482.4,257.9,76.8,9.7
0.037138,479.1,59.0,2838.4,31.6,3483.4,90.1,473.5,2825.2,3476.7,258.6,77.2,10.4
0.039138,477.3,67.5,2843.8,37.4,3473.2,99.8,474.1,2829.4,3471,259.3,77.5,11.1
0.041138,473.8,76.4,2845.4,46.7,3465.6,109.8,474.1,2834.2,3465.5,260,77.8,11.9
0.043138,469.2,84.9,2844.3,59.7,3462.1,121.2,473.5,2839.7,3460.3,260.7,78.1,12.6
0.045138,465.0,91.5,2842.3,75.3,3459.8,132.6,472.2,2846,3455.9,261.3,78.4,13.2
0.047138,462.7,95.0,2840.5,89.7,3455.2,139.8,469.9,2852.8,3452.3,261.9,78.6,13.7
0.049138,462.4,94.8,2840.3,99.8,3450.0,139.5,466.8,2860.2,3449.8,262.5,78.9,14.1
0.051138,461.9,93.4,2845.6,107.7,3449.1,136.5,462.8,2868,3448.5,263,79.2,14.6
0.053138,459.6,93.8,2859.2,117.5,3451.5,138.3,457.9,2876.1,3448.4,263.5,79.5,15.2
0.055138,455.4,96.6,2879.2,127.2,3452.8,147.1,452.2,2884.3,3449.7,263.9,79.8,16.1
0.057138,449.6,100.9,2897.9,130.7,3451.0,159.2,445.8,2892.4,3452.3,264.3,80,17.3
0.059138,443.0,105.6,2909.8,127.1,3447.8,170.5,438.9,2900.2,3456.1,264.6,80.2,18.7
0.061138,435.9,110.3,2917.4,120.3,3447.4,182.5,431.7,2907.6,3461,264.9,80.4,20.1
0.063138,427.8,114.9,2925.1,112.5,3454.8,198.3,424.2,2914.3,3466.9,265.1,80.5,21.2
0.065138,418.0,119.2,2933.3,102.0,3472.2,214.0,416.9,2920.2,3473.6,265.3,80.6,21.9
0.067138,407.4,122.2,2938.4,88.4,3493.2,217.4,409.7,2925.1,3480.8,265.5,80.6,22.3
0.069138,397.9,123.4,2939.2,75.6,3506.7,205.8,402.8,2929,3488.2,265.6,80.7,22.4
0.071138,390.9,123.6,2937.1,66.3,3508.7,188.5,396.6,2931.8,3495.6,265.6,80.7,22.4
0.073138,386.6,123.7,2933.5,59.8,3503.2,172.1,390.9,2933.4,3502.8,265.6,80.6,22.3
0.075138,384.2,123.8,2929.2,54.3,3497.2,158.6,386,2933.9,3509.5,265.5,80.6,22.1
0.077138,382.3,123.9,2924.9,48.8,3496.5,149.0,381.8,2933.4,3515.4,265.5,80.5,21.8
0.079138,380.2,123.9,2921.8,44.2,3503.3,143.4,378.4,2932,3520.3,265.3,80.4,21.4
0.081138,377.6,123.8,2920.1,41.3,3515.2,139.4,375.7,2929.8,3524,265.2,80.3,20.9
0.083138,375.3,123.7,2919.3,40.4,3527.0,134.9,373.6,2927.1,3526.4,264.9,80.1,20.4
0.085138,373.8,123.7,2918.8,41.5,3535.0,129.3,372.1,2924,3527.4,264.7,79.9,19.8
0.087138,373.1,123.7,2918.6,44.3,3537.9,123.1,371,2920.8,3526.9,264.4,79.7,19.1
0.089138,372.4,123.5,2918.6,48.8,3535.0,116.4,370.1,2917.5,3524.8,264.1,79.5,18.4
0.091138,371.0,122.8,2917.8,55.0,3526.8,111.1,369.3,2914.5,3521.1,263.8,79.2,17.7
0.093138,369.0,121.7,2915.2,62.3,3516.0,109.4,368.4,2911.9,3516,263.5,79,17.1
0.095138,366.9,120.7,2910.7,68.5,3506.7,112.8,367.3,2909.7,3509.4,263.1,78.7,16.8
0.097138,364.8,119.5,2906.4,71.0,3501.9,123.0,365.9,2908,3501.6,262.7,78.5,16.8
0.099138,362.8,117.8,2904.5,69.6,3501.3,140.1,364.1,2906.9,3492.5,262.3,78.3,17
0.101138,360.6,114.8,2905.1,67.7,3499.3,159.2,361.8,2906.2,3482.4,261.9,78.1,17.2
0.103138,357.9,110.6,2906.8,69.3,3486.6,168.7,359.1,2906,3471.4,261.4,78,17.3
0.105138,354.7,105.6,2908.4,75.9,3462.9,162.0,355.9,2905.9,3459.8,261,77.9,17.1
0.107138,350.6,100.2,2909.9,85.8,3438.7,147.5,352.3,2905.9,3447.5,260.5,77.8,16.7
0.109138,345.7,94.8,2911.4,96.1,3420.3,136.7,348.4,2905.6,3434.9,260,77.8,16.1
0.111138,341.1,90.4,2912.6,104.2,3406.9,131.4,344.3,2904.9,3422,259.5,77.7,15.6
0.113138,337.4,87.4,2912.6,109.3,3396.0,126.8,340.3,2903.4,3409.1,259.1,77.7,15.1
0.115138,334.8,85.8,2910.3,111.9,3386.1,117.6,336.3,2901,3396.2,258.5,77.7,15
0.117138,333.2,85.2,2904.2,111.2,3376.9,103.2,332.7,2897.4,3383.6,258,77.8,15.1
0.119138,332.2,85.4,2892.7,104.6,3367.8,86.6,329.5,2892.3,3371.1,257.5,77.8,15.3
0.121138,331.8,87.1,2877.1,93.0,3357.4,72.1,326.9,2885.7,3359.1,257,78,15.6
0.123138,331.5,89.4,2861.0,81.6,3345.6,62.5,325,2877.6,3347.5,256.5,78.2,15.9
0.125138,330.6,90.3,2847.7,74.4,3334.3,59.1,323.9,2867.8,3336.4,255.9,78.4,16.1
0.127138,329.1,88.4,2838.7,72.3,3325.9,61.2,323.6,2856.5,3326,255.4,78.6,16.3
0.129138,327.7,85.2,2832.9,74.2,3320.5,66.9,324.1,2843.9,3316.1,254.9,78.8,16.5
0.131138,327.0,82.7,2828.1,78.5,3316.2,73.6,325.4,2830.2,3306.9,254.3,78.9,16.7
0.133138,326.8,81.9,2822.2,84.4,3311.2,79.3,327.3,2815.6,3298.4,253.8,79.1,16.9
0.135138,326.8,82.3,2813.6,91.5,3305.2,83.6,329.9,2800.6,3290.6,253.3,79.2,16.9
0.137138,326.6,82.4,2801.7,99.2,3298.7,87.2,332.9,2785.5,3283.6,252.8,79.2,17
0.139138,326.2,82.2,2786.4,104.9,3291.7,90.7,336.1,2770.8,3277.4,252.2,79.3,17
0.141138,326.5,83.6,2768.8,103.9,3283.2,92.2,339.5,2756.9,3271.9,251.7,79.3,16.9
0.143138,328.4,88.4,2751.2,94.3,3273.1,87.9,342.7,2744.3,3267.3,251.2,79.2,16.6
0.145138,333.1,98.3,2735.4,79.3,3262.6,76.4,345.6,2733.3,3263.4,250.8,79.2,15.8
0.147138,341.7,113.1,2722.5,64.2,3253.1,63.3,348.1,2724.4,3260.5,250.3,79.1,14.6
0.149138,354.0,127.7,2712.6,53.6,3245.3,55.5,349.9,2717.8,3258.3,249.8,79,13.1
0.151138,366.8,135.8,2704.7,48.6,3240.3,56.0,351.1,2713.7,3257,249.4,78.9,11.6
0.153138,377.5,137.7,2697.7,48.1,3240.3,64.3,351.5,2712.4,3256.6,249,78.9,10.4
