time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025478,72.7,860.8,2568.7,1117.1,3234.7,826.2,287.8,2607.4,3530,254.2,59.3,-186.7
0.027478,316.5,296.0,2591.0,811.2,3397.4,882.6,289.1,2608.2,3529.5,253.9,61.7,-146.2
0.029478,315.8,119.1,2591.8,646.0,3490.9,881.0,291.2,2609.6,3528.8,253.7,64,-95.8
0.031478,307.5,59.8,2595.4,422.2,3546.7,880.3,294.1,2611.5,3527.7,253.4,66.1,-45.3
0.033478,302.2,43.8,2599.8,256.3,3606.1,909.3,297.8,2613.8,3526.5,253.1,67.7,-4.7
0.035478,302.1,47.4,2609.5,170.1,3719.9,781.2,302.2,2616.7,3525,252.8,69.1,17.2
0.037478,309.0,62.4,2618.9,127.4,3696.6,595.8,307.3,2620,3523.4,252.5,70.2,24
0.039478,321.8,81.6,2629.0,115.4,3621.4,498.0,313,2623.7,3521.6,252.2,71.1,21.6
0.041478,337.6,99.7,2640.6,118.4,3547.9,405.7,319.2,2627.7,3519.8,251.9,71.7,15.3
0.043478,353.2,114.7,2651.6,124.4,3506.7,337.6,325.8,2632,3518,251.6,72.2,10.5
0.045478,366.0,124.1,2659.5,129.8,3498.0,311.1,332.7,2636.6,3516.2,251.3,72.6,11.4
0.047478,374.7,128.1,2663.7,132.8,3510.6,315.6,340,2641.3,3514.6,251.1,73,14.4
0.049478,380.6,129.7,2666.1,133.4,3529.0,329.4,347.4,2646.2,3513.1,250.8,73.3,18.2
0.051478,384.6,131.3,2669.2,134.2,3536.2,332.7,354.9,2651.1,3511.8,250.6,73.5,21.9
0.053478,387.3,132.9,2672.7,135.5,3526.1,318.7,362.3,2656.1,3510.8,250.4,73.8,24.9
0.055478,388.7,134.4,2675.5,135.1,3507.1,294.7,369.7,2661.1,3510.1,250.2,74,26.7
0.057478,389.1,135.1,2677.5,132.9,3489.3,270.9,376.9,2666,3509.8,250,74.1,27.4
0.059478,388.8,135.0,2679.7,131.9,3477.3,254.4,383.8,2670.8,3509.9,249.9,74.3,27.4
0.061478,388.6,134.0,2683.1,134.3,3472.7,249.1,390.4,2675.5,3510.4,249.7,74.4,27.2
0.063478,389.6,133.1,2687.9,138.7,3475.2,254.2,396.7,2679.9,3511.3,249.6,74.4,27
0.065478,392.7,133.5,2692.7,139.7,3482.8,263.1,402.5,2684.2,3512.7,249.5,74.4,27.2
0.067478,397.4,135.1,2695.1,134.9,3491.6,269.0,407.8,2688.2,3514.6,249.4,74.3,27.5
0.069478,402.5,137.0,2694.2,128.0,3497.6,269.0,412.5,2692,3516.9,249.4,74.2,27.8
0.071478,406.8,138.4,2690.9,123.7,3500.2,264.2,416.8,2695.5,3519.6,249.3,74,28.1
0.073478,410.2,139.2,2686.3,123.4,3502.1,257.1,420.4,2698.8,3522.8,249.3,73.9,28.3
0.075478,412.5,139.4,2681.8,126.2,3506.9,251.9,423.5,2701.7,3526.2,249.3,73.7,28.6
0.077478,413.6,138.6,2679.3,130.7,3515.7,251.8,426,2704.5,3530.1,249.3,73.6,28.7
0.079478,413.9,137.2,2680.7,134.7,3528.1,256.6,428,2706.9,3534.1,249.3,73.5,28.9
0.081478,414.6,135.7,2685.9,134.8,3543.2,263.3,429.4,2709.2,3538.4,249.3,73.4,29
0.083478,416.3,135.1,2692.7,129.9,3559.1,269.5,430.3,2711.2,3542.8,249.3,73.3,29.1
0.085478,418.9,135.1,2698.8,122.2,3572.5,275.2,430.8,2713,3547.3,249.4,73.2,29.2
0.087478,421.4,135.3,2703.8,115.0,3581.2,281.7,430.8,2714.7,3551.7,249.4,73.1,29.3
0.089478,423.3,135.8,2708.6,109.9,3586.4,288.2,430.4,2716.2,3556.1,249.4,73,29.3
0.091478,424.8,136.5,2713.9,106.7,3589.7,291.8,429.7,2717.6,3560.3,249.5,72.9,29.3
0.093478,426.3,138.1,2719.6,104.4,3590.5,289.1,428.7,2718.9,3564.2,249.5,72.8,29.4
0.095478,428.3,140.4,2724.7,101.8,3589.1,280.6,427.5,2720.1,3567.8,249.6,72.8,29.3
0.097478,430.2,143.3,2728.6,98.5,3588.3,271.4,426.1,2721.4,3570.9,249.7,72.8,29.3
0.099478,431.3,146.4,2731.4,94.8,3589.3,266.9,424.6,2722.5,3573.6,249.7,72.8,29.2
0.101478,431.3,149.6,2733.5,91.0,3588.5,266.3,423.1,2723.7,3575.7,249.8,72.8,29.1
0.103478,430.4,152.3,2735.0,87.3,3582.8,264.2,421.5,2724.9,3577.2,249.9,72.8,29.1
0.105478,429.0,154.0,2736.7,83.8,3575.1,257.7,420,2726.2,3578.1,249.9,72.9,29.3
0.107478,427.1,154.7,2738.8,80.2,3570.9,250.3,418.6,2727.5,3578.2,250,72.9,29.7
0.109478,424.8,154.5,2740.6,76.6,3571.1,246.7,417.2,2728.8,3577.5,250.1,72.9,30.2
0.111478,422.4,154.1,2741.6,73.3,3571.4,247.9,416,2730.1,3576.1,250.2,73,30.7
0.113478,420.3,153.7,2741.7,70.4,3567.7,252.3,415,2731.5,3573.8,250.2,73,31.1
0.115478,418.5,153.0,2741.1,67.5,3559.5,258.2,414.2,2732.9,3570.7,250.3,73.1,31.1
0.117478,416.9,151.8,2739.9,63.8,3549.8,264.6,413.6,2734.3,3566.8,250.4,73.1,30.9
0.119478,415.5,150.2,2738.4,59.1,3541.3,272.1,413.1,2735.7,3562,250.5,73.2,30.6
0.121478,414.2,148.5,2737.3,54.5,3534.1,283.2,412.9,2737.1,3556.4,250.5,73.2,30.2
0.123478,413.1,146.9,2736.9,50.8,3526.4,299.3,412.9,2738.4,3550.1,250.6,73.3,29.8
0.125478,412.3,145.5,2736.8,47.8,3517.9,318.4,413.1,2739.6,3543,250.7,73.3,29.5
0.127478,412.1,144.5,2736.8,45.0,3509.9,336.0,413.5,2740.7,3535.2,250.8,73.3,29.3
0.129478,412.5,144.1,2736.7,42.4,3502.6,348.8,414,2741.6,3526.7,250.8,73.4,29
0.131478,413.4,144.4,2736.5,40.5,3495.0,358.2,414.7,2742.4,3517.6,250.9,73.4,28.8
0.133478,414.3,145.2,2736.4,39.8,3488.0,370.0,415.5,2742.9,3507.9,250.9,73.4,28.6
0.135478,415.2,146.2,2736.7,39.9,3483.1,387.5,416.3,2743.2,3497.8,251,73.5,28.5
0.137478,416.2,147.5,2737.5,40.2,3480.8,408.4,417.3,2743.2,3487.2,251,73.5,28.3
0.139478,417.4,148.5,2738.5,40.3,3479.5,428.3,418.2,2743,3476.2,251.1,73.5,28.1
0.141478,418.7,149.2,2739.1,40.2,3477.6,443.3,419.2,2742.4,3464.9,251.1,73.5,28.1
0.143478,419.9,149.7,2739.2,40.6,3476.3,450.9,420.2,2741.5,3453.4,251.2,73.5,28.1
0.145478,420.7,150.0,2739.0,41.8,3477.7,450.7,421.1,2740.3,3441.7,251.2,73.5,28.3
0.147478,421.5,150.2,2738.7,43.7,3478.1,444.9,422,2738.7,3429.8,251.2,73.5,28.7
0.149478,422.7,150.4,2737.8,46.4,3470.0,438.7,422.8,2736.8,3417.9,251.2,73.6,29.3
0.151478,424.2,150.6,2735.7,49.9,3450.4,435.2,423.5,2734.6,3405.9,251.2,73.6,29.8
0.153478,424.9,150.8,2732.4,54.4,3424.8,434.5,424.1,2732,3393.9,251.2,73.6,30.3
0.155478,424.5,151.0,2728.4,59.7,3401.4,436.1,424.6,2729,3382,251.2,73.6,30.7
0.157478,423.5,151.0,2724.5,64.8,3383.1,436.8,425.1,2725.8,3370.2,251.2,73.6,31
0.159478,423.3,150.6,2720.5,68.9,3368.9,434.2,425.4,2722.3,3358.5,251.1,73.6,31.2
0.161478,423.9,150.0,2715.9,72.5,3356.7,430.2,425.7,2718.6,3346.9,251.1,73.6,31.4
0.163478,424.7,149.2,2710.8,76.7,3345.1,429.4,425.9,2714.7,3335.6,251,73.6,31.5
0.165478,424.3,148.3,2706.1,82.1,3333.0,434.0,426.1,2710.6,3324.4,251,73.7,31.7
0.167478,423.2,147.6,2702.8,88.0,3318.6,438.0,426.2,2706.3,3313.3,250.9,73.7,31.9
0.169478,422.5,147.1,2701.1,92.5,3300.4,436.3,426.3,2702,3302.5,250.8,73.7,32.1
0.171478,422.5,147.0,2700.2,95.1,3279.2,429.8,426.4,2697.6,3291.9,250.7,73.7,32.2
0.173478,423.6,147.3,2698.7,95.4,3255.4,417.1,426.6,2693.2,3281.5,250.5,73.7,32.2
0.175478,425.5,147.6,2695.8,93.8,3231.0,397.8,426.8,2688.9,3271.3,250.4,73.7,31.9
0.177478,426.8,147.7,2691.9,92.3,3210.0,377.5,427.2,2684.6,3261.3,250.2,73.7,31.4
0.179478,426.8,147.4,2687.5,92.1,3194.5,359.7,427.6,2680.5,3251.4,250,73.7,30.8
0.181478,426.5,146.5,2682.6,93.1,3183.5,339.7,428.2,2676.5,3241.8,249.8,73.7,30.1
0.183478,427.4,145.4,2677.6,93.6,3176.8,312.9,428.9,2672.7,3232.3,249.6,73.6,29.6
0.185478,429.7,144.2,2673.1,92.7,3174.4,280.7,429.7,2669.2,3223,249.3,73.6,29.4
0.187478,432.4,142.8,2668.6,90.5,3174.8,246.5,430.8,2665.9,3213.9,249,73.5,29.5
0.189478,434.4,141.2,2663.8,87.8,3177.1,213.3,432,2662.9,3205,248.7,73.4,29.8
0.191478,435.0,139.4,2659.2,85.3,3181.6,183.9,433.5,2660.2,3196.2,248.3,73.4,30.1
0.193478,435.1,137.5,2655.5,83.4,3187.7,158.8,435.1,2657.7,3187.7,248,73.3,30.1
0.195478,435.9,135.1,2652.9,81.4,3194.2,136.4,436.8,2655.6,3179.3,247.5,73.2,29.8
0.197478,437.1,131.9,2651.4,79.3,3201.0,116.8,438.8,2653.8,3171.1,247.1,73.1,29.1
0.199478,438.2,127.5,2651.2,77.3,3207.7,100.7,440.9,2652.3,3163.1,246.6,72.9,28.3
0.201478,439.8,122.5,2651.7,75.2,3212.4,87.9,443.1,2651,3155.4,246.1,72.8,27.3
0.203478,443.8,117.9,2650.9,72.3,3212.7,77.8,445.4,2650.1,3148,245.6,72.6,26.3
0.205478,451.0,113.8,2647.5,67.4,3207.9,70.0,447.9,2649.4,3140.8,245,72.4,25.3
0.207478,459.2,108.8,2642.4,61.7,3200.3,65.0,450.3,2648.9,3133.9,244.4,72.2,24.3
0.209478,466.0,102.6,2638.3,56.6,3190.9,64.9,452.8,2648.6,3127.4,243.8,71.9,23.3
0.211478,470.3,95.8,2638.1,51.4,3178.3,72.1,455.2,2648.6,3121.3,243.2,71.6,22.2
0.213478,472.2,89.0,2643.0,44.9,3160.3,88.5,457.6,2648.6,3115.5,242.5,71.3,21
0.215478,472.7,81.5,2649.0,38.7,3136.3,112.4,459.9,2648.8,3110.2,241.8,71,19.8
0.217478,473.4,73.2,2652.4,35.0,3109.8,138.1,462.1,2649,3105.4,241.2,70.7,18.4
0.219478,474.7,64.6,2652.8,34.0,3087.4,161.7,464.1,2649.3,3101,240.5,70.4,16.9
0.221478,476.2,56.9,2650.8,35.2,3073.8,181.0,465.9,2649.7,3097.2,239.7,70.1,15.4
0.223478,476.8,51.9,2646.6,38.3,3067.6,187.1,467.5,2650,3093.9,239,69.8,14.1
0.225478,475.4,51.3,2640.6,43.6,3062.8,170.4,468.9,2650.3,3091.1,238.3,69.6,12.9
0.227478,470.3,55.6,2637.0,52.8,3056.9,147.5,469.9,2650.6,3089,237.6,69.6,11.7
0.229478,459.5,63.9,2644.1,65.6,3049.2,142.3,470.7,2650.8,3087.5,236.9,69.7,10.6
0.231478,442.3,74.5,2663.9,76.2,3038.4,162.8,471.2,2650.9,3086.5,236.3,69.9,9.7
0.233478,419.3,83.7,2683.7,80.6,3019.2,203.6,471.3,2650.9,3086.2,235.6,70.3,9.1
