time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025077,430.2,61.0,2767.6,61.6,3422.3,208.9,421,2773.7,3524.3,252.4,72.2,6.2
0.027077,428.1,58.5,2770.2,62.5,3441.7,244.5,420.9,2775.5,3521.3,252.7,73,7.2
0.029077,426.3,56.0,2776.9,64.6,3471.2,299.3,420.7,2778.4,3516.3,253,73.6,7.6
0.031077,425.2,56.1,2785.3,64.5,3496.5,357.9,420.4,2782.4,3509.4,253.3,74.2,7.9
0.033077,424.1,59.4,2794.2,60.1,3512.8,415.1,419.9,2787.5,3500.8,253.6,74.7,8.1
0.035077,422.9,65.6,2802.3,52.0,3515.5,458.0,419.4,2793.6,3490.5,253.9,75.1,8.3
0.037077,421.6,73.0,2810.1,43.4,3507.5,487.0,418.8,2800.7,3478.8,254.1,75.5,8.5
0.039077,420.1,80.0,2819.1,35.9,3492.8,519.9,418.1,2808.6,3465.9,254.4,75.7,8.6
0.041077,418.3,84.6,2827.9,31.0,3477.1,566.7,417.3,2817.4,3452.1,254.6,75.9,8.6
0.043077,415.9,87.5,2836.4,28.0,3460.7,618.9,416.3,2826.8,3437.4,254.8,76.1,8.7
0.045077,413.0,90.2,2843.3,26.7,3448.1,636.4,415.2,2836.8,3422.3,255,76.2,9
0.047077,409.8,93.5,2848.1,26.9,3444.2,606.8,414,2847.2,3407,255.2,76.3,9.8
0.049077,406.2,97.2,2851.7,28.4,3446.3,552.9,412.7,2858.1,3391.6,255.3,76.3,11.1
0.051077,403.3,100.4,2854.5,31.3,3447.1,502.9,411.2,2869.2,3376.5,255.4,76.3,12.7
0.053077,401.1,102.7,2857.1,36.2,3441.9,462.7,409.6,2880.5,3362,255.4,76.3,14.2
0.055077,399.8,103.3,2860.4,44.0,3429.5,437.9,407.8,2891.8,3348.2,255.4,76.2,15.5
0.057077,398.9,102.5,2864.7,55.5,3413.6,427.4,405.9,2903.1,3335.4,255.4,76.2,16.4
0.059077,397.7,101.4,2871.3,72.5,3395.4,427.5,403.9,2914.2,3323.7,255.4,76.2,17.1
0.061077,396.1,101.6,2881.0,93.3,3375.4,436.7,401.8,2925,3313.4,255.3,76.2,17.5
0.063077,394.2,103.5,2897.2,118.5,3346.7,457.5,399.5,2935.5,3304.6,255.2,76.3,17.7
0.065077,392.3,107.1,2922.4,146.4,3304.6,496.1,397.1,2945.6,3297.3,255.1,76.3,17.7
0.067077,390.6,111.1,2959.8,171.5,3247.8,571.3,394.6,2955.2,3291.8,254.9,76.4,17.2
0.069077,388.8,114.7,3011.9,159.9,3175.2,751.4,392,2964.3,3287.9,254.7,76.5,16.3
0.071077,387.2,117.4,3040.4,113.5,3126.7,1019.9,389.3,2972.7,3285.8,254.5,76.6,15
0.073077,385.6,119.8,3048.7,84.1,3098.2,1265.2,386.6,2980.5,3285.3,254.2,76.7,13.6
0.075077,384.1,122.1,3047.8,74.1,3101.3,1357.2,383.8,2987.5,3286.5,253.9,76.8,12.5
0.077077,382.7,124.7,3042.7,73.9,3139.6,1312.1,380.9,2993.9,3289.3,253.6,76.8,11.9
0.079077,381.1,127.4,3036.0,75.6,3189.4,1230.6,378,2999.6,3293.6,253.3,76.9,11.7
0.081077,379.4,129.9,3030.6,74.7,3229.3,1194.8,375.2,3004.6,3299.2,253,76.9,11.7
0.083077,377.3,132.6,3027.1,70.2,3262.3,1230.1,372.3,3008.9,3306,252.7,76.9,11.8
0.085077,375.1,135.2,3024.7,63.8,3289.3,1332.7,369.4,3012.5,3313.7,252.3,77,11.8
0.087077,372.9,137.6,3021.7,58.0,3308.0,1458.7,366.7,3015.5,3322.3,251.9,77,11.8
0.089077,370.4,140.2,3016.9,53.9,3321.3,1565.8,363.9,3017.9,3331.5,251.5,77,11.7
0.091077,367.9,143.2,3011.1,52.2,3338.5,1617.6,361.3,3019.7,3341.1,251.2,77,11.6
0.093077,365.2,147.0,3004.5,52.5,3371.2,1635.8,358.7,3021,3350.9,250.8,76.9,11.5
0.095077,362.4,151.1,2998.4,54.1,3425.7,1656.4,356.3,3021.9,3360.8,250.4,76.9,11.5
0.097077,359.7,155.0,2994.0,55.9,3504.3,1656.2,354,3022.4,3370.4,249.9,76.9,11.6
0.099077,356.9,159.0,2991.3,57.5,3580.0,1529.1,351.9,3022.6,3379.7,249.5,76.9,12
0.101077,353.9,161.6,2990.8,59.1,3601.7,1322.3,349.9,3022.5,3388.5,249.1,76.9,12.4
0.103077,349.9,161.1,2991.2,61.7,3591.1,1149.0,348.1,3022.3,3396.6,248.7,77,12.8
0.105077,345.3,158.1,2991.1,67.4,3563.5,1051.2,346.4,3021.9,3404,248.3,77,13.2
0.107077,341.2,155.4,2990.0,78.0,3522.2,993.3,344.9,3021.5,3410.5,247.9,77.1,13.4
0.109077,337.9,154.6,2988.2,95.3,3474.5,931.3,343.6,3021.1,3416,247.4,77.1,13.5
0.111077,336.0,155.3,2987.8,116.8,3440.5,876.4,342.5,3020.7,3420.6,247,77.1,13.5
0.113077,335.5,156.3,2990.4,136.1,3426.7,854.7,341.5,3020.5,3424.2,246.6,77.2,13.5
0.115077,336.2,158.5,2995.7,149.5,3425.2,863.8,340.7,3020.3,3426.8,246.2,77.2,13.7
0.117077,337.7,161.5,3001.2,156.3,3424.8,899.0,340.1,3020.4,3428.4,245.7,77.2,14.1
0.119077,339.2,163.8,3008.2,161.2,3415.4,975.1,339.6,3020.7,3429.1,245.3,77.2,14.7
