time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025054,256.0,66.8,2700.6,227.9,3536.2,459.8,287.9,2701.4,3789.7,212.6,66.5,15.4
0.027054,257.2,67.1,2721.9,257.7,3591.8,518.6,287.9,2701.8,3789.9,212.9,67.1,16.6
0.029054,257.9,66.2,2756.2,292.2,3700.1,553.6,287.9,2702.5,3790.2,213.2,67.5,17.7
0.031054,257.3,62.8,2781.9,331.2,3797.1,539.3,287.9,2703.4,3790.5,213.5,67.9,18.6
0.033054,256.3,58.5,2784.9,361.6,3848.2,518.7,287.9,2704.6,3791,213.9,68.2,19.4
0.035054,256.0,56.1,2773.1,360.2,3859.3,505.3,287.9,2706,3791.5,214.3,68.4,20.1
0.037054,256.8,56.5,2755.7,320.7,3835.0,483.1,287.9,2707.7,3792.1,214.7,68.5,20.7
0.039054,258.6,59.5,2736.2,267.6,3798.9,436.6,288,2709.6,3792.7,215.2,68.6,21.1
0.041054,261.5,64.3,2716.7,222.3,3784.0,374.4,288,2711.7,3793.3,215.7,68.6,21.3
0.043054,265.3,69.6,2698.3,191.6,3791.5,326.1,288.1,2714,3793.9,216.2,68.6,21.5
0.045054,269.8,74.6,2683.7,169.1,3807.5,304.5,288.2,2716.5,3794.3,216.7,68.5,21.6
0.047054,274.7,79.3,2676.3,149.3,3824.0,310.1,288.3,2719.1,3794.7,217.3,68.3,21.6
0.049054,279.1,82.8,2676.3,136.6,3823.7,341.5,288.6,2721.9,3794.9,217.9,68.1,21.6
0.051054,283.4,85.9,2678.5,132.9,3789.2,376.9,288.8,2724.8,3795,218.5,67.8,21.5
0.053054,288.9,90.8,2678.8,133.6,3738.0,372.0,289.1,2727.7,3794.8,219.1,67.5,21.3
0.055054,297.0,98.7,2679.2,132.6,3713.0,334.1,289.5,2730.8,3794.3,219.7,67.1,20.8
0.057054,309.0,108.0,2685.5,127.0,3728.7,297.0,290,2733.9,3793.6,220.4,66.5,19.9
0.059054,322.7,114.4,2697.3,116.1,3768.2,274.7,290.6,2737.1,3792.5,221,65.9,18.5
0.061054,336.6,115.8,2707.3,102.1,3813.0,255.8,291.2,2740.2,3791,221.7,65.2,16.8
0.063054,348.8,112.4,2710.7,89.3,3849.2,230.3,292,2743.3,3789,222.4,64.5,15.1
0.065054,357.4,106.1,2709.9,79.6,3872.1,202.3,292.8,2746.4,3786.6,223.1,63.9,13.7
0.067054,360.9,100.7,2708.8,73.5,3883.6,179.5,293.8,2749.3,3783.7,223.7,63.5,12.8
0.069054,358.9,100.2,2709.1,72.1,3882.8,167.9,295,2752.2,3780.3,224.4,63.6,12.1
0.071054,352.9,105.1,2711.0,77.3,3870.8,169.3,296.2,2754.9,3776.2,225.1,63.9,11.6
0.073054,345.7,112.9,2713.9,92.2,3856.6,182.9,297.6,2757.5,3771.6,225.8,64.6,11.4
0.075054,339.4,120.6,2716.1,118.8,3855.9,202.2,299.1,2759.9,3766.3,226.5,65.4,11.6
0.077054,334.7,125.7,2714.9,155.5,3878.6,209.8,300.8,2762,3760.4,227.1,66.2,12.4
0.079054,331.6,126.7,2715.4,190.5,3905.0,194.4,302.6,2764,3753.8,227.8,66.9,13.9
0.081054,327.5,124.6,2737.6,223.9,3910.1,190.8,304.6,2765.6,3746.4,228.4,67.6,15.9
0.083054,320.9,121.1,2789.5,251.1,3888.7,225.1,306.7,2767,3738.4,229.1,68.1,18
0.085054,315.1,117.1,2837.8,257.1,3841.2,283.3,309,2768,3729.7,229.7,68.6,19.7
0.087054,312.3,114.4,2860.0,245.7,3770.0,324.6,311.5,2768.7,3720.2,230.4,68.9,20.7
0.089054,314.0,114.1,2861.9,231.1,3702.5,325.4,314.1,2769.1,3710,231,69.2,21.2
0.091054,318.2,114.6,2859.4,227.1,3655.5,309.4,316.9,2769,3699.1,231.7,69.3,21.4
0.093054,320.3,115.0,2860.6,244.1,3632.4,300.7,319.8,2768.6,3687.5,232.3,69.4,21.5
0.095054,319.5,115.0,2861.7,279.1,3619.0,306.8,322.9,2767.7,3675.1,233,69.4,21.5
0.097054,319.2,114.2,2850.7,315.0,3600.7,320.7,326.1,2766.4,3662.1,233.6,69.4,21.6
0.099054,321.6,113.9,2823.0,331.1,3574.8,328.6,329.5,2764.7,3648.5,234.2,69.4,21.6
0.101054,324.6,114.0,2789.5,333.5,3542.8,323.9,333,2762.5,3634.2,234.9,69.4,21.5
0.103054,324.1,113.6,2763.5,342.8,3506.0,300.1,336.6,2759.8,3619.3,235.5,69.4,21.5
0.105054,319.2,112.1,2744.5,363.3,3471.3,259.6,340.4,2756.6,3603.9,236.2,69.5,21.6
0.107054,313.7,109.3,2725.4,383.4,3447.0,220.3,344.2,2752.9,3587.9,236.8,69.6,22
0.109054,311.9,107.9,2708.0,396.5,3434.6,196.5,348.2,2748.7,3571.4,237.5,69.7,22.7
0.111054,314.3,109.1,2696.6,408.8,3428.8,188.8,352.3,2744,3554.6,238.1,69.8,23.6
0.113054,320.2,111.0,2694.5,427.0,3425.2,199.2,356.4,2738.8,3537.3,238.8,70,24.4
0.115054,326.9,111.4,2702.1,450.8,3420.1,232.3,360.7,2733,3519.7,239.4,70.1,24.9
0.117054,331.3,111.3,2713.4,462.8,3415.9,293.0,365,2726.7,3501.8,240.1,70.2,25
0.119054,332.8,112.4,2713.1,432.1,3425.2,357.1,369.3,2719.9,3483.6,240.7,70.2,24.7
0.121054,335.7,114.0,2697.3,359.9,3452.0,394.5,373.8,2712.6,3465.3,241.4,70.2,24
0.123054,343.6,115.1,2680.1,276.4,3481.7,402.0,378.2,2704.8,3446.9,242,70.2,23.4
0.125054,355.3,113.9,2672.5,211.3,3497.1,394.3,382.7,2696.5,3428.4,242.7,70.2,22.9
0.127054,366.6,111.5,2672.8,177.6,3488.9,382.9,387.1,2687.6,3409.9,243.3,70.1,22.7
0.129054,374.4,111.6,2674.6,176.0,3465.8,382.0,391.6,2678.3,3391.4,243.9,70.1,22.8
0.131054,380.4,113.5,2676.4,200.2,3439.0,397.1,396,2668.5,3373.1,244.6,70,23.1
0.133054,387.0,115.0,2680.4,250.7,3404.7,411.8,400.5,2658.2,3354.9,245.2,70,23.3
0.135054,395.4,114.7,2683.9,328.9,3352.8,386.7,404.9,2647.5,3337,245.8,69.8,23.4
0.137054,405.6,112.3,2667.6,402.6,3298.8,297.3,409.2,2636.3,3319.3,246.4,69.7,23.2
0.139054,415.7,108.3,2625.8,398.9,3271.1,205.0,413.5,2624.7,3301.9,247,69.5,22.7
0.141054,425.5,103.7,2580.6,345.7,3259.6,147.5,417.7,2612.6,3284.9,247.6,69.2,22.1
0.143054,434.8,99.0,2543.0,294.1,3256.7,119.5,421.9,2600.2,3268.3,248.1,69,21.3
0.145054,443.8,94.5,2515.3,259.4,3261.0,110.6,425.9,2587.4,3252.2,248.7,68.7,20.6
0.147054,451.8,90.5,2500.5,242.6,3273.0,116.8,429.9,2574.2,3236.6,249.2,68.5,20
0.149054,457.8,86.8,2501.0,239.4,3287.9,134.2,433.8,2560.7,3221.4,249.7,68.4,19.2
0.151054,462.7,82.2,2510.1,233.4,3297.5,155.1,437.6,2546.9,3206.9,250.2,68.3,18.5
0.153054,467.4,76.3,2515.6,211.5,3294.2,169.4,441.2,2532.7,3192.9,250.6,68.4,17.9
0.155054,471.5,70.8,2511.6,179.6,3275.1,176.2,444.8,2518.3,3179.5,251.1,68.6,17.5
0.157054,474.3,67.7,2503.4,156.5,3237.0,186.8,448.2,2503.6,3166.7,251.5,68.8,17.5
0.159054,474.8,68.5,2497.0,155.2,3183.5,202.5,451.5,2488.7,3154.6,251.9,69.2,17.9
0.161054,474.0,71.5,2491.2,169.6,3127.0,208.5,454.7,2473.6,3143.1,252.3,69.6,18.6
0.163054,472.6,75.0,2487.0,188.1,3089.2,199.9,457.8,2458.3,3132.3,252.7,70,19.4
0.165054,470.7,79.3,2488.8,208.3,3078.3,192.5,460.7,2442.8,3122.1,253,70.4,20.3
0.167054,467.5,85.7,2497.2,238.5,3085.7,196.5,463.5,2427.1,3112.6,253.3,70.7,21.2
0.169054,463.9,91.7,2501.4,273.5,3095.7,205.0,466.2,2411.4,3103.6,253.6,71.1,22.4
0.171054,462.5,95.2,2488.7,296.7,3098.4,203.1,468.7,2395.5,3095.4,253.9,71.4,23.8
0.173054,465.0,94.4,2455.0,293.6,3092.7,184.7,471.1,2379.5,3087.7,254.2,71.6,25
0.175054,471.2,88.3,2407.8,266.9,3081.9,157.7,473.4,2363.5,3080.6,254.4,71.8,26
0.177054,478.2,78.2,2356.9,229.3,3070.6,134.8,475.6,2347.4,3074.1,254.6,72,26.5
0.179054,482.9,70.4,2317.9,199.7,3064.7,127.4,477.7,2331.2,3068.1,254.8,72.1,26.6
0.181054,485.6,67.4,2293.1,183.2,3064.2,137.3,479.6,2315.1,3062.6,255,72.2,26.5
0.183054,486.9,68.1,2280.1,177.4,3064.1,166.1,481.5,2299,3057.6,255.2,72.3,26.2
0.185054,487.0,70.8,2276.8,179.4,3058.0,220.8,483.3,2282.8,3053,255.4,72.4,26
0.187054,486.1,74.1,2279.3,189.3,3039.9,304.6,484.9,2266.8,3048.8,255.5,72.5,26
0.189054,485.2,76.1,2278.7,203.2,3014.8,374.5,486.5,2250.7,3045,255.7,72.6,26
0.191054,485.3,76.3,2266.9,215.5,2994.7,393.9,487.9,2234.8,3041.6,255.8,72.7,26.1
0.193054,486.4,75.0,2242.0,220.9,2984.6,372.1,489.3,2218.9,3038.4,255.9,72.8,26.2
