time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025116,498.7,15.2,1922.0,36.6,2629.5,142.6,517.8,1890.4,2774.5,256.2,85,-1.6
0.027116,504.0,13.0,1932.5,37.2,2662.5,163.6,518,1891.6,2780.9,256.4,86.7,0.5
0.029116,508.8,13.5,1938.0,46.2,2702.8,202.4,518.4,1893.7,2791.2,256.5,88.1,3.7
0.031116,514.0,16.4,1936.2,68.6,2749.2,259.3,518.9,1896.7,2805.1,256.6,89.2,7.2
0.033116,519.7,22.1,1924.0,106.9,2808.5,318.4,519.6,1900.5,2822.2,256.8,90.2,10.2
0.035116,525.2,29.8,1899.2,147.1,2877.7,346.1,520.4,1905.4,2841.9,256.9,90.9,12.1
0.037116,530.6,38.3,1864.4,170.1,2949.3,327.0,521.3,1911.2,2863.5,257,91.4,13.4
0.039116,534.9,45.3,1835.5,171.1,3003.9,283.7,522.5,1918.1,2886.3,257.2,91.7,14.3
0.041116,537.6,49.7,1826.3,166.9,3034.9,253.9,523.7,1926,2909.4,257.3,91.9,15
0.043116,538.6,52.2,1845.7,167.1,3044.8,250.9,525.1,1935,2932.2,257.4,91.9,15.5
0.045116,538.6,53.2,1893.8,161.9,3039.9,262.0,526.7,1945,2953.9,257.6,91.8,16
0.047116,537.5,51.7,1959.1,133.7,3025.9,270.8,528.6,1955.9,2973.6,257.7,91.6,16.2
0.049116,535.1,46.3,2011.1,92.4,3007.3,281.9,530.6,1967.7,2990.8,257.9,91.4,16.3
0.051116,532.4,39.2,2038.8,61.2,2987.8,317.5,532.9,1980.1,3004.8,258.1,91.1,16.3
0.053116,531.3,33.8,2049.7,44.6,2979.4,394.5,535.6,1993,3015.2,258.2,90.8,16.5
0.055116,532.9,31.7,2053.2,36.7,3001.4,489.5,538.5,2006.3,3021.6,258.4,90.5,17
0.057116,536.4,32.1,2054.6,32.5,3048.8,549.3,541.9,2019.5,3023.8,258.6,90.3,17.8
0.059116,540.3,33.7,2055.9,31.4,3074.4,551.1,545.8,2032.5,3021.6,258.8,90.1,18.7
0.061116,544.0,35.7,2057.4,33.3,3050.0,515.4,550.2,2044.9,3015.1,259,89.9,19.6
0.063116,548.4,38.7,2058.9,37.3,2989.5,438.0,555.2,2056.5,3004.4,259.2,89.7,20.4
0.065116,554.3,43.7,2060.1,40.8,2928.8,332.5,560.7,2066.8,2989.8,259.4,89.5,21
0.067116,563.3,51.0,2061.1,42.2,2881.3,225.7,567,2075.7,2971.6,259.7,89.3,21.6
0.069116,575.3,58.5,2062.1,41.5,2850.8,148.9,573.9,2082.9,2950.5,259.9,89.1,22
0.071116,587.9,63.0,2063.5,40.7,2833.1,105.3,581.5,2088,2926.9,260.2,89,22.4
0.073116,598.0,65.1,2065.6,41.4,2823.5,85.9,589.8,2090.9,2901.4,260.5,88.9,22.6
0.075116,604.7,66.9,2067.9,43.8,2818.6,81.4,598.8,2091.5,2874.7,260.8,88.9,22.7
0.077116,609.7,69.5,2070.6,47.6,2816.1,85.7,608.5,2089.6,2847.5,261.1,88.8,22.6
0.079116,614.9,72.5,2073.3,51.9,2815.8,94.4,618.8,2085.3,2820.4,261.4,88.8,22.5
0.081116,622.2,75.8,2075.4,54.8,2816.4,102.5,629.7,2078.6,2794,261.8,88.7,22.2
0.083116,632.8,79.0,2076.3,55.5,2815.7,108.1,641,2069.6,2768.9,262.1,88.5,21.9
0.085116,646.1,81.5,2075.7,55.5,2812.1,113.5,652.7,2058.5,2745.6,262.5,88.3,21.5
0.087116,662.6,82.0,2072.4,56.2,2802.5,123.0,664.7,2045.6,2724.6,262.9,88.1,20.9
0.089116,679.8,80.3,2064.2,59.8,2784.7,138.5,676.8,2031.2,2706.1,263.2,87.8,20.3
0.091116,695.3,79.2,2048.1,69.1,2758.1,160.9,688.8,2015.6,2690.5,263.6,87.6,19.7
0.093116,707.7,79.7,2020.0,84.6,2721.8,186.7,700.7,1999.3,2677.7,264,87.3,19.1
0.095116,716.7,80.2,1980.8,98.5,2682.9,203.9,712.3,1982.7,2668,264.4,87,18.6
0.097116,724.2,79.4,1939.4,99.9,2650.7,213.0,723.4,1966.1,2661.1,264.8,86.7,18.2
0.099116,731.3,78.4,1914.9,89.7,2633.2,224.4,733.9,1950.1,2656.9,265.2,86.5,17.8
0.101116,738.5,78.4,1906.6,77.6,2630.6,234.7,743.6,1935,2655.3,265.5,86.2,17.5
0.103116,746.2,78.2,1903.9,66.2,2640.4,231.2,752.5,1921.2,2655.9,265.9,85.9,17.2
0.105116,754.3,76.1,1900.5,55.2,2654.1,215.6,760.4,1909,2658.3,266.2,85.6,17
0.107116,763.3,71.7,1895.8,44.3,2666.2,197.0,767.2,1898.7,2662.2,266.6,85.3,16.9
0.109116,772.3,66.4,1891.9,35.2,2673.4,183.4,772.9,1890.3,2667.1,266.9,85,16.8
0.111116,780.3,61.6,1890.4,29.1,2676.3,175.4,777.4,1884.1,2672.7,267.2,84.7,16.8
0.113116,787.6,57.8,1891.0,25.3,2676.5,168.9,780.8,1880,2678.6,267.4,84.4,16.8
0.115116,794.3,55.2,1892.6,22.6,2675.0,165.2,782.9,1878,2684.2,267.7,84.1,16.6
0.117116,800.2,54.5,1894.4,20.6,2672.0,169.3,783.9,1878,2689.4,267.9,83.9,16.4
0.119116,803.8,57.1,1895.9,19.4,2668.4,183.3,783.8,1879.6,2693.8,268,83.6,16.2
0.121116,802.9,64.2,1897.2,19.1,2666.8,204.5,782.6,1882.7,2697.2,268.2,83.5,16
0.123116,796.3,75.4,1898.1,19.5,2669.9,227.2,780.5,1886.8,2699.3,268.3,83.4,15.9
0.125116,784.5,88.4,1898.1,20.3,2675.7,245.2,777.7,1891.6,2700.1,268.3,83.3,16.1
0.127116,768.7,101.6,1897.4,21.0,2680.7,261.2,774.1,1896.8,2699.4,268.3,83.3,16.4
0.129116,752.2,112.1,1896.3,21.1,2682.9,281.0,769.9,1901.8,2697.3,268.3,83.3,16.9
0.131116,737.7,118.9,1895.7,21.0,2683.3,306.9,765.4,1906.3,2693.8,268.3,83.4,17.5
