time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025286,603.0,46.0,2065.8,54.8,2838.6,158.7,689.5,2072,2830.4,194.4,77.3,2.7
0.027286,607.3,50.6,2069.8,54.1,2855.1,162.1,689.9,2072.2,2831,194.4,77.4,4.4
0.029286,610.9,58.4,2074.5,54.1,2871.6,174.9,690.6,2072.4,2832.1,194.5,77.3,6.5
0.031286,616.1,69.1,2079.7,54.1,2885.7,188.1,691.6,2072.8,2833.6,194.5,77.2,8.8
0.033286,626.7,80.1,2084.0,53.5,2891.6,185.5,692.8,2073.2,2835.5,194.6,77.1,10.8
0.035286,643.1,87.9,2087.1,53.3,2891.8,171.1,694.3,2073.7,2837.8,194.7,76.8,12.2
0.037286,663.7,91.1,2088.6,54.7,2890.5,159.8,696.1,2074.3,2840.5,194.8,76.6,13.3
0.039286,682.9,89.8,2088.2,58.0,2888.6,159.7,698.1,2075,2843.5,194.9,76.4,14.3
0.041286,700.4,85.8,2086.2,62.8,2883.9,169.8,700.3,2075.6,2846.8,195,76.2,15.1
0.043286,715.2,80.7,2083.9,66.7,2870.3,185.6,702.8,2076.3,2850.3,195.2,76,15.8
0.045286,727.4,74.8,2081.9,68.1,2844.8,198.6,705.5,2077.1,2854.1,195.4,75.8,16.4
0.047286,737.9,67.5,2079.3,69.0,2812.2,203.2,708.4,2077.8,2858.1,195.5,75.7,17
0.049286,746.2,60.8,2075.9,72.1,2787.5,199.5,711.4,2078.4,2862.2,195.7,75.6,17.6
0.051286,753.5,55.5,2072.2,79.4,2771.6,191.8,714.7,2079,2866.5,195.9,75.4,17.9
0.053286,760.4,52.0,2069.8,89.3,2756.1,181.3,718,2079.6,2870.8,196.2,75.3,18.1
0.055286,766.8,48.7,2069.9,95.8,2737.5,171.3,721.5,2080,2875.1,196.4,75.2,17.9
0.057286,772.8,45.7,2074.4,96.0,2724.6,173.2,725.1,2080.4,2879.4,196.7,75.2,17.3
0.059286,777.7,43.8,2083.5,91.6,2732.4,201.8,728.8,2080.6,2883.7,197,75.1,16.4
0.061286,782.4,42.2,2094.2,83.4,2774.6,265.8,732.6,2080.7,2887.8,197.2,75.1,15.5
0.063286,786.9,39.4,2099.0,74.5,2850.6,332.3,736.4,2080.6,2891.8,197.6,75.1,14.9
0.065286,790.6,35.1,2094.9,72.6,2917.3,346.8,740.3,2080.3,2895.6,197.9,75.2,14.9
0.067286,793.3,30.6,2081.4,82.6,2956.9,320.6,744.1,2079.9,2899.2,198.2,75.3,15.5
0.069286,794.9,27.6,2059.1,105.3,2983.2,283.2,748,2079.2,2902.5,198.6,75.4,16.4
0.071286,795.8,26.9,2030.0,145.9,3006.8,241.2,751.8,2078.4,2905.6,198.9,75.5,17.3
0.073286,796.2,29.3,2014.4,206.7,3019.3,210.7,755.6,2077.3,2908.3,199.3,75.7,18.1
0.075286,797.0,33.6,2034.6,270.7,3019.0,207.0,759.3,2076.1,2910.7,199.7,75.9,18.5
0.077286,798.4,37.5,2078.7,307.6,3009.2,224.5,763,2074.6,2912.7,200,76.1,18.6
0.079286,800.0,39.7,2108.8,308.8,2988.8,249.4,766.5,2072.8,2914.4,200.4,76.3,18.5
0.081286,801.2,41.1,2115.8,298.6,2958.5,273.5,769.9,2070.9,2915.6,200.8,76.5,18.4
0.083286,801.7,43.1,2103.6,290.8,2932.8,286.6,773.2,2068.8,2916.4,201.2,76.7,18.3
0.085286,801.2,47.5,2078.7,284.6,2925.1,284.6,776.4,2066.4,2916.9,201.6,76.9,18.4
0.087286,799.7,55.6,2045.7,272.4,2930.7,267.2,779.4,2063.8,2916.9,202.1,77.1,18.5
0.089286,797.1,65.2,2018.4,256.6,2935.0,244.3,782.2,2061.1,2916.5,202.5,77.4,18.7
0.091286,793.5,74.9,2002.3,244.1,2933.7,219.3,784.9,2058.2,2915.7,202.9,77.6,18.9
0.093286,789.4,82.7,2001.0,236.0,2928.3,191.1,787.3,2055.1,2914.5,203.3,77.9,19.1
0.095286,785.7,90.5,2014.7,226.2,2917.5,167.8,789.6,2051.9,2913,203.7,78.2,19.3
0.097286,781.9,102.1,2036.0,210.3,2898.4,155.3,791.7,2048.6,2911,204.1,78.4,19.4
0.099286,777.0,115.1,2049.0,189.4,2874.4,149.8,793.6,2045.2,2908.8,204.6,78.7,19.6
0.101286,769.9,128.7,2053.4,163.1,2854.7,142.5,795.3,2041.6,2906.2,205,78.9,19.7
