time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025882,353.3,112.7,2416.1,247.5,2961.4,735.8,440.5,2428,2961,242.7,66.8,-14.3
0.027882,380.1,105.5,2442.9,262.2,2946.1,759.2,441.8,2427.7,2961.3,243,68.4,15
0.029882,406.1,104.1,2450.8,262.4,2943.2,695.5,443.8,2427.3,2961.7,243.3,69.7,22.4
0.031882,429.1,99.7,2444.7,263.0,2948.9,608.6,446.6,2426.6,2962.3,243.6,70.6,21
0.033882,447.1,91.8,2435.5,264.5,2957.1,539.0,450.2,2425.7,2963,243.8,71.2,15.5
0.035882,462.5,82.3,2433.8,260.0,2965.8,495.5,454.6,2424.7,2963.8,244.1,71.6,10.7
0.037882,475.7,73.4,2449.4,237.7,2979.3,486.3,459.6,2423.3,2964.7,244.3,71.8,10.4
0.039882,487.1,66.0,2474.3,198.8,2998.8,486.8,465.4,2421.8,2965.6,244.5,71.9,10.8
0.041882,497.0,61.2,2490.3,167.6,3010.2,472.2,471.8,2419.9,2966.5,244.7,72,11.1
0.043882,505.7,60.1,2490.3,159.5,3002.8,451.0,478.9,2417.8,2967.4,244.8,72.1,11.5
0.045882,513.8,63.0,2475.1,172.2,2981.4,434.5,486.5,2415.4,2968.2,244.9,72.3,11.9
0.047882,520.2,69.9,2448.5,201.4,2952.5,431.8,494.6,2412.6,2968.9,244.9,72.7,12.4
0.049882,524.6,80.4,2412.7,240.6,2919.0,439.8,503.2,2409.5,2969.4,244.9,73.2,13.2
0.051882,529.7,92.0,2363.5,263.2,2899.7,431.9,512.2,2406,2969.6,244.8,73.7,14.1
0.053882,539.0,99.8,2313.9,239.8,2917.0,391.1,521.6,2402.2,2969.6,244.6,74.2,14.9
0.055882,552.9,101.2,2283.1,194.9,2953.2,319.2,531.4,2397.9,2969.3,244.4,74.6,15.5
0.057882,565.3,99.1,2276.7,166.6,2978.2,252.8,541.4,2393.2,2968.6,244.1,74.8,15.8
0.059882,571.2,100.3,2284.9,164.4,2990.9,217.3,551.6,2388.1,2967.6,243.7,74.9,15.9
0.061882,569.9,106.2,2305.0,188.2,2994.4,212.8,561.9,2382.6,2966.1,243.2,74.8,15.7
0.063882,566.0,111.6,2340.4,227.3,2986.8,236.8,572.4,2376.6,2964.1,242.7,74.7,15.4
0.065882,567.6,114.0,2389.6,258.3,2967.2,294.6,583,2370.2,2961.6,242.1,74.5,15
0.067882,577.1,115.8,2417.9,263.4,2938.3,375.9,593.5,2363.3,2958.6,241.4,74.3,14.3
0.069882,590.6,120.8,2396.9,260.3,2906.8,449.4,604,2356,2955.1,240.7,74.2,13.1
0.071882,608.2,125.3,2341.9,239.3,2904.6,499.3,614.4,2348.3,2951,239.9,74.3,11.7
0.073882,629.5,121.6,2293.6,205.3,2942.8,528.3,624.7,2340.1,2946.4,239,74.4,10.3
0.075882,651.3,108.2,2265.3,189.5,2978.3,536.4,634.8,2331.6,2941.2,238.1,74.5,9.5
0.077882,667.3,92.6,2264.6,209.3,2981.4,562.9,644.8,2322.7,2935.5,237.2,74.8,9.3
0.079882,676.9,79.6,2297.6,258.2,2966.7,634.5,654.5,2313.4,2929.3,236.2,75,9.9
0.081882,681.8,68.5,2354.0,294.8,2959.8,725.8,663.9,2303.9,2922.6,235.2,75.2,10.9
0.083882,683.6,58.9,2385.8,299.3,2969.3,724.2,673,2294,2915.4,234.2,75.3,12.1
0.085882,683.6,55.1,2356.1,306.0,2965.3,584.0,681.9,2284,2907.8,233.2,75.5,13.1
0.087882,683.9,55.9,2290.5,300.2,2953.0,433.7,690.4,2273.7,2899.8,232.2,75.5,14
0.089882,685.4,58.7,2237.7,279.4,2941.6,340.3,698.5,2263.4,2891.5,231.1,75.5,14.9
0.091882,688.4,64.1,2222.0,276.8,2930.7,305.6,706.3,2252.9,2882.9,230.1,75.4,15.7
0.093882,693.4,72.0,2235.8,307.0,2918.5,317.3,713.7,2242.4,2874.1,229.1,75.3,16.4
0.095882,701.2,80.3,2259.2,371.3,2893.3,365.9,720.8,2231.8,2865.2,228.1,75.1,16.9
0.097882,710.6,86.8,2265.3,461.6,2842.7,427.7,727.5,2221.4,2856.2,227.2,74.8,16.9
0.099882,719.2,92.7,2244.7,547.2,2782.3,483.4,733.8,2211,2847.1,226.2,74.6,16.4
0.101882,726.1,97.8,2227.2,592.9,2739.2,567.1,739.7,2200.8,2838.1,225.3,74.3,15.6
0.103882,731.8,100.4,2218.7,616.7,2731.5,623.7,745.3,2190.9,2829.3,224.4,74,14.7
0.105882,737.6,100.0,2185.8,675.1,2749.5,529.4,750.4,2181.2,2820.6,223.5,73.8,14
0.107882,743.7,99.2,2139.5,743.4,2763.7,392.7,755.2,2171.8,2812.2,222.7,73.6,13.6
0.109882,750.1,99.8,2109.9,758.4,2768.5,319.5,759.7,2162.8,2804.2,221.9,73.5,13.3
0.111882,755.5,102.4,2106.0,739.8,2761.8,300.9,763.8,2154.1,2796.6,221.2,73.5,13.1
0.113882,759.0,108.8,2121.6,764.9,2744.3,304.3,767.6,2145.9,2789.4,220.4,73.7,13
0.115882,762.0,118.1,2155.4,864.7,2723.7,303.7,771,2138.2,2782.8,219.7,73.9,13.1
0.117882,765.6,124.9,2203.4,997.3,2714.1,297.7,774.2,2131,2776.8,219.1,74.2,13.3
0.119882,770.1,125.7,2242.7,1087.4,2721.4,299.1,777,2124.3,2771.5,218.4,74.5,13.8
0.121882,775.3,122.9,2238.4,1128.0,2744.7,304.9,779.5,2118.2,2766.8,217.8,74.8,14.4
0.123882,781.0,120.6,2178.6,1149.9,2775.5,298.5,781.7,2112.6,2762.9,217.2,75,15
0.125882,786.6,118.4,2087.3,1096.2,2803.1,278.4,783.7,2107.6,2759.7,216.7,75.1,15.6
0.127882,790.8,112.2,2037.4,900.4,2815.3,265.5,785.4,2103.1,2757.3,216.1,75.2,16
0.129882,795.2,103.0,2045.7,660.5,2814.9,272.6,786.8,2099.2,2755.7,215.6,75.2,16.4
0.131882,800.5,95.1,2067.5,481.6,2809.8,286.0,788,2095.9,2755,215.1,75.1,16.8
0.133882,806.8,87.4,2083.0,368.5,2802.0,291.0,788.9,2093.2,2755,214.6,75,17
0.135882,812.9,80.7,2092.5,318.5,2798.2,288.7,789.6,2090.9,2755.9,214.2,75,17.3
0.137882,817.4,77.2,2095.1,318.0,2798.5,289.9,790.1,2089.2,2757.6,213.8,75,17.4
0.139882,819.3,79.2,2086.9,353.9,2797.5,306.6,790.3,2087.9,2760.1,213.4,75.1,17.4
0.141882,818.1,87.9,2072.3,384.4,2793.7,350.5,790.4,2087.1,2763.3,213,75.2,17.3
0.143882,813.9,99.7,2067.5,355.2,2789.7,419.7,790.2,2086.7,2767.3,212.6,75.5,17.3
0.145882,807.3,111.4,2070.1,281.9,2790.9,474.5,789.9,2086.7,2771.9,212.3,75.8,17.4
0.147882,800.0,119.8,2072.1,216.2,2805.3,470.5,789.3,2087,2777.1,211.9,76.1,17.7
0.149882,793.4,123.7,2075.3,176.0,2828.1,429.0,788.6,2087.6,2783,211.6,76.4,18.3
0.151882,788.1,124.3,2080.3,160.9,2841.7,375.9,787.7,2088.4,2789.4,211.3,76.7,19
0.153882,783.9,124.6,2085.6,167.8,2838.2,329.5,786.7,2089.4,2796.2,211,76.9,19.7
0.155882,779.9,127.5,2090.4,196.4,2827.2,295.9,785.5,2090.6,2803.4,210.8,77.1,20.4
0.157882,775.7,133.7,2092.9,246.5,2821.6,279.0,784.1,2091.8,2811,210.5,77.3,21
0.159882,771.0,142.2,2085.9,311.7,2821.9,268.8,782.7,2093.1,2818.9,210.2,77.4,21.5
0.161882,765.9,152.7,2061.0,371.1,2820.9,251.7,781.1,2094.4,2826.9,210,77.5,22
0.163882,761.2,164.3,2029.0,399.9,2814.5,231.5,779.4,2095.7,2835,209.8,77.5,22.5
0.165882,757.8,177.1,2008.2,407.8,2803.7,222.3,777.6,2096.9,2843.3,209.5,77.6,22.9
0.167882,756.5,192.2,2007.7,423.8,2795.6,240.0,775.8,2097.9,2851.5,209.3,77.6,23.2
0.169882,756.8,207.7,2021.4,469.8,2792.6,289.7,773.9,2098.8,2859.6,209.1,77.7,23.3
0.171882,758.3,217.3,2042.4,555.7,2790.2,359.7,772,2099.4,2867.5,208.9,77.8,23.4
0.173882,760.5,218.3,2063.1,674.0,2784.2,415.6,770.1,2099.9,2875.3,208.7,77.9,23.5
0.175882,761.4,211.6,2070.3,762.7,2784.7,425.6,768.1,2100.1,2882.7,208.5,78.1,23.6
0.177882,759.1,201.1,2063.7,711.6,2804.9,408.4,766.3,2100,2889.9,208.3,78.3,23.8
0.179882,756.0,193.2,2067.3,603.3,2832.5,408.3,764.4,2099.6,2896.6,208.1,78.5,24
0.181882,755.0,190.1,2088.0,539.4,2857.2,439.3,762.7,2098.9,2902.9,207.9,78.7,24.3
0.183882,756.7,190.0,2122.4,534.9,2871.6,490.2,761,2097.8,2908.8,207.6,78.9,24.6
0.185882,760.9,193.5,2177.6,582.0,2872.4,554.8,759.5,2096.5,2914.1,207.4,79,24.8
0.187882,767.2,202.7,2253.6,637.9,2873.8,631.2,758.1,2094.8,2918.9,207.2,79.2,24.9
0.189882,774.5,218.3,2312.1,616.8,2912.7,691.0,756.9,2092.8,2923.1,207,79.3,24.9
0.191882,780.8,236.5,2310.1,543.4,2973.6,661.7,755.8,2090.5,2926.7,206.8,79.4,24.8
0.193882,783.9,248.4,2281.2,488.7,3007.9,613.5,755,2087.8,2929.8,206.5,79.5,24.7
0.195882,783.6,252.6,2251.1,463.8,3027.1,599.4,754.4,2084.9,2932.2,206.3,79.5,24.7
0.197882,781.3,257.1,2225.2,473.4,3043.0,603.9,754.1,2081.7,2934,206,79.6,24.9
0.199882,777.7,270.9,2191.1,513.6,3057.8,583.8,754,2078.2,2935.2,205.8,79.7,25.3
0.201882,771.3,294.1,2126.5,555.2,3063.7,504.5,754.2,2074.5,2935.8,205.5,79.8,25.8
0.203882,760.7,312.1,2036.8,537.9,3055.4,402.0,754.6,2070.5,2935.8,205.3,79.9,26.2
0.205882,747.2,311.7,1958.1,459.8,3033.8,323.5,755.4,2066.4,2935.3,205,80,26.4
0.207882,735.4,303.0,1917.3,393.2,3002.2,287.5,756.5,2062.1,2934.2,204.7,80.1,26.1
0.209882,725.3,303.9,1903.6,372.5,2963.5,285.0,757.8,2057.7,2932.6,204.4,80.3,25.4
0.211882,714.9,314.6,1903.0,382.4,2921.1,302.8,759.4,2053.2,2930.5,204.1,80.4,24.5
0.213882,704.8,322.1,1905.7,380.3,2886.3,324.3,761.4,2048.6,2927.9,203.8,80.5,23.5
0.215882,698.2,312.6,1909.5,336.3,2871.2,339.2,763.6,2043.9,2924.9,203.5,80.6,22.6
0.217882,702.3,285.4,1917.1,281.4,2875.5,341.6,766.1,2039.2,2921.6,203.2,80.6,22
0.219882,719.1,257.5,1931.0,262.4,2869.3,338.5,768.8,2034.5,2917.9,202.8,80.7,21.5
0.221882,745.3,240.4,1948.4,294.9,2835.4,343.6,771.8,2029.9,2913.9,202.5,80.7,21.1
0.223882,774.3,233.5,1964.3,378.9,2796.7,360.9,775,2025.3,2909.7,202.2,80.8,20.8
0.225882,805.2,235.1,1987.2,539.8,2778.4,404.5,778.4,2020.8,2905.2,201.8,80.8,20.6
0.227882,835.7,240.1,2040.2,805.1,2789.7,491.7,781.9,2016.4,2900.6,201.5,80.8,20.5
0.229882,860.7,238.9,2140.0,1117.2,2827.9,613.8,785.6,2012.1,2895.9,201.1,80.8,20.7
0.231882,869.1,228.7,2157.5,1197.0,2893.1,690.0,789.4,2008,2891.1,200.8,80.8,21
0.233882,860.6,214.7,2059.0,1001.5,2943.1,702.8,793.3,2004,2886.3,200.5,80.8,21.3
0.235882,845.4,201.1,2001.9,756.5,2967.1,709.4,797.2,2000.2,2881.5,200.1,80.8,21.5
0.237882,831.2,193.4,1985.2,582.0,2969.8,696.3,801.1,1996.5,2876.7,199.8,80.7,21.4
0.239882,820.4,189.2,1977.7,476.3,2950.2,683.0,805,1993.1,2872.1,199.4,80.6,21.2
0.241882,813.7,186.5,1971.6,432.6,2915.3,695.6,808.8,1989.9,2867.6,199.1,80.5,20.9
0.243882,810.8,188.0,1969.3,451.0,2872.5,686.4,812.5,1986.9,2863.3,198.8,80.4,20.6
0.245882,811.6,196.8,1972.0,539.7,2820.9,592.8,816.1,1984.1,2859.2,198.4,80.2,20.3
0.247882,817.0,211.9,1986.7,682.4,2785.8,482.2,819.5,1981.6,2855.3,198.1,80,20.1
0.249882,824.6,225.5,2011.8,831.6,2773.1,421.0,822.7,1979.2,2851.7,197.8,79.8,20
0.251882,830.0,233.3,2032.9,952.5,2778.4,418.0,825.6,1977.2,2848.4,197.5,79.5,20
0.253882,829.9,233.4,2032.9,983.4,2801.3,456.2,828.3,1975.3,2845.4,197.2,79.2,19.9
0.255882,822.0,218.6,1993.4,797.1,2836.9,478.7,830.7,1973.7,2842.8,196.9,78.9,19.7
0.257882,813.0,191.4,1957.4,522.0,2843.9,438.5,832.7,1972.4,2840.6,196.7,78.6,19.4
0.259882,810.0,166.9,1945.6,345.3,2830.0,373.1,834.4,1971.3,2838.7,196.4,78.2,18.8
0.261882,811.3,150.7,1949.4,262.6,2842.7,327.0,835.8,1970.4,2837.3,196.1,77.8,18.1
0.263882,812.9,140.2,1960.8,236.1,2881.4,298.6,836.7,1969.8,2836.2,195.9,77.4,17.4
0.265882,813.6,130.3,1978.8,247.6,2914.5,273.0,837.3,1969.4,2835.6,195.7,76.9,16.9
0.267882,815.0,122.4,2007.8,295.7,2913.9,259.9,837.5,1969.3,2835.4,195.5,76.4,16.7
