time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025408,485.3,41.1,2318.3,284.0,2793.2,242.4,507.7,2247.4,2749.2,243.9,72,8.6
0.027408,492.4,31.4,2352.6,320.4,2774.9,301.8,508.2,2246.3,2749.1,243.4,72.8,9.6
0.029408,496.6,26.7,2387.2,311.2,2762.2,387.6,509,2244.5,2748.8,242.8,73.3,10.5
0.031408,499.0,25.4,2395.3,287.3,2747.5,455.4,510.2,2242.1,2748.4,242.2,73.6,11.3
0.033408,499.4,26.8,2372.6,271.6,2744.2,450.6,511.7,2238.9,2748,241.6,73.8,12
0.035408,498.5,29.4,2334.4,244.6,2767.3,408.0,513.5,2235.1,2747.5,240.9,73.8,12.8
0.037408,497.1,32.3,2291.8,212.3,2794.0,363.0,515.6,2230.7,2746.9,240.1,73.7,13.6
0.039408,496.1,35.5,2252.6,189.0,2799.8,330.7,518.1,2225.7,2746.2,239.3,73.6,14.5
0.041408,495.0,41.0,2218.2,179.1,2783.8,308.5,520.8,2220.1,2745.5,238.5,73.6,15.3
0.043408,493.7,49.2,2188.7,186.5,2751.3,295.1,523.8,2214,2744.7,237.6,73.6,15.9
0.045408,493.5,60.5,2155.5,203.5,2713.9,279.3,527,2207.4,2744,236.7,73.5,16.2
0.047408,496.3,75.2,2117.0,219.3,2693.4,252.0,530.6,2200.3,2743.2,235.8,73.5,15.9
0.049408,503.1,90.3,2083.7,223.5,2700.2,212.9,534.3,2192.8,2742.5,234.8,73.5,15.3
0.051408,514.1,105.6,2065.3,212.6,2717.9,170.1,538.3,2185,2741.7,233.8,73.5,14.4
0.053408,528.1,118.4,2065.4,191.3,2732.6,143.3,542.5,2176.9,2741.1,232.8,73.5,13.7
0.055408,545.9,125.3,2069.8,169.0,2747.0,131.7,546.8,2168.5,2740.5,231.8,73.5,13.2
0.057408,566.4,122.8,2069.3,150.4,2765.7,135.9,551.4,2159.9,2740,230.8,73.4,13.2
0.059408,584.1,112.4,2062.5,134.2,2788.3,156.8,556.1,2151.1,2739.6,229.8,73.4,13.5
0.061408,598.9,99.1,2053.9,116.1,2815.4,193.4,560.9,2142.2,2739.3,228.7,73.4,13.8
0.063408,609.8,88.6,2050.1,101.6,2835.4,228.7,565.8,2133.3,2739.2,227.7,73.4,14.2
0.065408,618.2,80.4,2050.9,95.8,2828.1,254.2,570.8,2124.4,2739.2,226.7,73.4,14.3
0.067408,624.4,73.2,2054.5,99.8,2791.5,266.7,575.9,2115.5,2739.4,225.7,73.5,14.4
0.069408,627.8,67.6,2059.1,110.1,2752.4,275.2,581.1,2106.7,2739.8,224.7,73.7,14.3
0.071408,629.3,63.6,2064.5,121.4,2719.7,297.4,586.2,2098,2740.4,223.7,73.8,14.2
0.073408,630.4,61.9,2067.5,123.3,2696.1,335.9,591.5,2089.4,2741.3,222.8,74,14.1
0.075408,632.0,62.1,2065.9,116.1,2675.4,380.6,596.7,2081.1,2742.3,221.9,74.2,14
0.077408,634.9,62.8,2061.2,109.7,2654.0,405.2,601.8,2073.1,2743.6,221,74.3,13.9
0.079408,638.2,63.1,2057.0,111.1,2639.2,385.3,607,2065.3,2745.1,220.1,74.5,13.7
0.081408,640.8,64.6,2055.9,121.2,2638.2,338.4,612.1,2057.8,2746.9,219.2,74.6,13.6
0.083408,641.4,69.3,2059.5,136.9,2649.4,298.5,617.2,2050.6,2748.9,218.4,74.7,13.5
0.085408,640.2,77.0,2064.4,151.0,2664.3,268.4,622.1,2043.8,2751.1,217.6,74.8,13.6
0.087408,638.7,85.7,2065.7,158.3,2677.0,241.4,627,2037.4,2753.7,216.8,75,14
0.089408,638.6,92.7,2064.0,160.1,2687.0,217.5,631.8,2031.3,2756.4,216.1,75,14.7
0.091408,640.9,97.9,2060.9,160.6,2696.4,202.8,636.4,2025.6,2759.4,215.4,75.1,15.4
0.093408,645.4,101.3,2058.1,158.3,2706.2,208.0,641,2020.4,2762.6,214.7,75.1,16
0.095408,651.6,105.9,2056.6,149.4,2721.3,231.1,645.4,2015.5,2766,214,75,16.5
0.097408,658.6,114.8,2054.1,136.7,2741.1,257.0,649.7,2011,2769.7,213.4,74.9,16.6
0.099408,664.0,128.7,2048.3,130.1,2749.3,267.7,653.8,2006.8,2773.5,212.7,74.8,16.6
0.101408,666.8,148.8,2040.4,132.7,2737.3,272.6,657.8,2003,2777.5,212.1,74.7,16.5
0.103408,666.7,170.3,2034.8,140.8,2716.2,281.5,661.6,1999.6,2781.6,211.6,74.6,16.5
0.105408,665.3,187.4,2034.7,149.5,2704.2,302.2,665.3,1996.5,2785.9,211,74.7,16.8
0.107408,663.9,191.4,2040.5,154.7,2722.9,347.6,668.8,1993.7,2790.2,210.4,74.8,17.4
0.109408,662.4,179.0,2046.2,153.4,2781.2,398.7,672.2,1991.1,2794.7,209.9,75.1,18.2
0.111408,658.6,158.4,2043.9,153.8,2859.5,408.3,675.4,1988.9,2799.2,209.4,75.4,19.1
0.113408,653.0,144.3,2033.8,164.7,2906.0,368.3,678.5,1986.8,2803.8,208.9,75.7,19.9
0.115408,647.5,140.8,2021.6,179.7,2918.7,321.7,681.4,1984.9,2808.4,208.4,76,20.5
0.117408,643.0,146.4,2013.5,182.0,2921.5,287.1,684.2,1983.1,2812.9,207.9,76.3,20.7
0.119408,640.0,156.7,2010.4,173.7,2927.5,267.3,686.8,1981.4,2817.4,207.5,76.6,20.7
0.121408,638.7,169.7,2009.7,172.5,2938.1,255.0,689.4,1979.8,2821.9,207.1,76.8,20.6
0.123408,640.0,183.2,2010.0,187.3,2951.3,246.8,691.8,1978.2,2826.2,206.6,76.9,20.6
0.125408,643.8,192.6,2006.1,213.9,2966.5,243.3,694,1976.6,2830.4,206.2,77,20.6
0.127408,648.6,189.1,1987.6,236.3,2981.8,251.2,696.2,1975,2834.5,205.8,77.1,20.7
0.129408,652.7,175.5,1961.4,226.4,2987.4,269.1,698.3,1973.2,2838.4,205.4,77.2,21
0.131408,657.7,164.5,1946.5,187.6,2968.1,297.2,700.3,1971.4,2842.1,205,77.3,21.2
0.133408,664.4,163.0,1943.6,154.9,2917.4,324.7,702.2,1969.4,2845.5,204.7,77.5,21.5
0.135408,673.6,167.0,1940.2,136.3,2848.5,324.9,704,1967.1,2848.7,204.3,77.6,21.6
0.137408,685.5,175.3,1931.0,126.9,2786.7,286.7,705.8,1964.7,2851.7,204,77.8,21.6
0.139408,696.6,184.7,1915.9,123.5,2755.7,240.2,707.6,1962,2854.4,203.6,77.9,21.6
0.141408,705.0,192.3,1897.4,125.9,2756.5,207.0,709.3,1959.1,2856.7,203.3,78.1,21.5
0.143408,712.0,202.6,1885.7,131.3,2777.9,186.4,710.9,1955.8,2858.8,203,78.3,21.4
