time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025288,550.7,72.4,2045.9,55.7,2981.4,237.0,701.6,2071.3,2932.2,211.2,80.7,11.3
0.027288,587.1,62.3,2047.3,54.7,2981.2,191.8,701.9,2070.8,2932.4,211.2,80.7,10.9
0.029288,613.7,52.8,2050.2,52.4,2989.4,159.3,702.3,2070.1,2932.8,211.1,80.7,10.8
0.031288,630.0,45.9,2054.1,50.3,2997.8,141.2,703,2069,2933.3,211.1,80.8,11.3
0.033288,640.0,41.6,2057.4,48.1,3003.2,133.2,703.8,2067.6,2933.9,211.2,80.9,12
0.035288,646.7,39.6,2059.1,45.4,3005.6,131.9,704.8,2065.8,2934.6,211.2,81,12.7
0.037288,651.2,40.7,2059.3,42.8,3007.6,135.3,706,2063.8,2935.5,211.2,81,13.2
0.039288,654.5,45.4,2059.1,41.0,3011.7,140.9,707.4,2061.5,2936.5,211.2,80.9,13.4
0.041288,657.7,53.8,2058.9,39.8,3016.1,146.2,708.9,2058.9,2937.6,211.2,80.8,13.2
0.043288,661.8,66.5,2059.0,39.6,3017.9,155.0,710.6,2056.1,2938.9,211.3,80.6,12.8
0.045288,668.2,86.2,2059.0,41.1,3015.5,173.9,712.4,2052.9,2940.2,211.3,80.4,12.5
0.047288,678.9,115.1,2058.6,44.9,3008.1,210.2,714.3,2049.5,2941.7,211.3,80.1,12.5
0.049288,694.7,150.5,2057.5,51.2,2994.5,269.8,716.4,2045.9,2943.2,211.4,79.9,13.1
0.051288,712.4,184.4,2055.5,58.9,2972.8,352.5,718.6,2041.9,2944.8,211.5,79.7,14.2
0.053288,728.7,207.5,2052.8,66.4,2944.5,444.8,720.9,2037.8,2946.5,211.6,79.6,15.7
0.055288,744.4,215.6,2049.6,72.6,2917.6,523.8,723.2,2033.5,2948.3,211.7,79.5,17.3
0.057288,759.9,210.9,2046.1,78.0,2897.0,570.4,725.7,2028.9,2950.1,211.8,79.4,18.5
0.059288,772.9,199.9,2040.9,84.2,2876.0,574.7,728.2,2024.1,2952,211.9,79.3,19.1
0.061288,781.7,188.4,2032.7,90.9,2850.0,543.0,730.8,2019.2,2953.9,212.1,79.2,19.4
0.063288,787.0,178.4,2022.8,96.4,2826.8,498.7,733.3,2014.1,2955.8,212.2,79.1,19.3
0.065288,790.2,168.4,2014.2,99.7,2814.1,461.8,736,2008.8,2957.8,212.4,79,19.2
0.067288,792.8,154.9,2007.7,101.5,2809.4,432.2,738.6,2003.4,2959.7,212.6,78.9,19
0.069288,795.3,136.6,2001.7,102.0,2806.0,400.5,741.2,1997.8,2961.7,212.8,78.8,19
0.071288,797.5,117.2,1994.8,102.3,2804.4,364.5,743.8,1992.2,2963.7,213,78.7,19
0.073288,799.4,101.8,1986.2,104.2,2812.0,329.5,746.4,1986.4,2965.6,213.2,78.6,19
0.075288,801.0,93.1,1975.2,108.9,2833.9,300.4,748.9,1980.6,2967.5,213.4,78.4,19
0.077288,802.8,89.8,1961.2,114.0,2866.3,275.0,751.3,1974.7,2969.4,213.6,78.3,19
0.079288,805.0,88.5,1945.5,114.3,2901.0,250.0,753.7,1968.7,2971.2,213.9,78.1,19.1
