time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025288,309.6,146.4,2017.3,508.8,2416.1,1715.4,470.3,2029,2820.9,236.1,76,42.8
0.027288,307.2,145.0,2020.8,482.9,2513.2,1891.5,470.7,2029.1,2821.6,236.2,76,43.5
0.029288,304.9,143.6,2013.5,431.6,2724.9,2221.4,471.4,2029.4,2822.8,236.3,76.1,43.8
0.031288,307.4,145.0,1997.1,417.4,2617.2,2599.0,472.4,2029.7,2824.4,236.4,76.1,43.5
0.033288,317.1,149.3,1955.2,452.9,2742.7,1576.5,473.7,2030.1,2826.4,236.5,76.1,42.9
0.035288,318.0,153.6,1979.7,437.8,2892.9,998.5,475.2,2030.6,2828.9,236.6,76.2,41.7
0.037288,319.0,158.7,2041.2,402.9,2921.5,779.1,477,2031.2,2831.8,236.6,76.4,39.5
0.039288,343.2,170.3,2064.0,366.2,2900.5,646.0,479.1,2031.9,2835.2,236.6,76.6,35.9
0.041288,392.0,168.7,2062.0,331.0,2866.9,515.2,481.4,2032.6,2839,236.6,76.9,30
0.043288,438.8,140.6,2046.7,295.0,2836.6,397.9,484,2033.4,2843.1,236.6,77.2,23.1
0.045288,473.1,108.3,2025.7,255.6,2816.3,303.0,486.8,2034.3,2847.7,236.5,77.5,16.3
0.047288,497.7,85.2,2004.7,217.8,2813.4,238.2,489.9,2035.3,2852.6,236.5,77.7,10.8
0.049288,515.0,74.1,1990.0,192.2,2836.1,207.3,493.2,2036.3,2857.8,236.4,77.7,7.7
0.051288,529.7,72.0,1982.9,179.3,2889.7,191.3,496.7,2037.3,2863.4,236.2,77.7,6.5
0.053288,542.9,77.5,1984.3,182.2,2948.5,172.2,500.5,2038.5,2869.3,236.1,77.6,6.6
0.055288,557.1,88.4,1995.4,201.5,2985.3,152.5,504.4,2039.6,2875.5,235.9,77.4,7.3
0.057288,574.6,100.1,2016.4,226.2,3000.3,139.4,508.6,2040.8,2882,235.7,77.1,8.4
0.059288,592.6,106.9,2038.5,238.5,3005.1,131.8,512.9,2042,2888.7,235.5,76.9,9.4
0.061288,609.6,109.9,2057.0,238.6,3007.4,125.4,517.4,2043.3,2895.7,235.3,76.8,10.9
0.063288,622.0,109.2,2069.6,234.0,3008.6,119.2,522,2044.5,2902.8,235,76.6,12.9
0.065288,629.8,105.3,2078.0,229.7,3009.3,113.3,526.8,2045.8,2910.1,234.8,76.5,14.9
0.067288,634.1,99.1,2082.7,223.7,3010.4,107.2,531.8,2047.1,2917.6,234.5,76.5,16.6
0.069288,637.0,92.6,2083.5,211.9,3012.1,100.1,536.9,2048.3,2925.2,234.2,76.4,17.8
0.071288,640.6,86.1,2081.6,193.4,3013.7,90.9,542,2049.6,2933,234,76.2,18.5
0.073288,644.7,80.3,2079.1,174.7,3015.0,82.5,547.3,2050.8,2940.7,233.7,76.1,18.9
0.075288,648.9,74.8,2077.3,158.3,3016.1,76.8,552.7,2052,2948.6,233.5,76,19.2
0.077288,652.6,69.2,2076.6,145.2,3017.0,75.0,558.1,2053.2,2956.5,233.2,76,19.5
0.079288,655.4,64.3,2076.5,137.8,3017.2,77.3,563.6,2054.3,2964.3,232.9,75.9,19.7
0.081288,657.8,60.5,2076.6,137.3,3016.9,83.2,569.2,2055.4,2972.2,232.7,75.9,20
0.083288,659.4,58.5,2077.0,146.0,3017.5,92.0,574.7,2056.4,2979.9,232.4,76,20.1
0.085288,659.8,58.1,2078.8,165.7,3020.4,103.0,580.3,2057.4,2987.6,232.2,76.1,20.2
0.087288,659.6,58.6,2083.5,195.2,3025.1,112.9,585.9,2058.3,2995.2,232,76.2,20.3
0.089288,659.9,59.1,2090.5,224.3,3028.5,117.7,591.5,2059.1,3002.7,231.7,76.3,20.4
0.091288,661.2,59.3,2097.3,248.6,3030.1,119.7,597.1,2059.9,3010,231.5,76.4,20.3
0.093288,662.7,58.8,2098.9,266.6,3029.7,122.1,602.6,2060.5,3017.1,231.3,76.5,20.2
0.095288,663.9,57.7,2093.7,281.5,3026.2,125.8,608.1,2061.1,3024.1,231.1,76.6,20.2
0.097288,664.4,56.4,2084.4,295.2,3018.5,130.1,613.5,2061.6,3030.8,230.9,76.6,20.3
0.099288,664.5,55.5,2078.2,303.9,3011.0,133.4,618.9,2062.1,3037.3,230.7,76.7,20.6
0.101288,664.7,55.0,2079.3,301.9,3009.7,135.4,624.1,2062.4,3043.5,230.5,76.7,21.2
0.103288,665.3,54.8,2085.4,290.2,3016.2,137.0,629.3,2062.6,3049.4,230.3,76.7,21.9
0.105288,666.1,54.5,2090.8,276.5,3025.4,138.6,634.3,2062.7,3055,230.1,76.7,22.6
0.107288,666.8,53.8,2092.6,266.7,3031.7,141.1,639.3,2062.8,3060.3,229.9,76.7,23.2
0.109288,667.2,52.6,2090.4,263.1,3031.6,145.9,644.1,2062.7,3065.3,229.7,76.7,23.5
0.111288,667.2,51.2,2084.7,264.3,3026.2,153.3,648.7,2062.5,3069.9,229.5,76.7,23.7
0.113288,666.8,49.9,2076.4,270.3,3022.7,158.2,653.2,2062.2,3074.2,229.3,76.6,23.7
0.115288,666.2,48.7,2064.7,279.3,3028.3,154.5,657.5,2061.8,3078,229.1,76.6,23.6
0.117288,665.6,47.7,2047.5,287.8,3042.1,141.9,661.7,2061.4,3081.5,228.9,76.6,23.6
0.119288,665.2,47.2,2028.2,289.7,3056.5,129.5,665.7,2060.8,3084.7,228.7,76.5,23.5
0.121288,664.9,47.1,2011.1,281.2,3069.7,123.1,669.4,2060.1,3087.4,228.5,76.5,23.5
0.123288,664.6,47.1,2001.9,265.0,3081.1,122.9,673,2059.3,3089.7,228.3,76.5,23.4
0.125288,664.0,47.1,2000.7,245.0,3090.4,122.7,676.4,2058.5,3091.6,228.1,76.4,23.4
0.127288,663.3,47.1,2006.3,225.5,3094.6,119.0,679.6,2057.5,3093.1,227.8,76.4,23.5
