time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025200,526.4,100.9,2113.2,182.4,3040.6,116.9,554.2,2167.3,3038.6,175.1,76.1,12.1
0.027200,522.4,107.4,2104.0,176.3,3030.5,115.2,554.7,2168.7,3039.2,175,75.7,13.2
0.029200,522.3,113.2,2103.9,171.4,3031.2,114.4,555.6,2170.9,3040.3,174.8,75.5,13.2
0.031200,526.8,114.0,2114.5,169.3,3039.7,116.2,556.9,2174.1,3041.8,174.6,75.6,12.9
0.033200,533.4,107.3,2133.2,169.4,3049.5,119.6,558.6,2178.1,3043.8,174.5,75.9,12.4
0.035200,540.1,96.9,2157.7,169.5,3055.6,124.9,560.6,2182.9,3046.1,174.2,76.4,11.6
0.037200,546.1,88.2,2180.5,167.3,3055.2,130.6,563,2188.5,3048.8,174,77,10.9
0.039200,552.2,81.3,2199.2,161.6,3050.5,134.4,565.7,2194.9,3051.9,173.8,77.7,10.1
0.041200,557.4,75.5,2213.9,153.2,3047.7,134.1,568.7,2202,3055.3,173.5,78.2,9
0.043200,560.7,71.8,2228.0,144.6,3050.2,131.5,572.1,2209.7,3059,173.3,78.6,7.9
0.045200,562.5,71.1,2244.8,136.4,3056.6,130.2,575.8,2217.9,3062.9,173,78.8,6.9
0.047200,564.3,74.5,2261.2,130.3,3063.8,132.3,579.7,2226.7,3067.1,172.7,78.8,6.3
0.049200,568.6,82.0,2274.8,127.4,3070.4,137.0,584,2235.9,3071.4,172.4,78.7,5.9
0.051200,577.2,93.9,2285.7,128.6,3077.3,141.6,588.6,2245.5,3075.9,172.1,78.4,5.8
0.053200,590.4,110.3,2297.1,131.7,3085.7,144.3,593.4,2255.4,3080.4,171.7,78,5.8
0.055200,610.1,129.9,2311.4,134.3,3094.7,146.5,598.4,2265.5,3085.1,171.4,77.6,6
0.057200,633.3,145.0,2325.1,134.7,3100.8,149.8,603.7,2275.7,3089.7,171.1,77.4,6.3
0.059200,655.5,152.1,2335.8,131.3,3104.7,154.0,609.3,2286,3094.3,170.7,77.2,6.9
0.061200,670.9,152.3,2342.6,123.2,3108.7,158.6,615,2296.3,3098.9,170.4,77.2,7.6
0.063200,680.2,149.9,2346.3,112.2,3113.9,163.8,620.9,2306.5,3103.2,170,77.3,8.4
0.065200,686.8,146.7,2348.0,101.4,3119.8,166.5,627,2316.4,3107.5,169.7,77.5,9.2
0.067200,691.0,142.1,2348.1,94.5,3124.3,160.5,633.3,2326.1,3111.5,169.3,77.9,10
0.069200,693.1,136.6,2347.7,91.1,3126.1,146.6,639.7,2335.5,3115.2,169,78.2,10.8
0.071200,693.4,132.2,2347.9,90.5,3124.3,132.3,646.2,2344.5,3118.6,168.6,78.7,11.6
0.073200,692.9,128.6,2349.9,91.3,3120.0,122.4,652.9,2352.9,3121.7,168.3,79.1,12.4
0.075200,692.4,123.8,2354.4,93.0,3114.6,115.7,659.6,2360.8,3124.4,167.9,79.5,13
0.077200,691.7,116.8,2360.0,94.1,3110.3,110.6,666.5,2368.1,3126.6,167.6,79.9,13.4
0.079200,691.3,107.9,2364.9,93.7,3107.6,105.2,673.4,2374.7,3128.4,167.2,80.2,13.5
0.081200,692.2,100.8,2368.6,93.9,3106.4,100.8,680.5,2380.6,3129.7,166.9,80.4,13.4
0.083200,694.2,97.8,2372.4,96.8,3107.3,98.8,687.5,2385.7,3130.4,166.6,80.7,13.1
0.085200,696.5,98.6,2377.5,103.2,3110.5,99.8,694.6,2389.9,3130.6,166.2,80.8,12.7
0.087200,698.5,102.5,2383.2,112.5,3114.4,103.4,701.8,2393.3,3130.2,165.9,80.9,12.2
0.089200,700.1,108.0,2387.6,123.0,3117.0,108.9,709,2395.8,3129.1,165.6,81,11.4
0.091200,701.0,113.6,2387.7,130.6,3116.7,116.7,716.2,2397.4,3127.5,165.2,81.1,10.4
0.093200,701.5,120.3,2383.3,134.2,3113.7,128.6,723.4,2398,3125.2,164.9,81.1,9.3
0.095200,702.7,128.6,2376.7,135.2,3109.7,143.5,730.7,2397.7,3122.2,164.6,81,8.3
0.097200,704.6,135.9,2369.7,134.5,3108.5,153.3,738,2396.4,3118.6,164.3,81,7.6
0.099200,707.2,142.6,2361.8,134.0,3112.1,154.6,745.2,2394.1,3114.3,164,80.8,7.3
0.101200,710.6,149.4,2354.7,135.7,3118.5,150.2,752.5,2390.8,3109.4,163.7,80.7,7.3
0.103200,714.8,156.1,2350.6,140.1,3124.0,145.9,759.8,2386.6,3103.8,163.4,80.4,7.4
0.105200,720.4,164.9,2349.2,148.2,3126.0,144.4,767.1,2381.5,3097.5,163.1,80.2,7.5
0.107200,727.7,176.4,2348.5,159.8,3122.9,145.0,774.5,2375.4,3090.5,162.8,79.8,7.4
0.109200,737.9,190.2,2347.2,175.5,3115.0,146.1,781.8,2368.4,3082.9,162.5,79.5,7
0.111200,751.6,205.5,2345.5,195.5,3104.0,148.0,789.2,2360.5,3074.7,162.2,79.2,6.4
0.113200,768.0,221.4,2344.6,215.9,3092.2,151.0,796.6,2351.8,3065.9,161.9,78.8,5.7
0.115200,786.4,233.6,2344.9,227.2,3079.0,154.8,804,2342.3,3056.5,161.6,78.5,5.3
0.117200,804.6,240.0,2345.0,226.3,3062.8,159.6,811.5,2332,3046.5,161.4,78.3,5.3
0.119200,823.9,248.0,2343.1,222.0,3042.5,163.2,819,2321,3036,161.1,78.1,5.8
0.121200,841.9,257.0,2337.1,219.0,3023.8,162.2,826.6,2309.3,3025,160.8,78,6.9
0.123200,855.4,262.2,2325.9,217.5,3009.5,159.1,834.3,2297,3013.5,160.6,77.9,8
0.125200,865.5,265.0,2309.8,219.0,2996.4,157.3,842,2284.2,3001.6,160.3,77.8,9
0.127200,872.3,266.3,2292.6,225.6,2982.9,156.5,849.8,2270.8,2989.3,160.1,77.8,9.5
0.129200,878.2,266.9,2273.9,239.9,2966.1,154.0,857.7,2256.9,2976.6,159.9,77.8,9.3
0.131200,884.0,268.8,2254.0,260.2,2947.2,148.8,865.7,2242.6,2963.5,159.6,77.8,8.6
0.133200,889.4,272.7,2236.7,277.9,2931.7,144.1,873.8,2228,2950.2,159.4,77.8,7.8
0.135200,895.1,278.6,2223.4,289.1,2921.2,144.9,882,2213.1,2936.6,159.2,77.7,7.1
0.137200,900.8,286.8,2212.0,295.4,2913.8,152.4,890.4,2197.9,2922.8,159,77.6,6.8
0.139200,904.4,294.6,2197.6,299.7,2904.2,161.5,898.8,2182.5,2908.8,158.8,77.5,7.2
0.141200,903.1,296.0,2179.2,300.7,2888.6,164.5,907.4,2167,2894.7,158.7,77.4,8
0.143200,898.7,294.1,2159.1,297.6,2866.8,161.3,916.2,2151.3,2880.5,158.5,77.2,8.9
0.145200,896.1,299.8,2137.6,294.7,2841.2,155.3,925,2135.6,2866.2,158.4,77,9.8
0.147200,899.3,322.7,2115.2,297.9,2820.6,149.9,934.1,2119.9,2851.9,158.3,76.8,10.5
0.149200,909.4,368.7,2089.6,310.4,2806.6,147.0,943.2,2104.2,2837.6,158.1,76.6,11
0.151200,926.8,431.3,2066.2,333.1,2798.3,149.0,952.5,2088.6,2823.4,158,76.4,11.3
0.153200,953.1,496.0,2051.2,367.5,2793.6,157.5,962,2073.1,2809.3,157.9,76.2,11.5
0.155200,996.3,562.0,2046.2,421.2,2791.4,174.1,971.5,2057.8,2795.3,157.9,76,11.7
0.157200,1048.5,607.8,2048.9,480.6,2789.7,192.8,981.2,2042.6,2781.4,157.8,75.9,12
0.159200,1084.2,610.8,2045.7,513.8,2785.0,203.2,991,2027.6,2767.8,157.7,75.8,12.4
0.161200,1086.0,579.1,2023.3,501.2,2775.6,200.6,1000.9,2012.9,2754.3,157.7,75.8,12.7
0.163200,1069.8,540.6,1991.0,465.8,2762.4,194.4,1010.9,1998.4,2741.1,157.6,75.9,13.1
0.165200,1050.5,509.5,1964.4,428.8,2746.9,191.9,1021,1984.1,2728.2,157.6,76.1,13.5
0.167200,1034.8,492.7,1951.8,401.0,2732.7,194.0,1031.1,1970.2,2715.6,157.6,76.3,14
0.169200,1025.7,493.1,1947.3,385.9,2719.9,199.9,1041.2,1956.5,2703.3,157.6,76.5,14.6
0.171200,1026.0,504.9,1941.9,383.0,2708.5,205.1,1051.4,1943.2,2691.4,157.6,76.7,15.3
0.173200,1034.3,517.6,1931.2,385.5,2698.6,208.1,1061.6,1930.2,2679.8,157.6,77,16.1
0.175200,1048.6,530.2,1916.2,389.7,2689.8,212.1,1071.7,1917.5,2668.5,157.6,77.1,16.6
0.177200,1064.6,543.2,1903.2,394.2,2681.1,217.4,1081.8,1905.1,2657.7,157.6,77.3,17
0.179200,1077.4,547.9,1892.0,390.0,2668.3,219.4,1091.7,1893,2647.2,157.6,77.5,16.8
0.181200,1082.0,535.7,1880.4,370.0,2650.2,214.4,1101.6,1881.3,2637.2,157.6,77.7,16.3
0.183200,1082.8,519.0,1870.0,348.8,2631.0,207.1,1111.3,1869.9,2627.6,157.6,78,15.7
0.185200,1087.4,516.7,1862.1,343.0,2613.9,203.6,1120.8,1858.8,2618.4,157.6,78.3,15.3
0.187200,1100.0,539.8,1856.6,359.3,2600.9,206.5,1130.1,1848,2609.7,157.6,78.6,15.3
0.189200,1119.6,583.5,1850.1,391.1,2589.7,212.2,1139.1,1837.5,2601.4,157.6,78.9,15.9
0.191200,1139.7,630.4,1841.4,424.0,2580.1,216.2,1147.8,1827.3,2593.5,157.6,79.1,16.9
0.193200,1158.1,672.4,1831.0,453.1,2571.5,218.7,1156.2,1817.4,2586,157.6,79.4,18.1
0.195200,1177.7,713.9,1817.2,481.3,2563.1,219.9,1164.2,1807.8,2579,157.6,79.6,19.2
0.197200,1193.5,743.6,1802.9,500.0,2557.0,218.1,1171.8,1798.5,2572.4,157.6,79.8,20.1
0.199200,1202.6,753.5,1791.7,506.0,2553.5,214.5,1179,1789.5,2566.3,157.6,80,20.7
0.201200,1208.5,750.6,1783.9,505.4,2551.9,211.0,1185.7,1780.7,2560.5,157.6,80.1,21.1
0.203200,1214.3,750.7,1776.4,505.7,2549.9,207.0,1191.8,1772.1,2555.2,157.5,80.2,21.4
0.205200,1218.7,757.1,1767.9,508.4,2546.5,202.1,1197.5,1763.8,2550.3,157.5,80.2,21.6
0.207200,1221.6,767.6,1758.5,512.0,2542.3,196.9,1202.5,1755.8,2545.8,157.4,80.3,21.6
0.209200,1223.4,779.1,1747.1,510.6,2537.6,189.2,1206.9,1747.9,2541.6,157.4,80.3,21.4
0.211200,1219.3,781.5,1737.0,497.5,2533.6,178.4,1210.7,1740.3,2537.9,157.3,80.4,20.8
0.213200,1211.7,774.7,1729.9,479.3,2530.5,168.5,1213.9,1732.9,2534.5,157.3,80.4,20.1
0.215200,1208.6,772.5,1721.9,464.9,2527.2,161.9,1216.3,1725.8,2531.4,157.2,80.4,19.6
0.217200,1212.3,779.5,1712.4,457.9,2524.2,158.7,1218,1718.8,2528.7,157.1,80.4,19.4
0.219200,1220.0,790.9,1702.3,454.9,2521.6,158.4,1219,1712.1,2526.4,157,80.5,19.9
0.221200,1226.6,805.5,1692.0,450.1,2519.4,158.8,1219.3,1705.5,2524.3,157,80.5,20.8
0.223200,1225.5,817.0,1683.9,438.3,2517.2,156.0,1218.8,1699.2,2522.5,156.9,80.5,21.9
0.225200,1213.9,812.9,1680.4,420.1,2514.8,150.0,1217.5,1693,2521.1,156.7,80.5,22.6
0.227200,1199.3,795.6,1679.9,400.5,2513.0,144.2,1215.5,1687.1,2519.9,156.6,80.5,22.6
0.229200,1187.3,775.6,1678.5,379.3,2512.7,141.1,1212.6,1681.3,2519,156.5,80.5,21.5
0.231200,1179.4,755.7,1675.5,358.1,2515.2,144.3,1209.1,1675.8,2518.3,156.4,80.5,19.6
0.233200,1174.8,740.9,1671.6,338.7,2520.0,154.2,1204.7,1670.4,2517.9,156.3,80.4,17.4
0.235200,1170.3,738.3,1665.8,318.8,2525.0,165.6,1199.7,1665.3,2517.6,156.1,80.4,15.6
0.237200,1161.1,743.7,1659.1,297.9,2529.2,169.6,1193.9,1660.4,2517.6,156,80.3,14.6
0.239200,1147.1,748.8,1652.4,276.4,2532.5,165.3,1187.3,1655.6,2517.8,155.8,80.3,14.9
0.241200,1135.8,757.6,1645.8,260.0,2533.2,156.5,1180.1,1651.1,2518.1,155.7,80.2,16.2
0.243200,1130.0,770.8,1639.7,249.9,2532.3,147.9,1172.3,1646.8,2518.7,155.5,80.1,17.7
0.245200,1126.0,779.8,1634.5,242.2,2532.8,140.3,1163.8,1642.6,2519.3,155.4,80.1,19
0.247200,1123.0,777.3,1630.2,234.3,2535.0,132.8,1154.7,1638.7,2520.1,155.2,79.9,19.4
0.249200,1122.5,763.4,1625.8,226.4,2537.6,124.4,1145.1,1635,2521.1,155,79.8,18.8
0.251200,1126.1,738.0,1621.4,220.5,2540.6,117.0,1135,1631.5,2522.1,154.9,79.7,17.4
0.253200,1130.7,705.0,1617.9,215.0,2543.9,111.8,1124.4,1628.2,2523.2,154.7,79.6,15.7
0.255200,1131.5,666.7,1615.0,207.6,2545.2,108.9,1113.4,1625.1,2524.5,154.6,79.5,14.1
0.257200,1128.4,632.7,1612.6,202.2,2542.1,110.4,1102.1,1622.2,2525.8,154.4,79.4,13.1
0.259200,1124.7,604.9,1612.0,200.1,2535.0,117.5,1090.4,1619.5,2527.1,154.2,79.4,12.8
0.261200,1120.5,571.6,1617.3,196.3,2527.3,124.3,1078.6,1616.9,2528.5,154.1,79.5,12.8
0.263200,1113.6,525.2,1628.2,187.9,2522.2,124.0,1066.5,1614.6,2530,153.9,79.6,13.1
0.265200,1103.5,479.9,1639.5,176.3,2519.0,118.0,1054.4,1612.4,2531.5,153.8,79.7,13.3
0.267200,1090.9,455.8,1645.6,165.3,2515.5,111.9,1042.1,1610.5,2533,153.6,79.8,13.2
0.269200,1077.0,448.0,1646.8,157.5,2512.0,110.3,1029.9,1608.7,2534.5,153.5,79.9,12.7
0.271200,1062.5,444.2,1645.4,153.8,2510.4,114.5,1017.8,1607,2536,153.3,79.9,11.9
