time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025467,534.5,49.8,2158.0,108.7,3015.4,259.1,524.6,2165.4,3059.6,252.6,74.2,9
0.027467,531.5,49.5,2166.6,120.0,3003.1,294.8,525.8,2165.2,3057.3,251.7,74.6,9.1
0.029467,526.1,51.5,2175.6,129.3,3008.8,336.8,527.8,2164.9,3053.5,250.7,74.8,8.9
0.031467,519.7,54.1,2181.9,128.2,3029.6,365.9,530.5,2164.4,3048.4,249.7,74.9,8.7
0.033467,514.4,55.7,2182.2,118.1,3050.3,361.1,533.9,2163.8,3042,248.7,75,8.6
0.035467,513.1,55.5,2177.8,107.0,3061.6,329.6,538.1,2163.1,3034.3,247.5,75,9.1
0.037467,515.8,54.8,2172.3,103.8,3065.8,300.7,542.9,2162.4,3025.6,246.4,75,10.1
0.039467,520.9,56.6,2166.9,114.7,3057.2,287.0,548.2,2161.5,3016.1,245.2,74.9,11.3
0.041467,528.0,63.1,2160.5,142.7,3030.1,281.1,554.2,2160.6,3005.8,244,74.6,12.5
0.043467,539.7,76.6,2148.3,191.9,2987.8,269.4,560.6,2159.6,2994.9,242.8,74.3,13.2
0.045467,559.0,97.1,2126.3,252.9,2947.1,248.7,567.5,2158.5,2983.7,241.6,73.8,13.2
0.047467,588.7,120.3,2098.9,299.8,2920.0,223.4,574.8,2157.5,2972.4,240.3,73.3,12.2
0.049467,624.6,136.1,2081.7,318.2,2912.6,200.5,582.3,2156.4,2961.1,239.1,72.7,10.9
0.051467,650.8,140.5,2083.3,334.0,2920.4,187.7,590.1,2155.3,2950,237.8,72.3,9.5
0.053467,660.2,137.8,2102.5,378.5,2931.6,187.4,598.1,2154.2,2939.3,236.6,72,8.8
0.055467,658.1,128.8,2135.5,451.1,2935.4,195.8,606.2,2153.2,2929.2,235.3,71.8,9.1
0.057467,653.1,116.5,2173.1,531.8,2929.0,207.1,614.4,2152.1,2919.8,234.1,71.9,10.3
0.059467,647.1,106.2,2202.2,605.3,2917.3,220.7,622.5,2151.1,2911.3,232.9,71.9,12.2
0.061467,640.6,101.6,2212.5,654.0,2911.7,239.2,630.6,2150.1,2903.7,231.7,72,14.1
