time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.024986,529.2,40.1,1596.0,546.3,1961.6,464.9,539.6,1628.4,2043.7,0,78.8,2.8
0.026986,537.6,35.6,1615.8,433.4,1995.0,457.7,541.5,1627.7,2044,184,79.9,2.8
0.028986,546.6,29.0,1638.0,357.5,2027.3,437.7,544.6,1626.5,2044.4,183.5,80.8,2.8
0.030986,553.7,23.4,1657.1,326.7,2042.1,411.1,548.8,1624.9,2044.9,183,81.6,2.8
0.032986,558.0,20.0,1666.7,332.2,2041.8,380.3,554.2,1622.8,2045.5,182.4,82.2,2.9
0.034986,560.9,18.1,1663.6,353.7,2039.5,336.1,560.6,1620.2,2046.2,181.8,82.6,3.2
0.036986,563.3,18.1,1649.9,372.8,2042.5,292.8,568,1617.2,2046.9,181.2,82.8,3.7
0.038986,566.3,20.0,1632.4,383.9,2051.4,261.5,576.2,1613.9,2047.4,180.6,82.8,4.6
0.040986,570.6,24.2,1612.3,386.4,2066.8,240.9,585.2,1610.1,2047.9,179.9,82.7,5.6
0.042986,576.9,30.7,1590.1,382.9,2085.2,228.4,594.8,1606,2048.1,179.2,82.3,6.6
0.044986,588.2,40.3,1568.4,378.9,2101.6,224.0,605,1601.5,2048.1,178.5,81.9,7.4
0.046986,607.5,51.4,1558.9,376.2,2108.3,233.3,615.6,1596.7,2047.7,177.8,81.4,7.9
0.048986,633.0,59.4,1566.8,367.8,2105.1,255.0,626.4,1591.7,2046.9,177.1,80.9,8
0.050986,657.5,62.0,1582.6,351.5,2094.9,277.4,637.3,1586.3,2045.5,176.3,80.4,8
0.052986,674.4,61.1,1592.4,338.5,2079.7,285.3,648.2,1580.7,2043.6,175.6,80.1,7.8
0.054986,684.9,59.5,1591.0,338.7,2058.1,279.1,659,1574.9,2041.1,174.8,79.7,7.5
0.056986,690.3,59.8,1577.4,353.3,2033.5,267.6,669.5,1568.9,2037.9,174.1,79.3,7.1
0.058986,693.9,64.1,1553.2,371.9,2009.6,256.6,679.7,1562.7,2033.9,173.3,78.9,6.4
0.060986,698.5,74.8,1527.1,384.2,1990.9,248.6,689.4,1556.4,2029.1,172.6,78.4,5.6
0.062986,705.8,91.1,1512.9,395.9,1982.5,242.7,698.5,1549.9,2023.6,171.8,78,4.9
0.064986,715.8,107.3,1512.5,421.8,1983.7,233.7,706.9,1543.2,2017.2,171.1,77.7,4.5
0.066986,723.2,111.1,1518.2,465.8,1987.5,221.7,714.6,1536.4,2010,170.4,77.6,4.7
0.068986,727.0,104.4,1521.0,524.2,1986.6,211.8,721.5,1529.5,2001.9,169.7,77.7,5.6
0.070986,728.7,93.8,1516.0,567.3,1981.9,203.3,727.5,1522.5,1993,169.1,78,6.9
0.072986,727.8,84.7,1505.1,569.1,1976.1,196.7,732.7,1515.3,1983.4,168.4,78.4,8.2
0.074986,724.9,79.1,1492.0,539.5,1967.9,194.1,736.9,1508.1,1973,167.8,78.7,9.2
0.076986,722.0,78.6,1481.6,497.4,1956.3,195.2,740.2,1500.7,1961.8,167.2,78.8,9.8
0.078986,720.4,82.4,1474.3,461.9,1941.8,196.4,742.6,1493.2,1950.1,166.7,78.8,9.9
0.080986,719.0,89.0,1468.7,433.9,1927.6,193.2,744.1,1485.7,1937.8,166.1,78.7,9.8
0.082986,717.1,98.3,1465.2,403.2,1917.3,185.3,744.8,1478,1924.9,165.6,78.5,9.7
0.084986,716.0,113.0,1464.9,363.0,1911.0,173.9,744.6,1470.3,1911.7,165.1,78.1,9.7
0.086986,719.4,132.7,1470.1,326.7,1909.9,165.7,743.7,1462.4,1898.1,164.6,77.7,10
0.088986,727.7,155.6,1479.6,315.8,1911.8,172.7,742.1,1454.5,1884.4,164.2,77.3,10.6
0.090986,737.0,180.0,1490.8,338.8,1909.1,199.9,739.9,1446.5,1870.4,163.7,76.9,11.3
0.092986,745.1,200.6,1500.4,382.6,1893.9,232.3,737.1,1438.5,1856.5,163.3,76.6,11.9
0.094986,752.9,217.1,1505.4,444.2,1862.2,253.9,733.9,1430.4,1842.6,163,76.4,12.5
0.096986,758.3,228.6,1495.6,509.9,1825.5,247.9,730.3,1422.3,1828.8,162.6,76.2,12.8
0.098986,757.2,230.1,1472.7,542.4,1801.4,229.2,726.4,1414.2,1815.3,162.2,76.1,12.8
0.100986,749.3,217.6,1455.2,537.5,1788.6,224.5,722.3,1406.1,1802.1,161.9,76.1,12.7
0.102986,736.9,199.1,1438.1,529.0,1775.0,231.9,718.1,1398,1789.3,161.6,76,12.5
0.104986,720.9,182.0,1400.4,517.4,1753.9,226.8,713.9,1390,1777,161.3,76,12.5
0.106986,705.3,169.2,1356.2,474.0,1737.8,199.5,709.7,1382.1,1765.2,161,76,12.6
0.108986,694.4,159.2,1330.7,421.0,1732.2,172.3,705.7,1374.4,1754,160.7,76.1,13
0.110986,691.2,151.5,1322.8,386.2,1733.1,155.1,701.9,1366.8,1743.5,160.4,76.2,13.4
0.112986,694.6,145.7,1323.5,374.6,1735.1,148.3,698.3,1359.4,1733.6,160.1,76.3,13.9
0.114986,699.7,138.6,1323.1,372.2,1732.8,146.1,695,1352.3,1724.3,159.9,76.3,14.2
0.116986,700.0,128.9,1311.9,357.2,1724.0,138.4,692.1,1345.4,1715.8,159.6,76.4,14.4
0.118986,695.3,118.2,1296.3,322.3,1713.8,123.4,689.6,1338.8,1708,159.3,76.4,14.3
0.120986,689.7,110.4,1288.7,288.5,1706.2,111.0,687.4,1332.6,1700.9,159.1,76.5,14.2
0.122986,685.2,106.2,1289.7,269.1,1701.0,105.5,685.7,1326.7,1694.4,158.9,76.5,14
0.124986,681.7,101.4,1294.8,258.2,1697.4,103.4,684.5,1321.2,1688.6,158.6,76.5,14
0.126986,679.3,94.6,1300.3,252.1,1694.5,102.8,683.6,1316.1,1683.4,158.4,76.6,14.2
0.128986,677.3,89.2,1305.4,249.5,1690.9,103.3,683.2,1311.5,1678.8,158.1,76.7,14.7
0.130986,676.2,89.5,1311.9,253.1,1687.3,106.7,683.1,1307.2,1674.7,157.9,76.7,15.4
0.132986,677.4,97.0,1320.1,265.6,1683.8,114.1,683.5,1303.4,1671.1,157.6,76.8,16
0.134986,681.5,111.7,1327.9,285.3,1678.7,123.2,684.1,1300.1,1667.8,157.4,76.9,16.4
0.136986,685.9,128.3,1327.2,299.5,1671.9,125.7,685.1,1297.2,1665,157.1,77,16.6
0.138986,687.4,142.0,1312.6,298.6,1663.8,118.2,686.3,1294.7,1662.4,156.8,77.1,16.5
0.140986,686.1,150.4,1292.2,286.9,1656.1,107.5,687.7,1292.6,1660,156.6,77.3,16.2
0.142986,685.5,153.0,1278.1,277.4,1650.7,99.8,689.3,1290.8,1657.9,156.3,77.5,15.8
0.144986,688.1,151.5,1269.1,272.9,1646.7,94.9,691,1289.4,1655.8,156,77.6,15.6
0.146986,693.4,149.3,1262.6,269.0,1643.7,91.7,692.7,1288.3,1653.8,155.7,77.8,15.5
0.148986,697.9,149.0,1259.8,263.6,1642.0,88.8,694.5,1287.4,1651.8,155.4,77.9,15.7
0.150986,698.8,151.1,1263.9,259.5,1641.9,86.9,696.2,1286.8,1649.8,155.1,78,16
0.152986,696.8,154.1,1274.5,257.5,1642.8,87.4,697.8,1286.3,1647.6,154.8,78,16.2
0.154986,694.3,157.4,1288.9,256.9,1643.3,89.6,699.3,1285.8,1645.4,154.5,78,16.1
0.156986,693.2,159.9,1302.5,261.5,1641.7,92.9,700.6,1285.4,1643,154.1,78,15.6
0.158986,692.6,159.0,1315.8,271.1,1637.6,97.5,701.6,1285,1640.4,153.8,77.9,14.6
0.160986,691.8,154.8,1329.1,278.1,1632.7,102.5,702.5,1284.5,1637.7,153.4,77.7,13.4
0.162986,692.1,152.5,1337.7,275.9,1630.1,105.2,703,1283.8,1634.7,153.1,77.6,12
0.164986,694.8,155.1,1337.2,265.0,1629.5,105.7,703.3,1282.9,1631.6,152.7,77.4,10.9
0.166986,699.3,162.9,1327.6,252.4,1628.9,107.7,703.2,1281.8,1628.2,152.4,77.2,10
0.168986,706.2,175.6,1314.2,246.4,1626.1,113.6,702.9,1280.4,1624.7,152,77,9.3
0.170986,716.2,193.2,1299.0,248.4,1620.0,120.9,702.2,1278.6,1620.9,151.6,76.8,8.7
0.172986,726.3,209.2,1284.2,249.4,1612.4,123.9,701.2,1276.4,1617,151.3,76.7,8.2
0.174986,731.5,216.1,1272.3,243.0,1605.8,119.2,699.8,1273.7,1613,150.9,76.6,8
0.176986,726.6,208.6,1263.4,231.3,1602.3,108.0,698.2,1270.7,1608.8,150.5,76.5,8.1
0.178986,713.9,192.2,1255.1,220.1,1601.0,96.1,696.3,1267.2,1604.5,150.2,76.3,8.6
0.180986,701.7,178.1,1248.4,214.3,1600.9,87.3,694.1,1263.2,1600.1,149.8,76.2,9.4
0.182986,693.8,170.3,1242.8,210.0,1600.1,79.3,691.6,1258.8,1595.8,149.5,76,10.1
0.184986,686.2,164.2,1235.0,201.5,1598.4,69.9,689,1253.9,1591.4,149.1,75.8,10.7
0.186986,677.5,157.1,1229.0,189.0,1596.6,62.9,686.1,1248.7,1587,148.8,75.7,10.7
0.188986,668.5,149.3,1227.5,178.7,1593.8,60.1,683.1,1243,1582.6,148.5,75.5,10.3
0.190986,660.8,143.4,1227.2,179.5,1588.5,62.1,680,1237,1578.4,148.2,75.3,9.7
