time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025175,201.0,158.1,2545.4,545.4,2853.7,522.8,278.9,2298,2977,210.8,64.9,4.9
0.027175,208.0,193.7,2466.0,835.7,2816.4,283.5,280.6,2296.3,2976.7,210.9,65.2,5.2
0.029175,221.4,221.1,2379.1,942.7,2828.1,207.4,283.5,2293.4,2976.2,211.1,65.6,5.4
0.031175,236.4,213.1,2327.9,887.9,2848.8,190.9,287.5,2289.5,2975.6,211.3,66.1,5.4
0.033175,250.0,170.7,2295.5,753.2,2874.9,189.3,292.7,2284.6,2974.8,211.4,66.8,5.3
0.035175,266.3,118.5,2269.8,647.3,2899.0,194.9,298.9,2278.7,2973.8,211.6,67.7,5.3
0.037175,290.4,88.3,2243.2,610.8,2917.5,216.2,306.1,2271.9,2972.6,211.7,68.8,5.4
0.039175,324.3,75.6,2211.3,526.6,2944.7,242.0,314.2,2264.3,2971.3,211.8,70.1,5.9
0.041175,358.5,70.3,2181.3,354.7,2977.2,237.7,323.3,2256.1,2969.8,211.9,71.3,6.6
0.043175,388.6,66.0,2154.0,208.8,2998.7,218.8,333.3,2247.2,2968.2,212,72.7,7.4
0.045175,411.2,57.6,2136.9,131.9,3012.2,213.3,344,2237.9,2966.5,212.1,73.9,8.4
0.047175,422.9,46.5,2131.9,108.7,3030.4,222.9,355.5,2228.3,2964.7,212.1,75.1,9.2
0.049175,429.0,36.5,2133.6,111.1,3065.6,228.8,367.6,2218.4,2962.8,212.1,76.2,9.8
0.051175,433.8,30.9,2136.1,117.8,3098.4,210.3,380.2,2208.4,2960.8,212.1,77,10.2
0.053175,438.6,29.6,2135.3,118.1,3113.8,187.5,393.4,2198.4,2958.7,212.1,77.7,10.5
0.055175,442.9,31.6,2132.1,115.8,3117.5,169.8,407,2188.5,2956.6,212,78.2,10.8
0.057175,445.5,35.8,2129.7,118.4,3114.8,160.6,420.9,2178.9,2954.4,211.9,78.4,11.2
0.059175,447.3,43.1,2130.7,128.9,3106.6,167.2,435,2169.6,2952.2,211.8,78.4,11.7
0.061175,450.1,54.0,2136.3,141.6,3092.4,196.1,449.4,2160.7,2950,211.7,78.3,12.3
0.063175,456.4,68.7,2143.7,147.0,3072.5,245.4,463.8,2152.3,2947.8,211.6,78.1,13
0.065175,467.1,86.1,2149.7,142.1,3054.2,303.8,478.3,2144.5,2945.6,211.4,77.8,13.7
0.067175,479.8,102.2,2153.7,133.9,3048.8,341.1,492.7,2137.3,2943.5,211.2,77.5,14.3
0.069175,496.0,117.4,2156.5,129.2,3043.5,350.1,507.1,2130.8,2941.4,211,77.3,14.9
0.071175,516.2,127.7,2157.6,133.2,3018.4,352.2,521.2,2125,2939.3,210.8,77.2,15.4
0.073175,541.0,128.9,2157.5,147.8,2965.1,359.0,535.2,2119.9,2937.3,210.6,77.1,15.9
0.075175,563.5,119.6,2157.4,170.1,2901.6,357.6,548.9,2115.6,2935.4,210.4,77.2,16.3
0.077175,581.5,104.7,2158.3,196.1,2848.7,348.2,562.2,2111.9,2933.6,210.2,77.4,16.7
0.079175,595.3,88.6,2158.6,219.6,2815.1,346.6,575.2,2108.9,2932,210,77.6,17.1
0.081175,604.9,75.1,2153.1,230.4,2798.3,353.5,587.9,2106.5,2930.4,209.8,77.9,17.5
0.083175,612.7,63.2,2138.5,228.5,2787.1,355.6,600.1,2104.8,2929,209.6,78.1,17.9
0.085175,618.5,54.0,2119.8,222.2,2778.8,349.8,611.8,2103.5,2927.7,209.3,78.4,18.2
0.087175,623.1,47.8,2103.7,218.1,2779.8,344.7,623.1,2102.7,2926.6,209.1,78.6,18.3
0.089175,626.8,45.0,2095.7,219.2,2798.3,345.9,634,2102.3,2925.7,208.9,78.8,18.3
