time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025472,538.7,398.0,1172.9,407.5,2246.8,690.3,507.6,1007.1,2349.3,205,41.9,-40.2
0.027472,522.5,327.3,1059.4,359.4,2243.7,673.3,508.7,1006.1,2347.2,205.1,43.4,-0.3
0.029472,498.5,239.9,978.1,218.3,2288.9,523.6,510.6,1004.7,2343.9,205.3,44.8,14
0.031472,495.6,188.7,954.9,145.4,2341.3,347.8,513.3,1002.8,2339.4,205.4,46.1,17.7
0.033472,504.4,169.9,955.2,115.0,2366.5,252.6,516.8,1000.6,2333.8,205.6,47.1,15.3
0.035472,515.6,163.2,962.7,97.1,2376.3,208.2,520.9,998.2,2327.2,205.8,48,11.3
0.037472,529.1,156.9,970.8,80.5,2375.8,184.9,525.8,996,2319.9,205.9,48.7,10.2
0.039472,539.9,150.3,975.8,69.7,2364.2,191.2,531.3,994,2312.1,206.1,49.3,12.2
0.041472,544.3,150.7,977.9,68.1,2342.6,223.7,537.6,992.6,2303.8,206.2,49.8,14.3
0.043472,543.0,159.6,978.4,74.2,2320.0,238.8,544.4,991.9,2295.4,206.4,50.1,16.2
0.045472,541.2,170.5,978.5,83.3,2313.0,205.5,551.8,992.1,2287,206.5,50.5,17.7
0.047472,544.2,180.4,980.9,93.0,2311.5,167.7,559.8,993.4,2278.9,206.7,50.8,18.6
0.049472,556.8,182.6,988.5,97.7,2306.2,150.1,568.3,996,2271.2,206.8,51.1,18.6
0.051472,574.1,173.2,999.1,93.9,2293.6,153.1,577.2,1000,2264.1,206.9,51.4,17.9
0.053472,590.2,159.0,1008.6,86.4,2271.2,174.2,586.5,1005.5,2257.8,207,51.6,16.8
0.055472,602.1,149.2,1015.2,82.2,2248.9,199.9,596.1,1012.5,2252.3,207.1,51.9,15.9
0.057472,612.7,142.6,1021.8,82.2,2239.9,213.7,605.9,1021.1,2247.7,207.2,52.1,15.5
0.059472,622.3,136.9,1029.7,84.9,2242.1,215.0,616,1031.1,2244.2,207.3,52.3,15.9
0.061472,630.9,130.8,1039.1,88.5,2242.2,216.5,626.1,1042.4,2241.8,207.3,52.4,16.8
0.063472,640.4,124.5,1051.8,92.1,2235.3,225.7,636.3,1055,2240.4,207.4,52.6,17.8
0.065472,649.8,119.5,1066.1,94.9,2221.1,244.1,646.5,1068.7,2240,207.4,52.6,18.7
0.067472,659.1,116.5,1082.9,97.8,2201.3,270.2,656.5,1083.1,2240.6,207.4,52.7,19.2
0.069472,666.9,116.1,1101.4,101.4,2188.4,292.2,666.4,1098.2,2242.2,207.4,52.7,19.1
0.071472,673.7,116.5,1120.5,103.2,2192.5,299.6,676.1,1113.6,2244.6,207.3,52.8,18.7
0.073472,681.8,115.3,1141.0,100.0,2208.0,291.6,685.5,1129.1,2247.7,207.3,52.8,18.2
0.075472,690.8,113.6,1159.6,93.3,2227.0,277.8,694.5,1144.5,2251.4,207.2,52.8,17.7
0.077472,700.9,112.7,1177.0,84.7,2248.2,264.4,703.1,1159.4,2255.6,207.1,52.8,17.5
0.079472,710.7,112.5,1191.8,75.6,2266.8,253.7,711.4,1173.7,2260.2,207,52.8,17.7
0.081472,719.0,113.0,1203.5,67.6,2278.7,248.1,719.2,1187.2,2265.1,206.9,52.8,18
0.083472,726.4,114.1,1213.6,61.2,2284.7,250.3,726.5,1199.7,2270.1,206.8,52.9,18.5
0.085472,732.4,115.1,1221.3,57.0,2287.5,258.7,733.4,1211,2275.3,206.6,52.9,18.9
0.087472,738.2,115.4,1227.3,54.0,2293.1,263.0,739.8,1221.1,2280.5,206.5,52.9,19.2
0.089472,744.2,114.8,1231.5,52.4,2304.3,252.1,745.8,1230,2285.6,206.3,53,19.3
0.091472,750.5,114.7,1234.3,52.6,2316.2,230.9,751.3,1237.6,2290.7,206.1,53,19.3
0.093472,757.5,115.3,1236.8,54.6,2324.4,208.0,756.4,1244.1,2295.7,206,53,19.3
0.095472,764.0,115.8,1238.9,57.4,2327.5,193.4,761.2,1249.4,2300.5,205.8,53,19.3
