time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025510,546.2,168.2,1150.2,74.7,2769.1,174.4,597.3,1180,2758.4,193.9,53.7,13.1
0.027510,557.3,165.3,1150.7,74.9,2767.7,164.9,599,1180.8,2758.6,193.6,53.7,12.8
0.029510,565.2,163.4,1149.5,79.2,2766.6,162.4,602,1182.1,2758.8,193.3,53.7,13.4
0.031510,572.5,162.4,1148.0,87.9,2766.7,168.9,606.1,1183.9,2759.1,193.1,53.6,14.3
0.033510,579.8,163.7,1146.8,100.4,2767.1,186.0,611.2,1186.1,2759.5,192.8,53.5,15.3
0.035510,588.8,168.4,1147.4,115.7,2765.1,211.6,617.5,1188.8,2760,192.5,53.3,16
0.037510,601.9,177.1,1153.3,130.7,2758.1,233.0,624.7,1191.9,2760.6,192.2,53.1,16.3
0.039510,619.6,187.3,1166.1,139.6,2747.9,234.2,632.9,1195.5,2761.3,191.8,52.8,16.7
0.041510,642.9,195.7,1185.5,141.8,2738.8,221.3,642,1199.4,2762,191.5,52.5,16.9
0.043510,666.5,199.2,1206.5,138.9,2735.1,209.8,651.8,1203.6,2762.8,191.2,52.2,17
0.045510,688.5,199.3,1227.1,132.8,2738.3,206.2,662.4,1208.2,2763.6,190.8,51.9,16.8
0.047510,710.3,195.5,1246.6,122.7,2745.9,209.0,673.5,1213,2764.5,190.5,51.6,16.2
0.049510,732.1,186.2,1262.7,109.7,2752.8,211.5,685.2,1218,2765.4,190.1,51.3,15.3
0.051510,752.8,170.8,1275.1,96.3,2760.5,212.8,697.3,1223.2,2766.4,189.8,51.1,14.2
0.053510,767.5,152.3,1283.0,84.6,2769.8,217.1,709.7,1228.5,2767.3,189.4,51,13.4
0.055510,777.1,133.6,1288.0,73.6,2779.1,225.8,722.3,1233.9,2768.2,189.1,51,12.9
0.057510,783.7,117.8,1290.6,63.3,2786.5,238.5,735,1239.3,2769.1,188.7,51,13
0.059510,787.9,108.4,1290.9,56.4,2791.4,254.2,747.8,1244.8,2770,188.4,51.1,13.4
0.061510,791.2,103.9,1289.4,52.9,2793.4,267.8,760.4,1250.1,2770.8,188.1,51.1,14.1
0.063510,793.8,102.6,1286.6,52.1,2789.1,264.1,772.9,1255.3,2771.6,187.7,51.2,14.8
0.065510,796.3,102.9,1283.4,52.7,2780.6,242.1,785.1,1260.4,2772.3,187.4,51.2,15.4
0.067510,798.7,104.0,1281.0,53.7,2776.1,219.4,796.9,1265.4,2772.9,187.1,51.2,16
0.069510,801.5,105.0,1280.1,54.4,2777.3,202.7,808.3,1270,2773.4,186.7,51.2,16.7
0.071510,805.8,105.0,1280.1,54.1,2780.8,187.6,819.1,1274.4,2773.7,186.4,51.2,17.4
0.073510,812.3,103.4,1279.8,52.5,2781.5,171.0,829.4,1278.6,2773.9,186.1,51.2,18
0.075510,821.4,100.3,1278.9,50.4,2778.5,152.4,838.9,1282.3,2774,185.8,51.2,18.4
0.077510,830.5,97.1,1277.2,49.1,2775.4,137.1,847.8,1285.8,2773.9,185.5,51.2,18.7
0.079510,838.1,94.7,1275.2,49.4,2775.7,127.1,855.9,1288.8,2773.7,185.2,51.2,18.8
0.081510,843.9,92.6,1273.3,50.9,2777.9,123.1,863.2,1291.5,2773.2,184.9,51.2,18.9
0.083510,848.4,89.5,1272.3,51.8,2776.7,123.3,869.7,1293.8,2772.6,184.6,51.2,18.9
0.085510,852.4,85.9,1272.3,52.3,2772.5,124.0,875.4,1295.6,2771.8,184.3,51.2,19
0.087510,856.3,83.1,1272.9,53.3,2769.3,125.1,880.1,1297,2770.8,184.1,51.2,19.2
0.089510,860.2,80.6,1273.7,54.1,2768.9,127.3,884.1,1298.1,2769.6,183.8,51.1,19.4
0.091510,864.5,77.3,1274.3,54.0,2769.3,131.5,887.2,1298.7,2768.2,183.5,51,19.6
0.093510,868.7,74.2,1274.6,53.4,2767.5,138.3,889.4,1298.9,2766.6,183.2,50.9,19.8
