time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025735,548.9,174.7,992.9,149.6,2323.7,1630.5,552.1,996.7,2346.6,195.1,45.4,-17.9
0.027735,562.4,157.1,999.7,129.6,2471.6,1156.4,555,997.9,2346.1,194.9,47.2,10.6
0.029735,570.3,140.6,1001.4,112.8,2389.1,758.3,559.7,999.9,2345,194.8,48.6,17.1
0.031735,575.3,128.6,1001.8,102.4,2337.8,538.2,566.1,1002.7,2343.6,194.6,49.9,14.8
0.033735,580.2,121.3,1003.0,96.8,2308.2,404.4,574.1,1006.2,2341.7,194.4,50.9,8.8
0.035735,585.9,117.9,1005.9,94.2,2295.8,330.3,583.4,1010.6,2339.3,194.2,51.7,4.1
0.037735,593.5,115.7,1011.2,92.5,2294.3,285.2,593.8,1015.7,2336.4,194,52.5,4.9
0.039735,601.4,113.8,1017.8,91.7,2299.7,259.9,605,1021.5,2333,193.8,53.1,7.8
0.041735,608.7,112.4,1025.2,91.9,2307.3,242.7,616.8,1028.1,2329,193.6,53.6,11.4
0.043735,616.2,112.3,1033.9,91.8,2313.5,224.8,629,1035.3,2324.4,193.3,53.9,14.9
0.045735,625.0,113.7,1043.6,90.0,2315.8,207.6,641.1,1043.2,2319.2,193.1,54.2,17.6
0.047735,637.2,116.4,1055.5,85.8,2314.8,194.7,653.1,1051.6,2313.5,192.8,54.4,18.8
0.049735,651.9,118.9,1067.8,80.1,2311.1,193.1,664.7,1060.6,2307.3,192.5,54.5,18.7
0.051735,669.4,119.7,1080.3,73.5,2304.8,209.5,675.6,1070,2300.6,192.2,54.6,17.7
0.053735,685.9,119.0,1091.2,68.1,2296.9,250.5,685.8,1079.8,2293.6,191.9,54.5,16.5
0.055735,700.9,117.9,1100.7,64.3,2286.7,325.1,695.1,1089.8,2286.4,191.6,54.5,15.5
0.057735,713.7,116.7,1109.1,62.0,2272.0,439.8,703.3,1099.9,2279,191.2,54.4,15.1
0.059735,722.5,115.2,1116.1,60.9,2258.5,552.4,710.6,1110.1,2271.6,190.9,54.3,15
0.061735,728.9,111.8,1122.6,59.8,2258.5,599.9,716.9,1120.2,2264.3,190.6,54.2,15.1
0.063735,732.9,106.2,1128.2,58.7,2270.3,560.4,722.3,1130.1,2257.4,190.2,54.2,15.2
0.065735,735.6,99.6,1133.7,58.1,2279.7,491.2,726.8,1139.7,2251,189.8,54.1,15.3
0.067735,737.7,93.3,1139.7,58.8,2282.9,435.2,730.5,1149,2245.2,189.5,54.1,15.5
0.069735,738.9,89.1,1145.6,61.8,2280.3,412.3,733.7,1157.9,2240.3,189.1,54.1,15.8
0.071735,738.9,87.0,1151.8,67.9,2271.2,417.6,736.4,1166.2,2236.3,188.8,54,16.1
0.073735,738.0,86.6,1158.8,77.0,2253.8,442.1,738.8,1174,2233.5,188.4,54,16.4
0.075735,737.0,87.3,1166.6,86.5,2233.7,467.8,741.1,1181.3,2231.9,188,54,16.6
0.077735,737.1,89.1,1177.0,94.6,2218.7,494.1,743.4,1188,2231.6,187.6,54,16.7
0.079735,738.5,91.7,1188.7,99.8,2212.3,535.1,745.8,1194.1,2232.6,187.3,54,16.7
0.081735,740.9,95.1,1201.0,102.1,2208.3,602.6,748.6,1199.8,2235.1,186.9,54,16.5
0.083735,744.4,99.5,1213.0,101.4,2200.6,684.8,751.8,1205.1,2239,186.5,53.9,16.4
0.085735,748.5,104.3,1222.8,97.6,2193.7,733.4,755.3,1210.1,2244.2,186.2,53.9,16.3
0.087735,754.1,110.1,1230.8,91.3,2200.7,728.6,759.4,1214.8,2250.7,185.8,53.9,16.4
0.089735,760.6,116.6,1236.1,85.0,2225.9,693.8,763.9,1219.5,2258.4,185.4,53.9,16.8
0.091735,767.7,124.3,1239.3,80.3,2260.8,656.8,768.8,1224.1,2267.2,185.1,53.9,17.3
0.093735,774.3,132.4,1240.6,78.1,2288.4,629.0,774,1228.9,2276.9,184.7,53.9,17.7
0.095735,780.5,140.7,1240.7,78.4,2306.6,610.3,779.5,1234,2287.3,184.4,53.8,17.9
0.097735,786.1,149.5,1240.3,81.0,2319.9,596.4,785.2,1239.4,2298.3,184,53.8,17.7
0.099735,791.0,156.9,1240.6,84.7,2329.3,589.0,790.7,1245.2,2309.7,183.7,53.6,17.1
0.101735,795.5,163.8,1243.3,90.1,2341.3,604.3,796.1,1251.6,2321.2,183.3,53.5,16.2
0.103735,799.8,169.9,1248.8,96.9,2358.8,638.7,801.2,1258.6,2332.7,183,53.3,15.4
0.105735,805.3,174.3,1256.9,104.0,2379.5,660.9,805.7,1266.2,2344,182.7,53,14.7
0.107735,812.8,177.0,1267.0,110.8,2397.0,645.8,809.5,1274.4,2355,182.4,52.7,14.3
0.109735,820.9,179.9,1277.0,118.8,2402.2,612.0,812.4,1283.2,2365.4,182.1,52.3,14.2
0.111735,827.9,184.2,1287.7,130.9,2392.3,586.5,814.4,1292.5,2375.2,181.8,52,14.2
0.113735,830.8,187.7,1298.4,145.3,2373.1,571.0,815.3,1302.3,2384.3,181.5,51.7,14.2
0.115735,830.0,186.5,1310.2,157.5,2357.0,547.2,815.1,1312.5,2392.6,181.2,51.5,14.3
0.117735,825.0,177.7,1323.3,164.0,2357.0,514.2,813.6,1322.9,2400,181,51.4,14.4
0.119735,815.9,164.0,1335.7,165.3,2376.3,483.1,810.9,1333.3,2406.6,180.7,51.4,14.4
0.121735,803.7,146.2,1348.4,161.4,2401.0,448.4,806.9,1343.7,2412.3,180.4,51.5,14.4
0.123735,791.7,126.8,1359.9,149.8,2410.7,431.0,801.7,1353.9,2417.1,180.2,51.6,14.4
0.125735,780.1,108.2,1370.3,134.4,2411.0,436.4,795.4,1363.7,2421.2,180,51.8,14.6
0.127735,769.4,92.7,1379.5,120.1,2411.1,442.3,788,1373,2424.6,179.8,51.9,15
0.129735,761.0,82.1,1386.2,108.4,2410.9,420.9,779.7,1381.5,2427.4,179.5,52,15.6
0.131735,753.9,74.9,1390.9,99.3,2410.4,374.8,770.6,1389.3,2429.5,179.3,52.1,16.4
0.133735,747.3,70.2,1394.9,94.2,2416.4,323.0,760.9,1396.2,2431.3,179.2,52.2,17.2
0.135735,741.0,67.6,1398.3,94.2,2430.1,282.9,750.7,1402.1,2432.6,179,52.2,17.7
0.137735,734.4,65.6,1401.1,97.6,2445.5,255.8,740.1,1407.1,2433.6,178.8,52.2,18
0.139735,728.4,63.9,1402.5,101.9,2456.6,245.8,729.4,1411,2434.5,178.6,52.1,18.1
0.141735,723.3,63.0,1403.3,107.0,2463.2,252.0,718.7,1413.9,2435.1,178.5,52,18.1
0.143735,718.7,64.1,1404.7,115.5,2465.2,275.1,708.1,1415.8,2435.7,178.3,51.8,17.9
0.145735,713.9,68.0,1407.8,129.3,2462.4,308.8,697.9,1416.9,2436.3,178.2,51.5,17.5
0.147735,707.8,75.2,1413.1,149.1,2456.2,340.5,688.1,1417.2,2436.8,178,51.2,16.8
0.149735,701.1,85.4,1420.0,165.6,2447.1,347.9,678.9,1416.8,2437.3,177.9,50.8,15.9
0.151735,693.3,98.8,1428.3,173.9,2438.4,331.5,670.4,1416,2437.8,177.7,50.3,14.8
0.153735,683.9,112.5,1436.0,175.7,2435.2,306.3,662.6,1414.8,2438.3,177.6,49.8,13.6
0.155735,671.3,124.1,1441.8,175.7,2435.3,283.0,655.8,1413.3,2438.7,177.5,49.1,12.2
0.157735,655.6,131.6,1444.2,175.2,2434.5,266.1,649.9,1411.8,2439.2,177.4,48.4,10.8
0.159735,640.7,133.6,1441.2,176.7,2429.9,260.0,644.9,1410.4,2439.6,177.3,47.7,9
0.161735,627.1,131.6,1430.2,187.1,2420.3,267.6,641.1,1409.1,2440,177.2,46.8,7.1
0.163735,616.9,127.1,1408.6,211.0,2413.8,286.3,638.3,1408.2,2440.2,177.1,45.9,5.4
0.165735,612.9,119.9,1375.1,244.1,2426.4,294.4,636.6,1407.5,2440.4,177,44.8,4.1
0.167735,619.8,109.0,1329.5,276.2,2460.6,257.6,636,1407.3,2440.4,176.9,43.7,4.1
