time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025179,449.1,400.4,1384.3,613.5,2180.1,187.5,503.9,1396.1,2134.2,202.5,44.9,7.3
0.027179,488.5,291.4,1384.1,410.5,2180.6,188.5,504.7,1396.8,2133.5,202.6,46.1,6.8
0.029179,511.3,228.3,1394.4,311.6,2175.1,216.0,506,1398,2132.4,202.8,47.3,7
0.031179,525.8,195.4,1407.7,252.3,2167.0,247.6,507.9,1399.7,2130.9,202.9,48.4,7.6
0.033179,534.6,176.6,1416.6,211.1,2155.3,250.5,510.4,1401.8,2129,203,49.4,8.4
0.035179,541.0,165.6,1422.0,180.9,2143.5,223.3,513.3,1404.3,2126.8,203.2,50.2,9.4
0.037179,546.2,162.0,1426.7,160.3,2132.8,188.4,516.8,1407.2,2124.3,203.3,50.7,10.6
0.039179,549.1,162.6,1428.7,149.4,2119.0,163.3,520.8,1410.5,2121.7,203.4,51.2,12.3
0.041179,549.1,164.5,1427.6,144.9,2100.0,143.3,525.3,1414,2119,203.6,51.5,14.2
0.043179,548.0,169.7,1425.9,144.0,2084.2,122.3,530.3,1417.9,2116.3,203.7,51.7,16.2
0.045179,547.8,181.1,1426.5,145.2,2076.4,101.6,535.7,1422,2113.6,203.8,51.8,18
0.047179,548.0,196.2,1428.4,148.2,2074.8,86.2,541.7,1426.2,2111.1,204,51.9,19.4
0.049179,546.0,206.1,1428.5,151.8,2075.4,78.3,548,1430.6,2108.8,204.1,51.9,20.7
0.051179,541.5,206.7,1425.2,153.7,2075.2,75.0,554.8,1435,2106.9,204.2,51.9,21.9
0.053179,537.2,200.3,1419.7,153.1,2073.0,75.2,561.9,1439.4,2105.3,204.3,52,22.8
0.055179,535.7,193.6,1414.5,152.3,2068.9,78.7,569.4,1443.8,2104.2,204.4,52,23.3
0.057179,539.7,193.2,1413.5,153.6,2065.6,84.2,577.1,1448.1,2103.6,204.5,52.1,23.4
0.059179,550.4,203.0,1420.9,155.2,2069.3,85.5,585.2,1452.3,2103.6,204.6,52.3,22.8
