time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025773,703.0,429.8,1495.8,1125.1,2130.7,466.1,524.1,1501.9,2423.6,0,35.1,-187.3
0.027773,608.0,350.1,1548.5,903.9,2154.9,536.3,525.7,1501.6,2424.9,0,37.9,-148.7
0.029773,532.4,244.0,1545.9,661.7,2210.3,605.6,528.3,1501.1,2427,0,40.7,-100.7
0.031773,494.3,157.2,1472.2,419.1,2275.2,669.1,531.9,1500.4,2430,0,43.2,-52.5
0.033773,493.7,125.5,1451.5,286.1,2415.9,1128.1,536.4,1499.4,2433.6,204.6,45.5,-13.7
0.035773,508.9,128.5,1475.6,197.9,2520.7,5258.5,541.8,1498.3,2438,204.5,47.4,7.4
0.037773,519.2,127.2,1480.2,161.5,2578.6,242.9,548.1,1497,2442.8,204.3,49,14.5
0.039773,525.5,128.0,1479.9,159.7,2573.8,240.4,555.1,1495.4,2448.2,204.1,50.3,12.8
0.041773,535.6,137.6,1479.9,168.1,2568.4,252.5,562.8,1493.7,2453.8,203.9,51.4,7.5
0.043773,549.8,152.0,1481.1,178.6,2559.3,261.1,571,1491.8,2459.7,203.7,52.2,3.3
0.045773,564.4,163.9,1483.2,182.9,2553.0,265.4,579.8,1489.7,2465.7,203.5,52.9,4.1
0.047773,576.3,170.1,1485.5,177.6,2551.4,270.7,588.9,1487.4,2471.6,203.2,53.4,6.7
0.049773,585.3,172.2,1487.1,168.6,2552.1,278.3,598.4,1485,2477.4,202.9,53.8,9.8
0.051773,594.3,172.1,1487.7,161.0,2552.3,287.6,608,1482.4,2482.8,202.6,54.1,12.7
0.053773,604.0,169.7,1486.7,156.4,2550.8,296.6,617.7,1479.6,2487.7,202.2,54.4,14.9
0.055773,614.0,165.0,1483.8,153.6,2548.2,304.8,627.5,1476.6,2492.1,201.9,54.6,15.8
0.057773,623.4,160.4,1479.9,152.7,2545.0,313.5,637.1,1473.5,2495.7,201.5,54.8,15.5
0.059773,632.3,159.2,1476.2,154.3,2541.1,323.1,646.6,1470.3,2498.4,201.1,55,14.6
0.061773,642.7,163.1,1472.6,160.2,2535.3,337.9,655.8,1466.9,2500.3,200.6,55.1,13.4
0.063773,654.4,171.2,1469.2,172.9,2528.2,363.9,664.6,1463.4,2501,200.2,55.2,12.6
0.065773,666.8,181.5,1465.7,194.1,2523.0,404.3,673.1,1459.7,2500.7,199.7,55.3,12.5
0.067773,679.6,190.6,1462.8,221.6,2522.9,446.6,681.2,1455.9,2499.2,199.3,55.4,12.9
0.069773,692.9,193.5,1460.6,245.4,2525.6,468.5,688.7,1452.1,2496.5,198.8,55.4,13.6
0.071773,707.2,187.7,1458.8,260.5,2525.5,472.6,695.8,1448.1,2492.5,198.3,55.4,14.5
0.073773,719.2,177.3,1458.4,268.8,2520.4,482.2,702.3,1444,2487.3,197.7,55.5,15.2
0.075773,727.2,167.6,1460.8,276.4,2509.1,520.0,708.2,1439.8,2480.9,197.2,55.5,15.7
0.077773,731.5,159.9,1464.1,284.5,2490.2,585.3,713.7,1435.5,2473.2,196.7,55.5,16.3
0.079773,733.0,153.3,1464.7,290.4,2469.7,645.5,718.6,1431.2,2464.4,196.1,55.5,16.7
