time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025077,418.0,46.8,1487.3,73.4,2733.9,158.5,407.5,1470.3,2739,206.1,50.9,19
0.027077,418.1,44.4,1487.0,70.6,2737.8,162.9,407.9,1471.9,2738.7,205.8,51.3,20.2
0.029077,417.6,42.8,1484.3,71.9,2740.3,170.9,408.6,1474.6,2738.2,205.4,51.6,20.1
0.031077,416.9,42.3,1481.5,79.5,2740.8,184.1,409.5,1478.2,2737.5,205,51.9,19.5
0.033077,416.1,42.8,1480.1,96.6,2737.2,204.9,410.7,1482.9,2736.6,204.5,52.2,18.9
0.035077,415.3,43.6,1481.2,127.5,2727.8,230.9,412,1488.5,2735.6,204.1,52.5,18.5
0.037077,414.6,44.1,1485.9,173.1,2715.8,250.9,413.4,1495,2734.3,203.6,52.8,18.9
0.039077,414.2,44.3,1493.7,209.7,2710.8,247.6,414.9,1502.3,2732.9,203.1,53.1,19.8
0.041077,414.1,44.7,1500.2,213.7,2715.5,222.3,416.5,1510.4,2731.2,202.5,53.4,21.1
0.043077,414.5,45.3,1503.5,193.6,2727.1,190.6,418,1519.3,2729.5,202,53.6,22.4
0.045077,415.2,45.8,1511.3,171.9,2739.1,166.9,419.4,1528.8,2727.6,201.4,53.9,23.3
0.047077,415.9,46.5,1531.7,154.9,2744.5,151.9,420.7,1538.9,2725.5,200.8,54.1,23.5
0.049077,416.3,47.5,1555.5,141.4,2743.0,139.8,421.9,1549.5,2723.3,200.2,54.3,23
0.051077,416.3,48.9,1572.3,132.0,2738.5,128.5,422.8,1560.5,2721.1,199.5,54.4,22.2
0.053077,416.1,50.8,1580.8,128.8,2733.5,119.7,423.6,1571.9,2718.7,198.9,54.5,21.4
0.055077,415.8,53.0,1585.6,129.9,2729.7,111.5,424.2,1583.5,2716.3,198.2,54.6,20.9
0.057077,415.7,55.1,1592.2,133.6,2728.0,103.1,424.5,1595.3,2713.8,197.5,54.6,21.1
0.059077,415.7,57.0,1603.0,137.9,2726.1,99.0,424.7,1607.2,2711.3,196.8,54.6,22
0.061077,416.2,59.3,1617.8,138.1,2720.1,102.4,424.7,1619.2,2708.9,196,54.6,23.2
0.063077,416.4,61.8,1633.6,134.2,2709.9,113.5,424.6,1631.1,2706.5,195.3,54.5,24.4
0.065077,416.2,63.8,1647.8,128.3,2697.3,130.3,424.5,1643,2704.1,194.5,54.4,25
0.067077,415.9,65.3,1661.1,120.7,2683.4,149.9,424.3,1654.7,2701.8,193.8,54.2,24.8
0.069077,416.0,66.9,1673.5,112.0,2671.0,167.7,424.3,1666.2,2699.7,193,54,23.9
0.071077,416.0,69.2,1684.2,103.2,2664.3,182.9,424.4,1677.5,2697.7,192.2,53.6,22.5
0.073077,414.7,72.3,1691.5,98.2,2670.5,196.3,424.8,1688.5,2695.9,191.4,53.3,20.9
0.075077,412.8,76.9,1695.5,98.1,2686.8,206.4,425.5,1699.2,2694.3,190.6,52.8,19.3
0.077077,413.7,86.7,1698.8,97.0,2697.3,206.5,426.7,1709.6,2692.9,189.8,52.3,17.8
0.079077,419.1,103.2,1704.7,96.1,2699.1,203.6,428.4,1719.7,2691.8,189,51.7,16.1
0.081077,429.5,125.9,1716.0,98.9,2700.6,201.3,430.6,1729.4,2691,188.2,51.1,14.3
0.083077,447.4,152.3,1732.9,104.9,2705.1,188.9,433.6,1738.8,2690.5,187.4,50.4,12.7
0.085077,473.0,173.8,1752.2,111.8,2709.3,163.2,437.3,1747.8,2690.3,186.6,49.7,11.6
0.087077,500.1,181.3,1769.9,117.6,2708.8,135.3,441.8,1756.5,2690.4,185.8,49.1,11
0.089077,517.7,177.2,1782.4,118.0,2703.5,116.8,447.1,1764.8,2690.9,185.1,48.6,11.2
0.091077,523.9,170.1,1791.2,111.3,2695.9,108.8,453.3,1772.8,2691.7,184.3,48.2,11.7
0.093077,519.1,163.6,1796.7,101.3,2688.2,112.8,460.3,1780.6,2692.8,183.5,48,12.4
0.095077,507.7,157.0,1799.2,92.9,2680.1,129.7,468.1,1788,2694.2,182.8,47.9,13
0.097077,492.3,149.0,1800.1,90.6,2671.8,162.8,476.8,1795.2,2696,182,47.9,13.3
0.099077,475.0,138.0,1801.0,99.0,2667.6,210.6,486.2,1802.1,2698.1,181.3,47.9,13.6
0.101077,459.4,124.4,1801.4,119.5,2670.5,270.0,496.4,1808.7,2700.4,180.6,48,13.8
0.103077,449.2,113.2,1800.7,147.9,2680.5,323.4,507.1,1815.1,2703,179.9,48.1,13.9
0.105077,445.2,108.6,1800.4,173.8,2698.2,344.2,518.4,1821.3,2705.9,179.2,48.1,13.6
0.107077,447.8,113.3,1803.9,187.8,2720.0,314.6,530.1,1827.2,2709,178.6,48,12.8
0.109077,457.7,127.7,1811.4,187.6,2734.0,260.2,542.1,1832.9,2712.2,177.9,47.8,11.4
0.111077,476.9,150.1,1820.0,178.9,2739.2,214.6,554.4,1838.3,2715.6,177.3,47.4,9.6
0.113077,506.3,178.6,1827.5,168.2,2740.8,187.5,566.6,1843.4,2719,176.6,46.9,7.8
0.115077,545.7,213.1,1835.5,161.7,2743.3,174.9,578.8,1848.2,2722.5,176,46.3,6.1
0.117077,596.7,252.9,1848.4,163.0,2748.2,170.7,590.9,1852.7,2726.1,175.4,45.7,5
0.119077,645.7,279.1,1865.9,169.8,2753.0,169.0,602.6,1856.7,2729.6,174.9,45.1,4
0.121077,675.5,285.4,1882.8,176.4,2755.1,165.6,613.9,1860.4,2733.1,174.3,44.7,3.1
0.123077,686.9,281.8,1892.3,177.9,2753.2,158.2,624.7,1863.5,2736.5,173.7,44.5,2.6
0.125077,693.3,275.1,1893.5,173.0,2747.7,149.5,634.9,1866.1,2739.7,173.2,44.3,2.4
0.127077,700.2,264.4,1890.8,163.4,2740.1,146.0,644.4,1868,2742.8,172.7,44.2,2.8
0.129077,703.2,248.3,1888.4,152.4,2732.3,152.2,653.2,1869.3,2745.6,172.1,44.2,3.9
0.131077,697.5,228.6,1885.8,141.8,2724.8,167.4,661.1,1869.9,2748.3,171.6,44.3,5.5
0.133077,683.6,208.5,1881.3,132.7,2718.9,186.2,668.2,1869.7,2750.7,171.1,44.3,7.1
0.135077,668.0,188.5,1873.9,123.9,2716.1,201.7,674.5,1868.7,2752.8,170.7,44.4,8.6
0.137077,658.8,170.1,1864.3,113.4,2719.3,210.6,679.9,1866.8,2754.7,170.2,44.6,9.6
0.139077,660.8,157.7,1854.9,102.6,2729.5,212.1,684.5,1863.9,2756.2,169.7,44.7,10.3
0.141077,670.2,149.4,1845.9,94.4,2745.2,210.0,688.3,1860.1,2757.5,169.3,44.9,10.9
0.143077,679.9,144.0,1837.7,92.0,2762.7,208.2,691.3,1855.3,2758.4,168.9,44.9,11.3
0.145077,685.3,142.5,1830.7,95.0,2775.5,207.0,693.6,1849.4,2759,168.5,45,11.8
0.147077,688.1,144.3,1823.6,98.9,2777.3,208.4,695.3,1842.6,2759.3,168.1,45.1,12.3
0.149077,689.9,147.0,1815.9,99.6,2771.4,214.4,696.5,1834.8,2759.3,167.7,45.1,12.8
0.151077,690.3,148.5,1808.2,96.3,2766.3,218.9,697.1,1826,2759.1,167.3,45.2,13.3
0.153077,688.7,148.4,1801.0,90.8,2766.2,218.8,697.3,1816.2,2758.5,166.9,45.2,13.7
0.155077,686.8,146.4,1794.1,85.6,2768.9,217.9,697.2,1805.6,2757.7,166.6,45.2,14.1
0.157077,686.9,142.1,1788.0,81.2,2769.7,219.0,696.8,1794.2,2756.7,166.3,45.1,14.4
0.159077,689.9,136.7,1782.7,78.7,2766.4,221.1,696.2,1782,2755.5,165.9,45.1,14.6
0.161077,694.2,130.8,1776.5,78.4,2760.1,220.8,695.5,1769.3,2754.1,165.6,45,14.7
0.163077,696.4,123.4,1768.6,80.0,2752.2,216.1,694.7,1756,2752.6,165.3,45,14.7
0.165077,695.1,114.9,1759.5,83.8,2744.8,212.7,693.9,1742.3,2750.9,165.1,44.9,14.7
0.167077,692.6,108.3,1749.7,92.3,2738.9,219.0,693.2,1728.4,2749.2,164.8,44.9,14.8
0.169077,691.6,105.7,1739.8,106.1,2734.9,232.7,692.5,1714.4,2747.4,164.5,44.9,14.9
0.171077,691.7,106.4,1727.7,125.3,2733.1,241.7,691.9,1700.5,2745.6,164.3,44.9,15
0.173077,692.4,109.4,1710.5,148.5,2733.2,240.8,691.4,1686.7,2743.7,164.1,44.8,15
0.175077,693.0,113.6,1687.9,170.0,2735.9,234.7,691,1673.3,2741.9,163.8,44.8,15
0.177077,692.9,119.5,1661.1,180.9,2742.8,228.0,690.8,1660.5,2740.2,163.6,44.7,15
0.179077,692.2,125.0,1633.7,172.7,2749.9,225.8,690.6,1648.3,2738.5,163.4,44.7,14.8
0.181077,691.5,130.0,1611.3,153.2,2755.8,239.5,690.5,1636.9,2736.9,163.2,44.6,14.6
0.183077,691.6,139.1,1600.4,138.8,2761.4,276.8,690.5,1626.5,2735.5,163.1,44.5,14.4
0.185077,692.9,156.4,1597.1,136.8,2765.5,331.6,690.6,1617.2,2734.2,162.9,44.5,14.4
0.187077,694.2,181.2,1595.8,146.0,2766.7,393.5,690.7,1609.1,2733.1,162.7,44.4,14.8
0.189077,693.7,203.1,1595.6,160.3,2759.1,452.3,690.8,1602.3,2732.2,162.6,44.3,15.7
0.191077,691.9,220.7,1596.1,179.3,2740.6,528.8,690.9,1597,2731.4,162.5,44.2,16.7
0.193077,690.8,244.3,1596.9,208.7,2722.1,663.7,691,1593.1,2730.9,162.3,44,17.7
0.195077,691.3,281.0,1599.1,253.4,2703.3,911.3,691,1590.7,2730.6,162.2,43.8,18.6
0.197077,693.2,340.0,1607.7,324.9,2640.5,1387.5,691,1590,2730.5,162.1,43.6,18.7
