time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025946,315.3,3715.7,1821.3,403.5,3039.6,318.0,403.8,1692.9,2694.6,227.5,32.6,-182.2
0.027946,350.2,679.2,1784.4,325.3,2909.8,442.4,404.6,1690.3,2689,227.1,34.5,-138.6
0.029946,387.5,320.9,1742.8,307.9,2787.3,433.0,406,1686.2,2679.9,226.5,36.9,-83.7
0.031946,403.9,211.5,1694.3,355.1,2709.0,469.5,407.8,1680.5,2667.5,226,39.2,-31.9
0.033946,423.1,182.1,1668.0,385.6,2645.1,513.8,410.2,1673.5,2651.9,225.4,41.4,2.5
0.035946,437.8,159.4,1645.3,366.4,2565.7,523.4,413,1665.3,2633.5,224.8,43.3,16.1
0.037946,446.5,131.7,1615.5,324.7,2500.0,495.5,416.2,1656.2,2612.6,224.1,44.8,18.7
0.039946,450.9,108.9,1590.8,276.8,2472.0,461.6,419.9,1646.5,2589.8,223.4,46.1,14.9
0.041946,452.7,90.8,1570.8,236.3,2458.0,458.3,423.8,1636.4,2565.4,222.7,47.2,9.7
0.043946,452.6,78.7,1557.7,213.3,2443.7,492.0,428,1626.3,2540,222,48,7.8
0.045946,451.9,72.6,1551.0,202.3,2416.5,525.0,432.3,1616.3,2513.9,221.2,48.6,9.5
0.047946,451.6,71.0,1548.6,192.4,2372.1,518.0,436.9,1606.8,2487.8,220.4,49,11.4
0.049946,452.3,73.2,1549.8,180.9,2331.7,470.2,441.5,1598.1,2462,219.6,49.3,13.4
0.051946,454.3,78.1,1554.3,169.0,2307.4,409.3,446.1,1590.5,2437.1,218.7,49.6,15.1
0.053946,457.6,84.5,1562.1,160.3,2305.1,357.7,450.7,1584,2413.5,217.9,49.8,16.2
0.055946,461.4,90.7,1572.5,155.6,2318.2,321.2,455.1,1579,2391.5,217,49.9,16.7
0.057946,464.8,96.5,1585.0,154.3,2338.3,297.9,459.4,1575.6,2371.6,216.2,50,16.7
0.059946,467.0,100.6,1596.1,154.8,2355.9,287.8,463.4,1573.8,2353.9,215.3,50.1,16.4
0.061946,468.1,103.8,1604.7,155.0,2369.6,285.7,467.2,1573.8,2338.8,214.4,50.2,16
0.063946,468.2,106.3,1610.0,155.6,2378.5,295.9,470.6,1575.5,2326.4,213.5,50.2,15.9
0.065946,467.3,108.5,1613.7,159.0,2384.7,331.0,473.6,1579,2316.7,212.6,50.2,16
