time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025714,376.5,830.8,2373.8,643.1,3376.8,210.1,264.2,2566.4,3357.6,206,28.1,-200
0.027714,282.0,615.4,2391.8,513.5,3381.4,243.4,264.3,2567,3356.8,205.8,29.7,-169.5
0.029714,266.8,331.5,2397.0,484.2,3371.5,295.0,264.4,2568.1,3355.5,205.6,31.8,-124.6
0.031714,253.9,170.7,2409.3,572.6,3349.9,348.3,264.6,2569.6,3353.7,205.4,33.9,-74.7
0.033714,244.6,102.1,2440.6,828.4,3323.7,422.0,264.9,2571.5,3351.4,205.1,35.8,-29.4
0.035714,241.3,75.7,2517.1,1289.8,3267.4,542.1,265.3,2573.8,3348.7,204.9,37.4,2.1
0.037714,242.3,66.6,2737.7,1502.4,3190.9,603.0,265.7,2576.4,3345.5,204.6,38.8,16.7
0.039714,245.6,65.2,2802.1,976.7,3207.0,670.4,266.3,2579.3,3341.9,204.4,39.9,20.7
0.041714,250.2,68.9,2744.5,619.4,3316.9,664.4,267,2582.4,3337.9,204.1,40.9,18.5
0.043714,255.5,77.9,2699.2,412.5,3411.3,554.4,267.8,2585.7,3333.6,203.8,41.7,14.7
0.045714,261.8,93.6,2670.0,285.5,3452.9,454.5,268.8,2589.2,3329,203.6,42.4,13.7
0.047714,270.6,114.9,2656.4,214.4,3451.7,400.1,269.9,2592.8,3324.2,203.3,43,15.4
0.049714,280.9,132.7,2655.5,186.7,3413.5,351.9,271.2,2596.4,3319.1,203,43.6,17
0.051714,285.2,139.4,2660.4,189.1,3363.6,283.3,272.8,2600,3313.9,202.7,44.1,18.3
0.053714,281.6,138.2,2663.6,208.1,3325.2,216.6,274.5,2603.6,3308.5,202.4,44.5,19.5
0.055714,275.8,132.9,2659.8,232.9,3297.7,165.4,276.5,2607,3303.1,202,45,20.6
0.057714,271.7,127.1,2650.1,257.0,3278.7,128.9,278.8,2610.2,3297.6,201.7,45.4,21.5
0.059714,269.6,122.4,2642.4,279.2,3268.6,106.6,281.2,2613.2,3292.1,201.4,45.7,22.2
0.061714,269.0,119.5,2642.8,299.1,3267.1,97.6,283.9,2615.9,3286.7,201,46.1,22.8
0.063714,270.3,119.8,2646.8,310.2,3270.5,97.9,286.9,2618.3,3281.4,200.7,46.4,23.2
0.065714,274.2,124.4,2645.9,309.9,3273.7,103.3,290.1,2620.3,3276.1,200.3,46.7,23.5
0.067714,280.6,132.4,2639.5,303.3,3273.2,111.5,293.6,2621.9,3271,199.9,47,23.6
0.069714,288.6,140.6,2630.2,292.2,3269.1,120.5,297.3,2623,3266,199.5,47.2,23.4
0.071714,296.5,146.5,2619.3,273.1,3264.2,127.6,301.2,2623.7,3261.2,199.1,47.4,23.1
0.073714,304.2,149.5,2606.8,246.8,3260.1,131.9,305.3,2623.8,3256.6,198.6,47.6,22.9
0.075714,312.7,149.8,2592.5,221.3,3254.5,135.3,309.7,2623.5,3252.2,198.2,47.8,22.8
0.077714,321.7,148.4,2578.1,204.6,3246.0,141.8,314.1,2622.6,3248,197.7,47.9,22.9
0.079714,328.6,148.8,2568.0,199.8,3236.5,154.9,318.8,2621.1,3244.1,197.2,48.1,23.2
0.081714,333.2,153.1,2562.9,202.0,3227.7,172.6,323.5,2619.2,3240.3,196.7,48.2,23.5
0.083714,337.6,158.2,2559.7,201.5,3220.7,187.9,328.3,2616.8,3236.8,196.2,48.3,23.7
0.085714,342.2,161.2,2557.1,196.2,3218.6,201.4,333.2,2613.8,3233.4,195.6,48.4,23.8
0.087714,346.6,161.7,2557.1,190.8,3222.1,222.4,338.1,2610.5,3230.3,195,48.4,23.8
0.089714,350.8,160.8,2562.1,188.1,3226.9,256.7,342.9,2606.7,3227.3,194.4,48.5,23.7
0.091714,355.5,159.0,2572.2,186.0,3227.0,298.2,347.7,2602.5,3224.5,193.8,48.5,23.5
0.093714,361.1,155.9,2582.7,179.4,3221.3,326.2,352.4,2598,3221.9,193.2,48.5,23.2
0.095714,366.5,151.4,2587.2,165.0,3214.2,323.8,357,2593.3,3219.3,192.5,48.5,23
0.097714,370.4,146.8,2585.7,145.9,3208.0,301.4,361.4,2588.4,3216.9,191.8,48.5,22.8
0.099714,372.8,143.4,2582.5,128.3,3202.1,281.6,365.6,2583.3,3214.6,191.1,48.4,22.5
0.101714,374.2,141.6,2580.2,115.2,3196.9,279.6,369.6,2578.1,3212.3,190.3,48.3,22.2
0.103714,374.9,142.7,2579.6,107.1,3194.0,306.1,373.3,2573,3210.1,189.5,48.2,21.9
0.105714,375.4,146.4,2578.5,101.3,3194.2,360.3,376.7,2567.9,3207.8,188.8,48.1,21.5
0.107714,376.7,150.7,2573.9,94.2,3196.0,421.1,379.8,2563,3205.6,187.9,47.9,21.1
0.109714,379.5,154.2,2566.2,86.1,3196.8,460.0,382.5,2558.3,3203.4,187.1,47.6,20.6
0.111714,383.1,157.0,2558.1,78.8,3197.5,466.8,384.9,2553.8,3201.1,186.3,47.3,20
0.113714,386.8,160.7,2552.0,73.1,3201.7,449.7,386.9,2549.8,3198.7,185.4,47,19.4
0.115714,389.8,165.3,2548.3,69.2,3207.9,419.5,388.6,2546.2,3196.3,184.5,46.6,18.7
0.117714,391.2,168.4,2545.9,68.0,3212.4,382.0,389.8,2543.1,3193.8,183.6,46.2,18
0.119714,390.2,167.6,2544.1,70.7,3214.5,341.7,390.7,2540.5,3191.2,182.7,45.7,17.1
0.121714,386.9,161.5,2544.1,77.8,3213.7,306.3,391.1,2538.5,3188.5,181.8,45.2,16.2
0.123714,382.1,148.8,2548.8,88.2,3206.9,284.5,391.2,2537.1,3185.7,180.9,44.6,15.3
0.125714,378.6,130.7,2557.6,97.5,3193.3,277.5,391,2536.5,3182.7,179.9,44.1,14.5
0.127714,376.7,111.9,2564.1,102.0,3179.2,282.1,390.3,2536.5,3179.6,179,43.5,13.6
0.129714,374.8,95.1,2563.9,103.0,3170.4,301.4,389.3,2537.2,3176.4,178,43,12.7
0.131714,373.7,82.0,2559.9,101.9,3166.4,333.3,388.1,2538.6,3173,177.1,42.6,11.8
0.133714,373.2,73.7,2557.6,98.1,3166.8,362.8,386.5,2540.8,3169.5,176.2,42.3,11.1
0.135714,372.3,70.6,2558.9,92.1,3173.9,373.6,384.7,2543.6,3165.8,175.3,42.1,10.6
0.137714,371.7,73.1,2561.7,85.0,3185.5,359.2,382.6,2547.1,3162,174.4,42.1,10.5
0.139714,373.0,81.0,2563.0,77.8,3192.9,325.6,380.3,2551.2,3158,173.5,42.3,10.7
0.141714,376.6,92.4,2562.3,71.5,3191.5,289.2,377.9,2555.9,3153.8,172.6,42.6,11
0.143714,381.1,102.6,2562.1,68.1,3181.5,265.4,375.3,2561.1,3149.5,171.7,42.9,11.4
0.145714,384.2,107.9,2565.2,69.1,3164.7,259.9,372.6,2566.7,3145,170.9,43.3,11.8
0.147714,385.3,108.9,2572.4,76.8,3139.0,271.1,369.8,2572.7,3140.3,170.1,43.6,12.1
0.149714,384.0,107.1,2581.3,93.2,3107.5,295.8,367,2579,3135.5,169.4,43.9,12.6
0.151714,380.3,104.9,2588.5,114.9,3081.6,329.4,364.2,2585.4,3130.4,168.6,44.1,13
0.153714,374.9,102.3,2592.9,130.0,3070.7,370.2,361.4,2591.9,3125.1,167.9,44.2,13.3
0.155714,369.3,97.9,2598.6,132.2,3069.5,417.3,358.7,2598.3,3119.6,167.3,44.3,13.6
0.157714,363.7,90.7,2610.0,127.9,3071.1,461.7,356,2604.6,3113.9,166.7,44.3,13.6
0.159714,358.9,81.8,2623.7,125.9,3076.5,484.4,353.4,2610.6,3107.9,166.1,44.3,13.3
0.161714,354.9,72.9,2634.4,130.5,3084.3,481.6,351,2616.2,3101.7,165.6,44.3,13.1
0.163714,351.0,66.2,2636.2,140.3,3090.7,456.4,348.7,2621.2,3095.2,165.1,44.3,13
0.165714,346.9,62.3,2626.9,149.4,3096.2,420.2,346.5,2625.7,3088.4,164.7,44.4,13
0.167714,343.3,60.8,2613.7,154.6,3100.7,389.7,344.5,2629.4,3081.3,164.3,44.4,13.5
0.169714,340.4,60.3,2606.9,161.0,3100.3,378.8,342.7,2632.2,3073.8,164,44.5,14.1
0.171714,337.7,59.5,2608.8,172.9,3091.4,393.5,341.1,2634.1,3066.1,163.8,44.6,14.9
0.173714,335.3,58.0,2614.5,189.0,3073.2,429.9,339.6,2635,3057.9,163.5,44.7,15.6
0.175714,333.0,55.9,2618.0,202.8,3049.3,476.9,338.4,2634.7,3049.4,163.4,44.7,16
0.177714,331.2,53.6,2613.2,203.9,3027.1,520.2,337.3,2633.2,3040.6,163.2,44.7,16.2
0.179714,330.7,51.2,2600.9,185.5,3015.1,555.1,336.4,2630.4,3031.3,163.1,44.7,16.2
0.181714,331.2,48.8,2589.8,159.8,3014.6,566.9,335.7,2626.2,3021.7,163.1,44.6,16.1
0.183714,331.9,45.7,2583.7,144.7,3016.9,536.9,335.1,2620.8,3011.7,163.1,44.6,16.1
0.185714,332.9,42.4,2580.1,144.9,3012.4,489.6,334.7,2613.9,3001.3,163.2,44.6,16.4
0.187714,334.2,39.9,2575.1,155.4,3000.9,451.2,334.4,2605.6,2990.6,163.3,44.7,17
0.189714,335.1,38.5,2567.1,166.2,2992.5,430.5,334.3,2596,2979.5,163.4,44.9,18
0.191714,335.5,38.0,2556.3,170.9,2995.6,430.0,334.3,2585,2968,163.5,45.1,19
0.193714,335.4,38.0,2543.9,169.1,3006.8,447.9,334.3,2572.7,2956.3,163.7,45.3,19.9
0.195714,334.5,37.4,2536.1,163.9,3009.8,481.9,334.5,2559.1,2944.2,163.9,45.6,20.4
0.197714,333.4,35.9,2537.2,161.2,2984.3,519.1,334.7,2544.4,2932,164.2,45.8,20.5
0.199714,332.5,34.1,2540.3,165.4,2929.6,524.7,335,2528.5,2919.5,164.4,46.1,20.3
0.201714,332.3,32.3,2535.2,176.3,2874.1,485.7,335.4,2511.7,2906.8,164.7,46.3,19.9
0.203714,332.9,30.8,2516.2,188.9,2833.4,414.4,335.8,2494,2894.1,165,46.4,19.5
0.205714,334.2,29.3,2491.6,190.3,2815.6,351.0,336.2,2475.6,2881.2,165.3,46.5,19.1
0.207714,335.0,27.6,2475.7,182.9,2813.3,324.9,336.6,2456.5,2868.4,165.6,46.6,18.7
0.209714,335.4,26.0,2468.9,178.1,2819.7,338.2,337,2437.1,2855.7,165.9,46.7,18.1
