time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025304,875.5,553.2,2461.6,312.9,3169.1,519.2,607.2,2398.9,3173.4,0,30.6,-2.1
0.027304,838.6,471.0,2405.0,371.3,3128.0,438.0,600.8,2402.7,3174.2,0,30.5,-2.4
0.029304,794.5,462.9,2355.3,389.6,3130.0,364.7,590.5,2409,3175.6,0,30.5,-2.4
0.031304,718.4,612.8,2346.1,399.6,3146.7,339.7,576.3,2417.5,3177.4,0,30.7,-2.4
0.033304,624.2,1101.1,2372.2,389.5,3161.5,358.7,558.8,2428.1,3179.5,0,31.3,-2.1
0.035304,480.4,1459.9,2405.1,359.0,3166.7,410.2,538.3,2440.5,3181.8,208.9,32.2,-1.7
0.037304,236.6,541.2,2441.0,310.1,3173.3,465.5,515.3,2454.4,3184.2,208.8,33.2,-0.9
0.039304,253.9,284.4,2475.3,244.9,3199.1,453.7,490.5,2469.5,3186.5,208.7,34.4,0.1
0.041304,254.9,177.3,2504.9,181.3,3231.2,358.2,464.5,2485.3,3188.6,208.6,35.6,1.4
0.043304,258.0,133.9,2531.7,137.6,3246.9,253.3,437.8,2501.6,3190.2,208.5,36.7,2.8
0.045304,264.1,123.8,2554.4,117.9,3248.3,194.4,411.1,2517.9,3191.4,208.5,37.7,4.3
0.047304,272.2,128.6,2573.7,115.6,3244.4,169.9,385.1,2533.8,3191.8,208.4,38.6,5.8
0.049304,280.0,139.1,2587.1,129.8,3238.0,171.7,360.3,2549.1,3191.4,208.3,39.3,7.4
0.051304,288.2,153.6,2598.0,157.6,3224.6,191.0,337.2,2563.4,3190,208.2,40,9.2
0.053304,298.0,171.1,2608.5,182.2,3202.5,205.3,316.4,2576.4,3187.6,208.1,40.6,10.9
0.055304,310.3,186.8,2618.3,192.1,3179.2,198.1,298.2,2588,3184.1,208.1,41.2,12.5
0.057304,321.7,191.8,2624.4,191.4,3163.5,177.5,282.9,2597.9,3179.4,208,41.7,13.9
0.059304,325.9,187.1,2624.1,188.8,3157.1,162.2,270.8,2606.1,3173.6,207.9,42.1,15.1
0.061304,324.8,179.4,2616.9,184.4,3153.8,159.6,261.9,2612.4,3166.7,207.8,42.5,16.2
0.063304,323.6,173.3,2607.6,178.1,3147.3,173.4,256.3,2617,3158.8,207.8,42.9,17.3
0.065304,325.1,169.0,2603.3,178.0,3132.8,202.0,253.9,2619.8,3150,207.7,43.3,18.3
0.067304,329.9,165.2,2607.0,194.9,3111.3,230.7,254.5,2621.1,3140.3,207.6,43.7,19.3
0.069304,335.2,161.3,2611.9,230.7,3093.8,237.6,257.9,2620.8,3130,207.5,44,20.3
0.071304,337.5,159.3,2604.3,278.1,3081.4,228.1,263.8,2619.3,3119.2,207.5,44.3,21.2
0.073304,335.6,160.2,2577.2,314.6,3072.8,215.0,271.8,2616.9,3108,207.4,44.5,22
0.075304,331.3,162.0,2551.3,336.1,3068.4,212.1,281.4,2613.7,3096.8,207.3,44.8,22.9
0.077304,324.8,164.4,2539.9,378.2,3068.8,222.6,292.3,2610,3085.7,207.2,45,23.8
0.079304,317.6,166.4,2545.9,461.4,3071.9,242.4,304,2606.1,3074.9,207.1,45.2,24.7
0.081304,312.5,167.7,2567.9,583.8,3070.7,264.5,315.9,2602.4,3064.6,207,45.3,25.7
0.083304,312.7,169.0,2599.2,679.0,3062.6,280.6,327.8,2599,3055,206.9,45.5,26.5
0.085304,319.3,168.7,2612.1,636.8,3056.7,288.4,339.1,2596.3,3046.3,206.8,45.6,27.2
0.087304,328.2,164.3,2608.8,513.6,3055.1,289.0,349.4,2594.3,3038.6,206.7,45.7,27.7
0.089304,334.5,158.9,2608.4,424.7,3054.2,284.5,358.6,2593.4,3032,206.6,45.8,27.9
0.091304,338.2,154.7,2617.8,384.7,3054.1,281.7,366.3,2593.6,3026.7,206.4,45.8,27.9
0.093304,339.3,152.8,2635.2,384.9,3054.4,285.2,372.3,2595,3022.7,206.2,45.9,27.8
0.095304,339.1,151.8,2653.8,403.4,3053.4,290.7,376.6,2597.7,3020.1,206.1,45.9,27.7
0.097304,339.2,150.0,2661.4,421.7,3050.6,287.4,379.1,2601.7,3018.8,205.9,46,27.6
0.099304,340.7,146.9,2655.6,431.9,3047.0,275.9,379.8,2606.8,3018.9,205.7,46,27.5
0.101304,343.4,143.3,2643.9,443.7,3039.5,266.5,378.9,2613.1,3020.2,205.4,46.1,27.4
0.103304,345.9,140.6,2631.4,459.8,3026.9,264.2,376.5,2620.4,3022.8,205.2,46.1,27.1
0.105304,347.4,139.3,2620.4,469.6,3013.3,264.6,372.8,2628.5,3026.4,204.9,46.2,26.9
0.107304,348.1,138.5,2614.9,461.4,3006.7,261.8,368.1,2637.2,3031.1,204.7,46.3,26.5
0.109304,348.6,136.2,2617.1,440.7,3011.2,254.2,362.6,2646.3,3036.5,204.4,46.3,25.9
0.111304,349.4,132.2,2625.9,421.2,3022.4,245.2,356.6,2655.7,3042.7,204.1,46.4,25.2
0.113304,349.6,129.3,2639.7,420.3,3032.1,244.4,350.5,2665.1,3049.3,203.8,46.5,24.6
0.115304,348.8,129.3,2657.2,443.1,3036.2,257.9,344.5,2674.4,3056.3,203.4,46.5,24.1
0.117304,347.5,130.5,2677.1,474.9,3036.2,283.1,339,2683.2,3063.6,203.1,46.6,23.8
0.119304,347.2,128.7,2689.8,475.5,3041.7,300.8,334.1,2691.5,3070.8,202.7,46.7,23.8
0.121304,348.4,122.2,2691.1,431.3,3059.7,294.0,330.1,2699,3078,202.4,46.8,23.9
0.123304,350.0,114.9,2692.2,376.3,3079.9,272.4,327.1,2705.8,3085,202,46.9,24.1
0.125304,351.6,109.9,2701.0,332.2,3096.4,258.0,325.2,2711.7,3091.6,201.6,47,24.1
0.127304,353.3,107.3,2716.0,299.8,3109.5,258.1,324.6,2716.6,3097.8,201.2,47.1,23.9
0.129304,355.2,105.3,2730.9,276.8,3118.5,269.6,325.1,2720.5,3103.6,200.8,47.2,23.6
0.131304,357.4,102.9,2741.5,260.8,3123.8,285.7,326.9,2723.6,3108.8,200.3,47.3,23.1
0.133304,359.5,100.5,2741.6,254.6,3125.1,290.6,329.6,2725.8,3113.4,199.9,47.4,22.7
0.135304,361.1,99.2,2731.8,253.6,3127.6,277.8,333.3,2727.2,3117.5,199.4,47.5,22.3
0.137304,362.1,99.7,2718.8,254.0,3134.1,260.0,337.8,2727.9,3121,199,47.6,22
0.139304,362.6,100.8,2711.4,254.9,3139.7,249.7,342.7,2728.1,3123.9,198.5,47.7,21.8
0.141304,362.6,101.9,2711.1,258.0,3141.0,247.5,348,2728,3126.4,198,47.7,21.6
0.143304,361.9,103.5,2714.9,266.9,3137.5,251.7,353.3,2727.6,3128.4,197.5,47.8,21.5
0.145304,360.1,106.7,2719.4,285.6,3130.2,260.1,358.4,2727.2,3130.1,197,47.9,21.4
0.147304,357.0,111.5,2725.0,312.8,3120.7,271.4,363.1,2726.8,3131.4,196.5,47.9,21.4
0.149304,354.0,115.9,2732.3,329.3,3116.0,281.9,367.2,2726.7,3132.5,196,48,21.5
0.151304,351.5,119.0,2740.0,318.4,3121.7,288.9,370.5,2726.9,3133.3,195.5,48,21.6
