time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025435,367.4,135.8,2155.7,141.2,2579.3,287.8,405.7,2262.7,2503.5,222.8,43.2,6.6
0.027435,399.3,98.3,2171.3,138.4,2553.5,265.8,407,2254.2,2507.9,223,44.2,7.9
0.029435,414.1,74.7,2197.2,154.7,2522.8,265.5,409.3,2241.3,2515,223.2,45,9.3
0.031435,422.4,63.8,2233.4,185.3,2492.5,277.2,412.4,2225.9,2524.6,223.4,45.7,10.9
0.033435,427.4,61.9,2266.2,206.8,2474.0,289.3,416.3,2210.3,2536.4,223.5,46.1,12.3
0.035435,431.2,64.2,2273.8,191.8,2483.0,293.6,420.9,2196.7,2550.1,223.7,46.4,13.8
0.037435,435.3,68.3,2264.2,150.2,2519.2,295.1,426.2,2187.5,2565.1,223.9,46.6,15.4
0.039435,439.9,72.1,2254.0,113.7,2566.4,291.1,431.8,2184.4,2581.1,224.1,46.7,17
0.041435,445.1,73.6,2246.4,89.4,2614.8,270.3,437.8,2188.4,2597.7,224.3,46.8,18.4
0.043435,450.1,72.6,2242.7,78.6,2647.0,237.6,443.7,2199.9,2614.7,224.5,46.7,19.6
0.045435,453.6,71.2,2242.2,78.1,2662.2,213.1,449.4,2218,2631.8,224.7,46.7,20.4
0.047435,455.9,70.5,2243.3,85.7,2670.1,204.3,454.6,2241.4,2649,224.9,46.7,20.9
0.049435,457.0,70.4,2245.6,98.6,2676.7,212.5,459.1,2267.7,2666.1,225,46.7,21.3
0.051435,457.5,70.6,2250.7,114.2,2686.8,237.3,462.5,2294.4,2683.4,225.2,46.7,21.7
0.053435,457.5,71.0,2259.8,126.7,2701.8,279.1,464.8,2318.5,2701.1,225.3,46.7,22.2
0.055435,457.2,71.7,2272.2,133.2,2720.2,337.8,465.9,2337.5,2719.5,225.5,46.7,22.9
0.057435,456.6,72.8,2287.1,134.9,2742.6,417.1,465.6,2349.2,2739,225.6,46.8,23.5
0.059435,455.7,73.8,2299.4,134.0,2763.6,488.4,464,2352.3,2760.1,225.7,46.9,24.2
0.061435,454.4,74.3,2308.2,134.0,2778.5,525.9,461.4,2346.4,2783,225.7,47,24.9
0.063435,453.1,74.4,2313.5,133.8,2789.1,528.3,457.9,2332.3,2808.3,225.8,47.1,25.5
0.065435,451.8,74.8,2316.5,129.2,2807.5,529.6,453.9,2311.7,2836,225.8,47.2,26.1
0.067435,450.6,75.8,2316.4,119.6,2843.3,547.5,449.8,2287.4,2866.1,225.8,47.3,26.8
0.069435,449.8,76.7,2312.1,108.5,2892.6,573.9,445.9,2262.6,2898.4,225.8,47.3,27.4
0.071435,449.7,76.9,2304.5,97.1,2954.4,592.8,442.6,2240.7,2932.4,225.7,47.4,28
0.073435,450.0,76.3,2296.8,87.9,3009.7,585.9,440.2,2225.2,2967.2,225.6,47.4,28.3
0.075435,450.5,75.1,2291.5,82.7,3038.0,567.1,439.1,2218.8,3001.9,225.5,47.4,28.5
0.077435,450.9,73.5,2288.0,81.1,3042.5,563.1,439.3,2223.1,3035,225.4,47.4,28.5
0.079435,451.3,71.5,2285.6,81.6,3038.4,585.3,440.8,2238.6,3065.1,225.2,47.5,28.5
0.081435,451.5,69.7,2283.3,82.0,3044.2,624.0,443.6,2264.1,3090.3,224.9,47.5,28.3
0.083435,451.3,68.8,2280.9,80.5,3076.0,634.4,447.3,2296.9,3109,224.7,47.5,28.1
0.085435,450.5,69.1,2278.3,77.6,3113.9,575.2,451.5,2333,3119.4,224.4,47.5,27.7
0.087435,449.3,70.0,2275.3,75.6,3130.0,494.9,455.8,2366.8,3119.9,224,47.6,27.3
0.089435,447.9,71.0,2273.1,77.8,3129.6,451.0,459.6,2392.4,3109.2,223.7,47.6,26.8
0.091435,446.2,71.8,2272.1,87.9,3116.9,444.2,462.3,2403.4,3086.3,223.3,47.6,26.3
0.093435,444.4,71.8,2273.0,111.1,3083.5,473.0,463.5,2393.8,3050.8,222.8,47.7,25.7
0.095435,442.6,70.9,2275.6,151.7,3021.7,517.6,462.7,2358.5,3002.7,222.4,47.7,25
0.097435,441.2,69.7,2275.8,220.4,2925.3,547.1,459.5,2294.1,2942.6,221.9,47.7,24.4
0.099435,441.1,69.4,2260.8,313.5,2819.8,525.1,453.9,2199.1,2871.9,221.4,47.7,23.6
0.101435,443.1,71.6,2217.3,411.0,2738.0,451.2,445.8,2074.1,2792.4,220.8,47.6,22.7
0.103435,446.2,79.1,2180.1,472.5,2705.3,418.2,435.6,1922.4,2706.4,220.3,47.6,21.5
0.105435,448.6,93.3,2188.0,512.4,2708.0,466.9,423.6,1749.5,2616.9,219.7,47.5,19.8
0.107435,447.3,117.0,2233.1,482.6,2768.0,570.8,410.4,1562.8,2526.9,219.2,47.4,17.6
0.109435,438.6,147.9,524.6,1763.0,2246.7,395.9,396.7,1371.7,2439.8,218.6,47.3,15.3
0.111435,418.4,180.5,718.4,1113.7,2229.8,338.2,383.3,1186.1,2359.1,218,47.2,13.4
0.113435,392.5,200.6,767.1,822.1,2204.7,321.6,370.9,1016.4,2287.9,217.4,47.1,12.1
0.115435,368.4,210.6,790.6,698.2,2188.5,325.3,360.4,872.6,2229.1,216.9,47.1,11.6
0.117435,340.7,209.4,821.8,629.0,2192.4,320.8,352.4,763.1,2185.3,216.3,47.1,11.6
0.119435,311.6,193.3,864.7,582.7,2220.4,294.9,347.4,694.5,2158.2,215.8,47.3,11.9
0.121435,283.1,162.7,911.7,520.0,2259.3,249.4,345.6,671.2,2149.1,215.3,47.5,12.6
