time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025340,635.1,576.9,2418.1,281.6,3044.2,521.7,317.4,2480.4,3082.5,227.7,31,-2.7
0.027340,404.4,640.8,2445.3,385.7,2991.2,728.4,317.7,2483,3084.7,227.5,31.6,-2.7
0.029340,299.1,465.5,2452.4,503.3,2948.3,728.0,318.2,2487.4,3088.2,227.3,32.6,-2.8
0.031340,277.4,247.6,2401.1,678.1,2954.8,519.3,318.8,2493.3,3093.1,227,34.1,-2.9
0.033340,265.5,126.9,2365.6,821.6,2981.8,386.2,319.6,2500.8,3099.2,226.8,35.7,-2.5
0.035340,257.6,67.2,2451.3,838.5,3002.1,400.1,320.5,2509.8,3106.5,226.5,37.2,-1.4
0.037340,254.6,44.0,2576.0,630.5,3061.8,537.2,321.7,2520,3114.8,226.3,38.5,0.7
0.039340,256.8,42.5,2623.6,449.7,3169.7,575.4,323,2531.3,3124.1,226,39.6,3.7
0.041340,265.0,56.0,2640.7,353.4,3223.2,521.3,324.4,2543.6,3134.1,225.8,40.6,7
0.043340,278.6,79.5,2635.7,297.2,3238.7,491.1,326.1,2556.6,3144.8,225.6,41.3,10.1
0.045340,297.1,108.0,2614.2,243.3,3257.6,470.7,327.8,2570.2,3155.9,225.3,42,12.6
0.047340,315.7,128.8,2594.7,194.0,3289.6,465.5,329.7,2584.1,3167.3,225.1,42.5,14.3
0.049340,326.7,135.1,2591.2,162.9,3322.8,473.4,331.7,2598.2,3178.8,224.9,42.9,15.5
0.051340,329.4,134.0,2603.9,151.7,3345.1,475.7,333.8,2612.2,3190.3,224.7,43.3,16.5
0.053340,328.9,132.3,2628.7,160.5,3349.1,463.6,336,2626,3201.7,224.5,43.5,17.3
0.055340,329.6,132.4,2668.9,189.5,3332.5,445.9,338.4,2639.4,3212.6,224.3,43.8,18.1
0.057340,333.6,134.8,2715.6,226.7,3296.2,423.5,340.7,2652.2,3223.1,224.1,43.9,19.1
0.059340,340.6,138.1,2742.5,245.1,3261.1,379.9,343.2,2664.2,3233,223.9,44.1,19.9
0.061340,348.9,141.2,2744.7,238.4,3243.1,336.1,345.6,2675.3,3242.1,223.7,44.2,20.8
0.063340,357.1,143.9,2734.4,219.1,3239.0,314.9,348.1,2685.5,3250.4,223.5,44.3,21.5
0.065340,364.7,145.7,2719.1,195.9,3237.7,299.7,350.6,2694.6,3257.8,223.3,44.4,22.1
0.067340,368.1,145.7,2705.0,177.2,3233.2,275.2,353,2702.6,3264.2,223,44.5,22.6
0.069340,367.6,144.1,2695.3,166.2,3225.8,246.8,355.4,2709.3,3269.6,222.8,44.7,22.9
0.071340,366.1,141.7,2689.2,160.1,3218.2,225.5,357.7,2714.9,3274,222.6,44.8,23.2
0.073340,365.7,139.8,2686.2,157.0,3213.0,217.2,359.9,2719.3,3277.4,222.4,45,23.4
0.075340,366.7,138.6,2685.2,154.2,3210.5,216.4,362,2722.5,3279.7,222.2,45.1,23.5
0.077340,368.6,138.1,2685.7,150.8,3211.4,216.8,363.9,2724.7,3281.1,221.9,45.2,23.4
0.079340,370.5,138.2,2686.8,147.7,3214.3,216.7,365.6,2725.8,3281.6,221.7,45.3,23.2
0.081340,372.2,138.8,2688.0,145.1,3218.4,220.0,367.2,2726,3281.3,221.4,45.4,22.9
0.083340,373.4,139.6,2689.1,142.7,3225.0,229.0,368.5,2725.3,3280.2,221.2,45.5,22.5
0.085340,374.2,140.3,2691.2,140.6,3236.7,244.7,369.6,2724,3278.5,220.9,45.5,22.3
0.087340,374.4,141.1,2694.9,140.5,3253.6,266.5,370.4,2722,3276.3,220.6,45.6,22
0.089340,374.3,142.3,2698.8,143.7,3270.6,291.1,370.9,2719.6,3273.7,220.3,45.6,21.7
0.091340,375.1,144.1,2701.0,150.0,3281.6,314.2,371.1,2717,3270.7,220,45.6,21.5
