time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025147,443.3,78.7,2306.5,98.3,2791.1,413.1,465.8,2316.2,2839.7,230.1,45.1,2.7
0.027147,452.1,69.7,2309.1,88.3,2790.1,433.2,465.5,2316.2,2840.1,230,45.2,3.5
0.029147,457.8,65.9,2311.3,77.2,2798.2,436.8,465,2316.2,2840.8,229.9,45.3,5.8
0.031147,461.3,65.2,2312.0,67.5,2815.9,422.8,464.4,2316.3,2841.7,229.8,45.4,8.9
0.033147,462.7,65.4,2311.0,61.6,2838.5,397.4,463.6,2316.3,2842.8,229.7,45.6,11.9
0.035147,462.6,65.0,2309.0,60.2,2859.7,368.5,462.7,2316.4,2844.1,229.6,45.8,14.3
0.037147,462.3,64.1,2307.7,62.8,2874.3,340.2,461.7,2316.4,2845.5,229.5,46,15.8
0.039147,462.4,62.8,2308.3,67.9,2879.7,313.4,460.7,2316.3,2847.1,229.4,46.3,17.1
0.041147,463.0,60.8,2310.7,74.0,2877.8,286.7,459.8,2316.2,2848.6,229.3,46.7,18.2
0.043147,463.8,58.1,2313.6,80.3,2872.6,262.2,458.9,2316,2850.2,229.2,47.1,19
0.045147,464.5,54.4,2316.6,87.5,2867.9,246.2,458.1,2315.7,2851.7,229.1,47.5,19.7
0.047147,465.2,49.8,2319.5,96.3,2865.6,241.3,457.5,2315.2,2853.1,228.9,48,20
0.049147,465.8,45.0,2322.2,105.4,2866.9,243.6,457.1,2314.6,2854.4,228.8,48.5,20
0.051147,466.5,40.8,2324.5,111.5,2871.5,245.9,457,2313.7,2855.4,228.7,49,19.8
0.053147,467.0,37.2,2326.2,113.5,2876.2,245.0,457.2,2312.7,2856.2,228.5,49.6,19.6
0.055147,467.2,33.9,2326.9,114.8,2878.6,243.8,457.7,2311.4,2856.6,228.4,50.3,19.4
0.057147,467.1,30.7,2326.3,118.2,2878.2,246.0,458.7,2309.8,2856.7,228.2,50.9,19.2
0.059147,467.1,27.8,2323.9,123.2,2876.3,250.8,460.1,2307.9,2856.4,228,51.5,19
0.061147,467.5,25.5,2320.0,126.8,2874.3,254.9,462,2305.8,2855.7,227.9,52.1,18.8
0.063147,468.3,24.1,2315.1,126.8,2872.2,256.9,464.4,2303.3,2854.5,227.7,52.7,18.5
0.065147,469.5,23.6,2309.9,124.4,2868.4,260.4,467.2,2300.4,2852.9,227.5,53.2,18.3
0.067147,470.9,24.0,2305.0,123.3,2859.6,272.6,470.6,2297.1,2850.8,227.3,53.6,18
0.069147,472.7,25.4,2300.5,127.9,2842.4,299.0,474.4,2293.5,2848.2,227.1,53.9,17.6
0.071147,474.7,27.8,2295.9,141.2,2815.9,339.4,478.8,2289.5,2845.2,226.9,54.2,17.2
0.073147,477.2,31.5,2291.2,164.2,2785.9,385.5,483.6,2285.1,2841.7,226.6,54.4,16.9
0.075147,480.3,36.8,2285.6,192.3,2765.6,426.0,488.9,2280.4,2837.7,226.4,54.5,16.8
0.077147,484.3,44.2,2276.5,212.4,2764.4,446.8,494.6,2275.2,2833.4,226.1,54.4,16.8
0.079147,490.3,53.8,2261.3,212.9,2776.4,439.6,500.7,2269.7,2828.6,225.9,54.4,16.9
0.081147,498.5,65.3,2244.1,196.0,2791.0,422.0,507.1,2263.8,2823.4,225.6,54.2,17.1
0.083147,508.7,76.9,2230.1,172.7,2804.3,409.4,513.8,2257.6,2817.9,225.3,54.1,17.4
0.085147,519.7,87.2,2221.0,151.6,2816.8,401.0,520.8,2251,2812.1,224.9,54,18
0.087147,530.0,95.1,2215.9,135.4,2828.3,392.7,527.9,2244.3,2806,224.6,53.9,18.8
0.089147,538.6,100.4,2213.2,124.3,2836.9,391.2,535.2,2237.2,2799.6,224.2,53.9,19.9
0.091147,545.2,103.7,2211.7,117.6,2841.1,409.5,542.6,2230,2793.1,223.9,53.9,21.1
0.093147,550.4,105.5,2210.2,114.3,2836.7,453.7,550,2222.6,2786.4,223.5,54,22.2
0.095147,555.7,105.9,2208.0,113.8,2815.2,515.2,557.3,2215.1,2779.5,223,54.1,22.9
0.097147,561.8,105.3,2204.7,115.4,2779.2,555.9,564.6,2207.5,2772.6,222.6,54.2,23.1
0.099147,568.8,104.0,2200.0,116.9,2755.3,542.5,571.7,2199.9,2765.5,222.1,54.3,23
0.101147,576.2,102.3,2194.0,116.9,2753.2,494.2,578.7,2192.4,2758.5,221.6,54.4,22.8
0.103147,583.6,100.0,2187.3,116.4,2757.5,447.1,585.4,2184.9,2751.4,221.1,54.5,22.5
0.105147,590.2,97.7,2180.9,116.6,2756.4,422.5,591.8,2177.6,2744.3,220.6,54.6,22.3
0.107147,596.2,96.1,2175.9,118.2,2746.1,426.0,597.9,2170.5,2737.2,220,54.7,22.3
0.109147,601.6,95.2,2172.8,121.7,2727.0,451.5,603.7,2163.6,2730.2,219.4,54.8,22.3
0.111147,607.0,94.6,2170.8,126.3,2707.2,481.6,609.1,2157.1,2723.2,218.7,54.8,22.3
0.113147,612.5,93.5,2168.7,130.3,2699.7,497.8,614.1,2150.8,2716.2,218.1,54.8,22.2
0.115147,618.1,91.5,2165.9,133.6,2705.1,500.3,618.7,2145,2709.4,217.4,54.8,21.9
0.117147,623.8,88.8,2162.8,137.0,2710.4,501.1,622.8,2139.6,2702.6,216.6,54.7,21.4
0.119147,629.3,85.7,2159.2,139.5,2707.0,508.3,626.5,2134.6,2695.9,215.8,54.6,20.6
0.121147,634.3,82.5,2155.2,138.7,2697.0,519.3,629.7,2130.2,2689.3,215,54.5,19.7
0.123147,638.5,79.2,2150.3,133.7,2685.6,518.3,632.5,2126.2,2682.9,214.2,54.4,18.8
0.125147,642.1,75.6,2144.0,126.9,2677.1,488.8,634.8,2122.7,2676.5,213.3,54.3,17.9
0.127147,645.0,72.3,2136.4,122.2,2673.3,440.4,636.7,2119.7,2670.4,212.4,54.1,17
0.129147,646.7,70.5,2127.1,123.3,2670.6,402.3,638,2117.3,2664.4,211.5,54,16
0.131147,646.9,71.2,2115.4,133.0,2662.3,396.0,639,2115.3,2658.6,210.5,53.9,15
0.133147,646.0,74.4,2101.9,150.7,2645.8,426.7,639.5,2113.9,2653.1,209.5,53.8,14.2
0.135147,644.8,79.0,2090.1,171.4,2626.4,482.1,639.5,2112.9,2647.8,208.5,53.8,13.6
0.137147,644.3,83.2,2082.2,189.5,2615.9,526.0,639.1,2112.4,2642.9,207.4,53.8,13.3
0.139147,644.1,85.1,2076.9,205.6,2616.5,530.3,638.3,2112.2,2638.2,206.4,53.9,13.2
0.141147,643.0,84.6,2074.6,223.6,2619.6,509.3,637,2112.4,2634,205.3,54,13.3
