time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025100,388.8,39.9,2561.0,105.6,3028.2,613.8,405.3,2513.9,2945.1,184.5,52.7,23.8
0.027100,392.7,43.2,2560.0,117.7,2989.9,669.2,405.8,2512.5,2944.4,184.3,52.6,23.4
0.029100,396.0,46.2,2555.9,135.3,2972.6,711.4,406.8,2510.3,2943.2,184.2,52.6,22.8
0.031100,399.1,49.5,2544.3,156.0,2962.4,706.1,408.1,2507.2,2941.5,184.1,52.6,22.3
0.033100,402.3,53.1,2530.2,172.8,2955.0,681.5,409.8,2503.3,2939.4,183.9,52.5,21.7
0.035100,405.4,56.8,2520.6,188.8,2949.8,684.8,411.8,2498.5,2936.8,183.8,52.4,21.3
0.037100,408.3,61.0,2513.0,217.3,2943.4,709.5,414.3,2492.9,2933.8,183.6,52.3,21
0.039100,410.7,65.0,2499.4,260.1,2939.2,685.0,417.1,2486.6,2930.4,183.4,52.2,20.8
0.041100,413.5,68.7,2474.3,292.8,2943.0,579.9,420.3,2479.5,2926.7,183.3,52,20.7
0.043100,417.4,72.3,2452.8,287.1,2941.3,486.8,423.8,2471.8,2922.6,183.1,51.9,20.6
0.045100,422.5,76.1,2437.6,273.4,2924.7,444.1,427.8,2463.4,2918.2,182.9,51.7,20.6
0.047100,429.0,80.6,2420.4,275.5,2891.7,438.9,432.1,2454.4,2913.5,182.7,51.6,20.5
0.049100,435.7,85.8,2402.7,294.4,2852.7,455.8,436.7,2444.9,2908.5,182.5,51.4,20.5
0.051100,443.5,91.6,2384.1,309.9,2827.4,457.8,441.8,2434.9,2903.4,182.3,51.3,20.6
0.053100,453.2,96.0,2364.1,295.2,2830.8,411.0,447.1,2424.4,2898,182.1,51.1,20.6
0.055100,463.2,98.4,2351.8,259.3,2841.2,359.3,452.9,2413.6,2892.5,181.9,51,20.5
0.057100,472.6,100.3,2348.7,220.2,2847.0,331.9,458.9,2402.5,2886.9,181.7,50.9,20.3
0.059100,480.9,102.6,2349.9,191.4,2847.6,326.9,465.3,2391.1,2881.1,181.5,50.8,19.9
0.061100,490.0,104.6,2350.3,172.3,2845.0,330.3,471.9,2379.4,2875.3,181.3,50.7,19.4
0.063100,500.2,104.4,2347.0,162.6,2841.0,334.4,478.9,2367.7,2869.5,181.1,50.7,18.9
0.065100,510.1,102.1,2340.9,159.4,2839.0,339.4,486.1,2355.8,2863.6,180.9,50.7,18.4
0.067100,519.0,97.9,2334.2,160.2,2844.0,351.7,493.5,2343.8,2857.7,180.7,50.7,18.2
0.069100,526.2,93.0,2327.8,165.5,2853.7,372.8,501.2,2331.8,2851.9,180.5,50.7,18.1
0.071100,533.0,87.2,2318.7,177.2,2857.5,401.1,509,2319.9,2846.1,180.2,50.8,18.1
0.073100,538.4,81.3,2307.7,190.8,2844.4,429.7,517,2308,2840.3,180,51,18
0.075100,542.4,75.8,2298.9,195.4,2819.7,447.6,525.1,2296.1,2834.5,179.8,51.1,18
0.077100,545.0,70.5,2294.7,185.3,2804.1,454.7,533.4,2284.5,2828.9,179.5,51.3,17.8
0.079100,545.8,66.0,2295.3,167.1,2816.3,458.5,541.6,2272.9,2823.2,179.3,51.6,17.5
0.081100,546.2,62.0,2296.6,151.2,2842.7,454.6,549.9,2261.6,2817.6,179.1,51.8,17.2
0.083100,547.6,58.7,2295.3,144.4,2858.8,444.5,558.2,2250.4,2812.1,178.8,52,16.9
0.085100,550.2,56.7,2291.2,147.4,2859.2,445.6,566.4,2239.4,2806.6,178.6,52.2,16.5
0.087100,554.3,56.0,2283.9,160.5,2845.8,466.4,574.5,2228.7,2801.1,178.3,52.4,16
0.089100,558.9,56.9,2274.1,180.5,2823.2,503.6,582.5,2218.1,2795.6,178,52.4,15.5
0.091100,563.7,60.0,2263.1,206.7,2797.4,568.6,590.4,2207.7,2790.1,177.8,52.4,14.9
0.093100,569.0,65.8,2253.5,234.7,2779.9,668.2,598.1,2197.6,2784.6,177.5,52.3,14.4
0.095100,575.5,73.3,2240.0,257.3,2780.8,743.8,605.5,2187.6,2779.1,177.2,52.2,13.9
0.097100,585.4,82.4,2210.8,275.7,2789.8,712.2,612.7,2177.8,2773.5,176.9,51.9,13.6
0.099100,598.8,91.4,2172.8,280.8,2795.1,618.8,619.6,2168.2,2767.8,176.6,51.5,13.3
0.101100,615.7,98.7,2137.8,273.8,2795.4,545.0,626.1,2158.7,2762,176.4,51.1,13.1
0.103100,633.4,102.6,2112.5,267.6,2786.5,513.9,632.4,2149.2,2756.1,176.1,50.8,13
0.105100,648.8,102.7,2095.3,268.4,2771.0,506.4,638.3,2139.9,2750.1,175.8,50.4,13.1
0.107100,661.1,98.8,2084.0,273.2,2754.7,497.5,643.8,2130.6,2744,175.5,50.2,13.3
0.109100,668.0,92.3,2078.7,278.8,2743.4,480.3,649,2121.4,2737.6,175.2,50.1,13.7
0.111100,670.8,86.0,2076.9,285.8,2733.9,467.3,653.8,2112.1,2731.1,175,50,14.3
