time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025748,421.1,150.5,2357.2,260.9,2981.8,448.0,460.9,2339.9,2947.4,240.5,44.5,2.4
0.027748,450.7,125.7,2353.5,248.7,2941.2,396.0,461.5,2337.3,2938.3,240.1,46.2,15.9
0.029748,468.9,93.6,2345.3,233.6,2914.7,355.8,462.5,2333,2923.3,239.6,47.7,18.4
0.031748,478.7,65.2,2336.0,220.6,2892.7,336.7,464,2327.1,2902.9,239.1,49,14.6
0.033748,483.2,46.2,2325.4,213.5,2869.7,336.2,466.1,2319.5,2877.7,238.6,50.2,9.4
0.035748,485.5,33.3,2311.1,209.6,2840.3,339.8,468.8,2310.3,2848.2,238,51.2,7.5
0.037748,486.9,25.6,2295.1,207.7,2810.5,335.1,472.3,2299.6,2815.2,237.4,52,9.2
0.039748,487.9,20.9,2278.7,210.6,2782.4,324.5,476.6,2287.4,2779.6,236.8,52.8,11.4
0.041748,488.7,18.6,2261.1,228.1,2752.4,317.9,481.7,2273.7,2742.1,236.1,53.4,13.6
0.043748,489.6,18.6,2242.3,272.1,2720.8,324.8,487.8,2258.7,2703.6,235.4,53.8,15.4
0.045748,490.9,20.9,2221.2,359.5,2685.2,351.3,494.9,2242.4,2665,234.7,54.1,16.4
0.047748,492.9,25.7,2205.6,491.2,2645.1,397.9,502.9,2224.9,2627.1,233.9,54.2,16.4
0.049748,495.9,33.6,2203.2,690.5,2583.4,454.9,511.8,2206.2,2590.5,233.1,54.1,15.7
0.051748,501.0,46.4,2192.1,1009.1,2499.3,450.0,521.6,2186.5,2555.9,232.3,53.8,14.5
0.053748,509.8,64.4,2128.7,1246.2,2455.6,411.0,532.1,2165.7,2523.9,231.4,53.3,13.4
0.055748,525.8,89.5,2089.6,1236.5,2439.5,413.1,543.3,2144,2494.7,230.5,52.7,12.7
0.057748,549.6,114.9,2104.1,1058.9,2440.9,463.7,554.9,2121.5,2468.8,229.7,52.2,12.5
0.059748,577.7,131.4,2118.1,831.2,2461.8,548.5,566.8,2098.2,2446.1,228.8,51.7,12.3
0.061748,601.2,134.8,2103.0,664.0,2491.1,601.2,578.9,2074.3,2426.8,227.8,51.4,12.3
0.063748,614.0,131.3,2086.4,591.4,2488.5,610.6,590.8,2050,2410.7,226.9,51.3,12.6
0.065748,620.6,126.8,2073.2,569.2,2452.6,593.2,602.6,2025.3,2397.7,226,51.4,13.1
0.067748,625.0,123.1,2054.1,580.0,2407.7,537.3,613.9,2000.4,2387.4,225.1,51.6,14.2
0.069748,629.5,119.6,2019.0,600.1,2377.0,458.4,624.7,1975.6,2379.6,224.1,51.9,15.7
0.071748,634.8,115.7,1971.0,610.7,2362.9,387.8,634.9,1951,2373.9,223.2,52.2,17.3
0.073748,640.1,112.0,1922.3,611.3,2356.7,341.8,644.5,1926.7,2369.8,222.3,52.4,18.8
0.075748,646.2,108.4,1875.7,596.4,2352.1,315.7,653.3,1903.1,2367,221.3,52.7,19.7
0.077748,653.0,104.4,1842.6,556.0,2349.2,305.4,661.4,1880.2,2365,220.4,52.8,19.9
0.079748,661.2,99.1,1821.8,493.0,2349.0,296.9,668.9,1858.4,2363.5,219.4,53,19.7
0.081748,670.4,92.7,1808.2,427.4,2350.2,281.6,675.9,1837.8,2362.2,218.5,53.2,19.2
0.083748,678.6,88.2,1799.1,389.0,2349.6,267.9,682.5,1818.4,2360.8,217.6,53.3,18.6
0.085748,685.6,87.6,1791.9,385.6,2347.1,266.6,688.8,1800.6,2359.2,216.6,53.4,18
0.087748,690.7,91.3,1787.0,415.9,2346.2,281.2,694.9,1784.2,2357.1,215.7,53.5,17.5
0.089748,694.9,96.9,1783.3,462.6,2349.6,302.8,701,1769.5,2354.5,214.7,53.5,17
0.091748,700.2,100.6,1773.4,493.6,2356.2,310.1,707.2,1756.2,2351.4,213.8,53.6,16.4
0.093748,707.4,100.2,1753.2,483.7,2358.1,294.3,713.6,1744.4,2347.8,212.8,53.6,15.8
0.095748,717.4,97.4,1728.2,444.2,2352.3,269.7,720.3,1734,2343.7,211.8,53.5,15.2
0.097748,728.8,94.1,1708.7,396.9,2342.4,247.3,727.2,1724.6,2339.3,210.9,53.5,14.7
0.099748,741.2,91.3,1697.7,351.9,2332.8,226.2,734.4,1716.2,2334.7,209.9,53.4,14.1
0.101748,754.2,89.1,1696.0,317.5,2327.1,207.2,741.7,1708.3,2329.9,208.9,53.4,13.5
0.103748,765.2,87.7,1700.5,301.1,2326.0,194.6,749.1,1700.5,2325.2,207.9,53.5,13
0.105748,773.6,86.4,1705.3,299.0,2327.2,187.7,756.2,1692.7,2320.5,206.9,53.5,12.7
0.107748,778.4,84.8,1704.9,305.5,2327.9,186.4,763,1684.2,2316.1,205.9,53.6,12.6
0.109748,780.3,83.3,1696.9,315.7,2326.9,190.4,769,1674.8,2311.9,204.9,53.7,12.7
0.111748,779.5,83.2,1681.0,328.9,2322.2,200.7,774.1,1664.1,2308,203.9,53.8,12.8
0.113748,775.8,86.3,1660.1,344.7,2312.5,215.6,778,1651.7,2304.4,202.8,53.8,13
0.115748,769.7,92.6,1635.5,361.6,2297.6,230.6,780.3,1637.2,2301,201.8,53.9,13
0.117748,763.2,99.5,1613.0,369.4,2285.4,233.1,780.9,1620.5,2298,200.8,53.9,12.9
0.119748,757.3,105.5,1594.2,362.7,2281.8,220.6,779.5,1601.3,2295,199.8,54,12.7
0.121748,752.4,109.9,1577.8,347.7,2284.5,201.8,775.9,1579.7,2292.2,198.8,54.1,12.5
0.123748,749.1,112.1,1562.3,334.7,2286.4,187.2,770.1,1555.5,2289.5,197.7,54.2,12.2
0.125748,747.2,111.8,1542.9,328.4,2284.6,178.2,762,1528.9,2286.7,196.7,54.3,11.9
0.127748,745.9,110.0,1518.2,331.7,2280.0,174.4,751.8,1500.2,2283.8,195.7,54.4,11.7
0.129748,743.9,108.6,1483.9,339.3,2274.5,170.4,739.5,1469.7,2280.8,194.8,54.4,11.5
0.131748,739.6,110.0,1437.2,342.1,2270.4,161.3,725.4,1437.8,2277.6,193.8,54.3,11.3
0.133748,731.5,115.9,1387.6,332.4,2270.4,146.8,709.9,1404.9,2274.3,192.9,54.1,10.9
0.135748,717.8,127.1,1340.8,309.6,2273.7,130.2,693.3,1371.8,2270.8,192,53.9,10.5
0.137748,697.4,141.9,1301.7,277.9,2277.1,117.9,676.2,1339,2267.3,191.1,53.5,9.8
0.139748,675.0,154.8,1276.2,252.0,2276.5,117.9,658.9,1307.2,2263.7,190.2,53,9
0.141748,652.0,163.6,1257.3,235.9,2270.3,135.3,642,1277.1,2260.3,189.4,52.4,8.1
0.143748,630.9,166.3,1240.4,227.5,2259.0,168.8,626,1249.3,2257,188.6,51.7,7.1
0.145748,609.1,164.5,1221.4,219.6,2245.6,211.6,611.5,1224.6,2254,187.9,50.9,6.1
0.147748,588.6,161.8,1202.8,209.2,2238.7,240.3,598.9,1203.5,2251.3,187.1,50,5
0.149748,570.4,159.1,1187.6,200.1,2240.3,250.8,588.6,1186.5,2249.2,186.5,48.8,3.8
0.151748,559.6,156.0,1180.8,205.4,2245.0,259.0,581,1174,2247.6,185.8,47.5,2.6
0.153748,563.9,153.4,1187.2,243.7,2250.4,274.1,576.4,1166.4,2246.6,185.2,46.1,1.5
0.155748,587.0,149.8,1220.4,354.2,2260.6,296.5,574.8,1163.8,2246.2,184.7,44.6,0.7
