time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025256,286.0,389.0,1141.6,1139.1,2272.0,543.2,551.5,1984.1,2551,196.2,52.3,24.4
0.027256,511.0,464.8,1728.3,1152.5,2348.8,530.3,553.2,1987.4,2554.3,196,52.4,22.1
0.029256,563.8,312.8,1926.5,781.8,2428.1,554.0,556.1,1992.9,2559.8,195.7,52.5,21.1
0.031256,584.0,255.6,2029.7,586.1,2501.6,579.3,560.2,2000.4,2567.4,195.4,52.6,20.6
0.033256,597.2,228.7,2103.2,464.3,2562.8,605.6,565.2,2009.9,2577,195.1,52.6,20.5
0.035256,607.4,207.9,2148.3,363.1,2620.3,607.9,571.3,2021.2,2588.5,194.8,52.7,20.7
0.037256,615.6,189.2,2170.1,286.7,2667.6,567.9,578.3,2034,2601.7,194.5,52.7,20.9
0.039256,622.5,174.9,2181.6,239.5,2700.8,509.7,586,2048.3,2616.6,194.1,52.7,21.2
0.041256,628.5,166.3,2191.4,218.1,2726.2,456.5,594.5,2063.7,2632.9,193.7,52.7,21.9
0.043256,633.9,162.9,2203.9,217.5,2746.4,417.5,603.6,2080,2650.5,193.3,52.7,22.6
0.045256,639.3,161.9,2220.9,227.3,2760.5,394.2,613.2,2097,2669.1,192.9,52.7,23.2
0.047256,644.9,161.3,2240.9,229.7,2771.2,384.9,623.2,2114.3,2688.6,192.4,52.7,23.4
0.049256,650.8,161.0,2258.2,215.2,2783.7,387.1,633.4,2131.8,2708.7,191.9,52.6,23.2
0.051256,657.4,161.5,2268.6,191.7,2798.9,399.8,643.7,2149,2729.2,191.4,52.5,22.7
0.053256,664.7,161.2,2272.1,168.1,2813.6,421.7,654,2165.8,2749.9,190.9,52.4,22
0.055256,672.6,158.8,2271.3,147.9,2827.2,451.7,664.2,2181.8,2770.5,190.3,52.3,21.3
0.057256,681.2,155.1,2268.4,131.5,2843.9,484.0,674.2,2196.9,2790.9,189.7,52.1,20.7
0.059256,690.3,149.9,2264.1,119.4,2864.5,502.5,683.9,2210.8,2810.8,189.1,51.9,20.4
0.061256,700.0,142.6,2258.3,112.7,2883.1,492.8,693.1,2223.2,2830.1,188.5,51.7,20
0.063256,710.0,134.5,2251.5,111.9,2894.6,459.3,701.8,2234,2848.4,187.9,51.4,19.7
0.065256,719.5,126.3,2244.3,115.3,2900.2,415.5,709.9,2243,2865.8,187.2,51.1,19.4
0.067256,728.0,117.1,2236.3,119.1,2899.6,366.5,717.4,2250.1,2882,186.6,50.8,19
0.069256,734.9,106.5,2227.4,119.8,2894.4,320.6,724.2,2255.1,2896.8,185.9,50.4,18.5
0.071256,739.9,96.8,2220.1,117.4,2890.4,294.4,730.2,2258,2910.2,185.2,50,17.9
0.073256,742.7,89.3,2215.3,114.5,2888.5,299.2,735.5,2258.8,2922,184.4,49.6,17.3
0.075256,743.7,83.9,2211.2,113.3,2887.0,340.2,740.1,2257.3,2932.2,183.7,49.1,16.7
0.077256,743.6,80.8,2204.8,113.5,2888.4,409.1,743.9,2253.8,2940.8,183,48.6,16
0.079256,742.6,78.4,2193.0,112.6,2899.3,453.3,747,2248.1,2947.6,182.2,48,15.4
0.081256,741.0,75.3,2176.1,110.3,2912.7,424.2,749.4,2240.4,2952.8,181.4,47.5,14.7
0.083256,738.9,72.6,2160.2,106.7,2917.1,361.5,751.1,2230.8,2956.2,180.7,46.9,14
0.085256,736.7,71.7,2150.3,101.9,2914.5,308.8,752.2,2219.4,2958,179.9,46.4,13.4
0.087256,735.1,72.6,2145.5,96.8,2912.6,274.5,752.9,2206.4,2958.2,179.1,45.9,12.7
0.089256,734.8,74.5,2142.0,93.4,2915.3,255.5,753,2191.9,2956.8,178.3,45.6,12.1
0.091256,735.3,76.3,2136.7,93.0,2920.2,246.5,752.8,2176.1,2954,177.5,45.4,11.3
0.093256,735.9,76.0,2128.2,93.8,2924.1,242.8,752.2,2159.3,2949.9,176.7,45.4,10.6
0.095256,736.0,72.5,2116.4,93.8,2926.7,243.9,751.5,2141.6,2944.6,175.9,45.5,10.2
0.097256,735.6,67.1,2101.6,93.1,2927.7,252.6,750.6,2123.2,2938.2,175.1,45.8,10
0.099256,734.5,62.3,2084.1,93.3,2924.7,270.7,749.7,2104.4,2930.9,174.3,46.1,10.3
