time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025918,332.1,58.4,2435.8,240.6,2869.7,284.1,332.1,2439.1,2793.3,158.5,48.2,23.3
0.027918,332.7,59.5,2438.5,241.4,2844.5,306.5,333,2435.5,2791.6,158.5,48.2,23.4
0.029918,334.5,61.9,2440.4,250.3,2812.6,317.6,334.5,2429.7,2788.6,158.4,48.2,23.7
0.031918,336.8,65.9,2437.6,266.4,2781.4,314.0,336.5,2421.8,2784.5,158.4,48.2,23.9
0.033918,339.5,70.7,2423.0,283.4,2759.1,300.7,339.2,2412.1,2779.2,158.4,48.2,24.1
0.035918,343.1,76.7,2396.6,303.2,2739.3,292.5,342.4,2400.8,2772.7,158.3,48.2,24.1
0.037918,347.1,83.6,2367.6,328.0,2716.7,297.7,346.2,2388.2,2765.2,158.3,48.2,23.9
0.039918,350.4,88.7,2349.3,350.8,2700.2,297.5,350.5,2374.8,2756.5,158.3,48.2,23.6
0.041918,354.0,92.7,2340.1,356.9,2701.7,273.7,355.4,2360.7,2746.8,158.2,48.2,23.2
0.043918,358.4,97.0,2340.5,337.1,2713.1,248.3,360.7,2346.5,2736.2,158.2,48.2,22.8
0.045918,364.7,101.9,2341.6,303.6,2720.1,230.4,366.5,2332.2,2724.7,158.2,48.3,22.4
0.047918,372.2,106.3,2333.8,281.9,2715.6,216.5,372.8,2318.3,2712.5,158.2,48.3,22
0.049918,380.5,110.9,2314.7,278.3,2702.4,202.3,379.3,2305,2699.7,158.1,48.4,21.6
0.051918,388.2,115.1,2290.3,279.8,2689.2,190.3,386.2,2292.3,2686.5,158.1,48.5,21.3
0.053918,394.2,118.6,2275.1,273.1,2683.2,188.0,393.3,2280.4,2673,158.1,48.5,20.9
0.055918,400.3,123.3,2270.7,260.3,2680.8,192.8,400.5,2269.3,2659.6,158.1,48.6,20.6
0.057918,407.4,128.2,2270.7,248.9,2676.0,197.9,407.8,2258.9,2646.3,158.1,48.6,20.3
0.059918,415.3,131.4,2267.7,248.9,2664.6,202.1,415.1,2249.1,2633.4,158.1,48.7,20
0.061918,424.6,134.7,2256.8,266.5,2644.6,209.4,422.2,2239.7,2621.2,158.2,48.7,19.7
0.063918,432.5,137.5,2239.4,290.6,2621.8,218.5,429.2,2230.6,2609.7,158.2,48.8,19.5
0.065918,437.8,137.3,2221.1,302.8,2599.9,230.5,435.8,2221.4,2599.3,158.2,48.8,19.3
0.067918,441.5,134.8,2204.9,299.8,2575.5,248.3,442.2,2211.8,2589.9,158.3,48.9,19.3
0.069918,445.3,132.4,2190.9,286.8,2551.7,261.4,448.1,2201.7,2581.8,158.3,48.9,19.3
0.071918,449.9,129.6,2173.2,256.8,2543.8,252.1,453.5,2190.6,2575,158.4,49,19.4
0.073918,455.5,127.3,2155.0,217.2,2556.6,222.4,458.5,2178.3,2569.6,158.4,49.1,19.5
0.075918,461.9,125.8,2140.9,184.5,2571.9,193.3,462.9,2164.7,2565.4,158.5,49.2,19.6
0.077918,467.2,123.4,2131.8,163.3,2580.2,177.6,466.7,2149.4,2562.4,158.6,49.3,19.6
0.079918,470.9,120.8,2125.3,154.2,2580.5,178.0,470.1,2132.4,2560.5,158.7,49.5,19.8
0.081918,474.4,118.9,2116.7,152.1,2575.6,188.1,472.9,2113.7,2559.5,158.8,49.6,19.9
0.083918,476.6,116.4,2105.1,151.7,2569.4,195.9,475.3,2093.2,2559.2,158.9,49.7,19.9
0.085918,477.6,112.2,2089.3,152.2,2562.8,196.0,477.2,2070.9,2559.3,159,49.9,19.8
0.087918,478.6,107.6,2068.2,156.3,2555.1,191.6,478.8,2047.1,2559.5,159.1,50.1,19.5
0.089918,479.2,102.9,2045.8,163.2,2549.1,188.6,480,2021.8,2559.6,159.2,50.2,18.9
0.091918,479.5,97.8,2020.4,173.5,2544.7,190.5,481.1,1995.4,2559.3,159.4,50.4,18.4
