time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025846,341.3,193.5,2181.7,257.2,2787.0,86.3,353.8,2241,2792.9,191.7,36.6,1.1
0.027846,337.4,129.5,2198.1,338.1,2792.2,74.6,354.3,2240.1,2790.3,191.3,38.4,1.6
0.029846,343.7,113.4,2248.2,373.8,2792.4,69.9,355.2,2238.6,2786.1,190.9,40.1,2.4
0.031846,356.6,111.5,2278.4,334.3,2788.6,70.7,356.5,2236.4,2780.2,190.5,41.6,3.4
0.033846,369.7,101.3,2278.1,280.8,2780.1,79.7,358,2233.7,2772.8,190,43,4.5
0.035846,374.3,83.0,2262.2,236.1,2770.0,102.5,359.8,2230.3,2763.8,189.5,44.2,5.7
0.037846,372.9,65.8,2243.5,201.3,2762.3,156.5,361.7,2226.3,2753.5,189.1,45.2,7.1
0.039846,370.5,54.6,2229.4,190.4,2756.6,256.4,363.7,2221.7,2741.9,188.6,46.1,8.8
0.041846,369.6,48.2,2217.5,207.3,2738.1,358.9,365.8,2216.4,2729,188.1,46.9,10.8
0.043846,370.1,44.3,2201.0,248.2,2707.2,399.2,367.9,2210.5,2715.1,187.6,47.5,12.8
0.045846,371.2,42.4,2185.3,289.1,2691.8,411.7,369.8,2204.1,2700.3,187.1,48,14.8
0.047846,372.8,41.5,2175.2,313.8,2688.5,466.1,371.7,2197,2684.6,186.5,48.4,16.4
0.049846,374.2,41.4,2172.0,311.8,2682.3,583.0,373.4,2189.4,2668.4,186,48.8,17.7
0.051846,374.7,41.5,2173.5,294.4,2657.9,723.6,374.8,2181.3,2651.6,185.5,49.1,19
0.053846,374.5,41.6,2172.4,277.6,2612.6,771.3,376,2172.8,2634.4,185,49.3,20
0.055846,374.7,41.9,2163.2,264.5,2579.5,682.8,377,2164,2617,184.5,49.4,20.7
0.057846,375.2,42.4,2152.2,243.5,2558.7,583.1,377.7,2155,2599.6,183.9,49.5,21.1
0.059846,376.0,42.8,2145.7,218.6,2539.5,532.9,378.2,2145.8,2582.2,183.4,49.6,21
