time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025147,270.3,68.3,2046.4,235.3,2416.2,657.6,276.1,2212,2365.6,178.6,37.7,17.6
0.027147,273.5,68.8,2072.5,336.2,2347.4,658.0,277.2,2212.8,2368.8,178.9,38.2,17.6
0.029147,277.1,68.5,2153.7,700.9,2238.5,424.0,279,2214.2,2373.9,179.2,38.6,17.7
0.031147,280.9,66.4,2125.2,987.6,2286.3,278.7,281.5,2216.2,2381,179.6,39.1,17.7
0.033147,284.8,63.1,2199.4,1149.8,2307.2,233.3,284.6,2218.6,2389.9,179.9,39.6,17.8
0.035147,288.9,60.5,2314.8,221.3,2374.7,1160.0,288.3,2221.5,2400.5,180.3,40.1,17.7
0.037147,293.4,57.8,2311.7,229.6,2496.8,948.3,292.6,2224.8,2412.6,180.7,40.7,17.5
0.039147,298.1,53.5,2294.2,256.1,2525.4,765.9,297.3,2228.5,2426,181.1,41.2,17.2
0.041147,303.3,49.3,2258.2,266.8,2545.3,625.7,302.5,2232.5,2440.4,181.4,41.7,16.9
0.043147,309.0,47.1,2229.0,238.2,2567.2,541.0,307.9,2236.8,2455.6,181.8,42.2,16.7
0.045147,314.5,47.6,2221.1,208.3,2577.5,503.3,313.6,2241.3,2471.4,182.2,42.6,16.8
0.047147,319.9,50.0,2234.9,199.8,2576.0,521.7,319.5,2245.9,2487.6,182.5,43.1,17.3
0.049147,325.5,53.7,2279.7,204.8,2566.3,652.6,325.4,2250.6,2503.8,182.9,43.5,18
0.051147,331.9,59.6,2348.1,171.4,2569.3,994.2,331.4,2255.4,2519.9,183.2,44,18.8
0.053147,339.7,68.0,2403.1,119.4,2604.8,1561.4,337.3,2260.3,2535.5,183.5,44.4,19.7
0.055147,347.8,75.3,2441.6,94.1,2546.6,2092.7,343,2265.1,2550.6,183.8,44.8,20.5
0.057147,353.9,78.0,2363.9,1995.0,2465.6,100.3,348.6,2270,2564.8,184.1,45.2,21.3
0.059147,358.3,77.5,2256.8,1532.3,2476.0,135.8,353.8,2274.8,2578,184.3,45.6,22.1
0.061147,361.9,76.2,2253.2,1232.3,2466.3,193.0,358.7,2279.6,2590,184.5,45.9,22.9
0.063147,365.0,75.3,2325.4,1154.7,2422.1,244.4,363.3,2284.4,2600.8,184.7,46.2,23.6
0.065147,367.7,75.0,2361.7,226.0,2426.5,1281.9,367.4,2289.2,2610.1,184.9,46.5,24.2
0.067147,369.9,74.6,2325.0,178.1,2497.4,1510.6,371,2294.1,2618.1,185,46.7,24.5
0.069147,372.0,73.9,2303.5,156.2,2552.6,1601.1,374.2,2299.1,2624.6,185.1,46.9,24.6
0.071147,375.3,73.0,2286.1,172.3,2608.3,1335.4,376.9,2304.2,2629.6,185.2,47.2,24.6
0.073147,378.9,71.5,2263.7,224.6,2640.7,898.4,379.1,2309.5,2633.2,185.2,47.3,24.7
0.075147,381.2,69.4,2231.6,286.7,2660.6,557.1,380.8,2315.1,2635.5,185.2,47.5,24.8
0.077147,381.2,67.2,2207.5,342.7,2676.4,371.1,382,2320.9,2636.6,185.2,47.7,25.1
0.079147,379.7,64.8,2200.7,414.8,2687.3,278.2,382.8,2327.2,2636.5,185.1,47.8,25.6
0.081147,378.0,62.2,2210.0,511.5,2694.7,231.8,383.2,2333.8,2635.5,185,47.9,26
0.083147,376.9,59.8,2238.2,628.6,2699.8,214.4,383.2,2340.9,2633.8,184.9,48.1,26.3
0.085147,376.7,58.0,2288.6,743.9,2703.4,217.4,382.9,2348.5,2631.4,184.7,48.2,26.3
0.087147,377.1,56.7,2354.9,825.0,2704.9,233.1,382.2,2356.7,2628.7,184.5,48.3,25.8
0.089147,377.8,55.4,2410.5,846.2,2703.2,249.1,381.3,2365.4,2625.8,184.3,48.4,24.9
0.091147,378.4,54.0,2421.6,808.3,2698.6,248.1,380.2,2374.7,2623,184.1,48.5,23.9
0.093147,378.7,52.2,2400.7,755.5,2688.6,229.8,378.9,2384.6,2620.4,183.8,48.6,23
0.095147,378.7,50.0,2387.2,721.1,2672.9,213.9,377.6,2395.1,2618.3,183.5,48.8,22.4
0.097147,378.3,47.5,2398.0,701.3,2656.9,212.1,376.1,2406.2,2616.9,183.2,48.9,22.2
0.099147,377.8,45.0,2426.3,689.2,2641.9,220.1,374.6,2417.7,2616.4,182.8,49,22.4
0.101147,377.2,42.3,2456.5,698.3,2625.0,222.4,373.1,2429.6,2617,182.5,49.2,22.6
0.103147,376.3,39.5,2478.3,748.0,2606.9,208.4,371.6,2442,2618.7,182.1,49.3,22.8
0.105147,375.0,36.4,2491.2,837.0,2592.2,186.8,370.3,2454.6,2621.8,181.7,49.5,22.8
0.107147,373.2,33.2,2503.4,944.7,2583.1,174.4,369,2467.3,2626.3,181.2,49.7,22.6
0.109147,371.4,30.2,2519.0,1034.6,2580.5,182.0,367.8,2480.2,2632.4,180.8,49.9,22.2
0.111147,369.8,27.8,2527.2,1049.7,2588.8,216.7,366.7,2493,2640,180.4,50.1,21.7
0.113147,368.3,25.6,2506.0,998.8,2619.6,268.4,365.7,2505.6,2649.3,179.9,50.2,21.2
0.115147,366.6,23.8,2469.0,1001.5,2666.2,289.5,364.9,2517.9,2660.2,179.4,50.4,20.8
0.117147,364.8,22.6,2470.5,1073.7,2695.4,290.6,364.2,2529.8,2672.7,178.9,50.6,20.4
0.119147,363.2,22.1,2517.2,1150.6,2701.2,301.6,363.7,2541.1,2686.7,178.5,50.8,20.1
0.121147,361.9,22.1,2584.4,1201.2,2688.9,310.5,363.2,2551.7,2702.2,178,51,19.7
0.123147,361.1,22.7,2641.7,1189.6,2671.2,304.5,362.8,2561.5,2719.1,177.5,51.1,19.5
0.125147,360.8,23.9,2660.0,297.2,2669.0,1090.0,362.5,2570.4,2737.2,177,51.3,19.4
0.127147,360.7,25.4,2655.1,303.7,2674.4,954.8,362.3,2578.3,2756.5,176.5,51.4,19.6
0.129147,360.5,26.9,2649.8,320.6,2670.9,851.4,362.1,2585.2,2776.7,176,51.5,19.9
0.131147,360.1,28.5,2635.7,331.2,2674.5,814.7,361.9,2590.8,2797.8,175.5,51.5,20.3
0.133147,359.6,30.3,2608.3,330.1,2710.1,816.0,361.7,2595.4,2819.5,175,51.6,20.7
0.135147,359.5,32.1,2576.7,318.4,2777.8,798.3,361.6,2598.7,2841.7,174.5,51.6,21.1
0.137147,359.4,33.7,2556.7,293.5,2847.7,775.0,361.3,2600.8,2864.3,174.1,51.6,21.3
0.139147,358.9,35.0,2551.6,261.0,2917.3,795.1,361.1,2601.7,2887,173.6,51.6,21.5
0.141147,357.8,35.9,2551.8,230.5,3023.4,817.5,360.7,2601.4,2909.6,173.1,51.6,21.7
0.143147,356.8,36.9,2550.0,214.6,3115.8,673.8,360.4,2600.1,2932.2,172.7,51.5,21.9
0.145147,356.6,38.6,2546.6,217.9,3112.0,589.1,359.9,2597.7,2954.4,172.2,51.5,22.3
0.147147,357.2,40.7,2545.0,240.0,3079.1,620.2,359.4,2594.4,2976.2,171.8,51.4,23
0.149147,358.1,43.2,2548.1,281.4,3017.1,687.9,358.8,2590.3,2997.4,171.4,51.4,23.8
0.151147,358.8,45.5,2556.0,330.4,2965.6,726.8,358.2,2585.6,3017.9,170.9,51.3,24.8
0.153147,358.9,47.2,2562.2,349.6,2986.0,765.0,357.5,2580.2,3037.6,170.5,51.2,25.4
0.155147,358.8,48.7,2558.9,328.7,3088.3,751.7,356.8,2574.5,3056.5,170.1,51.1,25.7
0.157147,358.9,50.5,2548.5,294.5,3149.0,636.6,356.1,2568.4,3074.5,169.7,51.1,25.3
0.159147,359.3,52.4,2538.7,261.5,3156.8,616.5,355.3,2562.3,3091.5,169.3,51,24.5
0.161147,359.3,54.2,2534.2,236.5,3146.9,678.0,354.6,2556.2,3107.5,168.9,50.9,23.5
0.163147,358.6,54.9,2535.2,222.1,3122.3,773.5,353.9,2550.2,3122.5,168.5,50.9,22.5
0.165147,357.2,53.9,2540.2,216.9,3113.0,846.9,353.2,2544.5,3136.5,168.1,50.8,22
0.167147,355.3,51.9,2547.1,214.8,3162.0,772.7,352.6,2539.2,3149.5,167.7,50.8,22.2
0.169147,353.4,49.6,2552.5,204.2,3158.2,589.7,352.1,2534.4,3161.4,167.3,50.7,22.7
0.171147,351.9,47.5,2554.9,180.7,3150.9,470.0,351.6,2530.3,3172.4,166.9,50.7,23.4
0.173147,351.1,45.9,2556.8,154.4,3160.4,406.3,351.3,2526.8,3182.5,166.5,50.6,23.8
0.175147,350.8,45.0,2559.2,135.4,3180.4,381.8,351.1,2524,3191.6,166.1,50.5,23.7
0.177147,350.9,44.4,2562.4,126.0,3204.5,385.2,350.9,2522,3200,165.8,50.4,22.8
0.179147,350.6,44.4,2567.7,127.6,3239.4,424.9,351,2520.8,3207.5,165.4,50.3,21.3
0.181147,349.8,45.2,2573.7,140.3,3302.3,516.8,351.1,2520.3,3214.2,165,50.1,19.6
0.183147,349.1,46.8,2566.4,150.3,3390.3,626.8,351.3,2520.6,3220.3,164.7,49.9,18.1
0.185147,349.2,49.2,2545.5,143.6,2969.7,4277.8,351.7,2521.6,3225.8,164.3,49.7,17.2
0.187147,350.0,51.5,2532.5,140.4,3100.2,2786.1,352.2,2523.2,3230.6,163.9,49.5,17.2
0.189147,351.0,53.3,2528.3,148.8,3188.6,2012.7,352.7,2525.3,3234.9,163.6,49.2,17.7
0.191147,351.9,55.3,2530.3,167.0,3181.0,1575.3,353.3,2528,3238.7,163.3,48.8,18.5
0.193147,352.2,57.9,2535.1,190.8,3100.8,1350.8,354,2531,3242.1,162.9,48.4,19.1
0.195147,351.9,60.6,2539.4,205.1,3039.4,1265.0,354.7,2534.2,3245,162.6,47.9,19.3
0.197147,351.3,64.0,2539.9,200.8,3042.0,1246.3,355.4,2537.6,3247.5,162.3,47.3,18.8
0.199147,350.8,70.3,2536.7,182.7,3152.8,1196.5,356.1,2541,3249.8,162,46.6,18
0.201147,351.4,79.7,2535.3,159.9,3296.8,903.0,356.8,2544.3,3251.6,161.7,45.9,17
0.203147,353.7,89.4,2539.2,142.1,3340.4,659.1,357.5,2547.5,3253.2,161.5,45.2,16
0.205147,357.1,96.3,2545.7,137.6,3375.5,530.5,358,2550.3,3254.6,161.2,44.5,15.2
0.207147,361.1,98.9,2547.7,152.6,3399.5,467.7,358.5,2552.8,3255.6,161,43.7,14.9
0.209147,365.5,98.0,2537.5,177.9,3405.2,460.7,358.9,2554.8,3256.4,160.7,43,14.7
0.211147,367.9,96.1,2523.1,182.2,3391.1,514.2,359.2,2556.2,3257,160.5,42.3,14.6
0.213147,366.0,93.0,2522.2,174.2,3316.3,600.9,359.4,2557.1,3257.3,160.3,41.5,14.3
0.215147,358.9,86.3,2528.7,176.4,3215.9,520.6,359.5,2557.4,3257.4,160.2,40.6,13.5
