time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025016,319.7,62.4,1855.2,168.4,2356.2,207.9,353.4,1804.3,2356,183,43.9,15
0.027016,327.8,63.7,1872.7,156.6,2347.0,261.2,353.5,1804.6,2356.5,183.1,44.5,16.7
0.029016,338.5,66.9,1879.6,144.3,2342.9,248.4,353.8,1805,2357.3,183.2,45,18
0.031016,349.1,67.5,1868.1,147.1,2348.8,189.7,354.2,1805.6,2358.4,183.3,45.5,18.5
0.033016,356.0,64.0,1841.2,169.7,2359.1,142.7,354.6,1806.3,2359.9,183.4,46.1,18.8
0.035016,359.0,58.9,1806.2,195.3,2366.8,116.4,355.2,1807.2,2361.6,183.5,46.6,19
0.037016,360.8,54.0,1783.3,198.1,2368.4,107.2,355.8,1808.1,2363.5,183.6,47.1,19.3
0.039016,362.3,49.8,1781.9,187.2,2366.2,109.7,356.5,1809.1,2365.6,183.7,47.5,19.8
0.041016,363.7,46.5,1792.4,181.9,2367.2,113.5,357.3,1810,2367.9,183.7,47.9,20.5
0.043016,365.4,44.0,1804.7,184.9,2373.2,111.3,358.1,1810.9,2370.3,183.8,48.4,21.2
0.045016,367.2,42.3,1810.9,195.4,2380.2,103.6,358.9,1811.8,2372.8,183.8,48.7,22
0.047016,368.9,40.9,1806.8,213.0,2386.0,94.1,359.8,1812.5,2375.3,183.9,49.1,22.7
0.049016,369.9,39.3,1795.3,237.2,2391.4,86.4,360.6,1813,2377.8,183.9,49.5,23.3
0.051016,370.1,37.0,1789.5,255.6,2395.7,83.9,361.5,1813.3,2380.3,183.9,49.8,23.8
0.053016,369.9,34.3,1795.8,253.9,2398.3,85.1,362.3,1813.3,2382.6,183.9,50.1,24.3
0.055016,369.7,31.5,1805.1,233.8,2398.9,85.9,363.2,1812.9,2384.7,183.9,50.5,24.7
0.057016,369.3,28.8,1807.0,212.8,2397.9,84.4,364,1812.2,2386.7,183.8,50.8,25.2
0.059016,369.1,26.4,1799.8,202.8,2395.5,82.5,364.7,1811,2388.4,183.8,51,25.6
0.061016,368.9,24.4,1789.5,210.6,2392.7,81.7,365.4,1809.4,2389.8,183.7,51.3,26.1
0.063016,368.6,22.6,1781.2,238.9,2390.5,80.6,366,1807.2,2390.9,183.6,51.5,26.6
0.065016,368.3,21.1,1775.0,285.9,2389.6,76.9,366.5,1804.5,2391.6,183.5,51.8,27
0.067016,368.1,20.0,1765.6,338.5,2389.3,71.2,367,1801.2,2392,183.4,52,27.3
0.069016,368.1,19.2,1747.6,381.5,2388.1,65.7,367.3,1797.2,2392,183.3,52.2,27.4
0.071016,368.1,18.5,1727.3,407.6,2384.5,64.1,367.6,1792.7,2391.6,183.1,52.4,27.3
