time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025776,404.5,117.6,1907.3,56.0,2354.2,143.5,457.3,1945.6,2372.7,225.8,42.3,9.2
0.027776,420.0,95.2,1905.9,60.2,2351.4,148.9,457.1,1946.2,2372.9,225.7,42.8,10.5
0.029776,429.0,79.7,1912.4,78.0,2346.1,161.9,456.8,1947.3,2373.2,225.5,43.3,11.8
0.031776,433.9,70.7,1925.8,113.0,2345.9,172.6,456.3,1948.7,2373.6,225.3,43.7,13.2
0.033776,437.7,64.2,1943.3,167.8,2353.0,167.8,455.6,1950.5,2374.1,225.1,44.1,14.4
0.035776,440.7,59.8,1954.3,219.1,2360.5,153.5,454.9,1952.7,2374.7,224.9,44.5,15.6
0.037776,443.5,56.4,1956.3,242.6,2366.4,142.7,454,1955.1,2375.3,224.7,44.9,16.8
0.039776,445.9,53.8,1957.0,239.4,2370.9,141.7,453,1957.8,2376.1,224.4,45.3,17.9
0.041776,447.8,52.2,1961.7,226.9,2373.4,148.6,451.8,1960.6,2376.9,224.2,45.6,19
0.043776,449.8,51.2,1969.8,209.1,2374.7,159.7,450.6,1963.6,2377.8,223.9,46,19.9
0.045776,451.7,50.6,1978.5,187.8,2375.6,173.0,449.3,1966.6,2378.7,223.5,46.3,20.8
0.047776,453.7,50.5,1986.6,165.2,2377.2,189.6,447.8,1969.7,2379.7,223.2,46.6,21.6
0.049776,455.5,50.2,1992.5,142.7,2381.2,205.0,446.3,1972.6,2380.6,222.8,46.9,22.4
0.051776,456.7,49.2,1995.0,123.4,2388.7,205.9,444.7,1975.3,2381.5,222.4,47.2,23
0.053776,457.3,47.3,1996.0,106.2,2399.3,186.4,443.1,1977.8,2382.4,222,47.5,23.4
0.055776,457.0,45.2,1997.0,93.8,2408.3,161.0,441.4,1980,2383.3,221.5,47.7,23.7
0.057776,456.3,43.3,1997.7,85.6,2414.7,142.2,439.7,1981.8,2384.1,221,48,23.7
0.059776,455.4,41.8,1996.7,80.9,2418.7,133.4,437.9,1983.1,2384.8,220.5,48.2,23.7
0.061776,454.4,41.1,1993.9,79.6,2419.6,134.7,436.1,1983.9,2385.5,220,48.4,23.6
0.063776,453.0,41.0,1990.2,80.4,2416.9,142.8,434.3,1984,2386.1,219.4,48.7,23.4
0.065776,451.3,40.6,1986.9,81.5,2410.7,150.8,432.6,1983.4,2386.5,218.8,48.9,23.1
0.067776,449.5,39.3,1983.8,81.6,2402.4,152.7,430.8,1982.1,2386.8,218.2,49.1,22.8
0.069776,447.7,37.2,1980.1,81.3,2394.5,146.5,429.1,1979.9,2387,217.5,49.3,22.3
0.071776,446.1,35.0,1975.2,82.1,2389.9,137.5,427.4,1976.9,2387.1,216.8,49.5,21.9
0.073776,444.5,33.0,1968.1,85.5,2387.8,130.7,425.7,1972.9,2387,216.1,49.7,21.5
0.075776,442.6,31.6,1960.0,91.2,2386.5,130.7,424.1,1967.9,2386.8,215.4,49.9,21.1
0.077776,440.2,30.4,1952.2,97.7,2384.0,138.8,422.6,1962,2386.4,214.7,50.1,20.7
0.079776,437.3,29.3,1946.0,104.1,2381.2,157.1,421.1,1955,2385.9,213.9,50.3,20.3
0.081776,434.1,28.2,1941.3,110.1,2381.3,182.3,419.8,1946.9,2385.2,213.1,50.5,20
0.083776,430.9,27.0,1934.8,118.0,2383.5,209.5,418.5,1937.8,2384.4,212.3,50.6,19.9
0.085776,427.6,25.8,1923.5,129.4,2381.8,231.5,417.3,1927.7,2383.5,211.5,50.8,19.9
0.087776,424.8,24.9,1910.7,140.5,2373.1,239.0,416.3,1916.5,2382.4,210.6,51,20.1
0.089776,422.5,24.2,1899.9,146.9,2365.3,231.1,415.3,1904.2,2381.2,209.7,51.3,20.3
0.091776,420.9,23.8,1894.1,147.6,2369.5,213.9,414.5,1890.9,2379.9,208.9,51.5,20.6
0.093776,419.2,23.3,1890.6,147.5,2384.8,193.4,413.8,1876.7,2378.5,208,51.9,20.8
0.095776,417.4,22.5,1886.7,150.7,2400.0,176.7,413.2,1861.5,2377.1,207.1,52.2,21
0.097776,415.3,21.3,1880.9,158.6,2407.9,165.8,412.8,1845.4,2375.6,206.1,52.6,21.2
0.099776,413.3,19.8,1872.2,172.2,2404.7,161.3,412.5,1828.4,2374.1,205.2,53,21.4
0.101776,411.4,18.3,1860.9,189.0,2392.3,160.7,412.3,1810.7,2372.5,204.2,53.3,21.6
0.103776,409.4,16.9,1844.7,210.0,2375.4,159.9,412.3,1792.3,2371,203.3,53.7,21.7
0.105776,407.5,16.1,1823.4,235.1,2361.3,157.3,412.4,1773.2,2369.4,202.3,54.1,21.7
0.107776,405.9,15.7,1794.3,267.7,2351.7,153.4,412.6,1753.6,2368,201.3,54.5,21.7
0.109776,404.4,15.8,1756.3,313.5,2343.7,154.3,413,1733.5,2366.6,200.3,54.9,21.7
0.111776,403.3,16.3,1716.1,375.5,2331.7,167.9,413.5,1713,2365.3,199.3,55.2,21.6
0.113776,402.0,17.2,1670.1,468.3,2311.7,196.8,414.1,1692.2,2364.1,198.3,55.5,21.4
0.115776,400.5,18.1,1620.6,571.4,2296.3,229.4,414.9,1671.2,2363.1,197.2,55.7,21.1
0.117776,399.1,19.0,1570.0,629.0,2306.1,252.4,415.8,1650.1,2362.2,196.2,55.9,20.8
0.119776,397.9,19.8,1531.1,579.2,2345.3,247.4,416.8,1628.9,2361.5,195.1,55.9,20.3
0.121776,397.4,20.6,1516.2,473.3,2381.7,221.3,418,1607.8,2361,194,55.9,19.8
0.123776,397.0,21.9,1516.8,372.9,2402.2,199.9,419.2,1586.8,2360.8,192.9,55.8,19.2
0.125776,396.8,24.0,1521.5,311.7,2406.0,197.4,420.6,1566.1,2360.8,191.8,55.6,18.4
0.127776,396.5,27.6,1522.9,283.3,2398.3,213.0,422.1,1545.6,2361,190.7,55.3,17.4
0.129776,395.9,33.2,1518.5,281.4,2379.7,241.0,423.6,1525.6,2361.5,189.6,54.9,16.4
0.131776,395.6,40.7,1509.5,295.5,2356.5,257.9,425.3,1506,2362.3,188.4,54.4,15.4
0.133776,396.3,51.4,1497.3,310.5,2339.7,251.1,427.1,1486.9,2363.3,187.3,53.8,14.4
0.135776,400.1,68.0,1478.9,310.2,2332.7,234.9,428.9,1468.4,2364.7,186.2,53.1,13.5
0.137776,408.7,89.6,1458.1,293.0,2332.9,221.4,430.8,1450.5,2366.4,185,52.4,12.6
0.139776,421.9,114.6,1439.1,274.6,2341.9,204.7,432.8,1433.4,2368.3,183.9,51.7,11.7
0.141776,433.8,132.1,1423.5,259.5,2356.9,185.4,434.8,1416.9,2370.5,182.8,51,11
0.143776,440.2,135.8,1407.8,242.1,2373.7,162.5,436.9,1401.2,2373.1,181.7,50.6,10.6
0.145776,440.6,126.2,1390.5,219.9,2388.2,138.2,439.1,1386.3,2375.9,180.6,50.3,10.6
0.147776,439.0,114.2,1376.0,198.7,2395.5,121.2,441.3,1372.2,2379,179.5,50.2,11
0.149776,438.9,105.7,1363.6,180.3,2396.9,112.4,443.5,1358.9,2382.3,178.5,50.2,11.5
0.151776,441.3,101.5,1353.4,166.2,2395.9,110.8,445.8,1346.4,2385.9,177.4,50.2,12
0.153776,446.7,98.2,1342.3,152.5,2396.5,112.8,448.1,1334.7,2389.7,176.4,50.4,12.3
0.155776,454.6,94.6,1330.7,138.9,2400.3,115.6,450.4,1323.8,2393.8,175.4,50.4,12.3
0.157776,464.5,89.4,1319.7,124.7,2404.3,116.8,452.8,1313.7,2398,174.4,50.5,12.3
0.159776,474.9,82.7,1311.3,111.5,2404.3,115.7,455.1,1304.3,2402.4,173.5,50.6,12.1
0.161776,483.8,77.1,1305.5,102.2,2400.7,113.9,457.5,1295.6,2406.9,172.5,50.6,12
0.163776,491.9,72.4,1299.9,94.3,2399.6,113.1,459.9,1287.6,2411.5,171.7,50.7,11.9
0.165776,497.4,67.8,1294.3,85.8,2406.2,113.5,462.3,1280.3,2416.3,170.8,50.9,11.9
0.167776,500.0,62.5,1288.3,75.4,2419.8,113.5,464.6,1273.5,2421.1,169.9,51.1,11.9
0.169776,500.0,57.1,1282.6,64.4,2436.2,110.9,467,1267.2,2425.9,169.1,51.4,11.9
0.171776,499.2,53.4,1279.1,56.4,2447.6,106.4,469.4,1261.4,2430.7,168.3,51.6,12
0.173776,498.9,51.4,1276.6,51.9,2453.9,102.8,471.7,1256,2435.5,167.6,51.9,12.1
0.175776,499.1,50.1,1273.7,49.3,2456.4,101.7,474,1251,2440.2,166.8,52.1,12.3
0.177776,498.8,48.4,1270.0,47.7,2456.4,103.0,476.3,1246.3,2444.9,166.1,52.2,12.5
0.179776,498.1,46.3,1265.3,47.1,2455.6,107.0,478.6,1241.9,2449.4,165.4,52.4,12.7
0.181776,497.1,44.8,1259.8,47.7,2457.0,113.0,480.8,1237.6,2453.8,164.7,52.5,13
0.183776,495.2,43.8,1253.5,48.7,2464.2,120.8,483,1233.4,2458.1,164.1,52.5,13.3
0.185776,492.6,43.3,1247.4,49.9,2475.6,129.5,485.2,1229.3,2462.1,163.5,52.6,13.6
0.187776,490.0,43.3,1240.8,51.6,2486.4,137.8,487.3,1225.3,2466,162.8,52.6,14
0.189776,487.9,43.7,1233.1,53.3,2491.9,141.9,489.4,1221.2,2469.6,162.3,52.6,14.4
