time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025317,280.2,205.1,2248.7,264.5,2656.5,561.0,368.3,2186.7,2528.6,190.2,47.9,21
0.027317,308.0,189.9,2211.5,231.3,2672.5,589.9,368.3,2184.1,2527.9,190.2,48.2,18.9
0.029317,332.6,145.4,2165.9,211.6,2629.9,536.8,368.3,2179.7,2526.9,190.2,48.5,16.4
0.031317,349.8,101.0,2114.2,175.7,2581.6,390.3,368.2,2173.7,2525.4,190.3,48.9,13.9
0.033317,359.6,73.0,2079.9,137.5,2552.9,281.8,368.2,2165.9,2523.6,190.3,49.4,11.9
0.035317,366.2,56.5,2062.5,116.1,2527.9,228.3,368.1,2156.5,2521.4,190.3,49.9,11.1
0.037317,370.8,47.6,2056.8,113.0,2505.2,213.5,368,2145.5,2518.8,190.3,50.5,11.6
0.039317,374.3,42.4,2056.1,119.1,2485.6,211.5,367.9,2132.9,2515.8,190.3,51,13.2
0.041317,377.5,38.5,2056.3,129.6,2467.1,208.0,367.8,2118.9,2512.5,190.3,51.4,15.3
0.043317,380.3,35.9,2055.7,143.4,2450.9,201.1,367.8,2103.4,2509,190.3,51.9,17.6
0.045317,382.8,34.0,2054.2,163.0,2437.9,190.1,367.7,2086.5,2505.1,190.2,52.3,19.5
0.047317,384.5,32.8,2052.0,184.1,2434.6,174.1,367.6,2068.3,2501,190.2,52.6,21.1
0.049317,385.2,32.1,2048.9,201.0,2438.7,156.2,367.5,2048.9,2496.6,190.1,52.9,22.8
0.051317,385.4,31.6,2043.1,212.6,2444.2,138.3,367.4,2028.4,2492.1,190,53.2,24.5
0.053317,385.3,31.2,2034.6,216.3,2447.3,124.0,367.4,2006.8,2487.4,190,53.5,25.8
0.055317,385.0,30.7,2024.7,213.7,2448.9,111.9,367.3,1984.3,2482.6,189.9,53.7,26.8
0.057317,384.6,30.1,2014.6,208.3,2450.1,102.2,367.3,1961,2477.6,189.7,53.8,27.2
0.059317,384.0,29.4,2002.9,202.8,2451.0,94.4,367.3,1936.8,2472.7,189.6,54,27.2
0.061317,383.3,28.8,1986.3,195.6,2451.4,86.8,367.3,1912.1,2467.6,189.4,54.1,26.9
0.063317,382.6,28.2,1965.9,185.9,2450.9,80.3,367.4,1886.7,2462.6,189.3,54.3,26.6
0.065317,382.1,27.8,1941.5,173.1,2449.6,75.1,367.5,1860.9,2457.6,189.1,54.3,26.3
0.067317,381.9,27.6,1916.4,160.1,2446.6,72.9,367.6,1834.7,2452.7,188.9,54.4,26.1
0.069317,382.0,27.6,1892.9,149.9,2441.7,74.5,367.8,1808.2,2447.9,188.7,54.4,25.8
0.071317,382.0,27.7,1870.3,146.1,2436.3,82.2,368.1,1781.5,2443.2,188.5,54.5,25.5
0.073317,381.9,28.1,1851.6,152.7,2432.8,97.8,368.3,1754.8,2438.7,188.2,54.4,25.2
0.075317,381.5,28.9,1832.5,172.2,2430.9,122.2,368.7,1728.1,2434.4,188,54.4,24.8
0.077317,381.0,30.0,1808.8,206.7,2428.3,148.0,369.1,1701.4,2430.3,187.7,54.4,24.4
0.079317,380.5,31.3,1775.0,255.6,2424.3,158.4,369.5,1675,2426.5,187.5,54.3,23.8
0.081317,379.4,32.9,1719.3,322.0,2422.3,144.1,370.1,1648.8,2423,187.2,54.3,23.3
0.083317,377.7,34.0,1645.3,387.4,2424.0,119.7,370.6,1622.9,2419.7,186.9,54.2,22.8
0.085317,375.5,33.8,1557.2,437.0,2426.8,99.9,371.3,1597.4,2416.7,186.6,54.2,22.5
0.087317,373.4,32.4,1480.7,456.8,2427.3,90.9,372.1,1572.4,2414.1,186.3,54.2,22.2
0.089317,372.0,30.3,1435.1,457.9,2423.6,91.5,372.9,1547.9,2411.8,186,54.2,22.1
0.091317,371.3,27.8,1411.7,453.4,2414.7,99.4,373.8,1524,2409.9,185.7,54.3,22
0.093317,371.2,25.4,1395.3,445.5,2403.9,111.6,374.8,1500.7,2408.4,185.4,54.4,22
0.095317,371.5,23.4,1376.1,418.0,2394.7,124.0,375.8,1478,2407.2,185.1,54.5,22.1
0.097317,372.5,22.4,1361.6,359.5,2390.7,132.9,377,1456.1,2406.4,184.8,54.6,22.1
0.099317,373.6,21.8,1351.7,307.2,2394.1,148.0,378.2,1434.9,2405.9,184.5,54.8,22.3
0.101317,374.7,21.3,1344.5,276.5,2408.6,168.1,379.6,1414.4,2405.9,184.1,54.9,22.5
0.103317,375.8,21.2,1339.7,254.8,2423.1,166.3,381,1394.8,2406.2,183.8,55,22.7
0.105317,377.3,21.6,1334.5,231.6,2425.8,145.3,382.5,1375.9,2406.9,183.4,55.1,22.9
0.107317,379.1,22.4,1329.4,207.4,2418.0,123.3,384.1,1357.8,2407.9,183,55.2,23.2
0.109317,380.7,23.4,1324.5,183.8,2409.4,109.1,385.8,1340.5,2409.2,182.6,55.2,23.6
0.111317,382.0,24.9,1318.3,159.8,2404.5,103.0,387.6,1324,2410.9,182.2,55.3,23.9
0.113317,382.7,26.4,1310.1,139.3,2404.0,104.5,389.4,1308.2,2412.9,181.8,55.2,24.1
0.115317,382.8,28.2,1298.4,121.7,2406.2,111.6,391.4,1293.3,2415.1,181.4,55.1,24
0.117317,382.6,30.1,1283.2,108.2,2411.8,121.8,393.4,1279,2417.7,180.9,55,23.4
0.119317,382.4,32.1,1267.1,96.1,2421.5,130.9,395.5,1265.5,2420.4,180.4,54.8,22.5
0.121317,382.4,34.8,1252.4,82.1,2435.2,135.4,397.7,1252.7,2423.4,180,54.6,21.5
0.123317,382.4,37.8,1242.2,70.0,2449.8,136.7,400,1240.6,2426.5,179.5,54.3,20.4
0.125317,382.2,41.4,1234.5,59.9,2463.1,139.6,402.3,1229.1,2429.8,179,54.1,19.6
0.127317,382.5,45.9,1228.1,51.4,2471.0,144.2,404.7,1218.2,2433.3,178.4,53.8,19
0.129317,383.8,51.4,1221.9,44.3,2473.4,149.6,407.1,1207.9,2436.8,177.9,53.5,18.5
0.131317,386.4,58.4,1214.9,38.3,2472.9,155.7,409.6,1198.1,2440.4,177.3,53.2,18.1
0.133317,389.9,65.7,1207.9,33.7,2472.0,161.0,412.2,1188.8,2444,176.8,53,17.7
0.135317,394.6,73.7,1200.4,29.9,2472.0,165.1,414.8,1180,2447.7,176.2,52.7,17.3
0.137317,400.2,81.7,1193.6,27.1,2474.0,165.6,417.4,1171.6,2451.3,175.7,52.4,16.9
0.139317,406.3,88.6,1188.3,25.2,2478.2,158.4,420.1,1163.6,2454.8,175.1,52.2,16.5
0.141317,413.9,95.4,1183.8,23.8,2483.3,143.7,422.8,1155.9,2458.3,174.5,52,16.1
0.143317,421.6,100.5,1179.9,22.9,2486.4,129.5,425.5,1148.5,2461.7,173.9,51.7,15.8
0.145317,429.6,102.9,1176.1,22.7,2487.1,119.0,428.3,1141.4,2464.9,173.3,51.5,15.7
0.147317,437.5,102.7,1171.8,23.6,2485.1,114.8,431,1134.5,2468,172.8,51.3,15.8
0.149317,444.7,101.6,1165.9,26.1,2480.1,117.2,433.8,1127.8,2470.8,172.2,51.2,16
0.151317,451.5,100.8,1157.3,31.0,2469.7,126.3,436.5,1121.4,2473.5,171.6,51,16.4
0.153317,457.7,100.5,1147.1,37.9,2453.7,141.0,439.3,1115,2475.9,171.1,50.9,16.6
0.155317,464.1,100.1,1134.3,46.4,2433.5,162.7,442,1108.8,2478.1,170.5,50.8,16.7
0.157317,470.4,98.9,1119.7,53.4,2418.5,191.8,444.7,1102.7,2480,169.9,50.7,16.4
0.159317,476.6,97.4,1105.5,57.1,2415.6,224.0,447.4,1096.7,2481.6,169.4,50.6,15.9
0.161317,482.4,95.7,1092.8,58.3,2426.7,238.7,450,1090.7,2482.9,168.9,50.6,15.4
0.163317,486.4,94.1,1083.9,59.0,2443.9,215.4,452.7,1084.8,2484,168.3,50.7,15
0.165317,488.7,92.8,1076.8,61.1,2456.8,180.3,455.2,1079,2484.7,167.8,50.8,14.7
0.167317,488.2,91.1,1070.5,63.4,2462.6,158.8,457.7,1073.2,2485.1,167.3,50.9,14.8
0.169317,485.4,88.3,1064.2,65.3,2464.6,151.7,460.2,1067.4,2485.2,166.8,51.1,15
0.171317,481.3,84.8,1056.4,68.0,2465.3,153.7,462.6,1061.7,2485,166.3,51.2,15.3
0.173317,477.2,81.4,1046.8,71.4,2465.5,160.0,465,1056.1,2484.4,165.8,51.4,15.8
0.175317,473.0,77.7,1034.4,74.2,2464.9,168.6,467.3,1050.5,2483.6,165.3,51.5,16.2
0.177317,469.7,73.9,1020.5,75.1,2462.8,179.8,469.5,1044.9,2482.5,164.9,51.7,16.7
0.179317,468.2,70.1,1009.6,72.9,2462.2,190.3,471.6,1039.5,2481.1,164.4,51.7,17.4
0.181317,469.1,66.9,1004.5,67.6,2466.7,195.9,473.7,1034.1,2479.5,164,51.8,18.1
0.183317,472.2,64.8,1004.6,61.9,2473.8,194.7,475.6,1028.9,2477.6,163.6,51.9,18.7
0.185317,475.5,62.4,1005.2,56.4,2480.2,189.1,477.5,1023.7,2475.4,163.1,51.9,19
