time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025798,388.5,15.2,1376.5,566.0,2414.6,610.1,389.6,1356.3,2524.8,196.3,56.1,29.5
0.027798,388.3,15.3,1375.7,507.6,2452.5,607.5,389.6,1354.5,2524.2,196.1,56.2,29
0.029798,388.2,15.7,1364.4,451.1,2486.1,565.6,389.6,1351.5,2523.3,195.9,56.4,28.5
0.031798,388.3,16.3,1348.4,382.6,2518.6,503.3,389.6,1347.3,2522.1,195.6,56.5,28.1
0.033798,388.5,16.9,1329.4,308.2,2546.4,452.8,389.6,1342,2520.5,195.4,56.6,27.8
0.035798,388.5,17.5,1311.2,245.9,2566.0,450.4,389.6,1335.6,2518.7,195.1,56.7,27.8
0.037798,388.5,18.0,1299.6,201.7,2572.1,494.6,389.6,1328.3,2516.6,194.8,56.7,28
0.039798,388.5,18.6,1294.5,171.6,2559.6,529.1,389.6,1320,2514.3,194.4,56.8,28.3
0.041798,389.0,19.3,1292.6,149.6,2538.5,496.5,389.6,1310.9,2511.8,194.1,56.8,28.5
0.043798,389.7,20.1,1291.8,132.2,2522.4,424.9,389.6,1301,2509.2,193.7,56.8,28.4
0.045798,390.4,20.8,1290.7,118.4,2513.3,367.4,389.7,1290.5,2506.5,193.3,56.8,28.1
0.047798,390.7,21.3,1288.1,108.6,2508.7,342.3,389.8,1279.5,2503.7,192.8,56.8,27.7
0.049798,390.8,21.7,1283.3,102.4,2506.2,344.9,389.9,1268,2500.9,192.3,56.8,27.1
0.051798,390.6,22.0,1276.3,99.5,2503.8,361.9,390.1,1256.2,2498.1,191.9,56.7,26.5
0.053798,390.4,22.7,1267.0,100.3,2501.1,380.6,390.3,1244.1,2495.4,191.3,56.6,25.6
0.055798,390.0,24.2,1254.5,104.4,2498.4,390.6,390.6,1232,2492.9,190.8,56.5,24.7
0.057798,389.8,26.6,1237.2,109.9,2495.1,386.5,390.9,1219.8,2490.5,190.2,56.3,23.5
0.059798,389.7,29.8,1214.9,114.1,2490.7,366.9,391.3,1207.8,2488.3,189.7,56.1,22.3
0.061798,389.9,33.8,1191.3,113.4,2487.8,330.7,391.7,1195.8,2486.4,189.1,55.8,21
0.063798,390.5,39.1,1172.2,106.1,2488.0,288.4,392.3,1184.2,2484.7,188.5,55.4,19.7
0.065798,391.7,46.2,1159.9,95.7,2489.9,256.4,392.9,1172.9,2483.3,187.9,54.9,18.3
0.067798,393.4,55.4,1151.3,86.4,2491.3,237.8,393.6,1162,2482.2,187.2,54.3,16.8
0.069798,396.1,67.0,1142.9,79.5,2490.9,225.9,394.3,1151.6,2481.4,186.6,53.7,15.4
0.071798,400.0,81.6,1133.9,73.7,2488.0,217.0,395.2,1141.7,2481,186,53,14.1
0.073798,405.3,98.4,1125.8,68.2,2483.3,213.8,396.2,1132.3,2480.8,185.3,52.4,13
0.075798,411.4,113.8,1119.6,62.9,2477.0,221.4,397.3,1123.5,2481.1,184.7,51.8,12.3
0.077798,415.6,120.8,1115.1,58.1,2470.3,241.5,398.5,1115.4,2481.6,184.1,51.4,11.8
0.079798,415.0,115.7,1110.9,53.7,2466.3,265.6,399.8,1107.8,2482.4,183.5,51.2,11.5
0.081798,410.8,102.7,1105.9,49.8,2468.0,274.6,401.2,1100.9,2483.6,182.9,51.3,11.4
0.083798,405.5,88.4,1099.9,46.4,2473.0,255.7,402.7,1094.6,2485,182.3,51.5,11.4
0.085798,400.8,76.8,1093.2,43.5,2476.8,222.0,404.4,1088.8,2486.7,181.7,51.8,11.8
0.087798,397.3,69.3,1086.8,41.4,2478.9,194.9,406.1,1083.6,2488.6,181.1,52,12.5
0.089798,395.6,66.1,1081.5,40.1,2480.8,180.9,408,1079,2490.7,180.6,52.2,13.4
0.091798,395.3,66.9,1077.2,39.3,2483.9,174.8,409.9,1074.8,2493.1,180,52.3,14.1
0.093798,396.2,71.1,1072.8,39.2,2488.6,170.4,412,1071,2495.5,179.5,52.3,14.6
0.095798,398.7,79.1,1068.1,39.9,2494.5,162.9,414.2,1067.7,2498.1,179,52.2,14.6
0.097798,403.1,90.8,1063.4,41.3,2500.7,153.5,416.5,1064.6,2500.8,178.5,52,14.4
0.099798,409.8,105.5,1059.4,43.4,2505.5,145.0,418.9,1061.9,2503.6,178.1,51.7,14
0.101798,418.1,119.9,1056.2,45.8,2508.0,138.0,421.4,1059.4,2506.4,177.6,51.5,13.8
0.103798,426.0,128.9,1053.4,48.3,2508.5,133.5,424,1057,2509.2,177.2,51.3,14
0.105798,431.3,129.6,1050.8,50.8,2508.5,133.7,426.7,1054.8,2512.1,176.8,51.1,14.7
0.107798,434.4,124.5,1048.8,52.4,2509.5,138.5,429.5,1052.6,2514.9,176.4,51,15.7
0.109798,437.0,118.4,1047.5,52.5,2511.6,146.4,432.3,1050.5,2517.7,176,50.9,16.9
0.111798,439.3,113.0,1046.4,51.5,2514.6,156.5,435.2,1048.4,2520.5,175.6,50.9,18
0.113798,441.1,108.0,1045.0,49.9,2519.6,165.7,438.2,1046.2,2523.2,175.2,50.9,18.9
0.115798,442.7,103.7,1043.5,48.9,2527.8,170.3,441.2,1044,2525.9,174.9,50.9,19.6
