time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025943,291.7,55.9,2188.1,310.2,2816.9,302.4,335.7,2267.7,2615.2,197.6,43.5,11.6
0.027943,301.8,61.8,2217.7,358.0,2774.6,528.3,336.2,2264.1,2614.1,197.9,44.4,12.4
0.029943,310.8,66.6,2259.9,371.0,2676.9,865.6,337,2258.2,2612.4,198.2,45.3,13.3
0.031943,319.7,72.3,2281.7,309.3,2623.0,1178.6,338.1,2249.9,2610,198.5,46.1,14.1
0.033943,328.7,80.0,2270.5,268.2,2666.4,1098.9,339.4,2239.3,2606.9,198.7,46.9,15
0.035943,338.5,88.6,2251.1,257.5,2668.1,788.5,341.1,2226.5,2603.3,199,47.7,15.9
0.037943,347.9,94.4,2222.7,252.8,2639.4,526.4,343,2211.5,2599,199.3,48.4,16.8
0.039943,354.7,95.0,2190.5,239.5,2612.7,379.3,345.1,2194.4,2594.1,199.5,49.1,17.8
0.041943,359.7,91.9,2156.9,220.2,2587.6,299.0,347.5,2175.2,2588.8,199.8,49.7,18.8
0.043943,364.2,88.5,2122.9,193.2,2564.8,244.0,350,2154.2,2582.9,200,50.3,19.6
0.045943,368.8,85.1,2092.7,163.9,2545.3,204.4,352.7,2131.3,2576.6,200.2,50.8,20.4
0.047943,372.7,80.7,2069.3,142.1,2528.7,182.4,355.6,2106.7,2569.9,200.4,51.2,21
0.049943,375.8,76.1,2053.1,130.6,2514.1,173.2,358.5,2080.5,2562.8,200.5,51.7,21.6
0.051943,378.6,71.4,2040.2,129.4,2497.5,171.7,361.5,2052.8,2555.4,200.6,52,22.1
0.053943,380.9,66.5,2029.3,143.0,2478.5,177.6,364.6,2023.8,2547.8,200.7,52.4,22.6
0.055943,382.5,61.5,2018.1,176.6,2458.8,186.6,367.6,1993.5,2540.1,200.8,52.7,22.9
0.057943,383.8,56.9,2002.5,232.8,2440.4,189.5,370.7,1962.2,2532.1,200.8,53,23.2
0.059943,385.0,53.1,1975.8,298.3,2426.9,179.4,373.7,1929.9,2524.1,200.8,53.3,23.5
0.061943,386.3,49.4,1932.1,352.9,2419.3,161.7,376.6,1896.9,2516.1,200.7,53.5,23.7
0.063943,387.4,45.9,1883.7,376.8,2417.0,149.8,379.5,1863.2,2508.1,200.7,53.8,23.8
0.065943,388.4,42.7,1844.0,381.0,2416.8,149.2,382.2,1829,2500.2,200.6,54,24
0.067943,389.6,40.3,1817.6,382.7,2417.8,156.0,384.7,1794.4,2492.5,200.4,54.3,24.2
0.069943,390.9,38.8,1802.5,392.0,2419.8,161.3,387.1,1759.6,2484.9,200.2,54.5,24.4
0.071943,392.3,37.8,1789.9,416.7,2421.6,160.5,389.3,1724.7,2477.6,200,54.7,24.6
0.073943,393.2,36.7,1767.7,457.1,2421.7,155.4,391.2,1689.9,2470.5,199.8,55,24.6
0.075943,393.4,35.2,1722.9,493.6,2421.4,148.3,393,1655.3,2463.7,199.5,55.2,24.5
0.077943,393.2,33.3,1658.0,494.1,2423.8,138.9,394.5,1621,2457.3,199.2,55.4,24.2
0.079943,392.8,31.4,1591.6,460.2,2428.9,131.1,395.8,1587.1,2451.3,198.9,55.6,23.8
0.081943,392.3,29.5,1527.6,412.7,2436.3,132.5,396.8,1553.7,2445.7,198.5,55.9,23.5
0.083943,391.5,27.9,1474.2,371.7,2447.1,152.2,397.6,1521.1,2440.6,198.2,56.1,23.2
0.085943,390.8,26.8,1430.4,338.8,2465.7,188.2,398.2,1489.1,2435.9,197.8,56.3,23.1
0.087943,390.1,26.0,1391.1,302.2,2488.3,211.4,398.5,1458.1,2431.6,197.4,56.5,23.3
0.089943,389.6,25.5,1357.1,259.9,2500.5,206.1,398.6,1427.9,2427.9,196.9,56.6,23.6
0.091943,389.2,25.4,1330.0,212.5,2501.8,193.9,398.5,1398.8,2424.6,196.5,56.7,23.9
0.093943,389.3,25.9,1313.5,170.3,2497.0,189.5,398.2,1370.7,2421.9,196,56.8,24
0.095943,389.7,26.8,1304.5,138.5,2487.9,184.2,397.7,1343.8,2419.6,195.5,56.8,24
0.097943,390.2,28.1,1298.7,115.9,2476.2,162.5,397.1,1318.1,2417.9,195,56.8,23.8
0.099943,390.6,29.6,1293.1,100.7,2466.8,134.4,396.3,1293.6,2416.6,194.4,56.8,23.5
