time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025449,378.7,153.0,1906.2,126.4,2351.5,105.7,413.5,1880,2321.7,215.8,48.7,13.2
0.027449,384.2,123.3,1899.9,113.6,2349.1,102.7,413.6,1877.2,2322.2,216,49,12.7
0.029449,393.3,109.5,1894.0,113.2,2344.4,110.6,413.8,1872.5,2323,216.2,49.2,12.4
0.031449,402.1,104.3,1887.5,125.5,2337.3,125.0,413.9,1866,2324.2,216.3,49.5,12.2
0.033449,409.6,103.3,1880.4,148.7,2331.0,138.2,414.2,1857.6,2325.7,216.5,49.7,12.2
0.035449,416.2,104.4,1873.7,174.8,2329.6,142.9,414.4,1847.4,2327.5,216.6,49.8,12.4
0.037449,422.5,106.1,1869.5,195.0,2332.3,140.7,414.7,1835.3,2329.6,216.7,49.9,13.1
0.039449,427.9,106.9,1868.4,210.6,2334.6,137.7,415.1,1821.5,2332,216.8,50,14.5
0.041449,431.5,106.0,1867.5,232.7,2333.1,138.6,415.4,1805.8,2334.6,216.8,50.1,16.4
0.043449,432.6,103.6,1860.7,274.4,2327.4,144.7,415.7,1788.5,2337.4,216.9,50.2,18.6
0.045449,431.5,100.8,1838.5,343.3,2319.7,152.9,416.1,1769.4,2340.4,216.9,50.2,20.6
0.047449,428.8,98.5,1789.2,424.6,2315.8,154.9,416.3,1748.6,2343.6,216.8,50.3,22.1
0.049449,425.7,96.5,1713.8,470.0,2320.7,147.8,416.6,1726.3,2346.9,216.8,50.4,22.9
0.051449,423.4,94.8,1639.8,448.4,2332.2,135.3,416.8,1702.4,2350.3,216.6,50.5,23.4
0.053449,422.5,93.4,1590.6,389.9,2345.1,121.6,417,1677.1,2353.8,216.5,50.5,23.6
0.055449,423.1,92.0,1561.9,333.8,2357.0,109.3,417,1650.4,2357.3,216.3,50.6,23.6
0.057449,424.4,90.0,1542.5,295.9,2366.5,100.0,417,1622.5,2360.9,216.1,50.6,23.5
0.059449,425.5,87.5,1526.5,279.5,2371.9,94.5,416.9,1593.4,2364.4,215.8,50.6,23.3
0.061449,425.8,84.8,1509.6,282.9,2372.7,92.0,416.7,1563.3,2367.9,215.5,50.5,22.9
0.063449,424.8,82.2,1485.9,299.1,2370.1,90.8,416.4,1532.3,2371.3,215.2,50.4,22.4
0.065449,422.4,78.9,1450.6,315.8,2367.2,89.8,416,1500.5,2374.6,214.8,50.3,21.9
0.067449,419.0,74.4,1406.0,320.2,2366.1,89.2,415.4,1468.2,2377.8,214.4,50.2,21.3
0.069449,415.5,69.4,1361.0,306.5,2367.8,89.3,414.7,1435.5,2380.9,214,50.1,20.7
0.071449,412.3,65.1,1321.5,277.0,2371.5,89.6,413.9,1402.5,2383.8,213.5,50,20
0.073449,409.3,62.2,1289.0,238.6,2375.5,91.6,412.9,1369.4,2386.5,213,49.9,19.3
0.075449,406.3,61.1,1266.0,201.4,2378.4,97.7,411.8,1336.5,2389,212.5,49.9,18.7
0.077449,403.8,62.5,1253.3,174.1,2379.3,108.1,410.5,1303.9,2391.3,212,49.8,18.5
0.079449,401.7,66.3,1247.6,158.8,2377.9,120.2,409.2,1271.8,2393.4,211.4,49.8,18.6
0.081449,400.2,71.6,1244.9,153.3,2378.1,131.0,407.6,1240.4,2395.2,210.9,49.8,19
0.083449,399.3,77.8,1243.3,153.9,2386.6,136.2,406,1209.9,2396.9,210.3,49.8,19.6
0.085449,398.9,83.8,1241.3,158.1,2402.3,130.8,404.3,1180.4,2398.3,209.7,49.8,20.2
0.087449,398.6,88.6,1237.0,166.6,2414.9,117.8,402.4,1152.1,2399.4,209.1,49.9,20.8
0.089449,397.9,91.2,1229.0,184.1,2418.2,107.1,400.5,1125.2,2400.4,208.5,50,21.3
0.091449,396.1,91.4,1215.1,217.4,2416.2,102.8,398.4,1099.8,2401.1,207.9,50.1,21.8
0.093449,393.0,89.5,1189.8,270.5,2415.6,102.6,396.3,1076.1,2401.6,207.2,50.2,22.3
0.095449,389.1,86.7,1145.1,331.2,2418.5,101.7,394.2,1054.1,2401.9,206.6,50.3,22.7
0.097449,385.5,83.7,1086.3,360.8,2421.9,95.3,392,1033.9,2402.1,206,50.4,23.1
0.099449,382.8,80.5,1038.8,343.2,2423.7,85.1,389.7,1015.7,2402,205.3,50.5,23.4
0.101449,381.3,77.3,1014.5,309.6,2423.6,76.5,387.5,999.4,2401.9,204.7,50.7,23.6
0.103449,380.5,73.9,1002.8,283.0,2421.4,72.1,385.2,985.1,2401.6,204.1,50.8,23.8
0.105449,379.2,69.1,992.6,261.1,2418.8,70.5,382.9,972.7,2401.1,203.4,50.8,23.9
0.107449,377.6,62.8,983.1,233.8,2416.5,69.1,380.7,962.3,2400.6,202.8,50.9,23.9
0.109449,376.1,56.3,976.0,200.7,2413.1,66.1,378.5,953.8,2400.1,202.1,51,23.7
0.111449,375.0,51.0,969.4,171.5,2407.3,62.3,376.3,947.2,2399.5,201.4,51,23.3
0.113449,374.3,47.9,961.4,153.0,2400.2,58.9,374.3,942.2,2398.8,200.8,51.1,23
0.115449,374.1,47.1,952.8,146.7,2393.5,57.1,372.2,938.9,2398.1,200.1,51.1,22.6
0.117449,374.0,48.1,944.7,151.7,2388.1,59.6,370.3,937.1,2397.5,199.5,51.1,22.5
0.119449,373.7,50.3,937.2,166.1,2384.3,68.2,368.4,936.6,2396.9,198.8,51.1,22.6
0.121449,373.3,53.1,929.6,186.8,2382.5,82.0,366.7,937.2,2396.3,198.1,51,22.8
0.123449,372.7,55.9,920.2,209.4,2382.2,99.3,365,938.9,2395.9,197.4,51,23.1
0.125449,371.6,58.0,907.4,228.7,2381.9,120.7,363.5,941.3,2395.4,196.7,51,23.3
0.127449,370.0,59.3,893.0,242.0,2379.6,144.0,362,944.4,2395.1,196,51,23.5
0.129449,368.7,60.3,882.1,251.1,2376.3,157.6,360.7,947.8,2394.9,195.3,51,23.6
0.131449,367.7,61.5,877.8,261.4,2378.4,151.7,359.5,951.5,2394.9,194.6,51,23.7
0.133449,366.8,63.1,880.7,279.0,2387.1,138.3,358.4,955.2,2394.9,193.9,51,23.7
0.135449,366.6,65.6,897.7,299.1,2396.2,128.0,357.4,958.8,2395.1,193.2,51,23.6
0.137449,367.0,68.7,931.3,302.0,2403.1,119.4,356.6,962.1,2395.4,192.5,50.9,23.1
0.139449,366.6,71.8,963.6,280.8,2407.4,111.6,355.8,964.9,2395.9,191.8,50.8,22.2
0.141449,363.1,74.8,977.1,259.0,2407.9,109.7,355.1,967.1,2396.5,191.1,50.6,20.9
0.143449,355.9,76.5,970.7,250.9,2402.4,120.8,354.6,968.6,2397.3,190.3,50.4,19.5
0.145449,347.2,75.7,953.7,243.6,2388.8,148.8,354.1,969.3,2398.2,189.6,50.2,18.3
0.147449,340.8,73.9,941.5,223.0,2369.2,191.1,353.7,969.1,2399.2,189,50,17.5
0.149449,338.7,73.4,940.7,196.3,2356.9,236.5,353.4,968.1,2400.4,188.3,49.7,17.3
0.151449,340.4,75.1,945.7,173.5,2366.5,259.6,353.2,966.1,2401.7,187.6,49.4,17.5
0.153449,343.7,77.0,947.6,156.8,2387.9,240.0,353,963.3,2403.1,186.9,49.2,17.9
0.155449,345.3,76.7,941.0,148.2,2400.1,204.4,352.9,959.7,2404.7,186.3,48.9,18.2
0.157449,344.2,73.7,928.6,145.7,2399.4,182.8,352.8,955.3,2406.3,185.6,48.6,18.2
0.159449,342.2,67.9,917.7,141.8,2391.9,180.6,352.8,950.3,2408,185,48.3,17.6
0.161449,341.9,59.0,913.6,131.7,2387.0,192.2,352.8,944.9,2409.7,184.5,48,16.7
0.163449,345.2,48.9,917.4,117.7,2397.7,203.0,352.9,939.1,2411.6,183.9,47.8,15.7
0.165449,351.2,40.8,928.0,105.0,2429.4,191.9,352.9,933.1,2413.4,183.3,47.7,14.9
0.167449,357.1,35.2,941.2,95.9,2463.8,157.9,353,927.2,2415.3,182.8,47.6,14.4
0.169449,360.6,30.7,951.6,92.3,2482.0,128.3,353.1,921.6,2417.3,182.3,47.6,14.3
0.171449,361.8,26.9,958.1,93.9,2485.1,114.3,353.2,916.5,2419.2,181.9,47.6,14.5
0.173449,362.2,24.0,965.2,97.0,2479.2,108.1,353.2,912.1,2421.1,181.4,47.6,14.9
0.175449,362.5,23.1,974.4,95.2,2468.7,105.5,353.3,908.7,2423,181,47.6,15.3
0.177449,362.6,23.8,982.2,91.3,2456.4,103.2,353.4,906.6,2424.9,180.7,47.6,15.5
0.179449,362.0,25.2,983.8,91.9,2446.1,102.8,353.5,906,2426.7,180.3,47.5,15.5
0.181449,359.7,26.6,976.4,98.9,2439.2,111.0,353.5,907,2428.5,180,47.4,15.3
0.183449,355.5,28.0,960.9,108.9,2432.0,133.0,353.6,909.9,2430.2,179.7,47.4,15.2
0.185449,350.7,30.6,946.8,119.6,2418.5,164.5,353.6,915,2431.9,179.5,47.3,15.1
0.187449,346.9,34.9,943.9,135.7,2401.5,186.1,353.6,922.4,2433.4,179.2,47.2,15.3
0.189449,345.2,39.5,953.6,158.1,2393.1,186.6,353.6,932.1,2434.9,179,47.3,15.7
0.191449,345.4,42.7,972.4,175.4,2397.3,176.3,353.6,944.5,2436.3,178.9,47.3,16.4
0.193449,347.0,44.7,995.2,172.9,2409.3,165.3,353.6,959.4,2437.6,178.7,47.4,17.1
0.195449,349.0,46.4,1015.7,153.2,2422.5,156.1,353.5,977,2438.9,178.6,47.5,17.8
0.197449,350.6,47.9,1031.2,132.1,2432.1,147.3,353.5,997.4,2440,178.5,47.5,18.5
0.199449,350.9,48.8,1044.3,120.5,2437.1,138.1,353.4,1020.3,2441,178.4,47.5,19
0.201449,350.6,49.3,1060.2,120.0,2438.2,132.2,353.4,1045.9,2441.9,178.3,47.4,19.4
0.203449,350.7,50.1,1083.5,126.1,2435.4,132.6,353.3,1073.9,2442.8,178.3,47.4,19.9
0.205449,352.0,51.0,1115.5,131.8,2429.2,136.4,353.3,1104.3,2443.5,178.3,47.3,20.2
0.207449,354.2,51.3,1152.2,131.4,2422.2,136.2,353.2,1136.8,2444.2,178.3,47.1,20.5
0.209449,356.4,49.9,1187.2,126.5,2419.4,127.2,353.1,1171.2,2444.8,178.3,47,20.8
0.211449,358.3,47.1,1216.9,120.0,2423.6,112.4,353.1,1207.2,2445.3,178.3,46.9,21
0.213449,360.1,44.3,1238.2,110.3,2433.9,96.3,353,1244.6,2445.7,178.3,46.8,21.1
0.215449,361.7,42.8,1249.3,95.4,2447.9,80.9,352.9,1283.1,2446,178.3,46.7,21.2
0.217449,363.0,43.3,1253.9,79.0,2462.0,67.5,352.9,1322.2,2446.3,178.4,46.5,21.3
0.219449,363.7,45.4,1258.1,68.8,2471.7,57.9,352.8,1361.6,2446.5,178.4,46.4,21.2
0.221449,362.5,47.8,1264.9,68.5,2475.0,52.8,352.8,1401,2446.7,178.5,46.2,20.9
0.223449,359.6,49.8,1274.3,78.5,2473.1,51.6,352.8,1439.8,2446.8,178.6,46.1,20.7
0.225449,355.9,51.6,1285.1,99.8,2468.0,53.1,352.7,1477.9,2446.9,178.6,46,20.5
0.227449,352.2,53.8,1296.2,137.5,2460.9,57.1,352.7,1514.6,2446.9,178.7,45.9,20.4
0.229449,348.7,57.4,1308.3,199.3,2453.1,63.3,352.7,1549.7,2446.9,178.7,45.8,20.5
0.231449,345.5,62.6,1324.4,294.6,2445.3,72.3,352.6,1582.8,2446.9,178.8,45.7,20.7
0.233449,342.9,69.1,1351.4,434.8,2437.1,86.1,352.6,1613.5,2446.9,178.9,45.6,20.9
0.235449,341.7,76.9,1408.3,627.6,2428.6,105.6,352.6,1641.5,2446.9,178.9,45.4,21.1
0.237449,342.6,84.9,1541.6,832.4,2421.2,129.6,352.6,1666.4,2446.9,179,45.3,21.1
0.239449,345.8,91.2,1751.4,845.7,2418.3,154.8,352.6,1687.9,2446.8,179,45.1,21
0.241449,350.3,94.1,1904.4,670.9,2423.5,174.6,352.6,1705.9,2446.8,179.1,44.8,21
0.243449,354.5,93.3,1992.8,500.3,2437.1,185.2,352.6,1720.2,2446.7,179.1,44.4,20.7
0.245449,357.1,90.1,2050.7,376.3,2455.6,188.0,352.6,1730.4,2446.7,179.2,43.9,20.1
0.247449,357.0,86.2,2090.2,298.5,2475.1,185.1,352.6,1736.7,2446.7,179.2,43.3,18.9
0.249449,353.4,82.5,2117.6,262.0,2492.7,179.5,352.6,1738.7,2446.7,179.2,42.5,16.1
