time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025474,300.8,207.3,2034.9,187.4,2501.5,86.2,351.1,2011,2454,234,37.8,1.3
0.027474,285.8,103.3,2013.6,181.3,2500.4,100.1,351.7,2006.8,2453.5,233.4,39.7,2.1
0.029474,278.1,65.0,2006.1,154.2,2494.0,130.2,352.6,1999.7,2452.6,232.8,41.3,3
0.031474,276.0,54.0,1997.1,118.9,2478.6,165.6,353.9,1989.9,2451.5,232.2,42.6,3.8
0.033474,281.4,61.8,1983.1,92.9,2461.7,175.9,355.5,1977.3,2450,231.5,43.5,4.7
0.035474,296.4,85.5,1970.3,76.8,2451.6,161.8,357.4,1962.2,2448.3,230.8,44.2,5.6
0.037474,324.3,120.0,1961.3,72.3,2445.8,156.8,359.6,1944.5,2446.2,230.2,44.6,6.5
0.039474,357.8,144.7,1957.4,81.6,2440.2,180.9,362.2,1924.3,2444,229.5,44.8,7.5
0.041474,389.2,153.2,1953.8,107.6,2427.2,241.2,365,1901.9,2441.5,228.8,45,8.4
0.043474,409.8,151.8,1939.9,153.4,2399.8,305.8,368,1877.3,2438.8,228.2,45.1,9.4
0.045474,420.6,148.2,1903.3,203.5,2378.0,296.9,371.3,1850.6,2435.9,227.5,45.2,10.6
0.047474,427.4,143.7,1847.3,229.0,2381.3,231.4,374.8,1822.1,2433,226.9,45.3,11.9
0.049474,432.0,137.7,1803.4,233.5,2391.5,180.4,378.4,1791.9,2429.9,226.2,45.5,13.6
0.051474,436.3,129.9,1776.4,240.7,2396.6,152.6,382.2,1760.2,2426.7,225.6,45.6,15.3
0.053474,440.3,122.3,1755.5,259.8,2396.6,138.8,386,1727.1,2423.5,225,45.8,17.1
0.055474,442.7,116.9,1716.1,288.2,2396.4,124.1,390,1692.9,2420.3,224.4,45.9,18.6
0.057474,442.5,112.1,1643.4,313.9,2400.2,103.2,393.9,1657.7,2417.2,223.8,46.1,19.8
0.059474,440.8,106.5,1562.8,320.0,2405.8,85.5,397.9,1621.7,2414.1,223.2,46.2,20.7
0.061474,438.8,100.2,1489.3,307.6,2409.4,73.4,401.8,1585.1,2411.1,222.7,46.4,21.5
0.063474,437.2,94.7,1433.4,279.4,2411.0,65.7,405.7,1548.2,2408.3,222.1,46.6,22.1
0.065474,435.4,90.0,1393.4,242.8,2412.4,59.8,409.4,1511,2405.6,221.6,46.8,22.5
0.067474,433.1,84.4,1359.2,203.3,2414.3,54.1,413.1,1473.8,2403.1,221.1,47,22.7
0.069474,430.7,77.5,1330.3,170.0,2416.3,48.9,416.6,1436.8,2400.9,220.6,47.1,22.6
0.071474,428.8,70.0,1304.7,140.6,2418.3,43.3,419.8,1400.1,2398.9,220.1,47.3,22.4
0.073474,428.0,64.4,1286.9,116.9,2419.8,37.9,422.9,1363.9,2397.1,219.6,47.4,22.1
0.075474,428.5,62.3,1277.8,100.1,2419.9,33.8,425.7,1328.4,2395.7,219.1,47.5,21.7
0.077474,430.2,63.4,1274.1,88.4,2418.3,30.9,428.3,1293.7,2394.5,218.6,47.5,21.3
