time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025882,296.1,120.8,1949.7,78.4,2479.0,223.8,395.4,1906.9,2403.5,244.5,43.2,4.2
0.027882,315.9,138.7,1946.9,78.8,2468.0,185.9,396.4,1903.1,2402.7,244.2,44.3,5.4
0.029882,351.9,159.7,1937.0,99.3,2466.8,181.2,398.1,1896.7,2401.5,244,45.2,7
0.031882,385.3,165.1,1920.3,142.7,2461.3,215.8,400.5,1887.8,2399.8,243.7,45.9,8.8
0.033882,407.6,160.8,1898.4,195.1,2432.3,278.7,403.4,1876.7,2397.7,243.3,46.5,10.5
0.035882,424.3,148.1,1862.5,243.1,2369.0,314.1,406.8,1863.3,2395.2,243,47,12.2
0.037882,437.8,131.2,1813.8,248.4,2329.0,265.5,410.7,1847.9,2392.3,242.6,47.4,13.7
0.039882,448.3,115.7,1774.5,218.9,2326.3,207.6,415,1830.6,2389.1,242.2,47.8,15.3
0.041882,455.9,103.6,1747.5,188.7,2334.6,169.9,419.6,1811.6,2385.6,241.8,48.1,16.7
0.043882,461.1,95.3,1729.9,167.0,2344.6,150.8,424.4,1791.2,2382,241.4,48.4,18.1
0.045882,464.9,89.7,1718.8,151.6,2355.0,143.4,429.3,1769.6,2378.1,240.9,48.7,19.2
0.047882,467.6,86.3,1713.2,144.3,2360.4,146.4,434.3,1747,2374.2,240.4,48.9,19.9
0.049882,469.6,83.2,1708.9,144.8,2356.1,160.4,439.2,1723.7,2370.2,239.9,49.1,20.2
0.051882,471.4,78.8,1701.0,150.9,2339.7,186.0,444,1699.9,2366.3,239.3,49.2,20.3
0.053882,472.6,73.9,1688.9,160.2,2319.5,211.8,448.5,1675.9,2362.5,238.7,49.3,20.3
0.055882,472.7,70.1,1674.5,171.7,2317.3,218.4,452.8,1651.8,2358.8,238.2,49.4,20.4
0.057882,472.4,68.2,1657.7,183.1,2338.8,188.9,456.6,1627.9,2355.4,237.6,49.4,20.6
0.059882,471.8,67.6,1633.7,195.2,2357.0,144.4,460,1604.4,2352.3,236.9,49.4,21.1
0.061882,470.9,67.8,1602.2,201.6,2362.1,109.3,462.9,1581.4,2349.5,236.3,49.4,21.5
0.063882,470.2,67.9,1573.4,197.6,2358.8,88.4,465.3,1559.3,2347.1,235.6,49.4,22
0.065882,469.2,68.3,1553.0,192.3,2351.8,78.1,467.1,1538,2345.1,234.9,49.3,22.3
0.067882,467.1,70.2,1541.2,197.7,2345.2,78.5,468.4,1517.7,2343.7,234.2,49.2,22.4
0.069882,463.1,74.3,1528.3,216.6,2341.7,87.9,469,1498.5,2342.7,233.5,49.2,22.3
0.071882,457.0,79.4,1505.1,243.1,2341.5,104.0,469.1,1480.5,2342.3,232.8,49.1,22
0.073882,450.1,82.9,1471.9,262.5,2343.2,120.9,468.6,1463.8,2342.4,232,49,21.7
0.075882,444.1,84.4,1431.7,256.6,2344.7,132.5,467.5,1448.2,2343.2,231.3,48.9,21.6
0.077882,441.1,84.4,1399.8,217.0,2344.3,131.2,466,1433.9,2344.5,230.5,48.9,21.6
0.079882,440.8,83.5,1383.7,168.6,2344.2,120.2,464,1420.8,2346.3,229.7,48.9,21.8
0.081882,440.3,81.9,1380.0,136.5,2349.8,109.5,461.6,1408.9,2348.7,228.9,48.9,22.1
0.083882,437.9,80.4,1382.5,125.4,2361.8,107.0,458.9,1398,2351.7,228.1,48.9,22.4
0.085882,434.2,78.1,1386.8,127.5,2377.6,112.2,455.9,1388.1,2355.1,227.2,48.9,22.6
0.087882,431.2,74.7,1388.3,134.9,2390.8,120.0,452.7,1379.2,2359,226.4,48.9,22.5
0.089882,430.0,70.6,1384.4,141.1,2398.5,124.7,449.3,1371,2363.3,225.5,48.9,22.1
0.091882,430.7,66.3,1376.2,142.0,2402.0,122.6,445.8,1363.5,2368,224.6,48.9,21.6
0.093882,432.5,62.0,1367.0,136.4,2404.5,113.5,442.4,1356.5,2372.9,223.7,48.8,21
