time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025907,308.5,164.8,964.8,462.8,2218.7,97.9,297.9,849.8,2241.9,219.6,43.5,23.5
0.027907,311.1,168.7,965.7,489.2,2227.8,95.9,298.6,852.1,2240.7,219.7,43.6,23.7
0.029907,313.5,172.9,967.6,510.6,2234.6,93.3,299.6,855.9,2238.7,219.8,43.7,24.2
0.031907,316.1,176.9,971.1,525.7,2240.4,90.6,301,861.3,2236.1,219.9,43.9,24.9
0.033907,317.5,177.8,969.7,528.5,2244.4,88.4,302.8,868.1,2232.7,220.1,44.1,25.5
0.035907,317.0,174.4,958.1,517.3,2246.2,86.6,305.1,876.4,2228.8,220.2,44.3,26.1
0.037907,314.7,167.2,938.7,496.6,2245.9,86.0,307.7,886.2,2224.4,220.4,44.5,26.7
0.039907,312.3,160.1,920.8,477.3,2245.0,86.5,310.8,897.5,2219.7,220.6,44.7,27.2
0.041907,311.3,155.6,909.9,465.6,2244.2,86.5,314.3,910.2,2214.7,220.8,44.9,27.8
0.043907,312.1,154.9,908.0,462.1,2243.8,84.8,318.1,924.3,2209.6,221,45,28.2
0.045907,314.2,155.9,910.2,459.4,2243.2,82.9,322.4,939.8,2204.5,221.2,45.1,28.3
0.047907,316.4,156.6,910.3,453.1,2242.1,82.5,327,956.6,2199.6,221.4,45.1,28.2
0.049907,317.9,156.0,905.0,443.8,2240.4,83.3,332,974.7,2195.1,221.6,45.1,27.8
0.051907,319.0,153.6,894.9,429.3,2238.6,84.0,337.4,994.1,2190.9,221.8,45.1,27.3
0.053907,320.2,149.8,884.1,409.0,2237.2,84.8,343.1,1014.6,2187.3,222.1,45,26.8
0.055907,321.9,143.6,873.3,380.2,2235.6,87.0,349.2,1036.2,2184.5,222.3,45,26.6
0.057907,323.3,134.2,860.4,343.7,2232.7,94.5,355.6,1058.8,2182.5,222.6,44.8,26.7
0.059907,324.6,124.3,847.2,314.1,2224.2,118.0,362.3,1082.4,2181.4,222.8,44.7,27.1
0.061907,330.5,129.1,845.9,344.7,2191.3,187.0,369.2,1106.9,2181.4,223,44.6,27.5
0.063907,345.8,159.6,861.5,505.0,2095.2,307.7,376.3,1132.1,2182.5,223.3,44.5,27.6
0.065907,371.4,197.8,869.1,807.8,1950.0,362.5,383.7,1158,2184.7,223.5,44.4,27.2
0.067907,404.7,222.0,879.6,1330.1,1879.4,370.7,391.2,1184.4,2188.2,223.8,44.4,25.8
0.069907,435.0,221.4,1512.2,1982.6,1871.5,463.5,398.8,1211.2,2192.9,224,44.5,23.6
0.071907,452.3,207.8,1704.5,985.1,2004.3,755.0,406.5,1238.3,2198.8,224.2,44.7,21.2
0.073907,456.2,198.6,1578.1,848.2,2185.3,564.9,414.2,1265.6,2206,224.4,44.9,19.3
