time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025864,616.3,320.2,1508.9,429.4,2487.1,446.1,435.3,1390.6,2493.3,197.6,38,10.7
0.027864,542.9,366.7,1502.3,361.0,2504.5,520.2,435,1388,2493.8,197.6,39.9,16.9
0.029864,453.4,346.3,1484.4,271.9,2509.8,591.6,434.5,1383.6,2494.8,197.7,41.9,14.1
0.031864,397.4,239.2,1452.4,192.5,2486.5,665.9,433.7,1377.4,2496.1,197.7,43.8,7.4
0.033864,381.9,145.5,1409.0,146.5,2425.1,743.0,432.8,1369.6,2497.7,197.7,45.7,2.1
0.035864,382.3,91.2,1369.3,118.4,2394.0,730.9,431.8,1360.2,2499.7,197.8,47.4,2
0.037864,388.6,65.4,1344.1,100.9,2484.3,519.1,430.5,1349.3,2502,197.8,49,3.7
0.039864,395.3,52.9,1325.0,96.6,2533.3,308.3,429.1,1336.9,2504.5,197.7,50.4,5.9
0.041864,400.3,44.3,1299.7,105.9,2550.1,217.9,427.5,1323.2,2507.4,197.7,51.7,8.3
0.043864,403.0,38.7,1267.7,124.7,2555.3,181.6,425.8,1308.2,2510.5,197.6,52.9,10.5
0.045864,404.0,35.2,1231.7,147.5,2555.7,163.2,424,1292.1,2513.8,197.6,54,12.2
0.047864,404.3,33.4,1196.8,168.3,2553.1,147.3,422.1,1275.1,2517.3,197.5,54.9,13.8
0.049864,404.5,33.1,1169.8,177.5,2550.3,127.4,420.1,1257.1,2520.9,197.3,55.7,15.3
0.051864,404.6,33.1,1152.1,168.0,2549.8,105.7,418.1,1238.4,2524.7,197.2,56.3,16.7
0.053864,404.6,33.1,1144.3,144.4,2550.7,88.4,416,1219.1,2528.5,197,56.8,17.9
0.055864,404.4,33.0,1140.6,120.0,2550.9,77.1,413.9,1199.3,2532.4,196.8,57.3,19.1
0.057864,404.1,32.8,1136.1,102.2,2550.0,71.0,411.8,1179.2,2536.3,196.6,57.6,20.3
0.059864,403.8,32.8,1130.5,91.9,2548.4,68.2,409.7,1158.9,2540.2,196.3,57.8,21.3
0.061864,403.7,33.4,1123.9,86.7,2546.3,66.9,407.7,1138.6,2544,196.1,58,22.3
0.063864,403.8,34.6,1116.9,86.0,2543.7,67.6,405.7,1118.3,2547.7,195.8,58.1,23
0.065864,403.7,35.8,1108.1,90.2,2540.9,72.0,403.8,1098.3,2551.4,195.4,58.1,23.6
0.067864,403.0,36.3,1094.8,99.6,2539.1,82.1,401.9,1078.6,2554.8,195.1,58.1,23.9
0.069864,401.7,36.2,1075.4,110.5,2538.8,97.2,400.2,1059.4,2558.1,194.7,58,24.1
0.071864,399.9,35.8,1049.6,118.4,2539.4,115.2,398.6,1040.7,2561.2,194.3,57.8,24.2
0.073864,398.1,35.6,1023.5,119.9,2540.0,128.9,397.1,1022.7,2564,193.9,57.6,24.2
0.075864,396.6,35.9,1001.6,117.7,2541.0,136.0,395.7,1005.4,2566.6,193.5,57.4,24.1
0.077864,395.3,36.9,984.6,116.0,2543.4,142.2,394.5,989,2569,193.1,57,23.8
0.079864,394.2,38.5,971.2,116.1,2547.2,155.0,393.5,973.4,2571,192.7,56.7,23.5
0.081864,393.4,41.1,959.0,116.9,2551.5,175.6,392.6,958.9,2572.8,192.2,56.2,23.1
0.083864,393.2,45.2,948.6,117.2,2556.7,186.9,391.8,945.3,2574.2,191.7,55.8,22.5
0.085864,393.3,50.3,937.5,114.8,2566.1,179.2,391.2,932.7,2575.3,191.3,55.3,21.9
0.087864,393.2,55.8,924.5,110.1,2574.9,164.0,390.8,921.3,2576.1,190.8,54.7,21
0.089864,392.8,62.3,911.8,106.7,2578.6,162.6,390.6,910.9,2576.6,190.3,54.1,20
0.091864,392.5,71.7,899.7,104.8,2582.0,185.5,390.5,901.5,2576.7,189.8,53.4,19.1
0.093864,393.3,85.6,891.3,104.0,2588.4,220.8,390.5,893.2,2576.6,189.3,52.8,18.2
0.095864,396.6,106.0,888.2,104.4,2590.5,239.8,390.7,886,2576.1,188.8,52.1,17.6
0.097864,402.1,129.5,887.7,104.6,2586.1,229.2,391.1,879.7,2575.4,188.3,51.4,17
0.099864,407.8,149.0,886.6,104.3,2578.9,198.8,391.5,874.4,2574.3,187.9,50.8,16.6
0.101864,412.7,161.8,883.9,104.3,2571.1,158.2,392.1,870,2573,187.4,50.2,16.3
0.103864,416.0,165.8,879.8,104.3,2566.8,120.2,392.9,866.5,2571.5,186.9,49.8,16.1
0.105864,417.5,161.1,875.6,102.6,2566.3,92.4,393.7,863.8,2569.7,186.5,49.5,15.8
0.107864,417.7,149.6,873.6,98.9,2567.8,75.9,394.6,861.8,2567.7,186,49.3,15.7
0.109864,417.0,134.6,875.1,93.5,2569.7,68.8,395.6,860.4,2565.6,185.6,49.3,15.6
0.111864,415.9,119.3,879.3,88.0,2571.3,69.0,396.7,859.6,2563.2,185.2,49.3,15.6
0.113864,413.4,103.1,883.8,82.8,2572.6,76.0,397.9,859.3,2560.7,184.8,49.4,15.7
0.115864,408.7,86.9,885.1,79.2,2572.7,90.9,399.1,859.5,2558.1,184.4,49.6,15.9
0.117864,402.8,72.3,882.1,78.3,2570.7,111.8,400.3,859.9,2555.4,184,49.8,16.5
0.119864,397.5,61.0,877.3,79.2,2567.2,130.3,401.6,860.7,2552.7,183.6,50,17.2
0.121864,393.2,52.6,873.7,81.1,2564.9,140.7,403,861.6,2549.9,183.3,50.2,17.8
0.123864,390.1,47.0,873.5,83.8,2564.7,142.0,404.3,862.7,2547.1,182.9,50.4,18.3
0.125864,387.5,43.2,875.7,86.5,2561.7,136.8,405.7,863.8,2544.2,182.6,50.4,18.5
0.127864,385.3,41.0,878.0,88.0,2553.9,126.7,407.1,864.9,2541.4,182.3,50.4,18.4
0.129864,383.6,40.5,879.4,87.6,2546.0,117.4,408.5,865.9,2538.6,182,50.4,18.1
0.131864,382.6,41.9,880.1,85.4,2540.8,115.8,409.9,866.8,2535.9,181.7,50.2,17.7
0.133864,382.2,45.9,880.6,82.8,2536.8,126.6,411.3,867.6,2533.3,181.4,50,17.5
0.135864,382.8,53.3,879.6,82.1,2531.4,153.3,412.7,868.2,2530.7,181.2,49.8,17.4
0.137864,384.7,64.5,874.6,84.3,2521.5,193.0,414.1,868.6,2528.2,180.9,49.5,17.4
0.139864,388.1,78.3,865.6,88.6,2508.0,231.5,415.6,868.7,2525.8,180.6,49.2,17.6
0.141864,393.2,94.1,854.0,93.2,2496.3,258.7,417,868.6,2523.6,180.4,49,17.7
0.143864,399.8,109.4,844.3,96.9,2495.9,262.8,418.5,868.3,2521.4,180.2,48.7,18
0.145864,407.3,124.1,838.5,100.2,2505.1,239.7,420,867.7,2519.4,180,48.5,18.3
0.147864,414.7,137.4,834.9,103.6,2512.7,202.6,421.5,866.9,2517.5,179.8,48.3,18.8
0.149864,420.4,147.9,831.0,107.6,2515.2,174.3,423.1,865.9,2515.7,179.6,48.2,19.4
0.151864,425.4,158.7,826.4,113.7,2515.1,155.3,424.7,864.8,2514,179.4,48,19.9
0.153864,431.3,172.0,823.7,120.9,2514.0,141.6,426.4,863.5,2512.5,179.2,47.8,20.3
0.155864,438.8,186.1,823.9,126.5,2512.1,131.6,428.1,862,2511,179.1,47.6,20.4
0.157864,446.6,196.6,826.8,129.2,2508.2,127.9,429.9,860.6,2509.6,178.9,47.5,20.2
0.159864,452.3,200.9,831.3,129.9,2502.4,130.3,431.7,859.1,2508.3,178.8,47.4,19.8
0.161864,455.2,200.5,837.2,130.9,2497.4,134.3,433.6,857.7,2507.1,178.7,47.4,19.4
0.163864,456.2,196.5,844.6,131.6,2495.4,137.4,435.6,856.3,2506,178.6,47.4,19.3
0.165864,454.7,188.9,851.6,129.8,2496.7,141.3,437.7,855.2,2504.9,178.5,47.4,19.5
0.167864,451.5,180.2,856.5,125.8,2498.8,151.2,439.9,854.2,2503.8,178.4,47.5,20.1
0.169864,448.4,172.6,858.4,121.4,2499.9,172.3,442.2,853.5,2502.7,178.3,47.5,21
0.171864,446.0,166.1,856.7,117.3,2500.8,204.0,444.5,853.2,2501.7,178.3,47.5,21.8
0.173864,445.4,161.0,853.2,113.7,2504.5,237.6,447,853.2,2500.6,178.3,47.5,22.4
0.175864,448.9,161.0,851.8,112.0,2509.3,249.3,449.5,853.7,2499.5,178.2,47.5,22.6
