time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025351,394.2,138.8,848.5,135.3,2780.4,351.1,422.1,869.9,2753.9,209.5,47.7,27.6
0.027351,401.6,162.6,855.9,156.6,2765.8,376.4,422.2,869.5,2753.5,209.4,48.2,25.1
0.029351,413.9,193.7,867.7,181.3,2751.1,392.4,422.4,868.9,2753,209.2,48.8,21.4
0.031351,427.1,205.1,879.6,178.1,2739.8,364.1,422.6,868,2752.3,209,49.5,17.3
0.033351,435.2,184.2,884.3,145.7,2734.3,305.7,422.8,866.9,2751.3,208.9,50.5,13.7
0.035351,437.6,151.1,880.9,109.3,2735.4,249.5,423.1,865.5,2750.1,208.7,51.4,11.4
0.037351,436.1,123.9,873.1,82.5,2738.7,214.8,423.4,864,2748.7,208.5,52.4,10.5
0.039351,433.3,107.4,865.0,66.2,2739.4,211.5,423.7,862.3,2747,208.3,53.3,10.5
0.041351,430.4,97.6,858.2,56.2,2737.3,238.1,424.1,860.5,2745.2,208.1,54,11.1
0.043351,428.3,92.2,853.8,50.3,2739.2,265.8,424.4,858.5,2743.1,207.8,54.7,12
0.045351,427.3,89.0,851.5,46.7,2748.0,258.1,424.7,856.5,2740.8,207.6,55.2,13.1
0.047351,427.0,86.0,850.9,44.3,2751.5,213.9,425.1,854.5,2738.3,207.4,55.7,14.3
0.049351,427.2,85.7,850.9,43.9,2750.1,171.5,425.3,852.4,2735.6,207.2,56,16
0.051351,427.5,90.4,850.4,46.5,2749.2,151.9,425.6,850.4,2732.8,206.9,56.3,17.9
0.053351,427.0,96.2,848.6,49.8,2745.1,149.5,425.7,848.4,2729.8,206.7,56.5,19.7
0.055351,426.0,100.8,845.9,52.5,2736.6,147.4,425.9,846.4,2726.8,206.5,56.7,21.2
0.057351,425.1,106.2,843.0,55.8,2729.2,143.6,425.9,844.5,2723.7,206.2,56.8,22.5
0.059351,424.5,111.5,840.4,59.9,2723.4,143.2,425.9,842.8,2720.6,206,56.9,23.6
0.061351,423.9,113.5,838.3,63.1,2716.3,146.2,425.8,841.2,2717.6,205.8,57,24.6
0.063351,423.3,110.7,837.1,64.3,2707.8,148.3,425.6,839.6,2714.7,205.5,57.1,25.5
0.065351,422.5,104.0,836.4,63.4,2698.2,146.0,425.4,838.3,2712,205.3,57.2,26.3
0.067351,421.7,95.5,836.0,61.1,2688.7,139.8,425.1,837.1,2709.5,205.1,57.3,27
0.069351,421.0,89.2,835.7,59.9,2682.3,134.8,424.7,836,2707.3,204.9,57.3,27.6
0.071351,420.9,88.4,835.5,62.1,2681.6,135.8,424.2,835.1,2705.5,204.7,57.4,28.1
0.073351,421.0,91.9,835.2,66.6,2686.0,142.5,423.8,834.3,2704,204.5,57.4,28.5
0.075351,421.2,96.1,834.9,70.6,2692.6,151.7,423.2,833.7,2703,204.3,57.4,28.8
0.077351,421.3,99.1,834.8,72.4,2700.0,161.7,422.7,833.1,2702.5,204.2,57.4,29
0.079351,421.4,101.8,834.8,72.9,2708.3,172.7,422.1,832.8,2702.6,204,57.4,28.9
0.081351,421.5,104.9,834.9,73.0,2717.2,184.4,421.6,832.5,2703.2,203.8,57.4,28.9
0.083351,421.6,107.0,834.9,72.6,2724.5,193.5,421,832.4,2704.3,203.7,57.5,28.9
0.085351,421.7,108.0,834.7,71.9,2729.6,200.3,420.5,832.3,2706,203.5,57.5,29.2
0.087351,421.5,108.1,834.5,70.7,2732.5,204.8,420.1,832.4,2708.2,203.4,57.5,29.8
0.089351,421.3,107.4,834.3,68.6,2732.6,204.9,419.8,832.5,2711,203.3,57.5,30.8
0.091351,420.9,105.1,834.2,65.2,2730.0,198.6,419.5,832.8,2714.3,203.2,57.5,31.8
0.093351,420.6,100.4,834.0,60.8,2725.7,188.3,419.4,833.1,2718,203.1,57.5,32.7
0.095351,420.3,94.8,833.8,56.4,2722.7,178.5,419.4,833.5,2722.2,203,57.5,33.4
0.097351,420.3,90.4,833.7,53.5,2723.3,173.6,419.5,834.1,2726.6,202.9,57.6,33.8
0.099351,420.4,89.1,833.8,52.7,2726.7,173.9,419.8,834.7,2731.3,202.8,57.6,34.1
0.101351,420.6,91.2,834.2,54.2,2730.5,177.5,420.2,835.5,2736.2,202.7,57.6,34.2
0.103351,421.1,96.3,834.8,57.8,2733.5,182.0,420.8,836.4,2741.2,202.6,57.6,34.2
0.105351,421.9,103.4,835.7,63.0,2736.8,186.9,421.5,837.4,2746.2,202.5,57.6,34.2
0.107351,423.0,112.2,836.9,69.7,2741.6,192.6,422.4,838.6,2751.1,202.4,57.5,34
0.109351,424.3,122.9,838.2,78.1,2747.3,199.4,423.5,840,2755.9,202.4,57.5,33.7
0.111351,425.7,135.0,839.8,88.0,2751.9,205.5,424.7,841.5,2760.4,202.3,57.5,33.3
0.113351,427.1,144.9,841.4,97.0,2753.8,208.0,426,843.3,2764.6,202.2,57.4,33
0.115351,428.3,151.5,843.5,104.2,2754.7,207.5,427.4,845.3,2768.4,202.2,57.4,32.9
0.117351,429.5,156.8,845.8,110.5,2757.0,207.9,429,847.6,2771.8,202.1,57.3,33
0.119351,431.2,164.3,848.3,118.3,2762.4,213.3,430.6,850.1,2774.8,202.1,57.2,33.4
0.121351,433.2,174.6,850.7,128.1,2769.8,223.2,432.2,852.9,2777.2,202,57.2,33.8
0.123351,435.1,182.3,853.4,136.5,2776.2,231.4,433.9,856,2779.1,201.9,57.1,34
0.125351,436.5,182.7,857.2,140.7,2780.3,233.6,435.6,859.3,2780.4,201.9,57.1,34
0.127351,437.3,175.6,862.1,140.6,2782.5,230.2,437.2,863,2781.2,201.8,57,33.5
0.129351,437.7,166.2,867.8,139.0,2784.6,226.4,438.8,867,2781.5,201.8,57,32.6
0.131351,438.3,160.3,874.0,139.6,2789.1,228.6,440.4,871.3,2781.3,201.7,56.9,31.7
0.133351,439.4,159.4,879.9,142.5,2796.0,237.2,441.8,875.8,2780.6,201.7,56.9,30.9
0.135351,440.5,159.7,885.6,144.8,2802.6,246.0,443.1,880.7,2779.4,201.6,56.9,30.5
0.137351,441.2,156.9,890.9,143.7,2804.6,248.5,444.3,885.7,2777.9,201.6,56.9,30.8
0.139351,441.6,150.3,896.0,138.6,2800.3,244.6,445.2,891.1,2776.1,201.5,56.9,31.5
0.141351,441.9,142.8,901.0,131.6,2791.4,239.0,446.1,896.6,2774,201.5,56.9,32.3
0.143351,442.6,138.9,905.7,126.8,2782.2,237.9,446.7,902.3,2771.7,201.4,56.9,33
0.145351,444.0,139.7,910.5,125.0,2773.8,242.9,447.1,908.1,2769.2,201.3,56.9,33.3
0.147351,445.9,143.7,915.5,125.2,2766.1,252.2,447.4,914.1,2766.6,201.3,56.8,32.9
0.149351,447.9,148.7,920.5,125.6,2759.7,262.6,447.4,920.1,2764.1,201.2,56.7,32.2
0.151351,449.5,151.9,925.6,124.3,2754.4,271.6,447.3,926.2,2761.5,201.1,56.6,31.3
0.153351,450.3,151.3,930.5,120.3,2748.9,275.5,447,932.2,2759,201.1,56.5,30.3
0.155351,450.3,147.5,935.9,114.3,2742.1,273.3,446.5,938.2,2756.6,201,56.4,29.6
0.157351,449.8,142.9,941.7,107.9,2736.0,266.6,445.9,944.1,2754.3,200.9,56.2,29.2
0.159351,449.0,139.3,947.3,102.5,2733.6,261.3,445.2,949.8,2752.2,200.9,56,28.9
0.161351,447.8,134.9,952.4,96.9,2735.6,262.7,444.3,955.3,2750.3,200.8,55.8,28.7
0.163351,446.4,127.4,956.3,89.9,2738.1,272.3,443.4,960.6,2748.6,200.7,55.6,28.4
0.165351,444.8,117.7,959.3,82.5,2737.4,290.4,442.5,965.5,2747,200.6,55.3,27.9
0.167351,443.4,110.9,961.9,78.3,2734.6,316.1,441.5,970.2,2745.7,200.5,55,27.2
0.169351,442.6,111.5,965.4,80.4,2735.2,338.7,440.6,974.4,2744.5,200.4,54.7,26.4
0.171351,442.8,118.7,970.7,88.7,2737.1,330.7,439.6,978.3,2743.6,200.4,54.3,25.5
0.173351,443.4,126.2,977.4,98.7,2734.3,286.9,438.8,981.7,2742.7,200.3,53.9,24.5
0.175351,443.4,130.2,984.3,107.7,2731.3,239.3,438,984.6,2742.1,200.2,53.3,23.5
0.177351,441.4,129.7,989.4,115.0,2732.9,209.9,437.3,987.1,2741.6,200.1,52.7,22.4
0.179351,437.2,126.6,992.0,122.7,2739.6,204.1,436.8,989,2741.2,200,52.1,21.1
0.181351,431.1,125.7,993.5,136.9,2751.7,228.9,436.4,990.4,2740.9,199.9,51.4,19.8
0.183351,425.6,135.9,997.9,168.4,2767.8,289.4,436.2,991.2,2740.8,199.8,50.6,18.6
0.185351,422.4,166.9,1010.3,235.3,2794.0,388.8,436.1,991.5,2740.7,199.8,49.8,17.5
