time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025088,812.6,77.0,1338.3,741.0,3206.9,1392.1,823,1320.9,3041.3,209.3,50.6,17.7
0.027088,810.1,72.6,1334.7,709.1,3155.3,1314.6,821.8,1322.3,3037.4,209.1,50.6,18.7
0.029088,807.8,68.6,1333.4,680.6,3109.7,1278.1,819.9,1324.6,3030.8,209,50.7,19.5
0.031088,806.5,65.8,1335.7,670.1,3080.6,1298.7,817.2,1327.7,3022,208.9,50.7,20.1
0.033088,806.0,64.8,1338.7,685.6,3066.5,1369.9,813.9,1331.4,3011,208.7,50.8,20.7
0.035088,805.4,65.6,1337.6,716.0,3051.6,1438.8,810,1335.6,2998.3,208.6,50.9,21.2
0.037088,804.0,67.8,1331.2,745.5,3024.5,1464.8,805.6,1340.1,2984.3,208.4,50.9,21.7
0.039088,801.7,71.1,1323.7,767.3,2988.1,1458.0,800.6,1344.7,2969.3,208.2,51,22
0.041088,798.4,75.4,1320.2,784.6,2948.7,1447.1,795.3,1349.2,2953.8,208.1,51,22.2
0.043088,794.2,80.9,1322.5,797.9,2906.8,1439.3,789.8,1353.4,2938.3,207.9,51,22.5
0.045088,789.2,87.1,1328.5,800.3,2860.9,1421.9,784,1357,2923.3,207.7,50.9,22.8
0.047088,783.6,94.2,1336.8,797.8,2810.5,1414.6,778.1,1359.8,2909.2,207.5,50.9,23.2
0.049088,778.3,102.3,1348.0,803.3,2757.3,1447.7,772.3,1361.7,2896.4,207.3,50.8,23.7
0.051088,774.3,110.8,1364.4,822.1,2706.3,1532.7,766.6,1362.6,2885.4,207.2,50.8,24.2
0.053088,771.9,119.0,1386.7,851.2,2660.9,1671.0,761,1362.2,2876.6,207,50.7,24.8
0.055088,770.6,127.3,1410.5,884.8,2622.3,1852.8,755.8,1360.6,2870.2,206.8,50.6,25.3
0.057088,769.4,136.6,1424.8,912.1,2604.6,2042.3,750.9,1357.6,2866.5,206.6,50.5,25.8
0.059088,766.4,146.8,1415.4,910.4,2649.6,2157.1,746.5,1353.3,2865.6,206.4,50.5,26.2
0.061088,760.1,155.6,1378.7,853.5,2776.5,2065.1,742.6,1347.7,2867.7,206.3,50.4,26.6
0.063088,751.3,160.6,1336.3,757.8,2909.1,1792.1,739.2,1340.8,2872.7,206.1,50.4,26.9
0.065088,741.9,162.0,1302.7,660.3,3006.4,1502.0,736.5,1332.8,2880.6,205.9,50.4,27.3
0.067088,734.8,161.1,1281.9,591.6,3070.3,1307.7,734.3,1323.9,2891.3,205.7,50.3,27.7
0.069088,731.2,159.1,1272.7,559.7,3107.4,1228.2,732.8,1314.2,2904.4,205.6,50.3,28.2
0.071088,729.9,157.5,1269.8,553.9,3126.8,1233.3,732,1303.8,2919.9,205.4,50.4,28.7
0.073088,729.5,157.2,1269.2,567.7,3131.2,1306.6,731.7,1293.1,2937.2,205.3,50.4,29.2
0.075088,728.7,157.4,1267.7,589.3,3122.0,1394.6,732.1,1282.2,2956.1,205.1,50.4,29.4
0.077088,726.1,154.3,1262.2,593.8,3108.3,1384.7,733.1,1271.3,2976,205,50.5,29.4
0.079088,722.2,146.2,1252.7,568.4,3094.9,1233.7,734.6,1260.7,2996.5,204.9,50.5,29.1
0.081088,718.9,135.7,1243.0,531.4,3077.1,1040.1,736.5,1250.6,3017.2,204.8,50.6,28.6
0.083088,718.0,126.9,1236.3,505.3,3058.7,897.5,738.8,1241,3037.5,204.7,50.7,28.1
0.085088,719.6,121.0,1233.4,496.7,3045.8,818.4,741.5,1232.2,3057,204.5,50.8,27.6
0.087088,723.3,117.4,1232.9,503.4,3038.5,783.9,744.5,1224.2,3075.2,204.4,50.9,27.3
0.089088,728.8,114.9,1233.5,522.7,3037.4,778.4,747.6,1217.2,3091.7,204.4,51.1,27
0.091088,735.7,112.4,1234.7,552.3,3049.1,788.5,750.8,1211.1,3106.1,204.3,51.2,26.9
0.093088,743.3,109.1,1235.6,587.1,3075.4,795.7,753.9,1206,3118.1,204.2,51.3,26.7
0.095088,750.9,105.0,1233.9,620.7,3103.6,784.4,757,1201.7,3127.4,204.1,51.5,26.6
0.097088,757.8,100.7,1227.6,650.7,3115.3,760.5,760,1198.2,3133.7,204.1,51.6,26.5
0.099088,764.0,96.7,1217.5,675.2,3104.5,732.0,762.6,1195.5,3137,204,51.7,26.5
0.101088,769.6,92.9,1206.2,692.5,3083.9,693.0,765,1193.2,3137.1,204,51.8,26.5
0.103088,774.8,89.5,1194.9,703.6,3069.2,637.0,766.9,1191.3,3134.1,203.9,51.9,26.4
0.105088,779.3,86.6,1183.7,705.0,3061.5,562.2,768.4,1189.6,3127.9,203.9,52,26.3
0.107088,783.0,83.7,1173.3,692.6,3054.4,479.6,769.3,1187.8,3118.7,203.9,52.1,26
0.109088,785.6,81.3,1164.8,669.9,3045.6,406.8,769.6,1185.8,3106.6,203.9,52.2,25.5
0.111088,787.4,79.7,1159.4,643.5,3035.7,351.2,769.3,1183.4,3091.9,203.8,52.2,24.9
0.113088,788.3,79.6,1156.8,619.9,3025.5,308.5,768.4,1180.4,3074.8,203.8,52.2,24.3
0.115088,788.2,81.8,1155.8,605.7,3017.5,272.6,766.8,1176.7,3055.6,203.8,52.2,23.6
0.117088,786.9,87.1,1155.0,601.5,3011.9,244.5,764.4,1172.3,3034.6,203.8,52.2,22.9
0.119088,783.5,95.7,1154.3,596.9,3005.3,228.7,761.4,1167,3012.2,203.8,52.1,22
0.121088,777.1,107.1,1155.4,580.0,2995.9,227.2,757.6,1160.9,2988.6,203.9,52,21
0.123088,767.6,120.4,1158.5,548.2,2983.1,236.6,753.2,1154,2964.3,203.9,51.9,20.1
0.125088,756.2,135.6,1159.9,509.2,2967.1,247.3,748.1,1146.5,2939.4,203.9,51.8,19.5
0.127088,743.4,155.5,1155.4,464.9,2945.7,249.2,742.3,1138.4,2914.4,204,51.7,19.5
0.129088,730.5,180.7,1143.8,417.2,2918.6,237.0,735.9,1130.1,2889.5,204,51.6,20.1
0.131088,719.2,208.9,1128.4,372.7,2891.5,219.3,728.9,1121.8,2864.9,204.1,51.6,21.1
0.133088,708.2,242.6,1110.1,329.5,2868.3,205.6,721.3,1113.8,2840.8,204.1,51.6,22.1
0.135088,695.1,281.1,1091.4,283.5,2851.5,200.0,713.3,1106.5,2817.5,204.2,51.6,22.8
0.137088,679.3,315.4,1078.2,235.6,2840.6,203.9,704.8,1100.2,2795,204.3,51.6,22.8
0.139088,665.5,338.5,1073.2,194.4,2833.0,219.7,695.9,1095.4,2773.3,204.4,51.7,22.3
0.141088,656.6,354.8,1074.0,165.7,2824.6,251.9,686.7,1092.4,2752.7,204.5,51.7,21.5
0.143088,649.3,371.2,1078.0,149.5,2809.5,301.8,677.2,1091.6,2733,204.6,51.8,20.6
0.145088,641.3,385.3,1084.9,143.3,2781.5,354.9,667.5,1093.5,2714.3,204.7,51.8,19.8
0.147088,637.6,388.5,1097.6,144.5,2743.8,382.3,657.6,1098.3,2696.4,204.8,51.8,19.3
0.149088,641.5,376.3,1119.2,149.7,2708.2,373.1,647.6,1106.4,2679.4,205,51.8,19
