time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025905,424.2,250.0,1117.7,763.1,2764.4,660.8,438.7,1078.4,2772.4,226.4,43.1,-13
0.027905,427.2,181.0,1114.1,616.3,2795.0,609.9,438.8,1077.5,2772,226.3,44.3,16.6
0.029905,430.7,145.1,1106.7,512.3,2830.3,495.2,438.9,1076.1,2771.4,226.1,45.3,24.3
0.031905,433.5,125.6,1097.5,424.5,2833.8,369.9,439.2,1074.1,2770.5,226,46.1,23.2
0.033905,435.3,111.7,1086.5,346.9,2814.0,283.9,439.5,1071.5,2769.3,225.9,46.8,18
0.035905,436.6,97.9,1072.6,280.9,2787.0,226.4,439.8,1068.4,2767.9,225.7,47.5,13.8
0.037905,437.9,82.8,1054.8,227.1,2762.1,182.3,440.1,1064.8,2766.2,225.5,48,14.2
0.039905,439.6,69.3,1036.8,190.4,2745.5,149.2,440.5,1060.7,2764.3,225.2,48.5,15.6
0.041905,441.6,58.0,1020.6,166.9,2735.6,123.2,440.9,1056.1,2762.2,225,49,17.2
0.043905,443.6,49.7,1009.0,154.5,2730.1,104.9,441.3,1051.1,2759.9,224.7,49.4,18.7
0.045905,445.4,44.8,1003.5,153.0,2727.5,94.8,441.7,1045.7,2757.4,224.3,49.9,20.1
0.047905,447.0,43.0,1004.1,161.7,2726.8,91.5,442.1,1039.9,2754.8,223.9,50.3,21.2
0.049905,448.3,42.9,1008.8,174.6,2727.2,91.7,442.5,1033.7,2751.9,223.5,50.7,22.2
0.051905,449.3,43.0,1014.4,184.0,2727.0,92.7,442.8,1027.3,2749,223.1,51.1,23
0.053905,450.0,42.4,1018.9,183.8,2725.1,92.7,443,1020.5,2745.9,222.6,51.4,23.7
0.055905,450.3,40.9,1021.2,172.8,2721.5,90.9,443.2,1013.6,2742.7,222.1,51.8,24
0.057905,450.1,38.8,1020.3,152.9,2717.2,89.1,443.3,1006.4,2739.5,221.5,52.1,24.1
0.059905,449.3,36.6,1015.8,130.9,2713.8,91.3,443.3,999.1,2736.1,220.9,52.4,23.7
0.061905,448.3,34.6,1008.2,109.9,2711.5,102.0,443.2,991.7,2732.8,220.2,52.7,23
0.063905,447.3,32.8,999.0,92.1,2710.4,125.6,443,984.2,2729.4,219.6,53,22.2
0.065905,446.6,31.9,989.8,79.4,2713.0,160.6,442.8,976.7,2726.1,218.8,53.2,21.3
0.067905,446.2,32.4,981.2,72.2,2724.7,192.6,442.4,969.1,2722.8,218.1,53.5,20.5
0.069905,445.7,33.6,972.7,67.9,2739.0,202.2,441.9,961.6,2719.5,217.3,53.6,19.6
0.071905,444.7,33.7,962.2,62.7,2742.3,200.6,441.3,954.2,2716.4,216.5,53.8,18.6
0.073905,443.2,32.7,949.8,56.7,2732.9,199.0,440.6,946.9,2713.3,215.6,53.8,17.7
0.075905,441.5,32.2,936.6,51.9,2719.6,193.6,439.9,939.7,2710.4,214.8,53.9,16.9
0.077905,440.1,33.1,923.0,48.9,2710.5,183.9,439,932.6,2707.6,213.9,53.8,16.4
0.079905,439.0,35.7,911.6,47.9,2708.4,174.6,438.1,925.8,2704.9,213,53.7,16.2
0.081905,438.2,40.5,902.8,49.0,2709.9,165.2,437.2,919.1,2702.4,212.1,53.5,16.2
0.083905,437.4,48.3,896.8,52.6,2710.4,151.7,436.2,912.7,2700.1,211.1,53.3,16.2
0.085905,436.5,58.9,893.3,57.8,2707.1,134.5,435.2,906.5,2698,210.2,53.1,16.1
0.087905,435.5,71.8,891.4,63.8,2701.8,120.6,434.2,900.6,2696,209.2,53,15.8
0.089905,434.4,84.0,889.5,69.7,2698.0,114.5,433.2,895,2694.3,208.3,53,15.2
0.091905,432.9,93.1,886.3,75.5,2694.4,114.9,432.2,889.6,2692.8,207.3,53,14.6
0.093905,430.9,96.9,882.1,81.2,2690.1,120.7,431.3,884.6,2691.4,206.4,53.3,14
0.095905,428.7,95.2,878.7,87.3,2686.8,130.7,430.5,879.8,2690.2,205.5,53.5,13.6
0.097905,426.7,88.9,877.4,93.4,2687.9,143.6,429.8,875.4,2689.2,204.5,53.8,13.7
0.099905,425.0,80.6,878.2,96.9,2694.2,156.1,429.3,871.2,2688.4,203.6,54.1,14.3
0.101905,423.4,72.5,879.3,96.5,2701.9,166.0,428.8,867.3,2687.6,202.7,54.3,15.1
0.103905,422.1,67.0,879.0,93.7,2705.3,170.1,428.6,863.8,2687,201.8,54.5,15.9
0.105905,421.3,65.4,877.1,91.9,2702.6,166.7,428.5,860.5,2686.5,201,54.5,16.7
0.107905,421.1,67.5,874.1,92.4,2697.7,159.1,428.6,857.5,2686,200.1,54.5,17.2
0.109905,421.6,72.0,869.9,94.2,2694.8,152.1,428.9,854.7,2685.6,199.3,54.5,17.7
0.111905,422.6,76.8,863.8,94.4,2692.7,146.8,429.4,852.2,2685.1,198.5,54.3,18.1
0.113905,423.5,79.5,856.0,90.6,2689.5,142.4,430.2,850,2684.6,197.7,54.1,18.3
0.115905,424.0,80.4,849.0,84.9,2685.7,137.3,431.2,848,2684.1,196.9,53.9,18.5
0.117905,424.6,80.3,846.1,79.6,2681.7,131.6,432.4,846.1,2683.4,196.2,53.6,18.4
0.119905,425.4,79.5,848.6,76.3,2677.4,126.4,433.9,844.5,2682.6,195.5,53.3,18
0.121905,426.5,79.3,853.3,76.0,2673.8,119.8,435.7,843.1,2681.5,194.8,53,17.6
0.123905,427.8,80.6,856.2,78.7,2672.2,111.0,437.6,841.8,2680.3,194.2,52.6,17
0.125905,429.5,84.1,854.9,84.0,2671.9,101.5,439.9,840.7,2678.8,193.5,52.3,16.4
0.127905,432.1,90.2,848.2,90.2,2669.8,94.1,442.3,839.6,2677.1,192.9,52,15.8
0.129905,435.2,98.2,837.8,93.3,2663.8,91.1,444.9,838.8,2675,192.4,51.6,15.2
0.131905,439.2,109.2,826.8,93.1,2654.9,92.3,447.7,838,2672.6,191.8,51.3,14.5
0.133905,445.4,124.3,818.6,93.0,2646.8,97.7,450.7,837.2,2669.9,191.3,50.9,13.8
0.135905,455.0,143.6,813.5,96.7,2642.4,107.7,453.9,836.6,2666.8,190.8,50.6,13.3
0.137905,468.4,165.5,809.4,104.6,2641.6,122.4,457.2,836,2663.3,190.3,50.2,12.9
0.139905,482.2,180.5,805.7,113.8,2642.0,138.6,460.6,835.5,2659.5,189.9,49.9,12.6
0.141905,493.1,182.0,803.9,122.6,2641.9,155.5,464,835,2655.3,189.5,49.6,12.5
0.143905,499.0,171.3,806.8,130.9,2642.5,171.3,467.5,834.5,2650.7,189.2,49.5,12.4
0.145905,501.6,155.9,815.0,138.3,2645.9,178.3,471,834,2645.8,188.8,49.4,12.5
0.147905,503.4,140.0,826.1,142.4,2649.0,171.4,474.6,833.5,2640.5,188.5,49.3,12.6
0.149905,505.2,125.7,834.6,140.2,2645.6,161.5,478,833,2635,188.2,49.2,12.8
0.151905,507.7,114.6,839.1,136.0,2637.5,157.5,481.4,832.5,2629.1,188,49.2,13.1
0.153905,509.5,108.7,839.9,134.8,2629.7,162.2,484.7,832,2623.1,187.8,49.2,13.4
0.155905,507.6,105.8,838.0,136.3,2626.0,173.8,487.9,831.5,2616.8,187.6,49.3,13.8
0.157905,501.3,101.7,834.7,136.7,2626.8,186.3,490.9,831,2610.5,187.5,49.4,14.1
0.159905,493.8,95.1,833.1,132.5,2625.9,194.9,493.7,830.4,2604,187.4,49.5,14.5
0.161905,488.0,88.2,835.0,124.6,2618.6,200.6,496.2,829.8,2597.5,187.3,49.7,15
0.163905,485.3,82.8,839.0,115.7,2605.3,203.8,498.6,829.2,2591.1,187.2,49.8,15.4
0.165905,484.9,78.2,842.1,107.4,2590.5,205.4,500.6,828.6,2584.8,187.2,49.8,15.7
0.167905,485.2,73.9,842.7,101.0,2577.5,209.7,502.4,827.9,2578.6,187.2,49.9,15.8
0.169905,484.1,70.9,841.3,98.4,2568.3,221.9,503.9,827.3,2572.7,187.3,50,15.7
0.171905,481.2,69.7,839.8,99.0,2562.2,243.2,505.1,826.6,2567.1,187.3,50,15.5
0.173905,477.9,69.2,839.2,100.4,2557.1,269.0,505.9,825.9,2561.9,187.4,50.1,15.3
0.175905,475.9,68.3,839.1,100.1,2550.2,290.1,506.4,825.2,2557.1,187.6,50.2,15.2
0.177905,476.0,67.4,838.7,97.1,2542.2,297.1,506.6,824.5,2552.8,187.7,50.2,15.3
0.179905,478.2,67.6,837.8,93.4,2538.1,290.5,506.4,823.8,2549,187.9,50.2,15.5
0.181905,482.0,68.6,836.2,90.5,2538.4,278.1,505.8,823.1,2545.8,188.1,50.1,15.7
0.183905,486.0,69.4,833.5,88.6,2540.1,266.8,504.9,822.5,2543.3,188.3,50,16.1
0.185905,489.2,70.5,829.2,88.5,2542.8,262.7,503.7,821.8,2541.5,188.6,49.9,16.5
0.187905,491.0,73.0,823.4,90.2,2549.1,268.6,502.1,821.2,2540.4,188.9,49.9,17.2
0.189905,492.0,76.9,817.7,93.6,2559.8,283.5,500.3,820.5,2540,189.2,49.9,18.1
0.191905,493.2,81.6,813.0,98.6,2571.9,306.0,498.1,819.9,2540.4,189.5,49.9,19.1
0.193905,494.8,85.9,809.8,103.9,2578.0,334.0,495.6,819.4,2541.6,189.8,50,20.1
0.195905,496.5,89.0,807.6,107.1,2575.0,360.6,492.9,818.8,2543.5,190.2,50.1,20.8
0.197905,498.1,90.1,805.7,106.4,2566.6,379.3,489.9,818.3,2546.1,190.6,50.1,21.1
0.199905,499.2,89.4,804.0,101.7,2557.8,392.2,486.8,817.9,2549.5,190.9,50.2,21
0.201905,500.0,88.2,802.3,95.3,2549.9,409.7,483.4,817.4,2553.6,191.3,50.2,20.7
0.203905,500.4,87.3,800.6,89.4,2544.9,435.6,479.9,817,2558.3,191.8,50.1,20.2
0.205905,500.2,87.1,799.0,85.3,2545.7,461.6,476.2,816.6,2563.7,192.2,50.1,19.6
0.207905,499.3,87.6,797.8,83.1,2553.5,476.3,472.4,816.3,2569.6,192.6,49.9,19
0.209905,497.3,88.7,798.0,82.4,2561.6,482.8,468.6,816,2576,193,49.7,18.1
0.211905,494.3,90.5,800.7,82.5,2562.9,501.4,464.7,815.8,2582.7,193.4,49.5,17.1
0.213905,490.3,93.5,806.3,83.2,2555.4,551.4,460.8,815.5,2589.9,193.9,49.3,16.2
0.215905,485.2,99.1,814.4,84.0,2541.7,643.4,456.9,815.3,2597.3,194.3,49,15.4
0.217905,477.8,109.0,822.6,83.5,2528.5,780.5,453.1,815.2,2604.8,194.7,48.7,15
0.219905,468.1,120.6,827.1,80.0,2530.7,923.0,449.4,815,2612.4,195.1,48.5,14.7
0.221905,455.8,129.3,827.8,73.0,2558.9,1023.0,445.7,814.9,2620,195.4,48.3,14.6
0.223905,442.2,130.0,826.6,64.1,2608.2,1053.1,442.2,814.8,2627.5,195.8,48.2,14.6
0.225905,429.6,121.6,825.0,55.9,2663.7,1040.6,438.9,814.8,2634.9,196.2,48.1,14.7
0.227905,419.7,105.6,823.3,48.9,2714.3,1018.7,435.8,814.7,2641.9,196.5,48,15
0.229905,413.9,88.2,821.9,43.7,2745.3,1012.2,432.9,814.7,2648.5,196.8,48,15.5
0.231905,411.3,73.6,821.0,40.3,2751.3,1048.0,430.2,814.7,2654.7,197.1,47.9,16.1
0.233905,411.3,64.5,820.0,39.2,2732.3,1139.1,427.8,814.6,2660.4,197.4,47.8,16.7
0.235905,412.7,60.5,817.9,40.3,2703.2,1241.7,425.7,814.6,2665.4,197.6,47.6,17
0.237905,414.4,59.8,813.9,43.2,2685.3,1291.1,423.9,814.6,2669.8,197.9,47.3,17
0.239905,415.7,61.1,809.4,48.1,2680.6,1269.8,422.4,814.6,2673.5,198.1,46.8,16.7
0.241905,416.2,64.4,806.3,56.7,2674.4,1226.7,421.2,814.6,2676.4,198.3,46.3,16.1
0.243905,415.6,69.4,807.1,72.0,2654.5,1202.0,420.3,814.6,2678.5,198.5,45.6,15.4
0.245905,412.5,73.8,814.3,95.7,2626.6,1191.9,419.8,814.6,2679.8,198.6,44.9,14.8
0.247905,405.1,75.2,828.9,122.3,2613.7,1160.6,419.6,814.6,2680.2,198.7,44.1,14.3
