time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025206,667.2,1001.8,1719.7,593.4,2555.7,533.2,466.9,1366,2493.1,185.5,38.3,8.4
0.027206,463.6,765.1,1701.9,577.1,2551.6,533.5,466.4,1363.4,2493.1,185.7,38.5,8.4
0.029206,414.5,470.8,1707.3,584.2,2565.4,558.7,465.6,1359.1,2493,185.9,38.7,9
0.031206,418.7,356.5,1767.0,614.7,2629.5,630.6,464.6,1353.1,2492.9,186.1,38.9,10
0.033206,466.9,265.5,1867.1,623.7,2770.0,715.7,463.2,1345.4,2492.8,186.4,39.1,11.2
0.035206,486.7,189.7,1975.5,730.3,2874.4,899.1,461.5,1336.2,2492.7,186.6,39.3,12.4
0.037206,493.5,186.4,2230.3,912.6,2608.3,1848.5,459.6,1325.4,2492.6,186.8,39.6,14
0.039206,499.2,210.5,1632.2,2762.5,2347.9,512.0,457.4,1313.2,2492.4,187.1,39.9,15.8
0.041206,501.9,249.3,1063.2,2869.3,2335.4,374.5,455,1299.5,2492.2,187.3,40.2,17.6
0.043206,418.9,1304.5,493.2,310.4,2324.9,328.5,452.3,1284.6,2491.9,187.6,40.5,19.1
0.045206,446.5,352.4,646.6,809.3,2318.8,326.2,449.5,1268.6,2491.6,187.8,40.9,20
0.047206,414.1,306.1,752.7,645.4,2314.0,356.1,446.5,1251.4,2491.3,188,41.2,20.4
0.049206,406.7,266.4,816.6,572.6,2314.3,422.9,443.4,1233.3,2490.9,188.3,41.6,20.6
0.051206,408.4,243.9,865.7,542.1,2332.1,508.2,440.1,1214.3,2490.4,188.5,42,20.6
0.053206,412.5,228.5,912.4,517.5,2383.8,564.2,436.7,1194.7,2489.9,188.7,42.4,20.6
0.055206,415.4,212.6,950.0,473.5,2451.4,534.3,433.3,1174.4,2489.3,188.9,42.7,20.6
0.057206,414.6,194.0,964.3,420.3,2490.3,468.2,429.8,1153.7,2488.7,189.1,43.1,20.6
0.059206,410.5,175.0,959.7,376.0,2498.9,436.4,426.3,1132.7,2488,189.3,43.5,20.5
0.061206,405.5,159.6,946.7,341.1,2501.0,453.2,422.8,1111.5,2487.2,189.5,43.9,20.4
0.063206,401.3,148.2,933.3,311.0,2514.0,501.4,419.4,1090.3,2486.4,189.7,44.3,20.6
