time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025048,360.0,117.9,841.6,187.5,2581.9,150.0,334.8,789,2610.4,213.1,47.1,19.3
0.027048,356.2,124.3,832.3,171.0,2590.0,164.1,335.5,789.2,2608.2,213.2,46.8,19.8
0.029048,351.0,128.8,825.7,147.8,2594.9,176.0,336.7,789.5,2604.8,213.2,46.5,20.1
0.031048,345.7,132.9,823.3,125.1,2596.7,185.3,338.3,790,2600,213.3,46.2,20.5
0.033048,341.6,138.8,823.6,108.8,2593.4,198.2,340.3,790.6,2594.1,213.4,45.8,20.7
0.035048,339.3,145.9,823.6,100.9,2581.2,220.8,342.8,791.3,2587.1,213.4,45.5,20.8
0.037048,338.5,150.7,820.8,101.8,2557.4,252.6,345.5,792,2579.3,213.5,45.1,20.7
0.039048,339.7,151.6,815.2,111.1,2530.3,280.0,348.6,792.8,2570.8,213.6,44.8,20.4
0.041048,343.6,151.3,808.7,129.2,2514.9,291.2,351.8,793.6,2561.8,213.6,44.5,20.2
0.043048,349.2,151.7,800.4,156.0,2516.0,289.0,355.3,794.4,2552.6,213.6,44.2,20.2
0.045048,355.0,153.4,787.7,189.8,2526.4,275.7,358.8,795.1,2543.3,213.7,44,20.6
0.047048,360.6,158.2,770.4,226.4,2534.4,250.1,362.4,795.7,2534.1,213.7,43.9,21.3
0.049048,366.2,165.2,753.5,258.3,2533.6,220.1,366,796.2,2525.3,213.7,43.7,22.3
0.051048,370.5,170.5,741.8,276.7,2527.6,197.4,369.5,796.5,2517,213.7,43.6,23.3
0.053048,370.7,170.3,731.8,275.3,2525.2,189.4,372.9,796.5,2509.6,213.7,43.6,24.1
0.055048,366.3,164.1,720.5,258.9,2532.6,197.6,376,796.3,2503,213.8,43.6,24.8
0.057048,362.1,158.4,712.9,249.8,2544.8,216.0,379,795.9,2497.5,213.8,43.6,25.2
0.059048,361.9,160.0,711.5,265.8,2548.6,235.7,381.6,795.1,2493.2,213.7,43.7,25.5
0.061048,365.5,166.9,713.8,304.2,2538.9,248.3,383.8,793.9,2490.2,213.7,43.8,25.8
0.063048,371.2,174.2,718.5,350.1,2526.5,248.6,385.7,792.3,2488.5,213.7,43.9,26.1
0.065048,378.5,177.6,733.3,388.9,2524.4,240.1,387.2,790.3,2488.2,213.7,44,26.4
0.067048,387.3,173.9,768.7,403.8,2534.3,228.0,388.3,787.9,2489.2,213.7,44.1,26.7
0.069048,395.0,163.8,811.3,379.1,2547.0,212.9,388.9,784.9,2491.4,213.7,44.2,26.9
0.071048,398.2,154.2,837.1,339.1,2552.0,195.3,389,781.5,2494.8,213.7,44.3,27.2
0.073048,397.7,149.6,844.0,309.6,2544.4,179.3,388.8,777.5,2499.3,213.7,44.4,27.5
0.075048,395.6,148.8,839.1,294.8,2527.3,171.6,388.1,773.1,2504.6,213.7,44.4,27.8
0.077048,393.8,149.7,828.0,290.3,2507.2,171.8,387,768.1,2510.6,213.8,44.4,28.2
0.079048,392.2,151.9,813.0,291.6,2490.3,173.8,385.5,762.6,2517.1,213.8,44.4,28.6
0.081048,389.2,155.6,793.9,296.6,2483.9,172.5,383.6,756.6,2523.7,213.8,44.5,29
0.083048,384.0,159.9,771.2,300.4,2491.6,167.4,381.5,750.2,2530.2,213.9,44.5,29.3
0.085048,378.5,161.9,751.5,294.3,2509.0,159.0,379.2,743.2,2536.4,213.9,44.5,29.5
0.087048,375.8,160.8,742.9,279.4,2527.6,150.8,376.6,735.8,2541.9,214,44.5,29.5
0.089048,376.0,159.0,742.0,266.0,2541.1,151.5,373.9,728,2546.4,214,44.5,29.4
0.091048,375.6,159.7,736.4,261.0,2546.9,172.6,371.1,719.8,2549.7,214.1,44.5,29.2
0.093048,370.9,162.5,719.6,260.3,2544.5,220.7,368.2,711.3,2551.4,214.2,44.5,29.1
0.095048,363.6,161.6,699.6,252.1,2534.9,280.7,365.5,702.5,2551.2,214.3,44.5,29
