time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025168,333.9,130.2,1277.4,635.1,2276.2,992.8,365.8,1249.1,2389.7,203,50.7,21.2
0.027168,345.1,123.8,1290.2,551.1,2368.6,961.0,365.9,1248.6,2393.9,203,50.7,21.8
0.029168,355.2,115.2,1286.1,485.1,2422.0,858.4,366,1247.6,2400.8,203,50.7,23
0.031168,363.5,105.2,1275.3,442.3,2433.5,743.7,366.1,1246.3,2410.3,203,50.7,24.5
0.033168,369.2,96.0,1262.5,419.4,2417.7,650.2,366.2,1244.6,2422.4,203,50.7,26
0.035168,373.1,88.8,1250.6,407.1,2398.9,592.7,366.3,1242.5,2436.9,202.9,50.8,27.2
0.037168,375.8,83.7,1240.2,401.2,2393.0,576.9,366.5,1240,2453.6,202.9,50.8,28.1
0.039168,377.2,82.0,1232.9,402.3,2409.8,605.6,366.7,1237.2,2472.5,202.9,50.8,28.7
0.041168,377.8,82.6,1226.2,406.7,2448.8,659.6,366.9,1234.1,2493.1,202.9,50.9,29
0.043168,377.5,84.5,1218.9,414.1,2501.5,709.4,367.1,1230.6,2515.5,202.8,50.9,29.4
0.045168,376.4,87.0,1211.0,424.9,2559.3,742.1,367.3,1226.8,2539.2,202.8,50.9,29.7
0.047168,374.8,89.3,1201.0,431.2,2623.3,755.1,367.4,1222.8,2564.1,202.8,50.9,30.3
0.049168,373.9,89.7,1189.3,416.7,2676.8,738.7,367.6,1218.4,2589.9,202.7,50.8,31.1
0.051168,373.8,88.0,1179.1,380.9,2728.1,681.8,367.7,1213.9,2616.4,202.7,50.8,31.9
0.053168,374.1,85.4,1174.5,342.5,2771.1,575.7,367.9,1209.1,2643.2,202.7,50.8,32.6
0.055168,373.5,84.2,1174.7,323.3,2784.8,479.8,368,1204.1,2670.1,202.6,50.7,33.2
0.057168,371.6,86.0,1177.8,333.9,2776.7,426.1,368,1199,2696.9,202.6,50.7,33.3
0.059168,369.6,89.6,1181.7,366.6,2760.3,413.7,368.1,1193.8,2723.3,202.6,50.7,32.9
0.061168,368.6,92.8,1184.0,402.2,2748.8,426.0,368.1,1188.6,2749,202.5,50.7,32.4
0.063168,368.5,94.7,1183.0,421.3,2757.6,448.5,368.1,1183.5,2773.8,202.5,50.7,31.8
0.065168,368.0,96.1,1178.9,428.4,2785.7,457.4,368,1178.3,2797.6,202.5,50.7,31.5
0.067168,366.0,98.6,1171.1,445.6,2808.3,447.5,367.9,1173.4,2820.1,202.4,50.7,31.8
0.069168,362.7,102.4,1160.2,485.0,2807.0,446.0,367.8,1168.6,2841.1,202.4,50.7,32.7
0.071168,359.0,106.0,1146.9,536.3,2796.5,454.5,367.6,1164.1,2860.6,202.4,50.7,33.8
0.073168,357.2,107.1,1136.5,558.4,2792.1,461.8,367.5,1160,2878.3,202.3,50.7,35
0.075168,358.4,105.1,1134.6,531.2,2798.8,465.1,367.3,1156.2,2894.2,202.3,50.7,35.8
0.077168,361.6,100.4,1140.9,474.5,2821.7,467.0,367.1,1152.9,2908.2,202.3,50.7,36
0.079168,364.7,95.7,1150.7,428.5,2859.2,473.7,366.9,1150.2,2920.2,202.3,50.7,35.6
0.081168,366.5,94.0,1160.8,412.2,2909.7,482.5,366.7,1148.1,2930.3,202.2,50.7,34.9
