time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025381,433.9,224.3,1246.4,803.8,2928.5,769.8,407.1,1162.7,2908.3,215.7,47.4,24.8
0.027381,425.2,218.3,1196.9,725.0,2873.1,816.6,406.9,1162.7,2905.1,215.4,47.3,24.5
0.029381,417.6,214.1,1163.7,657.3,2855.2,816.5,406.6,1162.5,2900,215.2,47.3,24.4
0.031381,410.2,210.0,1137.9,599.8,2864.6,766.3,406,1162.3,2893.4,214.9,47.2,24.5
0.033381,402.6,207.2,1117.7,558.7,2874.5,683.8,405.3,1162,2885.9,214.6,47.2,24.7
0.035381,394.7,206.7,1103.8,536.0,2875.1,603.8,404.4,1161.6,2877.9,214.2,47.2,24.9
0.037381,386.6,206.6,1096.5,527.9,2871.4,541.6,403.2,1160.9,2870,213.9,47.2,25.1
0.039381,380.0,204.9,1096.9,536.0,2867.2,507.1,401.7,1159.9,2862.7,213.5,47.3,25.3
0.041381,376.4,202.6,1107.3,571.4,2865.2,502.6,399.9,1158.4,2856.6,213.2,47.4,25.7
0.043381,376.7,202.0,1131.9,646.7,2871.4,521.4,397.7,1156.2,2852,212.8,47.6,26
0.045381,380.3,202.8,1171.9,759.9,2888.8,541.1,395.3,1153.2,2848.9,212.4,47.7,26.3
0.047381,386.5,206.2,1228.6,908.3,2913.9,537.2,392.7,1148.9,2847.6,211.9,47.9,26.5
0.049381,393.7,212.8,1288.1,1060.4,2928.7,508.8,389.7,1143.1,2847.7,211.5,48.1,26.6
0.051381,398.8,219.8,1295.9,1195.4,2919.2,497.5,386.7,1135.6,2849,211.1,48.3,26.6
0.053381,398.7,223.9,1195.0,1251.4,2884.7,528.1,383.5,1126.1,2851,210.6,48.5,26.6
0.055381,394.2,223.9,1085.8,1122.5,2832.8,562.2,380.3,1114.3,2853.1,210.2,48.6,26.5
0.057381,387.9,218.8,1041.5,966.3,2789.7,559.8,377.2,1100.2,2854.7,209.7,48.8,26.4
0.059381,382.5,212.2,1028.0,869.6,2776.1,530.0,374.2,1083.5,2855.1,209.2,48.9,26.2
0.061381,378.6,208.0,1016.8,822.6,2784.6,477.1,371.4,1064.3,2853.8,208.8,49.1,25.9
0.063381,375.8,207.2,996.0,798.2,2800.3,405.1,368.9,1042.8,2850.3,208.3,49.2,25.5
0.065381,372.1,205.6,964.6,740.3,2809.2,332.3,366.8,1019.2,2844.4,207.8,49.4,25.1
0.067381,365.7,197.9,936.1,621.4,2811.2,269.8,365,994,2835.8,207.3,49.5,24.7
0.069381,359.6,185.6,922.5,501.8,2811.6,226.3,363.6,967.6,2824.6,206.8,49.7,24.2
0.071381,356.1,174.8,917.2,415.8,2810.1,201.4,362.6,940.6,2811.3,206.3,49.8,23.7
0.073381,355.5,170.6,912.3,365.9,2804.8,192.1,361.9,913.9,2796.2,205.8,50,23.1
0.075381,357.0,174.7,903.2,339.1,2796.0,193.3,361.5,888.2,2780.3,205.3,50.1,22.6
0.077381,359.5,187.0,888.7,318.0,2784.6,200.2,361.2,864.3,2764.2,204.8,50.2,22.3
0.079381,361.2,203.3,873.0,289.0,2773.5,207.5,361,842.9,2749,204.3,50.4,22.1
0.081381,361.0,216.9,859.8,245.4,2763.8,212.9,360.8,824.8,2735.6,203.8,50.5,22.1
0.083381,358.9,221.9,850.4,196.0,2756.9,215.1,360.5,810.6,2724.9,203.4,50.5,22.1
0.085381,356.3,220.5,843.9,153.5,2752.6,212.1,359.9,800.8,2717.8,202.9,50.6,22.1
0.087381,353.9,221.9,838.7,124.0,2750.8,203.9,359.1,795.6,2714.9,202.5,50.6,21.9
0.089381,351.5,231.2,834.5,108.2,2752.3,195.3,357.9,795.2,2716.4,202,50.6,21.5
0.091381,348.5,242.3,831.0,99.6,2754.4,189.5,356.2,799.5,2722.7,201.6,50.5,20.9
0.093381,345.4,246.1,828.6,95.5,2754.4,188.7,354.1,808.2,2733.4,201.2,50.5,20.2
0.095381,343.2,245.4,826.9,99.2,2754.5,194.1,351.6,820.6,2748,200.8,50.4,19.7
0.097381,342.9,245.3,825.1,116.9,2758.8,204.2,348.6,836.3,2765.9,200.4,50.3,19.4
0.099381,345.1,239.7,823.8,150.8,2765.8,215.0,345.2,854.3,2785.9,200,50.2,19.4
0.101381,349.2,220.9,825.1,199.5,2771.6,226.7,341.5,873.6,2806.8,199.7,50.1,19.8
0.103381,352.6,191.8,832.4,249.0,2775.6,244.2,337.6,893.4,2827.4,199.3,50,20.2
0.105381,353.0,161.9,847.2,272.0,2779.5,270.5,333.6,912.6,2846.4,199,50,20.5
0.107381,350.4,137.6,867.1,258.8,2786.1,302.1,329.6,930.2,2862.4,198.7,49.9,20.6
0.109381,346.1,124.3,887.6,235.4,2796.9,326.9,325.6,945.6,2874.2,198.5,49.7,20.4
0.111381,340.2,122.0,909.6,223.7,2813.6,342.5,321.9,957.9,2881.1,198.2,49.5,20.2
