time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025825,408.8,95.8,1014.3,315.4,2378.9,763.0,404.8,880.5,2441.9,224.6,43.8,9.8
0.027825,410.5,105.2,948.7,329.8,2305.1,654.6,405,878.1,2443.9,224.4,44.1,10.7
0.029825,409.0,119.3,900.2,302.3,2319.3,557.2,405.3,874.3,2447.1,224.3,44.3,11.9
0.031825,405.8,131.4,876.2,262.9,2384.3,490.0,405.6,868.9,2451.6,224.1,44.4,13.1
0.033825,402.4,138.1,862.7,227.5,2455.3,415.4,406,862.1,2457.2,224,44.4,14.3
0.035825,399.5,139.0,852.3,200.3,2508.1,346.9,406.4,853.9,2463.8,223.8,44.4,15.4
0.037825,397.6,137.3,843.1,185.5,2544.3,310.7,406.8,844.4,2471.2,223.5,44.3,16.3
0.039825,396.8,136.6,833.3,184.1,2573.6,305.9,407.2,833.8,2479.3,223.3,44.3,17
0.041825,397.4,138.2,821.4,196.9,2591.8,328.1,407.4,822,2487.8,223,44.2,17.6
0.043825,399.5,141.9,804.8,220.9,2592.0,364.8,407.6,809.4,2496.7,222.7,44.2,18.1
0.045825,403.1,148.0,783.9,253.5,2573.6,401.2,407.6,795.9,2505.7,222.4,44.2,18.6
0.047825,407.8,155.8,761.3,290.1,2547.8,426.6,407.3,781.7,2514.6,222.1,44.3,19.3
0.049825,413.0,166.3,733.6,325.5,2527.5,439.7,406.9,767.1,2523.4,221.7,44.3,20.1
0.051825,417.3,180.8,699.5,342.1,2525.1,434.8,406.2,752,2531.7,221.4,44.3,21
0.053825,418.2,199.4,664.0,325.9,2538.5,409.0,405.2,736.7,2539.4,221,44.3,21.8
0.055825,414.3,215.6,638.5,289.3,2556.3,366.0,403.9,721.3,2546.5,220.6,44.2,22.3
0.057825,410.4,224.5,625.9,262.5,2567.5,318.3,402.3,706,2552.7,220.1,44.2,22.6
0.059825,409.3,228.6,620.8,247.3,2567.8,276.4,400.4,691,2558.1,219.7,44,22.6
0.061825,407.3,224.8,622.6,230.7,2559.9,251.6,398.2,676.2,2562.5,219.2,43.9,22.4
0.063825,402.6,211.6,628.9,208.5,2552.5,237.7,395.7,662,2566,218.7,43.7,22.1
0.065825,396.4,192.7,635.8,184.9,2551.5,227.8,392.9,648.4,2568.5,218.3,43.5,21.8
0.067825,389.5,174.0,640.5,162.6,2555.4,222.4,390,635.4,2570,217.8,43.3,21.4
0.069825,381.5,158.5,642.3,141.1,2558.0,218.2,386.8,623.3,2570.7,217.3,43.1,21
0.071825,373.9,151.1,641.2,126.6,2552.9,207.4,383.5,612.1,2570.6,216.8,42.9,20.4
0.073825,368.1,155.5,637.5,124.8,2542.1,190.3,380.1,601.8,2569.7,216.3,42.7,19.9
0.075825,364.6,171.8,631.4,137.8,2532.5,176.9,376.7,592.4,2568.3,215.8,42.6,19.5
0.077825,362.6,188.7,623.1,159.2,2527.3,171.7,373.4,584.1,2566.4,215.3,42.5,19.4
0.079825,361.3,196.7,613.2,184.4,2526.8,172.3,370.1,576.9,2564.2,214.8,42.4,19.4
0.081825,361.4,194.3,603.7,210.2,2532.8,179.0,367,570.6,2561.8,214.4,42.5,19.6
0.083825,363.4,188.0,596.8,235.0,2545.5,197.6,364.1,565.3,2559.4,213.9,42.6,19.8
0.085825,366.7,184.6,592.6,257.9,2562.9,235.5,361.4,560.9,2557.2,213.4,42.7,20.1
0.087825,370.5,187.2,588.3,277.6,2576.7,289.7,359.1,557.4,2555.2,213,42.9,20.5
0.089825,373.7,193.5,582.3,292.6,2575.4,350.0,357.1,554.7,2553.7,212.5,43.1,21
0.091825,374.3,197.9,578.2,296.9,2557.6,382.1,355.6,552.7,2552.7,212.1,43.4,21.5
0.093825,370.6,196.6,578.2,286.4,2545.3,373.3,354.4,551.3,2552.3,211.7,43.6,22.1
0.095825,362.8,189.6,579.5,261.4,2551.8,344.5,353.7,550.3,2552.7,211.3,43.8,22.5
0.097825,353.4,180.3,578.1,230.4,2569.8,316.0,353.5,549.7,2553.8,210.9,44,22.9
0.099825,343.8,171.5,573.1,201.3,2587.5,298.4,353.7,549.3,2555.7,210.6,44.2,23.1
0.101825,336.8,166.9,565.5,184.2,2587.9,299.4,354.3,549,2558.4,210.2,44.4,23.3
0.103825,333.2,165.3,558.1,179.1,2567.0,306.8,355.4,548.7,2561.8,209.9,44.6,23.4
0.105825,333.3,163.7,555.0,182.8,2547.6,314.6,356.8,548.2,2566,209.6,44.8,23.4
0.107825,336.2,162.1,557.0,191.4,2547.3,338.2,358.6,547.5,2570.9,209.3,45,23.5
0.109825,340.7,163.1,559.5,202.5,2566.5,383.6,360.7,546.4,2576.3,209,45.2,23.4
0.111825,345.5,167.6,556.2,213.9,2592.8,439.5,363.1,544.8,2582.1,208.7,45.3,23.3
0.113825,351.9,176.5,543.1,228.8,2610.4,496.4,365.6,542.8,2588.3,208.4,45.5,23.2
0.115825,363.7,191.3,517.6,252.0,2614.5,555.7,368.3,540.1,2594.7,208.1,45.6,23.1
0.117825,388.1,205.1,476.6,289.1,2616.9,616.7,371.1,536.8,2601.2,207.9,45.7,23.2
0.119825,416.3,155.7,430.0,407.4,2636.6,658.2,373.9,532.9,2607.6,207.7,45.8,23.3
0.121825,410.0,524.6,418.2,118.6,2662.8,617.9,376.6,528.4,2613.8,207.5,45.9,23.5
0.123825,394.8,616.0,418.1,100.7,2656.2,522.3,379.3,523.3,2619.7,207.2,46,23.7
0.125825,387.8,668.4,418.6,92.9,2626.3,436.6,381.8,517.7,2625,207.1,46,24
0.127825,393.7,678.6,419.4,91.6,2597.9,372.8,384,511.6,2629.8,206.9,46.1,24.5
0.129825,414.9,656.4,420.0,95.5,2586.9,313.1,386.1,505.1,2634,206.7,46.1,25.1
0.131825,418.9,104.8,449.1,601.6,2599.4,254.4,387.9,498.5,2637.4,206.5,46.2,25.8
0.133825,413.9,119.1,487.1,511.4,2622.3,201.9,389.3,491.7,2640,206.4,46.2,26.5
