time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025735,396.0,42.3,2413.2,123.3,2812.2,442.9,422.3,2395.3,2764.9,213.2,47.5,12.1
0.027735,400.3,43.0,2417.3,111.2,2780.7,443.6,421.5,2397.6,2764.8,214.1,47.4,12.2
0.029735,405.7,46.1,2416.8,110.9,2763.1,429.5,420.1,2401.4,2764.8,215,47.2,11.8
0.031735,413.0,52.2,2413.1,122.9,2768.1,393.4,418.4,2406.4,2764.7,216,47,11.2
0.033735,421.2,59.2,2409.7,147.8,2777.1,362.5,416.3,2412.7,2764.7,217,46.8,10.6
0.035735,428.8,64.0,2409.5,184.5,2774.6,356.4,414,2420,2764.8,218.1,46.6,10.4
0.037735,432.6,63.8,2415.5,220.2,2757.6,380.4,411.6,2428.1,2765.1,219.2,46.5,10.6
0.039735,431.2,60.9,2427.1,242.7,2732.0,424.5,409.2,2436.8,2765.5,220.4,46.5,11.2
0.041735,426.4,59.5,2434.8,241.3,2717.6,452.0,406.9,2445.8,2766.1,221.5,46.7,12.2
0.043735,420.7,62.9,2432.7,217.7,2725.1,434.7,404.8,2454.9,2766.9,222.7,47,13.2
0.045735,415.4,72.0,2435.1,184.9,2737.6,409.5,402.7,2463.7,2767.9,223.9,47.3,13.9
0.047735,410.7,84.6,2451.1,156.1,2749.5,405.1,400.8,2472,2769.1,225.2,47.6,14.3
0.049735,404.4,97.7,2471.7,136.8,2765.9,397.8,398.9,2479.5,2770.5,226.4,47.8,14.2
0.051735,394.8,109.8,2487.5,132.6,2782.7,370.9,396.9,2485.9,2771.9,227.7,48,14
0.053735,382.7,120.3,2498.4,145.7,2793.1,342.9,394.8,2491.1,2773.3,228.9,48.1,13.7
0.055735,370.4,129.4,2508.3,179.3,2796.1,326.8,392.3,2494.9,2774.7,230.2,48.2,13.5
0.057735,363.3,135.4,2515.6,226.8,2793.4,321.3,389.3,2497.1,2775.9,231.5,48.2,13.3
0.059735,363.5,140.6,2515.1,249.9,2797.1,323.6,385.6,2497.5,2776.9,232.7,48.2,13.1
0.061735,368.4,151.2,2511.5,217.5,2813.0,342.3,381.2,2496.3,2777.6,234,48.2,13
0.063735,373.7,170.3,2511.4,172.1,2824.6,366.8,376,2493.3,2778,235.3,48.2,12.8
0.065735,376.8,197.2,2511.2,149.1,2811.7,371.8,369.9,2488.8,2778.1,236.5,48.2,12.8
0.067735,374.3,224.7,2504.0,158.2,2777.0,323.9,363,2482.7,2777.9,237.8,48.2,13
0.069735,363.9,244.7,2484.7,186.4,2751.7,235.0,355.4,2475.3,2777.4,239,48.2,13.3
