time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025390,566.8,163.3,2007.7,364.8,2944.8,147.7,580.8,1999.6,2949.1,246,49.5,13.8
0.027390,583.9,188.8,2005.2,318.7,2955.5,117.5,588,2002.7,2952.6,246,49.4,14.3
0.029390,602.3,215.3,2007.9,273.0,2962.2,97.2,598.9,2008,2957.3,245.9,49.3,14.7
0.031390,621.8,237.7,2014.4,238.5,2965.3,84.2,612.3,2015.9,2962,245.8,49.1,15.1
0.033390,637.4,244.1,2022.5,218.6,2965.0,78.4,626.5,2026.6,2965.2,245.7,49,15.4
0.035390,647.5,233.7,2033.1,207.2,2962.2,76.9,640.1,2040.4,2965.7,245.6,48.9,15.5
0.037390,653.2,214.3,2049.1,199.9,2957.2,77.5,651.9,2057.2,2962.8,245.4,48.9,15.6
0.039390,656.6,196.8,2070.6,195.2,2951.7,79.7,661.1,2076.6,2956.4,245.2,49,15.5
0.041390,660.2,184.2,2098.8,188.8,2945.7,85.0,667.5,2098.1,2946.9,245.1,49,15.5
0.043390,665.2,176.9,2128.0,176.0,2938.5,94.2,671.5,2120.8,2935.5,244.9,49.1,15.6
0.045390,670.9,171.1,2154.1,158.4,2928.3,108.8,673.8,2143.4,2923.6,244.7,49.1,15.8
0.047390,675.2,163.8,2175.2,142.7,2914.9,129.8,675.3,2164.7,2912.5,244.5,49.2,16
0.049390,677.7,153.9,2189.3,132.5,2903.4,150.1,677.1,2183.6,2903.4,244.3,49.2,16.2
0.051390,680.9,139.5,2197.9,124.8,2896.5,161.6,679.9,2198.9,2896.9,244.1,49.3,16.5
0.053390,686.2,123.1,2202.1,120.6,2893.9,162.6,684.2,2209.9,2892.9,243.9,49.4,16.7
0.055390,693.0,107.2,2205.2,121.3,2893.3,161.6,689.9,2216.4,2890.7,243.7,49.5,16.9
0.057390,700.2,93.4,2208.6,127.6,2892.6,165.1,696.7,2218.5,2889.4,243.5,49.6,17.2
0.059390,706.3,83.2,2211.6,137.0,2889.3,174.8,703.8,2216.8,2887.7,243.3,49.8,17.4
0.061390,711.2,75.4,2213.6,146.5,2881.1,188.8,710.5,2212.3,2884.6,243.1,49.9,17.7
0.063390,714.6,69.8,2213.4,151.8,2868.9,198.1,715.9,2206.6,2879.5,242.9,50.1,18
0.065390,716.9,64.8,2210.5,152.5,2857.9,196.2,719.6,2200.9,2872.4,242.7,50.3,18.5
0.067390,718.1,59.6,2205.2,151.6,2855.4,184.4,721.3,2196.9,2864.2,242.5,50.5,19
0.069390,718.1,54.5,2199.8,157.0,2861.8,176.9,721.1,2195.9,2856.2,242.3,50.8,19.5
0.071390,717.1,49.3,2196.9,176.6,2870.4,184.8,719.4,2198.7,2850.3,242.2,51,20
0.073390,716.0,44.3,2199.8,209.1,2872.9,208.5,716.8,2205.9,2848.2,242,51.3,20.3
0.075390,715.2,39.7,2210.8,248.0,2867.1,243.0,714.2,2217.3,2851.2,241.8,51.5,20.4
0.077390,714.8,35.8,2229.0,283.3,2856.5,283.3,712.2,2232.5,2860.1,241.7,51.7,20.5
0.079390,714.7,33.2,2249.3,303.2,2851.8,320.8,711.2,2250.4,2874.5,241.5,51.8,20.4
0.081390,714.6,31.7,2271.5,301.7,2866.0,347.9,711.2,2269.5,2893.2,241.4,51.9,20.4
0.083390,714.7,31.4,2290.6,277.5,2899.2,343.3,712.3,2288.3,2914,241.3,51.9,20.4
0.085390,714.7,31.9,2305.4,245.1,2933.0,315.4,713.9,2305.1,2934.3,241.1,51.9,20.4
0.087390,714.5,32.8,2316.6,215.9,2955.9,293.1,715.6,2318.3,2951.3,241,51.9,20.5
0.089390,714.2,33.7,2324.9,194.8,2970.0,293.5,716.9,2326.7,2962.5,240.9,51.9,20.6
0.091390,713.9,34.7,2334.4,175.9,2985.5,315.1,717.3,2329.6,2966.5,240.7,51.9,20.7
