time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025299,473.6,117.2,2599.5,251.2,3150.0,1522.6,479.1,2588.2,3069.4,196.6,42.9,17.6
0.027299,476.7,113.3,2597.3,290.5,3044.7,1604.3,478.9,2581.7,3079.8,196.4,42.9,18.3
0.029299,479.7,112.8,2575.8,314.5,3079.2,1469.7,478.7,2571.3,3094.8,196.2,43,18.7
0.031299,481.9,115.0,2543.9,311.4,3129.2,1193.2,478.8,2557.5,3111.2,196,43.1,18.5
0.033299,483.4,117.7,2516.7,288.0,3124.7,985.7,479.2,2541.1,3125.1,195.7,43.3,18.1
0.035299,484.0,119.3,2502.2,254.4,3114.9,891.1,480.2,2522.9,3132.7,195.5,43.5,17.7
0.037299,483.8,118.7,2497.4,227.3,3115.3,854.9,481.9,2504,3130.3,195.2,43.6,17.3
0.039299,484.1,116.2,2492.7,220.8,3097.0,807.8,484.2,2485.4,3115.6,194.9,43.8,17.2
0.041299,485.7,113.8,2483.1,233.4,3056.4,733.9,487.1,2468.1,3087.2,194.6,43.9,17.2
0.043299,488.3,112.1,2468.9,255.5,3011.0,656.8,490.4,2453.2,3045.6,194.3,43.9,17.2
0.045299,491.2,111.4,2455.0,281.8,2967.1,600.1,493.8,2441.5,2992.8,193.9,44,17.3
0.047299,493.5,112.6,2444.1,313.6,2924.0,555.9,496.8,2433.6,2932.3,193.6,44,17.2
0.049299,495.9,117.1,2435.4,354.7,2885.3,514.8,499.3,2429.9,2868.8,193.2,44,16.9
0.051299,498.6,124.6,2426.5,407.6,2852.3,484.0,500.9,2430.3,2807.6,192.8,43.9,16.5
0.053299,501.6,134.6,2415.1,470.8,2820.6,468.3,501.3,2434.5,2754.3,192.4,43.8,16
0.055299,504.4,146.9,2410.6,521.1,2790.6,487.8,500.6,2442.1,2714,192,43.7,15.5
0.057299,505.6,162.5,2431.6,528.9,2757.8,580.4,498.7,2452.2,2690.8,191.5,43.5,15
0.059299,503.7,183.8,2472.3,460.4,2724.0,802.5,495.8,2463.7,2687.5,191.1,43.3,14.6
0.061299,497.7,209.3,2487.5,383.0,2700.6,1060.1,492.3,2475.7,2705.4,190.7,43.2,14.2
0.063299,487.8,238.6,2497.4,352.2,2646.9,1241.4,488.3,2486.9,2744.1,190.2,43,13.9
0.065299,476.6,273.7,2510.8,331.7,2606.2,1395.3,484.3,2496.4,2801.5,189.7,42.9,13.7
0.067299,468.8,311.0,2519.8,288.5,2665.7,1621.1,480.5,2503.4,2874.3,189.2,42.9,13.5
0.069299,467.5,332.1,2517.3,231.3,2928.8,1770.2,477,2507.4,2958.2,188.8,42.9,13.5
0.071299,470.9,324.3,2508.2,188.4,3193.2,1457.0,474,2508.1,3048.1,188.3,43,13.7
0.073299,474.8,299.8,2498.0,163.8,3287.6,1173.1,471.2,2505.6,3139.2,187.8,43.1,14
0.075299,476.6,268.4,2488.4,155.1,3331.4,1065.6,468.5,2500.2,3226.6,187.3,43.2,14.3
0.077299,474.7,234.9,2479.6,153.8,3353.7,1064.4,465.6,2492.6,3306.5,186.8,43.4,14.5
0.079299,469.4,204.4,2470.1,142.5,3385.8,1077.3,462.2,2483.3,3375.7,186.3,43.6,14.7
0.081299,461.7,181.7,2460.9,113.0,3451.9,1030.9,457.9,2473.3,3432.3,185.8,43.9,14.8
0.083299,451.8,160.6,2456.1,81.6,3508.5,947.4,452.7,2463.2,3475.6,185.4,44.2,14.9
0.085299,440.3,136.1,2457.5,63.3,3506.1,904.8,446.3,2453.7,3505.9,184.9,44.4,15
0.087299,430.1,111.7,2460.3,58.2,3453.9,939.7,439,2445.3,3524.4,184.4,44.7,14.9
0.089299,423.0,92.3,2459.1,62.7,3395.5,1062.4,431,2438.2,3533.1,184,44.9,14.7
0.091299,419.4,81.0,2452.3,72.5,3379.7,1222.7,422.8,2432.6,3534.5,183.6,45,14.5
0.093299,417.5,76.2,2440.4,82.7,3441.6,1288.4,414.9,2428.4,3531,183.1,45,14.1
0.095299,415.1,75.1,2426.6,91.3,3542.7,1202.6,408,2425.5,3525.2,182.7,44.9,13.6
0.097299,410.3,76.0,2415.7,99.5,3608.2,1055.4,402.6,2423.6,3519.3,182.3,44.7,13
0.099299,402.2,79.2,2408.9,105.5,3616.1,949.3,399.1,2422.6,3515,182,44.4,12.1
0.101299,390.1,85.4,2406.4,101.2,3580.8,941.5,397.9,2422.3,3513.5,181.6,44,11
