time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025703,549.3,82.9,2408.9,449.5,3196.3,383.2,491.3,2359.4,3181.8,279.3,51.7,15.2
0.027703,550.9,101.5,2370.9,426.4,3191.0,387.5,496.4,2353.7,3182.6,280.1,51.3,14.7
0.029703,551.4,130.2,2338.8,390.8,3189.3,407.8,504.9,2344.4,3183.8,280.9,50.8,13.9
0.031703,550.8,176.3,2316.2,354.3,3181.5,430.8,516.4,2331.9,3185.4,281.8,50.4,12.8
0.033703,548.3,242.4,2299.3,332.1,3162.8,429.4,530.8,2316.6,3187.3,282.7,50,11.8
0.035703,541.5,330.0,2282.0,322.8,3146.0,409.3,547.7,2298.9,3189.2,283.6,49.7,11.1
0.037703,527.0,427.9,2263.9,323.2,3137.7,402.3,566.7,2279.7,3191,284.5,49.5,10.6
0.039703,508.1,509.2,2246.8,328.7,3132.3,420.6,587.4,2259.4,3192.7,285.5,49.4,10.2
0.041703,503.2,543.2,2231.7,330.5,3129.2,450.8,609.4,2238.9,3194,286.5,49.3,10
0.043703,532.9,512.6,2219.1,327.0,3140.5,484.3,632.3,2218.8,3195,287.5,49.3,9.8
0.045703,590.8,441.4,2206.0,324.9,3172.8,532.2,655.5,2199.8,3195.4,288.5,49.4,9.6
0.047703,658.2,364.3,2191.7,330.7,3225.3,591.7,678.6,2182.7,3195.3,289.5,49.4,9.4
0.049703,722.4,293.7,2177.0,348.0,3287.4,631.6,701.4,2168,3194.9,290.4,49.5,9.2
0.051703,774.1,227.4,2158.0,378.4,3328.5,626.7,723.2,2156.3,3194,291.4,49.7,9.1
0.053703,804.1,178.2,2137.0,416.5,3327.2,584.0,744,2148,3193,292.4,50,9
0.055703,816.8,150.6,2123.3,461.6,3304.5,515.8,763.4,2143.4,3192.1,293.3,50.2,9
0.057703,818.3,141.5,2124.9,513.9,3282.8,457.8,781.1,2142.8,3191.4,294.2,50.5,9.1
0.059703,815.2,142.9,2137.9,562.1,3262.9,437.6,797.2,2146.2,3191.2,295.1,50.7,9.2
0.061703,813.6,148.1,2155.4,593.1,3237.1,461.0,811.5,2153.7,3192,295.9,50.8,9.4
0.063703,818.8,152.6,2175.4,606.8,3202.6,518.3,823.9,2164.9,3193.9,296.7,50.9,9.7
0.065703,831.4,153.9,2201.3,614.2,3158.7,593.4,834.6,2179.7,3197.3,297.4,50.8,10.1
0.067703,847.1,152.0,2232.8,616.8,3112.7,663.2,843.5,2197.7,3202.3,298.1,50.8,10.5
0.069703,859.7,150.7,2264.0,610.6,3079.6,714.8,851,2218.3,3209.3,298.7,50.7,11.1
0.071703,864.8,154.9,2285.1,602.2,3067.3,761.5,857,2241.1,3218.2,299.3,50.7,11.8
0.073703,861.7,163.7,2289.4,606.5,3073.1,818.9,861.9,2265.4,3229.2,299.9,50.7,12.4
0.075703,855.2,171.2,2285.5,618.2,3103.9,893.3,865.8,2290.6,3242.2,300.4,50.7,12.9
0.077703,852.7,172.7,2290.3,614.6,3186.4,939.2,868.9,2316,3257.1,300.8,50.8,13.4
0.079703,857.1,167.7,2310.3,591.8,3284.9,880.0,871.4,2340.9,3273.6,301.2,50.9,13.8
0.081703,864.9,158.9,2337.9,567.0,3336.0,800.2,873.5,2364.8,3291.3,301.5,51.1,14.2
0.083703,870.9,150.8,2358.2,545.8,3348.9,767.3,875.3,2387,3309.8,301.8,51.3,14.6
0.085703,874.4,144.8,2368.3,525.9,3348.6,753.6,877.1,2406.9,3328.7,302,51.6,15
0.087703,876.8,138.4,2376.9,508.3,3354.2,745.9,878.8,2424.2,3347.3,302.2,51.8,15.3
0.089703,879.8,128.9,2393.8,492.0,3377.4,763.7,880.5,2438.4,3365,302.4,52,15.6
0.091703,883.8,116.3,2421.5,469.7,3421.2,819.2,882.3,2449.3,3381.2,302.5,52.1,15.9
0.093703,886.7,105.3,2448.7,445.3,3465.9,874.7,884.1,2456.6,3395.2,302.5,52.2,16.1
0.095703,887.3,98.1,2466.1,434.2,3485.4,882.3,885.9,2460.2,3406.6,302.5,52.2,16.4
0.097703,886.5,95.4,2474.9,436.0,3483.2,835.2,887.7,2460.2,3414.7,302.5,52.2,16.6
0.099703,886.2,96.3,2482.8,437.7,3483.2,771.2,889.3,2456.6,3419.3,302.4,52,16.7
0.101703,887.9,99.1,2493.6,431.0,3493.4,719.2,890.6,2449.5,3419.8,302.3,51.8,16.8
0.103703,890.9,101.9,2503.4,425.7,3503.8,693.5,891.5,2439.3,3416.3,302.2,51.6,17
0.105703,892.8,103.6,2507.7,442.7,3498.1,692.7,891.9,2426.2,3408.5,302,51.4,17.1
0.107703,892.1,104.4,2497.0,483.4,3464.5,697.7,891.6,2410.5,3396.7,301.8,51.2,17.1
0.109703,888.9,105.0,2459.0,516.4,3408.5,683.1,890.6,2392.6,3381.1,301.6,51.1,17.2
0.111703,884.7,105.5,2395.6,507.1,3339.3,642.6,888.6,2372.9,3362,301.3,51,17.3
0.113703,881.2,105.5,2329.1,462.7,3266.0,582.5,885.8,2351.9,3340,301.1,50.9,17.3
0.115703,878.4,104.6,2270.2,405.3,3196.2,504.2,881.9,2330,3315.7,300.8,50.9,17.3
0.117703,876.3,103.5,2226.3,351.6,3140.8,425.6,876.9,2307.5,3290,300.5,50.8,17.4
0.119703,874.3,104.5,2200.0,313.7,3103.7,363.7,870.9,2284.9,3263.4,300.1,50.7,17.5
0.121703,872.2,109.3,2187.8,294.9,3084.3,322.6,863.9,2262.5,3237,299.8,50.6,17.6
0.123703,869.4,118.2,2184.6,294.6,3083.0,302.3,856,2240.5,3211.6,299.5,50.5,17.6
0.125703,864.9,132.6,2184.9,309.5,3095.8,295.9,847.2,2219.4,3187.9,299.1,50.3,17.4
0.127703,856.7,153.8,2185.2,337.6,3118.3,298.7,837.6,2199.3,3166.6,298.7,50.1,16.9
0.129703,843.5,181.7,2185.2,375.2,3147.5,306.6,827.3,2180.3,3148.5,298.3,50,16.2
0.131703,826.4,215.1,2187.3,416.0,3183.6,313.2,816.6,2162.7,3134.1,298,49.9,15.3
0.133703,810.1,247.1,2189.0,447.9,3219.5,307.8,805.5,2146.5,3123.7,297.6,49.9,14.6
0.135703,793.9,270.7,2179.2,463.9,3246.7,287.7,794.2,2131.8,3117.6,297.2,49.9,14.1
0.137703,774.9,278.8,2151.6,451.5,3259.9,261.0,782.8,2118.5,3115.8,296.8,50,14
0.139703,752.9,270.7,2119.7,399.4,3259.7,239.3,771.6,2106.8,3118.3,296.5,50.2,14.2
0.141703,731.0,256.0,2101.4,323.8,3245.4,227.2,760.6,2096.4,3124.7,296.1,50.4,14.4
0.143703,714.2,247.6,2096.7,260.2,3219.6,218.3,750,2087.4,3134.5,295.7,50.5,14.4
0.145703,703.9,248.3,2095.6,216.2,3190.4,203.1,739.9,2079.7,3147.3,295.4,50.6,14.1
0.147703,702.5,254.8,2094.0,189.8,3168.6,184.3,730.5,2073.1,3162.4,295.1,50.6,13.1
