time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025283,406.9,54.7,2577.7,120.4,2964.0,243.4,420.3,2586.5,2993.9,194.3,43.2,15.9
0.027283,408.1,54.7,2583.4,98.7,3009.9,221.9,418.9,2586.8,3001.3,193.9,43.3,15.9
0.029283,409.1,56.2,2585.9,91.8,3037.6,209.3,416.7,2587.2,3013.4,193.5,43.4,16.5
0.031283,410.1,58.8,2586.5,96.7,3053.9,215.0,413.9,2587.8,3029.6,193.1,43.5,17.3
0.033283,410.8,62.2,2584.9,110.8,3063.8,242.3,410.8,2588.3,3049.4,192.7,43.6,18.1
0.035283,411.2,66.1,2583.0,127.6,3070.2,297.2,407.5,2588.8,3072,192.3,43.7,18.4
0.037283,411.4,70.3,2586.5,134.1,3080.2,375.7,404.5,2589.2,3096.5,191.8,43.8,18
0.039283,411.5,74.8,2596.5,123.2,3108.2,448.8,402.1,2589.3,3122,191.3,43.9,17.2
0.041283,411.5,78.9,2604.4,106.7,3150.1,460.0,400.5,2589,3147.6,190.8,44.1,16.3
0.043283,411.0,82.4,2604.5,98.1,3183.2,426.5,400.2,2588,3172.4,190.3,44.2,15.5
0.045283,410.8,86.5,2596.9,97.5,3204.3,389.7,401.3,2586.4,3195.4,189.7,44.4,14.9
0.047283,411.9,93.1,2585.8,98.2,3218.9,366.0,404.2,2583.7,3215.9,189.2,44.5,14.7
0.049283,415.8,105.7,2575.1,96.4,3225.1,371.9,409,2579.9,3233.3,188.6,44.6,14.8
0.051283,422.4,124.7,2568.0,95.9,3216.7,430.0,415.8,2574.7,3246.9,188,44.6,14.9
0.053283,429.9,146.3,2564.4,101.4,3202.7,526.0,424.6,2568,3256.3,187.4,44.6,15
0.055283,435.7,166.1,2561.1,112.1,3210.8,599.6,435.4,2559.5,3261.3,186.8,44.6,15
0.057283,441.0,185.8,2553.1,124.8,3247.8,604.8,448.2,2549.2,3261.7,186.2,44.5,14.9
0.059283,447.7,206.2,2537.5,130.6,3282.6,560.4,462.7,2537,3257.7,185.6,44.5,14.7
0.061283,458.7,228.9,2516.0,125.4,3298.4,519.5,478.6,2522.7,3249.4,185,44.4,14.4
0.063283,475.7,251.4,2494.5,119.1,3290.8,485.7,495.8,2506.4,3237.1,184.4,44.4,14.2
0.065283,497.4,264.2,2476.5,121.7,3257.2,432.9,513.8,2488.1,3221.2,183.8,44.4,14
0.067283,522.0,262.3,2460.0,135.1,3211.7,353.0,532.5,2467.9,3202.1,183.2,44.5,13.8
0.069283,546.4,250.5,2444.7,155.6,3176.8,287.4,551.3,2446,3180.5,182.5,44.6,13.7
0.071283,574.0,236.7,2426.2,177.3,3150.0,266.3,570.1,2422.6,3156.7,181.9,44.7,13.6
0.073283,602.2,221.0,2401.8,191.1,3123.7,266.9,588.5,2397.9,3131.4,181.3,44.8,13.5
0.075283,623.9,206.6,2374.7,197.3,3106.8,266.1,606.1,2372.4,3105.1,180.7,44.8,13.3
0.077283,639.3,194.0,2346.7,200.8,3095.6,277.6,622.9,2346.2,3078.2,180.2,44.9,13
0.079283,651.8,178.9,2319.9,204.6,3072.9,314.1,638.6,2319.9,3051.2,179.6,44.9,12.5
0.081283,661.0,162.9,2300.1,217.9,3025.7,371.2,653,2293.7,3024.4,179,44.9,12.1
0.083283,669.0,148.3,2282.7,246.5,2965.4,410.4,666.2,2268,2998.2,178.4,44.8,11.6
0.085283,677.6,135.6,2259.4,280.6,2926.2,411.0,678,2243.2,2972.9,177.8,44.7,11.2
0.087283,686.4,123.3,2227.9,300.7,2912.7,399.0,688.4,2219.6,2948.6,177.2,44.6,11
0.089283,696.3,109.6,2189.7,291.4,2907.3,400.4,697.7,2197.4,2925.5,176.6,44.4,10.8
0.091283,705.9,97.4,2161.2,260.1,2897.2,445.5,705.7,2176.8,2903.6,176.1,44.3,10.7
0.093283,712.8,88.8,2150.0,240.6,2873.3,544.6,712.8,2157.9,2883.2,175.5,44.1,10.5
0.095283,717.1,83.6,2144.1,242.0,2848.7,617.8,718.9,2140.8,2864.1,174.9,43.9,10.2
0.097283,720.8,81.7,2131.5,246.9,2844.2,594.4,724.3,2125.4,2846.6,174.3,43.6,9.8
0.099283,723.4,82.5,2113.1,244.3,2850.8,519.7,729,2111.6,2830.6,173.7,43.4,9.2
0.101283,723.5,86.3,2094.7,233.9,2854.4,443.9,733.3,2099.3,2816.3,173.1,43,8.6
0.103283,722.0,94.9,2079.8,221.5,2848.8,391.7,737.2,2088.3,2803.5,172.5,42.6,8.1
0.105283,722.4,113.8,2069.7,218.2,2833.3,381.5,740.9,2078.3,2792.5,171.9,42.2,7.6
0.107283,728.2,149.1,2061.9,234.4,2808.7,421.6,744.3,2068.9,2783.3,171.3,41.8,7.3
0.109283,742.0,208.6,2052.3,268.1,2773.4,503.8,747.7,2060,2775.8,170.7,41.4,7.1
0.111283,762.0,275.4,2045.0,282.3,2745.9,576.9,751,2051.3,2770.2,170.1,41.1,6.9
0.113283,780.5,310.7,2043.6,248.3,2746.2,586.2,754.3,2042.5,2766.5,169.4,41,6.7
0.115283,787.7,306.6,2043.1,202.3,2757.1,538.4,757.5,2033.3,2764.6,168.8,40.9,6.4
0.117283,782.5,293.2,2039.9,174.0,2766.8,476.1,760.6,2023.7,2764.5,168.2,41,5.9
0.119283,771.1,289.1,2031.5,163.2,2775.6,409.8,763.7,2013.6,2766.2,167.5,41.1,5.3
0.121283,761.0,300.9,2015.6,169.2,2779.4,352.5,766.6,2002.9,2769.4,166.9,41.2,4.6
0.123283,757.5,325.0,1992.3,185.6,2775.8,315.9,769.4,1991.7,2774,166.3,41.3,4
0.125283,761.3,345.1,1969.2,199.3,2765.0,307.6,772,1980.1,2779.7,165.6,41.4,3.6
0.127283,767.2,338.8,1956.5,201.6,2750.7,327.2,774.4,1968.3,2786.3,165,41.4,3.5
0.129283,770.5,300.2,1952.9,198.2,2743.6,360.8,776.5,1956.6,2793.5,164.4,41.4,3.7
0.131283,772.9,246.2,1950.9,198.0,2762.2,369.0,778.4,1945.2,2800.9,163.7,41.4,3.9
0.133283,776.2,197.2,1941.3,211.9,2798.4,327.4,780.1,1934.5,2808.2,163.1,41.2,4
0.135283,778.0,163.9,1919.1,244.4,2828.2,268.7,781.5,1924.8,2815,162.5,40.9,3.8
0.137283,779.3,146.3,1895.3,268.8,2847.6,228.6,782.6,1916.3,2821.1,162,40.5,3.2
0.139283,783.6,140.6,1890.0,259.7,2859.2,212.5,783.5,1909.4,2826.2,161.4,39.9,2.3
0.141283,790.5,149.9,1902.6,241.0,2857.2,216.5,784.1,1904.3,2830,160.9,39.2,1.3
0.143283,794.0,177.7,1915.9,244.3,2842.3,228.5,784.5,1901.2,2832.4,160.3,38.4,0.5
0.145283,785.2,222.6,1919.4,271.3,2825.2,236.7,784.6,1900.1,2833.2,159.8,37.7,-0.1
