time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025472,371.1,27.7,2585.9,125.2,3207.6,547.0,357.7,2612.4,3222.2,194.4,42.6,13.4
0.027472,372.5,24.6,2613.3,131.9,3182.1,567.5,358.3,2611.6,3218.1,194.4,43.1,14.3
0.029472,373.9,23.2,2635.5,130.6,3167.7,583.5,359.4,2610.3,3211.3,194.5,43.6,15.6
0.031472,375.6,23.3,2651.0,122.9,3161.9,580.6,360.9,2608.5,3202,194.5,44.1,17.2
0.033472,377.8,24.2,2656.4,114.9,3154.2,543.8,362.9,2606,3190.1,194.5,44.6,18.7
0.035472,380.4,25.0,2649.5,112.3,3138.3,486.1,365.4,2602.9,3175.8,194.6,45,19.9
0.037472,382.8,25.2,2630.7,116.3,3120.7,440.7,368.5,2599.2,3159.4,194.6,45.4,20.5
0.039472,384.9,25.0,2601.9,124.1,3109.0,422.5,372.2,2594.6,3141,194.6,45.8,20.4
0.041472,386.8,25.2,2571.0,129.2,3109.0,429.5,376.6,2589.3,3120.7,194.7,46,19.8
0.043472,388.7,26.6,2545.6,128.6,3116.1,438.9,381.7,2583,3098.9,194.7,46.2,18.9
0.045472,390.7,29.9,2526.7,125.8,3121.3,429.4,387.6,2575.8,3075.6,194.7,46.4,17.9
0.047472,392.9,34.7,2511.9,124.5,3123.5,410.4,394.4,2567.4,3051.3,194.7,46.4,17.1
0.049472,394.7,39.9,2501.8,123.4,3118.5,405.4,402,2558,3026,194.8,46.4,16.5
0.051472,396.5,45.9,2499.4,119.6,3094.7,430.5,410.5,2547.3,3000.1,194.8,46.4,16
0.053472,398.4,52.6,2504.2,117.1,3047.5,490.3,419.9,2535.3,2973.7,194.8,46.3,15.5
0.055472,401.6,60.8,2509.4,120.2,2994.3,581.0,430.2,2522,2947.2,194.8,46.2,15.1
0.057472,407.8,70.0,2509.0,125.2,2957.4,700.3,441.4,2507.2,2920.5,194.7,46.2,14.7
0.059472,416.7,79.4,2498.9,127.7,2935.4,819.2,453.5,2490.9,2894.1,194.7,46.1,14.5
0.061472,428.5,90.4,2478.3,127.5,2907.0,909.1,466.4,2473,2868,194.6,46.1,14.4
0.063472,443.0,102.8,2452.8,126.1,2861.9,938.1,480.1,2453.5,2842.4,194.5,46.1,14.3
0.065472,461.0,114.6,2428.6,128.3,2804.2,888.1,494.5,2432.5,2817.4,194.4,46.1,14.1
0.067472,482.5,122.7,2408.6,138.6,2750.1,766.3,509.6,2409.7,2793.1,194.3,46.1,13.9
0.069472,508.3,126.8,2390.2,156.1,2709.9,616.9,525.2,2385.3,2769.6,194.2,46.1,13.4
0.071472,534.4,126.6,2375.8,174.5,2686.7,514.0,541.2,2359.3,2746.9,194,46.1,12.8
0.073472,557.7,123.1,2367.1,193.6,2669.8,467.5,557.6,2331.7,2725.1,193.8,46.1,12.2
0.075472,577.5,118.2,2359.1,214.8,2651.7,443.6,574.1,2302.5,2704.2,193.6,46.1,11.5
0.077472,594.4,114.1,2343.6,236.0,2631.4,415.1,590.6,2271.8,2684.2,193.3,46,10.7
0.079472,608.9,113.8,2315.4,253.6,2615.4,372.5,607.1,2239.7,2665,193,45.9,9.8
0.081472,624.8,120.2,2268.3,261.5,2611.5,302.8,623.3,2206.3,2646.6,192.7,45.7,8.7
0.083472,644.0,137.3,2211.4,257.2,2617.9,231.5,639.2,2171.6,2629,192.3,45.5,7.6
