time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025932,309.4,28.8,2934.4,174.1,3500.6,381.2,335.1,2914.1,3499.9,307.2,49.2,17.4
0.027932,312.3,32.7,2919.7,174.8,3490.4,335.2,334.6,2912.4,3500,307.6,49.4,18.5
0.029932,314.9,36.3,2899.5,177.3,3495.5,314.8,334,2909.4,3500,308.1,49.4,19.5
0.031932,317.7,39.1,2881.5,185.6,3504.6,321.3,333.1,2905.4,3500.1,308.6,49.4,20.3
0.033932,321.3,41.2,2868.3,205.2,3502.3,351.6,332.2,2900.2,3500,309.1,49.4,20.9
0.035932,325.9,43.2,2858.2,236.7,3479.0,396.9,331.4,2894,3499.8,309.6,49.4,21.1
0.037932,331.5,45.7,2847.1,267.1,3443.8,438.1,330.7,2886.8,3499.3,310.1,49.3,20.9
0.039932,337.1,48.8,2837.3,275.5,3421.8,487.3,330.3,2878.7,3498.5,310.6,49.3,20.4
0.041932,341.8,52.4,2837.4,255.5,3429.7,592.2,330.3,2869.6,3497.2,311.1,49.2,19.8
0.043932,345.2,56.6,2847.8,215.9,3480.5,773.7,331,2859.8,3495.5,311.6,49.2,19.4
0.045932,347.7,60.7,2858.9,176.1,3556.3,924.1,332.5,2849.1,3493,312,49.2,19.3
0.047932,350.0,63.8,2864.8,153.4,3555.0,870.9,334.9,2837.7,3489.8,312.4,49.2,19.4
0.049932,353.1,67.9,2862.5,138.2,3509.1,658.5,338.4,2825.6,3485.8,312.8,49.1,19.8
0.051932,357.9,75.8,2855.5,117.8,3490.0,469.3,343.1,2812.9,3480.8,313.1,49,20.1
0.053932,364.7,87.1,2848.5,100.3,3489.9,364.9,349.1,2799.5,3474.8,313.4,48.9,20.2
0.055932,372.6,98.4,2840.8,94.7,3492.7,329.6,356.5,2785.5,3467.6,313.6,48.7,20.1
0.057932,380.4,105.9,2828.4,105.4,3485.2,344.3,365.3,2770.9,3459.3,313.8,48.4,19.7
