time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025528,453.4,237.9,2752.4,127.8,3303.4,943.3,473.8,2697.7,3277.6,286.6,47.1,11.5
0.027528,471.6,220.8,2739.9,145.0,3313.7,915.0,476.7,2702.6,3280.2,287.8,47,11.9
0.029528,485.4,205.1,2720.6,159.0,3300.7,856.3,481.4,2709.6,3283.4,289,46.9,11.8
0.031528,493.6,198.9,2702.2,156.7,3279.1,848.2,487.9,2717.1,3285.8,290.3,46.9,11.4
0.033528,498.4,204.2,2688.7,142.1,3250.5,926.8,496.2,2723.2,3285.4,291.5,47,11
0.035528,503.2,219.2,2679.2,127.4,3220.5,1052.0,506.2,2725.6,3280.2,292.9,47.1,10.6
0.037528,512.7,233.8,2671.7,117.1,3224.5,1171.1,517.7,2722.1,3268.2,294.2,47.3,10.3
0.039528,529.7,227.1,2665.3,112.3,3271.2,1267.8,530.6,2710.8,3247.7,295.6,47.6,10.2
0.041528,550.2,193.7,2660.6,114.0,3318.5,1316.6,544.6,2690.2,3217.5,296.9,48.1,10.3
0.043528,570.2,150.3,2659.1,128.0,3291.2,1308.3,559.6,2659.4,3177,298.3,48.7,10.3
0.045528,588.0,111.3,2663.4,172.1,3123.7,1188.4,575.4,2618.2,3126.5,299.6,49.4,10.4
0.047528,603.6,82.7,2676.8,292.9,2895.6,866.6,591.5,2567.4,3067.1,301,50.3,10.5
0.049528,618.0,66.4,2558.7,617.0,2844.6,346.1,607.9,2508.4,3001,302.3,51.2,10.5
0.051528,630.6,62.2,2421.7,630.6,2862.3,233.9,624.3,2443.3,2930.8,303.5,52.2,10.6
0.053528,642.5,65.8,2331.7,634.1,2857.8,199.1,640.5,2375.1,2859.9,304.7,53.1,10.6
0.055528,654.4,74.0,2269.9,643.6,2843.1,199.0,656.2,2306.6,2792.1,305.9,54,10.6
0.057528,666.8,84.3,2229.9,664.9,2818.1,218.6,671.5,2241.2,2731.3,307,54.7,10.7
0.059528,680.2,96.2,2205.0,703.3,2780.9,247.1,686.2,2182,2681.2,308,55.3,10.9
0.061528,693.2,107.8,2185.1,749.1,2740.3,265.2,700.5,2131.8,2645.3,308.9,55.7,11
0.063528,705.0,118.0,2153.0,786.1,2708.3,262.0,714.5,2092.6,2626.2,309.8,56,11.2
0.065528,714.9,126.5,2100.7,806.0,2691.3,245.0,728.3,2066,2625.7,310.5,56,11.4
0.067528,724.0,135.3,2031.6,822.0,2685.1,229.1,742.2,2052.4,2644.7,311.2,55.9,11.8
0.069528,735.1,148.1,1956.2,857.7,2683.3,229.4,756.6,2051.5,2682.8,311.9,55.6,12.3
0.071528,751.2,165.3,1907.6,932.1,2679.5,261.3,771.7,2062,2738.7,312.4,55.2,13
0.073528,774.6,182.0,1927.0,1050.6,2664.6,342.6,787.9,2082,2810.1,312.8,54.7,13.8
0.075528,804.0,189.7,2069.3,1174.9,2619.7,512.6,805.2,2108.7,2893.7,313.2,54.2,14.4
0.077528,838.5,184.7,2358.7,644.9,2583.4,1419.5,824,2139.3,2985.6,313.5,53.7,14.7
